app_id,v_val,i_val,p_val,pf_val
PR,117.300003,2.414,282,0.996
PR,117.400002,2.408,282,0.997
PR,116.800003,2.417,282,0.998
PR,117.099998,2.416,281,0.995
PR,117.699997,2.406,281,0.994
PR,117.900002,2.402,281,0.993
PR,117.199997,2.404,281,0.999
PR,117.199997,2.402,281,0.999
PR,117.599998,2.408,281,0.993
PR,116.599998,2.442,281,0.988
PR,116.400002,2.442,281,0.991
PR,116.900002,2.423,281,0.993
PR,116.800003,2.422,281,0.995
PR,117.699997,2.4,281,0.996
PR,117.800003,2.408,281,0.991
PR,116.800003,2.432,281,0.989
PR,116.199997,2.444,281,0.99
PR,116.400002,2.437,281,0.991
PR,116.900002,2.423,281,0.993
PR,117,2.419,281,0.995
PR,116.5,2.426,282,0.997
PR,117.5,2.403,281,0.996
PR,118,2.403,281,0.992
PR,118.099998,2.409,282,0.99
PR,117.300003,2.424,281,0.99
PR,116.599998,2.431,281,0.993
PR,116.699997,2.423,281,0.996
PR,117.199997,2.408,282,0.998
PR,117,2.413,281,0.996
PR,117.300003,2.41,281,0.995
PR,117.400002,2.4,281,1
PR,117.199997,2.402,282,1
PR,117.400002,2.408,281,0.996
PR,116.699997,2.415,282,1
PR,116.699997,2.413,281,0.999
PR,117.300003,2.415,281,0.992
PR,117.5,2.402,281,0.995
PR,117.400002,2.402,281,0.997
PR,117.699997,2.393,281,0.999
PR,117.199997,2.397,282,1
PR,115.900002,2.436,280,1.605
PR,118,2.391,281,1.605
PR,117.900002,2.396,281,0.996
PR,117.900002,2.408,280,0.987
PR,117.699997,2.419,280,1.605
PR,116.699997,2.43,281,1.605
PR,117.699997,2.407,280,0.989
PR,117.099998,2.412,280,0.993
PR,116.599998,2.423,281,0.994
PR,118.099998,2.41,281,0.987
PR,118.300003,2.393,281,1.605
PR,118,2.39,281,0.997
PR,118.199997,2.383,281,0.997
PR,117.800003,2.386,281,1.605
PR,116.900002,2.405,281,0.998
PR,116.800003,2.413,281,0.997
PR,116.599998,2.419,281,0.997
PR,116.199997,2.433,281,0.993
PR,117.599998,2.415,280,1.605
PR,118.099998,2.394,280,0.992
PR,117.5,2.386,280,1
PR,116.300003,2.427,280,0.994
PR,116.699997,2.432,280,0.989
PR,117.900002,2.394,281,0.995
PR,117,2.411,281,0.997
PR,116.400002,2.433,281,0.992
PR,117,2.419,280,0.991
PR,117.699997,2.398,280,0.994
PR,117.300003,2.411,280,0.992
PR,116.699997,2.43,280,0.989
PR,117.400002,2.407,281,0.994
PR,116.300003,2.426,281,0.996
PR,116.199997,2.44,281,0.99
PR,117.099998,2.42,281,0.99
PR,117.599998,2.401,281,0.995
PR,117.300003,2.399,281,0.998
PR,116.599998,2.419,281,0.995
PR,116.199997,2.444,281,0.988
PR,116.5,2.423,281,0.996
PR,116.800003,2.409,281,0.999
PR,117.5,2.413,281,0.991
PR,117.199997,2.407,281,1.605
PR,117.099998,2.403,281,0.997
PR,117.400002,2.405,281,0.994
PR,117.800003,2.408,281,0.991
PR,117.599998,2.411,281,0.99
PR,118.099998,2.403,281,0.989
PR,117.699997,2.404,281,0.993
PR,116,2.427,281,0.998
PR,116,2.421,281,1
PR,116.400002,2.414,281,1
PR,116.5,2.412,281,1
PR,116.900002,2.407,281,0.999
PR,117,2.411,281,0.997
PR,116.699997,2.413,281,0.998
PR,117.099998,2.419,281,0.992
PR,117,2.423,281,0.991
PR,117.099998,2.41,280,0.993
PR,118.199997,2.395,280,0.99
PR,118.300003,2.385,281,0.995
PR,117.400002,2.4,280,0.997
PR,116.599998,2.416,280,0.996
PR,116.900002,2.412,280,0.995
PR,117.699997,2.413,281,0.99
PR,117.699997,2.42,281,0.987
PR,118.400002,2.392,281,0.992
PR,117.699997,2.396,281,0.997
PR,118.099998,2.406,280,1.605
PR,117.800003,2.392,280,0.996
PR,117.099998,2.409,281,0.996
PR,117,2.416,281,1.605
PR,118,2.404,281,0.991
PR,117.400002,2.405,281,0.995
PR,116.199997,2.423,281,0.997
PR,116.699997,2.411,281,1
PR,117,2.416,281,1.605
PR,117.199997,2.408,281,1.605
PR,117.699997,2.399,281,0.997
PR,117.800003,2.397,281,0.995
PR,118.099998,2.404,280,0.988
PR,118.099998,2.391,281,0.994
PR,118.099998,2.393,281,0.994
PR,117.699997,2.39,280,0.997
PR,117,2.396,280,1
PR,116.5,2.413,281,1
PR,116.599998,2.427,281,0.994
PR,116.5,2.436,281,0.989
PR,116.5,2.433,280,0.989
PR,116.699997,2.433,280,0.989
PR,117.099998,2.424,281,0.99
PR,117.5,2.419,281,0.99
PR,117.900002,2.411,281,0.988
PR,116.699997,2.419,280,0.994
PR,117,2.404,280,0.997
PR,118,2.391,281,1.605
PR,117.5,2.411,280,0.99
PR,117.400002,2.413,280,0.99
PR,117.400002,2.416,281,0.991
PR,118.199997,2.392,281,0.993
PR,118.199997,2.392,281,0.993
PR,117.699997,2.411,280,0.989
PR,116.800003,2.424,281,0.992
PR,118.199997,2.385,281,1.605
PR,117.699997,2.386,281,1
PR,117,2.413,280,0.993
PR,116.800003,2.429,281,0.989
PR,116.599998,2.436,280,0.988
PR,117,2.421,280,0.988
PR,118.699997,2.384,280,0.991
PR,118.599998,2.377,280,0.995
PR,117.800003,2.39,280,0.995
PR,118,2.39,280,1.605
PR,116.599998,2.417,281,0.997
PR,116.400002,2.422,280,0.995
PR,116.199997,2.422,280,1.605
PR,117.199997,2.401,280,0.995
PR,116.699997,2.415,280,0.996
PR,116.400002,2.416,280,0.997
PR,116.800003,2.421,281,0.993
PR,116,2.433,281,0.996
PR,115.900002,2.433,281,0.996
PR,117,2.409,280,0.995
PR,116.199997,2.425,281,0.998
PR,115.800003,2.433,281,0.998
PR,116.099998,2.419,281,1.605
PR,116.300003,2.424,280,0.994
PR,117.099998,2.404,281,0.998
PR,117.199997,2.404,281,0.998
PR,117.400002,2.401,281,0.996
PR,117.5,2.395,280,0.997
PR,117.400002,2.393,281,1.605
PR,116.900002,2.406,281,1
PR,117.199997,2.409,280,0.993
PR,117,2.41,280,0.994
PR,117,2.413,280,0.994
PR,116.900002,2.421,280,0.99
PR,116.900002,2.411,280,0.994
PR,116.900002,2.414,280,0.993
PR,116.5,2.432,280,0.99
PR,117.300003,2.422,281,0.99
PR,118.099998,2.409,281,0.989
PR,118.400002,2.393,281,0.991
PR,118.199997,2.389,280,0.993
PR,117.800003,2.393,281,0.996
PR,117.5,2.405,280,0.993
PR,118,2.393,280,0.993
PR,117.300003,2.396,280,0.998
PR,116.599998,2.413,280,0.997
PR,117.300003,2.418,281,1.605
PR,118.300003,2.388,281,0.994
PR,117.599998,2.397,280,0.995
PR,117.099998,2.409,280,1.605
PR,117.400002,2.396,280,0.997
PR,117.699997,2.392,281,0.997
PR,117.5,2.388,281,1
PR,116.599998,2.409,281,1
PR,116.199997,2.434,281,0.994
PR,117.300003,2.424,281,0.988
PR,117.099998,2.423,280,0.988
PR,117.099998,2.416,280,0.99
PR,117.5,2.413,281,0.991
PR,117.800003,2.401,281,1.605
