app_id,v_val,i_val,p_val,pf_val
CFSSBHWISR,116.199997,3.614,380,0.903
CFSSBHWISR,115.900002,3.62,380,0.906
CFSSBHWISR,115.900002,3.627,380,0.904
CFSSBHWISR,116.5,3.543,380,0.923
CFSSBHWISR,116.099998,3.626,380,0.903
CFSSBHWISR,116.300003,3.618,380,0.904
CFSSBHWISR,116.300003,3.416,381,0.961
CFSSBHWISR,116.5,3.507,381,0.934
CFSSBHWISR,116.599998,3.518,381,0.93
CFSSBHWISR,116.599998,3.437,380,0.951
CFSSBHWISR,115.699997,3.4,380,0.969
CFSSBHWISR,115.199997,3.374,380,0.982
CFSSBHWISR,115.099998,3.687,381,0.898
CFSSBHWISR,115.300003,3.683,381,0.897
CFSSBHWISR,115.5,3.684,381,0.895
CFSSBHWISR,115.400002,3.537,381,0.936
CFSSBHWISR,115.800003,3.395,380,0.971
CFSSBHWISR,116.099998,3.406,380,0.964
CFSSBHWISR,115.5,3.387,380,0.975
CFSSBHWISR,115.699997,3.232,380,1
CFSSBHWISR,115.300003,3.372,380,0.981
CFSSBHWISR,115.599998,3.621,380,0.909
CFSSBHWISR,115.800003,3.608,381,0.911
CFSSBHWISR,115.699997,3.609,382,0.915
CFSSBHWISR,115.699997,3.599,382,0.917
CFSSBHWISR,116.699997,3.52,382,0.929
CFSSBHWISR,115.599998,3.501,382,0.946
CFSSBHWISR,115.199997,3.521,382,0.944
CFSSBHWISR,116.099998,3.606,381,0.912
CFSSBHWISR,116.099998,3.534,381,0.93
CFSSBHWISR,116.599998,3.485,381,0.938
CFSSBHWISR,117.099998,3.47,380,0.936
CFSSBHWISR,117.099998,3.401,380,0.954
CFSSBHWISR,116.5,3.271,380,0.997
CFSSBHWISR,115.599998,3.371,380,0.977
CFSSBHWISR,115.300003,3.362,379,0.982
CFSSBHWISR,116.099998,3.239,379,1
CFSSBHWISR,116.599998,3.328,380,0.98
CFSSBHWISR,116.599998,3.488,380,0.935
CFSSBHWISR,117.699997,3.331,379,0.967
CFSSBHWISR,117.800003,3.346,379,0.961
CFSSBHWISR,116.599998,3.302,379,0.984
CFSSBHWISR,116.400002,3.304,378,0.985
CFSSBHWISR,117.400002,3.359,379,0.96
CFSSBHWISR,116.800003,3.421,379,0.949
CFSSBHWISR,116.599998,3.406,379,0.955
CFSSBHWISR,117.199997,3.358,379,0.964
CFSSBHWISR,116.400002,3.332,379,0.978
CFSSBHWISR,116.199997,3.426,379,0.954
CFSSBHWISR,115.699997,3.605,378,0.906
CFSSBHWISR,115.199997,3.492,378,0.942
CFSSBHWISR,116.099998,3.301,379,0.991
CFSSBHWISR,115.400002,3.366,379,0.978
CFSSBHWISR,115.5,3.382,379,0.971
CFSSBHWISR,116.599998,3.315,379,0.98
CFSSBHWISR,116.800003,3.31,379,0.981
CFSSBHWISR,116.900002,3.305,379,0.981
CFSSBHWISR,116.5,3.31,378,0.981
CFSSBHWISR,115.699997,3.396,379,0.967
CFSSBHWISR,115.699997,3.38,379,0.971
CFSSBHWISR,116.199997,3.235,379,1
CFSSBHWISR,115.900002,3.234,379,1
CFSSBHWISR,120,0.879,104,0.989
CFSSBHWISR,120.099998,0.874,104,0.994
CFSSBHWISR,121.099998,0.866,104,0.993
CFSSBHWISR,120.800003,0.868,104,0.994
