app_id,v_val,i_val,p_val,pf_val
CSBHW,114.300003,5.893,616,0.92
CSBHW,115.300003,5.6,616,0.957
CSBHW,115.699997,5.829,618,0.916
CSBHW,116.199997,5.854,618,0.908
CSBHW,115.699997,5.951,618,0.897
CSBHW,115,5.999,617,0.894
CSBHW,115,6.079,616,0.881
CSBHW,115.099998,6.128,617,0.875
CSBHW,115.300003,5.822,620,0.927
CSBHW,116.599998,5.815,619,0.913
CSBHW,116.300003,5.636,618,0.944
CSBHW,115.300003,5.646,617,0.953
CSBHW,115.900002,5.361,617,0.993
CSBHW,116.599998,5.433,617,0.975
CSBHW,116.800003,5.744,619,0.922
CSBHW,115.199997,6.083,618,0.882
CSBHW,114.900002,6.172,618,0.871
CSBHW,115.900002,5.762,618,0.93
CSBHW,116.599998,5.599,618,0.948
CSBHW,115.599998,5.476,618,0.977
CSBHW,115.099998,5.674,619,0.951
CSBHW,114.800003,5.631,618,0.96
CSBHW,114.800003,5.321,617,1
CSBHW,114.699997,5.311,618,1
CSBHW,115.5,5.42,618,0.989
CSBHW,114.900002,5.3,617,1
CSBHW,114.900002,5.302,616,1
CSBHW,114.900002,5.308,618,1
CSBHW,115.599998,5.34,618,1
CSBHW,115.599998,5.338,618,1
CSBHW,115.699997,5.441,616,0.98
CSBHW,114.400002,5.31,616,1
CSBHW,114.199997,5.317,616,1
CSBHW,115.199997,5.343,616,1
CSBHW,115.400002,5.378,615,0.991
CSBHW,115.400002,5.43,615,0.982
CSBHW,115.900002,5.546,615,0.959
CSBHW,116,5.65,615,0.941
CSBHW,115.5,6.034,615,0.883
CSBHW,114.900002,6.138,615,0.873
CSBHW,114.800003,5.876,617,0.919
CSBHW,115.199997,6.057,618,0.885
CSBHW,115.900002,5.936,617,0.897
CSBHW,117,5.771,617,0.914
CSBHW,117.199997,5.686,618,0.927
CSBHW,116.699997,5.705,617,0.93
CSBHW,117.099998,5.504,617,0.958
CSBHW,117.099998,5.483,617,0.962
CSBHW,116.800003,5.516,618,0.961
CSBHW,116.800003,5.368,617,0.983
CSBHW,117,5.378,616,0.979
CSBHW,117.300003,5.418,619,0.973
CSBHW,117.400002,5.476,618,0.961
CSBHW,117.400002,5.515,617,0.954
CSBHW,117.300003,5.61,619,0.939
CSBHW,117.300003,5.66,619,0.931
CSBHW,116.5,5.609,619,0.948
CSBHW,116.300003,5.824,620,0.915
CSBHW,116.400002,5.854,620,0.909
CSBHW,115.800003,6.002,619,0.89
CSBHW,115.400002,6.026,618,0.889
CSBHW,115.599998,5.736,620,0.938
CSBHW,115.300003,5.518,620,0.977
CSBHW,115.900002,5.628,617,0.949
CSBHW,116.400002,5.818,618,0.912
CSBHW,116.5,5.774,618,0.917
CSBHW,116.400002,5.576,617,0.951
CSBHW,116.400002,5.491,617,0.965
CSBHW,116.800003,5.429,617,0.973
CSBHW,117.199997,5.412,615,0.97
CSBHW,115.900002,5.63,616,0.949
CSBHW,115.5,5.599,616,0.958
CSBHW,115.699997,5.339,615,0.996
CSBHW,114.800003,5.355,615,1
CSBHW,115.5,5.439,615,0.979
CSBHW,116.5,5.708,615,0.925
CSBHW,116.099998,5.988,615,0.884
CSBHW,115.599998,6.115,614,0.869
CSBHW,114.900002,5.865,614,0.915
CSBHW,115.800003,5.852,615,0.908
CSBHW,116.699997,5.713,616,0.924
CSBHW,117.400002,5.554,615,0.943
CSBHW,117.400002,5.45,614,0.959
CSBHW,115.599998,5.618,614,0.948
CSBHW,114.900002,5.585,614,0.962
CSBHW,115.5,5.43,615,0.982
CSBHW,114.900002,5.643,616,0.955
CSBHW,115.199997,5.691,617,0.944
CSBHW,115.900002,5.664,618,0.942
CSBHW,115.900002,5.673,618,0.941
CSBHW,115.300003,5.692,616,0.941
CSBHW,115.199997,5.369,616,0.996
CSBHW,115.099998,5.344,616,1
CSBHW,114.900002,5.361,614,0.997
CSBHW,114.699997,5.361,614,0.999
CSBHW,115.400002,5.546,615,0.963
CSBHW,115.300003,5.434,615,0.982
CSBHW,115.599998,5.485,615,0.971
CSBHW,116.5,5.556,616,0.951
CSBHW,116.800003,5.806,616,0.908
CSBHW,116.599998,5.934,616,0.891
CSBHW,115.300003,5.882,615,0.911
CSBHW,116,5.827,616,0.912
CSBHW,116.800003,5.629,615,0.936
CSBHW,115.900002,5.4,614,0.982
CSBHW,114.800003,5.307,613,1
CSBHW,114.900002,5.397,613,0.989
CSBHW,115.300003,5.674,613,0.94
CSBHW,115.300003,6.001,614,0.888
CSBHW,115.400002,5.947,615,0.896
CSBHW,115.900002,5.605,614,0.946
CSBHW,116.300003,5.476,615,0.966
CSBHW,115.400002,5.432,614,0.981
CSBHW,114.900002,5.689,615,0.943
CSBHW,115.800003,5.905,616,0.901
CSBHW,115.900002,5.977,616,0.889
CSBHW,115.199997,5.983,615,0.893
CSBHW,116,5.771,614,0.917
CSBHW,115.699997,5.685,613,0.935
CSBHW,114.5,5.585,613,0.963
CSBHW,114.599998,5.367,615,0.999
CSBHW,115.699997,5.729,615,0.929
CSBHW,116.099998,5.902,616,0.899
CSBHW,115.900002,5.873,615,0.906
CSBHW,114.199997,6.186,616,0.871
CSBHW,114.300003,6.123,617,0.881
CSBHW,116,5.739,618,0.93
CSBHW,116.599998,5.652,617,0.937
CSBHW,116.800003,5.78,618,0.915
CSBHW,116.400002,5.587,616,0.949
CSBHW,116.400002,5.608,616,0.946
CSBHW,115.800003,5.673,618,0.942
CSBHW,115.599998,5.605,618,0.955
CSBHW,115.5,5.734,618,0.936
CSBHW,115,5.849,616,0.921
CSBHW,115.800003,5.73,616,0.931
CSBHW,116,5.798,617,0.918
CSBHW,115.599998,5.641,617,0.948
CSBHW,115.5,5.61,616,0.955
CSBHW,115.599998,5.346,616,0.998
CSBHW,116.5,5.436,616,0.973
CSBHW,115.699997,5.592,617,0.955
CSBHW,115.300003,6.049,617,0.884
CSBHW,115.099998,6.146,617,0.871
CSBHW,115.699997,5.786,617,0.925
CSBHW,116.199997,5.619,617,0.946
CSBHW,116.099998,5.689,616,0.934
CSBHW,114.800003,5.63,615,0.956
CSBHW,114.800003,5.592,615,0.964
CSBHW,116,5.327,615,0.996
CSBHW,117.099998,5.631,614,0.932
CSBHW,117.199997,5.719,615,0.917
CSBHW,116.599998,5.728,614,0.92
CSBHW,116.099998,5.801,615,0.912
CSBHW,115.300003,5.986,616,0.893
CSBHW,116,5.734,615,0.926
CSBHW,116.099998,5.709,614,0.927
CSBHW,115.699997,5.63,615,0.946
CSBHW,116.099998,5.501,616,0.965
CSBHW,116.800003,5.625,616,0.938
CSBHW,116.5,5.53,614,0.954
CSBHW,115.900002,5.488,613,0.965
CSBHW,115.199997,5.339,614,0.997
CSBHW,114.800003,5.332,614,1
CSBHW,115.199997,5.531,615,0.968
CSBHW,115.099998,5.531,614,0.968
CSBHW,114.900002,5.566,615,0.965
CSBHW,115.199997,5.279,613,1.605
CSBHW,115.800003,5.5,613,0.965
CSBHW,115.199997,5.579,613,0.958
CSBHW,115.199997,5.58,613,0.958
CSBHW,115,5.588,613,0.957
CSBHW,115.400002,5.329,612,0.995
CSBHW,115.199997,5.325,613,0.999
CSBHW,114.900002,5.561,614,0.966
CSBHW,114.199997,5.273,613,1
CSBHW,114.099998,5.288,612,1
CSBHW,115,5.582,611,0.953
CSBHW,115.599998,5.697,611,0.928
CSBHW,116.099998,5.874,611,0.896
CSBHW,115.300003,5.751,611,0.925
CSBHW,113.800003,5.776,613,0.935
CSBHW,114.900002,5.894,612,0.906
CSBHW,116,5.687,612,0.931
CSBHW,114.900002,5.567,611,0.959
CSBHW,113.900002,5.583,612,0.965
CSBHW,114.800003,5.837,614,0.918
CSBHW,115.099998,6.089,614,0.875
CSBHW,114.900002,5.778,612,0.926
CSBHW,114.699997,5.783,612,0.926
CSBHW,114.699997,5.884,611,0.91
CSBHW,114.400002,5.577,611,0.962
CSBHW,114.800003,5.339,612,0.999
CSBHW,115.900002,5.851,613,0.905
CSBHW,116.099998,6.02,613,0.878
CSBHW,115.5,6.117,614,0.869
CSBHW,115,6.181,614,0.864
CSBHW,115.099998,6.045,614,0.883
CSBHW,114.699997,5.899,614,0.912
CSBHW,114.599998,5.9,615,0.913
CSBHW,114.400002,5.916,615,0.913
CSBHW,114.599998,5.916,615,0.911
CSBHW,115,5.916,615,0.907
CSBHW,115.099998,5.88,615,0.911
CSBHW,115.300003,6.054,615,0.881
CSBHW,115.699997,5.988,615,0.887
CSBHW,116.199997,5.65,614,0.936
CSBHW,116.400002,5.558,614,0.949
CSBHW,116,5.445,614,0.971
CSBHW,114.800003,5.516,614,0.972
CSBHW,115,5.482,614,0.976
CSBHW,115.900002,5.378,614,0.984
CSBHW,115.800003,5.431,614,0.976
CSBHW,115,5.836,615,0.919
CSBHW,115,5.986,616,0.895
CSBHW,114.599998,6.073,617,0.886
CSBHW,114.5,5.908,615,0.911
CSBHW,114.599998,5.923,615,0.908
CSBHW,115.199997,5.936,613,0.899
CSBHW,115.900002,5.692,613,0.931
CSBHW,116.599998,5.632,614,0.935
CSBHW,116.099998,5.445,613,0.971
CSBHW,115.699997,5.302,612,0.998
CSBHW,115.699997,5.347,611,0.988
CSBHW,116,5.52,612,0.957
CSBHW,115.099998,5.739,613,0.93
CSBHW,115,5.732,613,0.933
CSBHW,115.599998,5.619,613,0.945
CSBHW,114.800003,5.462,612,0.978
CSBHW,115.800003,5.535,613,0.958
CSBHW,116.699997,5.762,614,0.913
CSBHW,115.400002,5.97,614,0.892
CSBHW,114.900002,5.97,615,0.896
CSBHW,115.5,5.643,614,0.944
CSBHW,115.599998,5.63,613,0.944
CSBHW,115.199997,5.819,613,0.917
CSBHW,115.900002,5.501,613,0.964
CSBHW,116.199997,5.507,614,0.961
CSBHW,116.900002,5.482,615,0.959
CSBHW,116.900002,5.598,615,0.94
CSBHW,115.699997,5.799,616,0.919
CSBHW,115.199997,5.977,616,0.897
CSBHW,115.5,5.784,615,0.923
CSBHW,115.900002,5.551,614,0.956
CSBHW,115.400002,5.648,615,0.948
CSBHW,115.300003,5.743,616,0.933
CSBHW,116.300003,5.633,616,0.942
CSBHW,116.099998,5.533,615,0.959
CSBHW,115.900002,5.857,618,0.912
CSBHW,116.199997,5.82,616,0.912
CSBHW,116,5.604,614,0.946
