"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"111.400002","8.422000","903.000000","0.006206","0.962000","1518079146"
"2",NULL,"110.000000","8.426000","902.000000","0.006206","0.974000","1518079148"
"3",NULL,"109.599998","8.826000","900.000000","0.006200","1.605000","1518079150"
"4",NULL,"109.900002","8.855000","899.000000","0.006206","0.923000","1518079151"
"5",NULL,"111.300003","8.540000","902.000000","0.006206","0.948000","1518079153"
"6",NULL,"112.099998","8.444000","904.000000","0.006206","0.955000","1518079155"
"7",NULL,"112.000000","8.288000","904.000000","0.006206","0.973000","1518079156"
"8",NULL,"111.199997","8.059000","903.000000","0.006206","1.000000","1518079158"
"9",NULL,"110.300003","7.981000","903.000000","0.006206","1.000000","1518079160"
"10",NULL,"110.500000","7.974000","904.000000","0.006206","1.000000","1518079161"
"11",NULL,"111.900002","8.035000","904.000000","0.006206","1.000000","1518079163"
"12",NULL,"112.599998","8.151000","903.000000","0.006206","0.983000","1518079165"
"13",NULL,"112.599998","8.244000","901.000000","0.006206","0.970000","1518079166"
"14",NULL,"110.900002","8.604000","902.000000","0.006206","0.945000","1518079168"
"15",NULL,"110.300003","8.722000","904.000000","0.006206","0.939000","1518079169"
"16",NULL,"111.000000","8.590000","902.000000","0.006206","0.946000","1518079171"
"17",NULL,"110.599998","8.642000","901.000000","0.006206","0.943000","1518079172"
"18",NULL,"110.400002","8.715000","901.000000","0.006206","0.936000","1518079174"
"19",NULL,"110.500000","8.585000","900.000000","0.006206","0.950000","1518079176"
"20",NULL,"110.400002","8.583000","899.000000","0.006206","0.950000","1518079177"
"21",NULL,"109.800003","8.873000","900.000000","0.006206","0.924000","1518079179"
"22",NULL,"109.800003","8.874000","901.000000","0.006209","0.924000","1518079180"
"23",NULL,"111.099998","8.656000","898.000000","0.006209","0.934000","1518079182"
"24",NULL,"111.199997","8.635000","898.000000","0.006209","0.935000","1518079183"
"25",NULL,"111.199997","8.558000","898.000000","0.006209","0.944000","1518079185"
"26",NULL,"111.199997","8.672000","898.000000","0.006209","0.931000","1518079187"
"27",NULL,"111.599998","8.608000","899.000000","0.006209","0.935000","1518079188"
"28",NULL,"112.300003","8.417000","899.000000","0.006209","0.950000","1518079190"
"29",NULL,"112.000000","8.316000","899.000000","0.006209","0.964000","1518079191"
