"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.199997","2.705000","314.000000","0.005716","1.000000","1517903865"
"2",NULL,"115.599998","2.718000","315.000000","0.005716","1.000000","1517903866"
"3",NULL,"116.900002","2.763000","315.000000","0.005716","0.975000","1517903868"
"4",NULL,"117.199997","2.796000","315.000000","0.005716","0.961000","1517903869"
"5",NULL,"117.099998","2.991000","315.000000","0.005716","0.902000","1517903871"
"6",NULL,"117.500000","2.950000","315.000000","0.005716","0.908000","1517903873"
"7",NULL,"117.199997","3.009000","314.000000","0.005716","0.892000","1517903874"
"8",NULL,"116.800003","3.076000","315.000000","0.005719","0.878000","1517903876"
"9",NULL,"116.400002","2.948000","315.000000","0.005719","0.923000","1517903878"
"10",NULL,"116.800003","2.897000","315.000000","0.005719","0.935000","1517903879"
"11",NULL,"116.400002","3.048000","315.000000","0.005719","0.889000","1517903881"
"12",NULL,"116.800003","2.972000","314.000000","0.005719","0.908000","1517903882"
"13",NULL,"117.099998","2.848000","314.000000","0.005719","0.944000","1517903884"
"14",NULL,"117.199997","2.857000","315.000000","0.005719","0.942000","1517903885"
"15",NULL,"116.599998","2.779000","315.000000","0.005719","0.974000","1517903887"
"16",NULL,"116.900002","2.881000","315.000000","0.005719","0.937000","1517903889"
"17",NULL,"117.599998","2.971000","316.000000","0.005719","0.905000","1517903890"
"18",NULL,"116.400002","2.967000","316.000000","0.005719","0.921000","1517903892"
"19",NULL,"116.099998","3.056000","316.000000","0.005719","0.895000","1517903894"
"20",NULL,"115.800003","3.057000","316.000000","0.005719","0.897000","1517903895"
"21",NULL,"116.000000","3.147000","316.000000","0.005719","0.865000","1517903897"
"22",NULL,"116.300003","3.112000","315.000000","0.005719","0.872000","1517903898"
"23",NULL,"116.900002","2.937000","316.000000","0.005719","0.924000","1517903900"
"24",NULL,"117.800003","2.999000","315.000000","0.005719","0.894000","1517903902"
"25",NULL,"117.800003","2.981000","316.000000","0.005719","0.901000","1517903903"
"26",NULL,"117.800003","2.889000","316.000000","0.005719","0.932000","1517903905"
"27",NULL,"118.000000","2.867000","316.000000","0.005719","0.935000","1517903906"
"28",NULL,"117.900002","2.970000","316.000000","0.005719","0.904000","1517903908"
"29",NULL,"117.500000","2.945000","316.000000","0.005719","0.915000","1517903909"
"30",NULL,"117.300003","2.879000","315.000000","0.005719","0.936000","1517903911"
"31",NULL,"116.400002","2.901000","315.000000","0.005719","0.939000","1517903913"
"32",NULL,"116.000000","2.882000","315.000000","0.005719","0.949000","1517903914"
"33",NULL,"115.699997","2.708000","316.000000","0.005719","1.000000","1517903916"
"34",NULL,"115.599998","2.704000","316.000000","0.005719","1.000000","1517903917"
"35",NULL,"115.900002","2.843000","316.000000","0.005719","0.964000","1517903919"
"36",NULL,"115.900002","2.844000","316.000000","0.005719","0.965000","1517903921"
"37",NULL,"116.099998","2.985000","316.000000","0.005719","0.918000","1517903922"
"38",NULL,"116.199997","3.000000","316.000000","0.005719","0.911000","1517903924"
"39",NULL,"116.599998","2.987000","316.000000","0.005719","0.912000","1517903925"
"40",NULL,"116.900002","3.009000","317.000000","0.005719","0.905000","1517903927"
"41",NULL,"116.599998","2.904000","316.000000","0.005719","0.937000","1517903929"
"42",NULL,"117.099998","2.926000","316.000000","0.005719","0.924000","1517903930"
"43",NULL,"118.300003","2.845000","316.000000","0.005719","0.939000","1517903932"
"44",NULL,"118.500000","2.886000","316.000000","0.005719","0.924000","1517903933"
"45",NULL,"117.699997","3.061000","317.000000","0.005719","0.880000","1517903935"
"46",NULL,"116.699997","3.099000","317.000000","0.005719","0.877000","1517903937"
"47",NULL,"116.000000","3.147000","317.000000","0.005719","0.868000","1517903938"
"48",NULL,"116.199997","3.131000","317.000000","0.005719","0.872000","1517903940"
"49",NULL,"116.400002","3.137000","317.000000","0.005719","0.868000","1517903942"
"50",NULL,"116.500000","3.154000","316.000000","0.005719","0.861000","1517903943"
"51",NULL,"117.000000","3.120000","316.000000","0.005719","0.867000","1517903945"
"52",NULL,"117.400002","3.087000","317.000000","0.005719","0.874000","1517903946"
"53",NULL,"117.300003","3.020000","316.000000","0.005719","0.893000","1517903948"
"54",NULL,"117.900002","2.981000","316.000000","0.005719","0.900000","1517903950"
"55",NULL,"117.900002","2.987000","316.000000","0.005719","0.898000","1517903951"
"56",NULL,"117.699997","2.996000","317.000000","0.005719","0.898000","1517903953"
"57",NULL,"116.900002","3.058000","317.000000","0.005719","0.886000","1517903955"
"58",NULL,"116.800003","3.075000","316.000000","0.005719","0.881000","1517903956"
"59",NULL,"117.099998","3.020000","317.000000","0.005719","0.898000","1517903958"
"60",NULL,"116.900002","3.055000","317.000000","0.005719","0.891000","1517903959"
"61",NULL,"117.099998","2.979000","318.000000","0.005719","0.915000","1517903961"
"62",NULL,"116.900002","2.975000","318.000000","0.005719","0.917000","1517903963"
"63",NULL,"116.500000","2.931000","318.000000","0.005719","0.935000","1517903964"
"64",NULL,"115.800003","2.996000","317.000000","0.005719","0.920000","1517903966"
"65",NULL,"115.900002","3.147000","317.000000","0.005719","0.870000","1517903967"
"66",NULL,"116.500000","3.144000","318.000000","0.005719","0.867000","1517903969"
"67",NULL,"116.599998","2.983000","317.000000","0.005719","0.914000","1517903971"
"68",NULL,"116.699997","2.982000","317.000000","0.005719","0.914000","1517903972"
"69",NULL,"117.599998","3.049000","317.000000","0.005719","0.886000","1517903974"
"70",NULL,"118.099998","2.976000","317.000000","0.005719","0.901000","1517903975"
"71",NULL,"116.300003","3.072000","316.000000","0.005719","0.885000","1517903977"
"72",NULL,"116.599998","2.938000","316.000000","0.005719","0.926000","1517903979"
"73",NULL,"116.400002","2.793000","316.000000","0.005719","0.974000","1517903980"
"74",NULL,"116.599998","2.975000","315.000000","0.005719","0.915000","1517903982"
"75",NULL,"116.400002","3.019000","315.000000","0.005719","0.900000","1517903984"
"76",NULL,"116.599998","2.920000","315.000000","0.005719","0.930000","1517903985"
"77",NULL,"117.599998","2.923000","316.000000","0.005719","0.921000","1517903987"
"78",NULL,"118.599998","2.846000","316.000000","0.005722","0.937000","1517903989"
"79",NULL,"119.099998","2.867000","317.000000","0.005722","0.928000","1517903990"
"80",NULL,"118.300003","2.874000","317.000000","0.005722","0.933000","1517903992"
"81",NULL,"117.800003","2.873000","316.000000","0.005722","0.935000","1517903993"
"82",NULL,"117.599998","2.969000","315.000000","0.005722","0.904000","1517903995"
"83",NULL,"117.000000","2.954000","315.000000","0.005722","0.914000","1517903997"
"84",NULL,"117.000000","2.938000","315.000000","0.005722","0.918000","1517903998"
"85",NULL,"117.699997","2.950000","315.000000","0.005722","0.910000","1517904000"
"86",NULL,"117.699997","2.940000","316.000000","0.005722","0.915000","1517904001"
"87",NULL,"117.599998","2.899000","316.000000","0.005722","0.928000","1517904003"
"88",NULL,"117.099998","2.930000","316.000000","0.005722","0.926000","1517904005"
"89",NULL,"117.199997","2.917000","316.000000","0.005722","0.929000","1517904006"
"90",NULL,"117.400002","2.750000","315.000000","0.005722","0.977000","1517904008"
"91",NULL,"116.400002","2.880000","315.000000","0.005722","0.945000","1517904010"
"92",NULL,"116.599998","3.006000","316.000000","0.005722","0.906000","1517904011"
"93",NULL,"116.099998","2.831000","316.000000","0.005722","0.966000","1517904013"
"94",NULL,"115.599998","2.698000","315.000000","0.005722","1.000000","1517904015"
