"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"114.300003","5.864000","622.000000","0.002619","0.930000","1517474508"
"2",NULL,"113.000000","7.164000","777.000000","0.002619","0.958000","1517474510"
"3",NULL,"112.800003","8.332000","932.000000","0.002619","0.996000","1517474511"
"4",NULL,"114.000000","6.979000","776.000000","0.002619","0.977000","1517474513"
"5",NULL,"113.199997","6.302000","621.000000","0.002600","1.605000","1517474519"
"6",NULL,"114.000000","6.273000","622.000000","0.002600","1.605000","1517474539"
"7",NULL,"114.800003","5.826000","623.000000","0.002622","0.934000","1517474540"
"8",NULL,"114.800003","5.997000","622.000000","0.001800","1.605000","1517474551"
"9",NULL,"114.199997","5.560000","620.000000","0.002600","1.605000","1517474559"
"10",NULL,"115.000000","5.716000","621.000000","0.002622","0.946000","1517474560"
"11",NULL,"114.500000","5.931000","619.000000","0.001800","1.605000","1517474598"
"12",NULL,"112.800003","6.168000","619.000000","0.001800","1.605000","1517474600"
"13",NULL,"113.699997","6.141000","619.000000","0.002625","0.887000","1517474601"
"14",NULL,"113.900002","6.201000","619.000000","0.002625","1.605000","1517474603"
"15",NULL,"114.599998","6.048000","619.000000","0.002625","0.893000","1517474605"
"16",NULL,"114.500000","5.712000","619.000000","0.002625","0.947000","1517474607"
"17",NULL,"114.699997","4.235000","454.000000","0.002625","0.951000","1517474608"
"18",NULL,"114.400002","4.158000","454.000000","0.002625","0.968000","1517474610"
"19",NULL,"114.300003","5.504000","618.000000","0.002625","0.984000","1517474611"
"20",NULL,"114.900002","5.527000","617.000000","0.002625","0.972000","1517474613"
"21",NULL,"115.199997","5.598000","617.000000","0.002625","0.957000","1517474614"
"22",NULL,"115.199997","5.679000","617.000000","0.002625","0.943000","1517474616"
"23",NULL,"115.099998","5.846000","618.000000","0.002625","0.918000","1517474618"
"24",NULL,"114.800003","5.943000","618.000000","0.002625","0.906000","1517474619"
"25",NULL,"113.400002","6.119000","617.000000","0.002625","0.889000","1517474621"
"26",NULL,"112.900002","5.988000","618.000000","0.002625","0.916000","1517474623"
"27",NULL,"113.500000","5.736000","616.000000","0.002625","0.950000","1517474624"
"28",NULL,"114.300003","5.726000","614.000000","0.002625","0.942000","1517474626"
"29",NULL,"113.400002","5.922000","616.000000","0.002625","0.921000","1517474627"
"30",NULL,"113.699997","5.851000","616.000000","0.002625","0.929000","1517474629"
"31",NULL,"113.900002","6.072000","617.000000","0.002625","0.893000","1517474631"
"32",NULL,"114.599998","5.857000","618.000000","0.002625","0.921000","1517474632"
"33",NULL,"114.699997","5.792000","618.000000","0.002625","0.931000","1517474634"
"34",NULL,"114.199997","5.548000","619.000000","0.002625","0.977000","1517474636"
"35",NULL,"113.400002","5.508000","619.000000","0.002625","1.605000","1517474639"
"36",NULL,"113.300003","5.461000","618.000000","0.002625","0.999000","1517474640"
"37",NULL,"113.400002","5.444000","618.000000","0.002625","1.000000","1517474642"
"38",NULL,"113.500000","5.886000","619.000000","0.002625","0.930000","1517474644"
"39",NULL,"112.699997","5.700000","619.000000","0.002625","0.968000","1517474645"
"40",NULL,"112.599998","5.400000","619.000000","0.002625","1.000000","1517474647"
"41",NULL,"113.000000","5.593000","619.000000","0.002628","0.981000","1517474648"
"42",NULL,"113.099998","5.597000","620.000000","0.002628","0.982000","1517474650"
"43",NULL,"113.400002","5.426000","618.000000","0.001800","1.605000","1517474654"
"44",NULL,"113.699997","5.589000","620.000000","0.002628","0.976000","1517474655"
"45",NULL,"113.599998","5.605000","621.000000","0.002628","0.976000","1517474657"
"46",NULL,"113.500000","5.466000","621.000000","0.002628","1.000000","1517474659"
"47",NULL,"113.900002","5.662000","620.000000","0.002628","0.965000","1517474660"
"48",NULL,"114.099998","5.670000","620.000000","0.002628","0.961000","1517474662"
"49",NULL,"113.800003","5.782000","620.000000","0.002628","0.945000","1517474664"
"50",NULL,"113.699997","5.778000","621.000000","0.002628","0.947000","1517474665"
"51",NULL,"114.300003","5.611000","621.000000","0.002628","0.968000","1517474667"
"52",NULL,"113.699997","5.466000","621.000000","0.002628","1.000000","1517474668"
"53",NULL,"113.400002","5.734000","622.000000","0.002628","0.960000","1517474670"
"54",NULL,"113.199997","5.992000","622.000000","0.002628","0.921000","1517474671"
"55",NULL,"113.500000","5.687000","621.000000","0.002628","0.968000","1517474673"
"56",NULL,"115.199997","5.814000","622.000000","0.001800","1.605000","1517474676"
"57",NULL,"114.900002","5.935000","623.000000","0.002628","0.916000","1517474677"
"58",NULL,"114.900002","5.820000","623.000000","0.002628","0.934000","1517474679"
"59",NULL,"114.699997","5.614000","624.000000","0.002628","0.968000","1517474680"
"60",NULL,"114.900002","5.669000","624.000000","0.002628","0.958000","1517474682"
"61",NULL,"115.500000","5.871000","623.000000","0.002628","0.919000","1517474684"
"62",NULL,"114.500000","5.763000","624.000000","0.002628","0.947000","1517474685"
"63",NULL,"114.199997","5.811000","623.000000","0.002628","0.941000","1517474687"
"64",NULL,"113.800003","5.852000","623.000000","0.002628","0.939000","1517474689"
"65",NULL,"113.699997","5.640000","624.000000","0.002628","0.976000","1517474690"
"66",NULL,"113.300003","5.698000","623.000000","0.002628","0.970000","1517474692"
"67",NULL,"113.500000","6.311000","623.000000","0.002628","0.870000","1517474694"
"68",NULL,"114.099998","6.183000","622.000000","0.002628","0.882000","1517474695"
"69",NULL,"114.699997","6.061000","623.000000","0.002628","0.896000","1517474697"
"70",NULL,"115.400002","5.778000","623.000000","0.002628","0.935000","1517474699"
