"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"119.099998","0.458000","53.000000","0.002328","0.977000","1517287612"
"2",NULL,"118.800003","0.463000","53.000000","0.002328","0.969000","1517287613"
"3",NULL,"118.699997","0.463000","53.000000","0.002328","0.970000","1517287615"
"4",NULL,"118.900002","0.463000","53.000000","0.002328","0.967000","1517287617"
"5",NULL,"118.400002","0.462000","53.000000","0.002328","0.974000","1517287618"
"6",NULL,"119.099998","0.462000","53.000000","0.002328","0.971000","1517287620"
"7",NULL,"118.900002","0.462000","53.000000","0.002328","0.971000","1517287621"
"8",NULL,"118.500000","0.464000","53.000000","0.002328","0.976000","1517287623"
"9",NULL,"118.699997","0.464000","53.000000","0.002328","0.976000","1517287625"
"10",NULL,"119.300003","0.460000","53.000000","0.002328","0.981000","1517287626"
"11",NULL,"118.900002","0.471000","54.000000","0.002328","0.977000","1517287628"
"12",NULL,"118.500000","0.472000","54.000000","0.002328","0.969000","1517287629"
"13",NULL,"117.199997","0.468000","53.000000","0.002328","0.974000","1517287631"
"14",NULL,"117.099998","0.471000","53.000000","0.002328","0.972000","1517287633"
"15",NULL,"117.400002","0.470000","53.000000","0.002328","0.973000","1517287635"
"16",NULL,"117.900002","0.478000","55.000000","0.002328","0.988000","1517287636"
"17",NULL,"117.400002","0.479000","55.000000","0.002328","0.986000","1517287638"
"18",NULL,"117.599998","0.465000","53.000000","0.002328","0.970000","1517287639"
"19",NULL,"117.599998","0.469000","54.000000","0.002328","0.978000","1517287641"
"20",NULL,"118.599998","0.467000","54.000000","0.002328","0.984000","1517287642"
"21",NULL,"118.699997","0.467000","54.000000","0.002328","0.977000","1517287644"
"22",NULL,"117.699997","0.468000","53.000000","0.002328","0.975000","1517287646"
"23",NULL,"117.900002","0.475000","54.000000","0.002328","0.978000","1517287647"
"24",NULL,"117.599998","0.481000","54.000000","0.002328","0.972000","1517287649"
"25",NULL,"117.699997","0.470000","53.000000","0.002328","0.956000","1517287650"
"26",NULL,"117.599998","0.473000","53.000000","0.002328","0.969000","1517287652"
"27",NULL,"116.800003","0.478000","53.000000","0.002328","0.966000","1517287653"
"28",NULL,"116.500000","0.476000","53.000000","0.002328","0.963000","1517287655"
"29",NULL,"116.900002","0.473000","53.000000","0.002328","0.975000","1517287657"
"30",NULL,"118.000000","0.469000","54.000000","0.002328","0.977000","1517287658"
"31",NULL,"118.300003","0.472000","53.000000","0.002328","0.964000","1517287660"
"32",NULL,"118.000000","0.467000","53.000000","0.002328","0.971000","1517287661"
"33",NULL,"117.699997","0.468000","53.000000","0.002328","0.970000","1517287663"
"34",NULL,"117.800003","0.465000","53.000000","0.002328","0.975000","1517287665"
"35",NULL,"117.599998","0.462000","53.000000","0.002328","0.978000","1517287667"
"36",NULL,"117.400002","0.468000","53.000000","0.002328","0.970000","1517287668"
"37",NULL,"118.800003","0.457000","52.000000","0.002328","0.972000","1517287670"
"38",NULL,"118.900002","0.456000","52.000000","0.002328","0.967000","1517287671"
"39",NULL,"118.800003","0.479000","53.000000","0.002328","0.946000","1517287673"
"40",NULL,"118.099998","0.486000","54.000000","0.002328","0.947000","1517287674"
"41",NULL,"117.400002","0.474000","54.000000","0.002328","0.969000","1517287676"
"42",NULL,"117.000000","0.477000","54.000000","0.002328","0.966000","1517287678"
"43",NULL,"116.900002","0.476000","53.000000","0.002328","0.969000","1517287679"
"44",NULL,"117.599998","0.482000","55.000000","0.002328","0.981000","1517287681"
"45",NULL,"119.000000","0.468000","54.000000","0.002328","0.977000","1517287683"
"46",NULL,"119.099998","0.463000","53.000000","0.002328","0.971000","1517287684"
"47",NULL,"117.800003","0.460000","52.000000","0.002328","0.976000","1517287686"
"48",NULL,"117.000000","0.466000","53.000000","0.002328","0.973000","1517287688"
"49",NULL,"117.199997","0.473000","53.000000","0.002328","0.972000","1517287689"
"50",NULL,"117.500000","0.475000","53.000000","0.002328","0.966000","1517287691"
"51",NULL,"117.900002","0.471000","54.000000","0.002328","0.972000","1517287693"
"52",NULL,"118.000000","0.475000","54.000000","0.002328","0.965000","1517287694"
"53",NULL,"118.599998","0.463000","53.000000","0.002328","0.976000","1517287696"
"54",NULL,"118.500000","0.463000","53.000000","0.002328","0.977000","1517287698"
"55",NULL,"118.900002","0.463000","53.000000","0.002328","0.976000","1517287699"
"56",NULL,"118.099998","0.467000","53.000000","0.002328","0.969000","1517287701"
"57",NULL,"117.900002","0.468000","53.000000","0.002328","0.968000","1517287702"
"58",NULL,"117.500000","0.472000","53.000000","0.002328","0.964000","1517287704"
"59",NULL,"117.099998","0.473000","53.000000","0.002328","0.965000","1517287706"
"60",NULL,"117.000000","0.469000","53.000000","0.002328","0.971000","1517287707"
"61",NULL,"116.900002","0.480000","53.000000","0.002328","0.952000","1517287709"
"62",NULL,"117.000000","0.489000","54.000000","0.002328","0.955000","1517287710"
"63",NULL,"116.099998","0.480000","54.000000","0.002328","0.971000","1517287712"
"64",NULL,"116.599998","0.467000","53.000000","0.002328","0.976000","1517287713"
"65",NULL,"117.699997","0.463000","53.000000","0.002328","0.980000","1517287715"
