app_id,v_val,i_val,p_val,pf_val
NB,117.699997,0.397,24,0.519
NB,118.5,0.397,24,0.521
NB,118,0.394,23,0.499
NB,118,0.41,25,0.52
NB,117.599998,0.398,25,0.543
NB,117.800003,0.381,24,0.547
NB,117.400002,0.383,23,0.53
NB,117,0.391,23,0.523
NB,117.300003,0.386,24,0.535
NB,117.699997,0.38,23,0.535
NB,117.699997,0.365,23,0.54
NB,117.800003,0.376,23,0.534
NB,117.599998,0.396,24,0.521
NB,117.599998,0.366,23,0.545
NB,118.099998,0.371,23,0.541
NB,117.699997,0.384,23,0.516
NB,117.300003,0.394,22,0.493
NB,116.800003,0.397,23,0.5
NB,116.599998,0.401,23,0.499
NB,117.099998,0.401,24,0.515
NB,117.699997,0.398,25,0.541
NB,118,0.375,24,0.558
NB,118.199997,0.361,22,0.527
NB,116.599998,0.379,22,0.514
NB,116.5,0.385,23,0.532
NB,117.400002,0.384,23,0.522
NB,118.300003,0.393,22,0.478
NB,117.300003,0.384,22,0.497
NB,117,0.347,21,0.53
NB,118.099998,0.341,21,0.528
NB,117.5,0.344,21,0.535
NB,117.900002,0.363,22,0.53
NB,118.599998,0.361,23,0.537
NB,117.699997,0.357,23,0.558
NB,117,0.368,23,0.548
NB,118.099998,0.377,23,0.526
NB,117,0.375,22,0.516
NB,117.699997,0.377,23,0.519
NB,118.099998,0.36,22,0.522
NB,117.199997,0.354,21,0.508
NB,117.900002,0.364,21,0.503
NB,118.900002,0.365,22,0.52
NB,118.199997,0.397,23,0.513
NB,116.800003,0.406,22,0.472
NB,116.599998,0.391,22,0.493
NB,117,0.386,24,0.538
NB,117.300003,0.372,23,0.543
NB,117.300003,0.426,24,0.5
NB,117.800003,0.416,25,0.537
NB,118.699997,0.361,24,0.564
NB,117.599998,0.379,23,0.523
NB,117.199997,0.411,27,0.567
NB,117.699997,0.462,31,0.583
NB,117.5,0.553,36,0.567
NB,117.599998,0.442,28,0.545
NB,117,0.371,22,0.523
NB,117.800003,0.358,23,0.56
NB,118.400002,0.426,28,0.578
NB,117.900002,0.418,26,0.546
NB,117,0.375,22,0.514
NB,116.5,0.452,29,0.543
NB,117.099998,0.454,31,0.595
NB,117.900002,0.441,28,0.548
NB,118.5,0.435,27,0.52
NB,118.599998,0.359,22,0.517
NB,118.300003,0.362,22,0.518
NB,117.199997,0.383,21,0.488
NB,116.599998,0.389,21,0.482
NB,117.199997,0.359,22,0.545
NB,117.099998,0.355,21,0.526
NB,116.900002,0.413,25,0.529
NB,117.199997,0.439,28,0.542
NB,117.5,0.385,23,0.519
NB,118.400002,0.359,22,0.523
NB,119.099998,0.372,25,0.566
NB,118.900002,0.379,25,0.566
NB,119,0.345,21,0.512
NB,118.400002,0.358,21,0.499
NB,118.199997,0.422,26,0.528
NB,118,0.445,30,0.575
NB,117.800003,0.421,27,0.542
NB,117.400002,0.432,26,0.521
NB,116.699997,0.402,27,0.578
NB,116.199997,0.46,32,0.611
NB,117,0.501,34,0.595
NB,116.699997,0.544,36,0.574
NB,116.5,0.534,37,0.601
NB,116.699997,0.411,27,0.571
NB,116.900002,0.361,22,0.54
NB,116.5,0.358,22,0.533
NB,116.900002,0.358,21,0.52
NB,117.199997,0.355,21,0.519
NB,117.199997,0.343,20,0.514
NB,117.199997,0.339,20,0.519
NB,116.900002,0.34,20,0.516
NB,116.099998,0.346,20,0.521
NB,116.800003,0.357,21,0.516
NB,116.800003,0.43,22,0.471
NB,117.300003,0.431,22,0.469
NB,117.400002,0.361,22,0.53
NB,116.800003,0.363,22,0.529
NB,117.300003,0.357,22,0.525
NB,117.599998,0.363,22,0.523
NB,117.599998,0.351,22,0.535
NB,117.400002,0.349,22,0.536
NB,117.699997,0.368,24,0.552
NB,118,0.377,24,0.546
NB,117.099998,0.365,22,0.532
NB,116.900002,0.363,23,0.556
NB,116.900002,0.369,23,0.538
NB,117.800003,0.359,22,0.526
NB,118.400002,0.351,22,0.538
NB,118.099998,0.343,21,0.539
NB,117.800003,0.356,22,0.524
NB,117.800003,0.356,21,0.507
NB,118.400002,0.355,21,0.51
NB,119.199997,0.35,22,0.532
NB,118.900002,0.371,23,0.536
NB,119.099998,0.36,22,0.533
NB,118.900002,0.361,22,0.517
NB,117.5,0.36,21,0.5
NB,117.900002,0.346,20,0.502
NB,117.800003,0.35,21,0.511
NB,117.699997,0.364,22,0.517
NB,117.199997,0.367,22,0.518
NB,116.599998,0.367,22,0.52
NB,116.699997,0.352,21,0.532
NB,116.5,0.349,22,0.545
NB,116.800003,0.334,21,0.546
NB,116.699997,0.325,20,0.53
NB,117.400002,0.336,21,0.533
NB,117.900002,0.505,33,0.56
NB,117.800003,0.577,39,0.575
NB,116.599998,0.556,36,0.566
NB,117,0.527,35,0.576
NB,117.599998,0.552,39,0.605
NB,118.199997,0.621,36,0.494
NB,118.099998,0.613,35,0.488
NB,118,0.447,29,0.539
NB,118,0.353,21,0.519
NB,117.900002,0.349,20,0.506
NB,118.099998,0.343,20,0.5
NB,118,0.333,19,0.508
NB,118.099998,0.33,20,0.517
NB,118.400002,0.335,19,0.5
NB,118.099998,0.335,19,0.5
NB,117.800003,0.329,20,0.517
NB,118,0.329,20,0.517
NB,118.300003,0.327,20,0.522
NB,117.699997,0.334,20,0.517
NB,117.199997,0.337,20,0.507
NB,118.300003,0.327,20,0.53
NB,118.599998,0.327,20,0.519
NB,118.5,0.331,19,0.504
NB,118.900002,0.328,19,0.512
NB,118.900002,0.324,19,0.516
NB,118.699997,0.326,20,0.518
NB,118.599998,0.327,20,0.52
NB,118.699997,0.326,20,0.524
NB,118.699997,0.324,20,0.525
NB,118,0.33,20,0.512
NB,117.900002,0.331,19,0.509
NB,117.199997,0.333,19,0.511
NB,117.400002,0.338,19,0.503
NB,117,0.346,20,0.495
NB,117,0.345,20,0.495
NB,117,0.34,19,0.493
NB,117.800003,0.327,19,0.506
NB,119.099998,0.321,19,0.513
NB,118.099998,0.342,19,0.491
NB,117.099998,0.341,19,0.496
NB,116.900002,0.341,20,0.505
NB,117.800003,0.335,20,0.507
NB,118.300003,0.331,19,0.509
NB,118,0.33,20,0.516
NB,118,0.329,19,0.508
NB,117.599998,0.336,19,0.499
NB,117,0.336,20,0.518
NB,117.199997,0.33,20,0.527
NB,118,0.323,19,0.518
NB,118.199997,0.323,19,0.514
NB,117.900002,0.314,19,0.517
NB,117.699997,0.313,18,0.511
NB,117.400002,0.325,19,0.501
NB,117.099998,0.332,19,0.498
NB,116.900002,0.333,19,0.499
NB,117.800003,0.327,19,0.506
NB,117.599998,0.32,19,0.517
NB,118,0.32,19,0.514
NB,117.800003,0.322,19,0.514
NB,117.900002,0.319,19,0.517
NB,118.199997,0.327,19,0.512
NB,117.699997,0.335,20,0.509
NB,117.5,0.328,19,0.509
NB,117.699997,0.333,19,0.493
NB,117.900002,0.341,19,0.479
NB,117.699997,0.332,19,0.498
NB,116.800003,0.326,19,0.516
NB,116.699997,0.323,19,0.511
NB,116.300003,0.334,19,0.507
NB,116.300003,0.331,19,0.512
NB,117.300003,0.322,19,0.515
NB,117.599998,0.326,19,0.506
NB,117.800003,0.364,20,0.477
NB,117.900002,0.36,20,0.482
NB,118.599998,0.326,19,0.5
NB,118.599998,0.322,19,0.5
NB,118,0.321,19,0.506
NB,118.400002,0.32,20,0.538
NB,117.900002,0.317,20,0.535
NB,117.699997,0.331,21,0.536
NB,117.699997,0.33,21,0.548
NB,116.800003,0.323,19,0.519
NB,117.699997,0.322,19,0.523
NB,118.400002,0.32,19,0.516
NB,118.5,0.322,19,0.503
NB,118.800003,0.323,19,0.499
NB,118.599998,0.321,19,0.508
NB,118.099998,0.32,19,0.514
NB,117.800003,0.327,19,0.494
NB,117.300003,0.325,19,0.507
NB,117.800003,0.316,19,0.513
NB,118.599998,0.311,18,0.508
NB,118.900002,0.315,19,0.51
NB,117.900002,0.326,19,0.499
NB,118.300003,0.319,20,0.535
NB,118.699997,0.316,20,0.536
NB,118.5,0.31,18,0.511
NB,117.900002,0.32,18,0.499
NB,117.699997,0.322,18,0.5
NB,118.300003,0.316,19,0.509
NB,118.800003,0.316,19,0.508
NB,118.199997,0.317,19,0.507
NB,117.5,0.319,19,0.508
NB,117.900002,0.318,18,0.498
NB,117.400002,0.314,19,0.523
NB,116.900002,0.319,20,0.537
NB,117.199997,0.315,19,0.526
NB,117.900002,0.308,18,0.519
NB,118.599998,0.311,18,0.51
NB,118.599998,0.317,19,0.504
NB,118.699997,0.317,19,0.515
NB,118.199997,0.32,19,0.514
NB,117.199997,0.321,19,0.507
NB,116.900002,0.323,18,0.496
NB,116.599998,0.322,18,0.497
NB,116.699997,0.322,18,0.502
NB,116.900002,0.322,18,0.502
NB,117.900002,0.316,19,0.511
NB,117.699997,0.319,19,0.511
NB,118.099998,0.319,19,0.508
NB,118.199997,0.306,18,0.51
NB,117.900002,0.299,18,0.512
NB,117.599998,0.312,18,0.5
NB,117.300003,0.322,18,0.496
NB,116.900002,0.327,18,0.491
NB,117.599998,0.323,18,0.494
NB,118.199997,0.332,19,0.485
NB,118.599998,0.336,21,0.547
NB,117.699997,0.327,21,0.555
NB,117.199997,0.326,18,0.494
NB,117.599998,0.328,18,0.491
NB,118,0.321,18,0.492
NB,117.300003,0.315,18,0.498
NB,116.900002,0.332,18,0.489
NB,117.199997,0.332,19,0.494
NB,117.5,0.323,19,0.509
NB,118.300003,0.321,19,0.51
NB,117.900002,0.311,18,0.516
NB,117.599998,0.312,18,0.514
NB,117.800003,0.317,19,0.51
NB,117.199997,0.314,18,0.514
NB,117.099998,0.313,19,0.517
NB,116.900002,0.314,19,0.521
NB,117.300003,0.314,19,0.518
NB,118.400002,0.308,18,0.519
NB,118.5,0.312,19,0.513
NB,118.400002,0.314,19,0.511
NB,117.5,0.31,18,0.519
NB,117.199997,0.308,19,0.526
NB,117.800003,0.306,18,0.519
NB,117.800003,0.311,19,0.527
NB,117,0.321,19,0.525
NB,117.099998,0.319,18,0.508
NB,118,0.318,19,0.51
NB,117.699997,0.319,19,0.519
NB,117.5,0.32,19,0.514
NB,118.5,0.315,19,0.521
NB,119.099998,0.317,19,0.513
NB,118.400002,0.318,19,0.507
NB,117.5,0.322,19,0.505
NB,117.699997,0.326,18,0.494
NB,118.300003,0.317,18,0.502
NB,118.300003,0.299,18,0.513
NB,117.300003,0.288,16,0.498
NB,116.400002,0.293,16,0.492
NB,117.699997,0.292,16,0.49
NB,117.900002,0.293,16,0.487
NB,117.800003,0.289,16,0.491
NB,117.699997,0.294,17,0.492
NB,117.099998,0.295,17,0.495
NB,117.900002,0.287,17,0.503
NB,117.900002,0.293,16,0.488
NB,116.900002,0.297,16,0.486
NB,116.400002,0.306,17,0.492
NB,117.099998,0.303,16,0.478
NB,117.400002,0.289,16,0.489
NB,117.099998,0.289,16,0.5
NB,117.199997,0.292,16,0.486
NB,116.800003,0.295,16,0.481
NB,116.599998,0.291,16,0.488
NB,116.699997,0.29,16,0.492
NB,116.900002,0.285,16,0.5
NB,118.300003,0.286,16,0.496
NB,118.800003,0.285,16,0.493
NB,118.300003,0.281,16,0.495
NB,118,0.281,16,0.497
NB,117.5,0.283,16,0.503
NB,117.699997,0.287,16,0.494
NB,117.599998,0.29,16,0.489
NB,116.699997,0.295,16,0.487
NB,117.699997,0.3,17,0.503
NB,117.699997,0.304,18,0.509
NB,117.400002,0.314,18,0.498
NB,117.099998,0.309,18,0.498
NB,117.599998,0.303,18,0.51
NB,117.300003,0.31,18,0.502
NB,116.300003,0.317,18,0.494
NB,116.800003,0.335,18,0.478
NB,117.400002,0.336,18,0.479
NB,117.5,0.328,19,0.494
NB,117.800003,0.319,19,0.51
NB,117.5,0.307,18,0.516
NB,117.300003,0.306,18,0.509
NB,117.400002,0.306,18,0.511
NB,117.099998,0.312,18,0.506
NB,116.900002,0.316,18,0.498
NB,117.099998,0.306,18,0.503
NB,117.699997,0.314,18,0.501
NB,117.199997,0.32,18,0.493
NB,116.099998,0.325,18,0.48
NB,117.099998,0.324,18,0.492
NB,117,0.327,18,0.489
NB,116.5,0.324,18,0.488
NB,116.400002,0.315,18,0.502
NB,117.300003,0.308,18,0.509
NB,117.900002,0.308,18,0.506
NB,118.699997,0.308,18,0.501
NB,119.199997,0.308,18,0.503
NB,118.699997,0.308,18,0.504
NB,117.099998,0.321,18,0.496
NB,117.400002,0.321,18,0.498
NB,117.800003,0.309,18,0.507
NB,118.300003,0.306,18,0.507
NB,118.699997,0.308,18,0.5
NB,117.400002,0.32,17,0.475
NB,117.099998,0.308,17,0.483
NB,117.900002,0.297,17,0.49
NB,118.800003,0.293,17,0.503
NB,118.5,0.295,17,0.504
NB,117.599998,0.291,17,0.497
NB,116,0.285,16,0.497
NB,117,0.28,16,0.494
NB,118.400002,0.289,16,0.488
NB,118.300003,0.279,16,0.499
NB,118.300003,0.277,16,0.506
NB,118.599998,0.276,16,0.501
NB,118.800003,0.276,16,0.497
NB,118.400002,0.275,16,0.5
NB,118.300003,0.276,16,0.5
NB,117.699997,0.278,16,0.498
NB,117.099998,0.291,16,0.479
NB,117.699997,0.296,16,0.482
NB,118.300003,0.287,16,0.496
NB,118.5,0.282,16,0.494
NB,117.699997,0.293,17,0.511
NB,116.900002,0.298,17,0.502
NB,117.5,0.284,16,0.491
NB,118.199997,0.281,16,0.491
NB,118,0.278,16,0.498
NB,117.800003,0.276,16,0.501
NB,117.599998,0.277,16,0.499
NB,116.400002,0.292,16,0.48
NB,116.599998,0.296,16,0.471
NB,117.699997,0.285,16,0.485
NB,117.599998,0.279,16,0.495
NB,118.099998,0.274,16,0.505
NB,117.300003,0.282,16,0.497
NB,116.699997,0.287,16,0.483
NB,116.599998,0.283,16,0.485
NB,116.900002,0.277,16,0.495
NB,117.199997,0.274,16,0.506
NB,117.599998,0.285,16,0.495
NB,118.199997,0.279,16,0.497
NB,117.800003,0.277,16,0.501
NB,117.099998,0.299,16,0.481
NB,116.699997,0.281,16,0.496
NB,116.800003,0.28,16,0.495
NB,117,0.285,16,0.489
NB,116.699997,0.284,16,0.49
NB,116.400002,0.285,16,0.49
NB,117.199997,0.283,16,0.489
NB,117.599998,0.282,16,0.491
NB,117.5,0.284,16,0.488
NB,118.099998,0.277,16,0.497
NB,118.199997,0.276,16,0.499
NB,118.199997,0.277,16,0.498
NB,118.099998,0.278,16,0.496
NB,118.199997,0.276,16,0.5
NB,117.400002,0.24,13,0.484
NB,116.699997,0.224,12,0.471
NB,116.900002,0.219,12,0.474
NB,116.599998,0.228,12,0.456
NB,116.900002,0.227,12,0.454
NB,118,0.215,11,0.469
NB,118.199997,0.212,12,0.485
NB,118.199997,0.212,12,0.487
NB,117.900002,0.214,12,0.491
NB,117.800003,0.213,12,0.491
NB,117.5,0.217,12,0.497
NB,116.300003,0.233,12,0.479
NB,116.300003,0.233,12,0.464
NB,116.699997,0.224,12,0.462
NB,117,0.221,12,0.468
NB,117.400002,0.217,12,0.479
NB,117.400002,0.217,12,0.48
NB,117.199997,0.215,12,0.483
NB,117.400002,0.213,12,0.485
NB,118.099998,0.229,12,0.461
NB,118.300003,0.227,12,0.469
NB,118.400002,0.233,13,0.472
NB,117,0.301,17,0.494
NB,116.199997,0.309,17,0.482
NB,116,0.256,14,0.479
NB,115.699997,0.26,14,0.49
NB,117.099998,0.25,14,0.494
NB,117.199997,0.259,14,0.483
NB,116.599998,0.256,14,0.486
NB,116.400002,0.242,13,0.485
NB,116.300003,0.241,13,0.479
NB,116.400002,0.219,12,0.487
NB,117,0.214,12,0.486
NB,116.900002,0.22,12,0.486
NB,116.800003,0.292,17,0.494
NB,117.599998,0.301,16,0.464
NB,117.800003,0.217,12,0.474
NB,116.699997,0.215,12,0.483
NB,116.900002,0.215,12,0.485
