"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.199997","1.098000","125.000000","0.002662","0.971000","1517475359"
"2",NULL,"117.800003","1.097000","125.000000","0.002662","0.967000","1517475361"
"3",NULL,"118.300003","1.081000","124.000000","0.002662","0.975000","1517475363"
"4",NULL,"118.199997","1.082000","124.000000","0.002662","0.972000","1517475365"
"5",NULL,"117.900002","1.098000","124.000000","0.002662","0.963000","1517475366"
"6",NULL,"118.699997","1.094000","124.000000","0.002662","0.960000","1517475368"
"7",NULL,"119.199997","1.088000","125.000000","0.002662","0.963000","1517475370"
"8",NULL,"117.599998","1.092000","125.000000","0.002662","0.973000","1517475372"
"9",NULL,"117.800003","1.090000","124.000000","0.002662","0.971000","1517475373"
"10",NULL,"118.500000","1.087000","124.000000","0.002662","0.967000","1517475375"
"11",NULL,"118.900002","1.080000","124.000000","0.002662","0.972000","1517475377"
"12",NULL,"117.900002","1.087000","125.000000","0.002662","0.976000","1517475379"
"13",NULL,"117.900002","1.085000","125.000000","0.002662","0.976000","1517475380"
"14",NULL,"117.699997","1.090000","124.000000","0.002662","0.972000","1517475382"
"15",NULL,"117.699997","1.092000","124.000000","0.002662","0.971000","1517475384"
"16",NULL,"118.800003","1.089000","124.000000","0.002662","0.964000","1517475386"
"17",NULL,"119.000000","1.084000","124.000000","0.002662","0.967000","1517475387"
"18",NULL,"119.000000","1.079000","124.000000","0.002662","0.972000","1517475389"
"19",NULL,"118.000000","1.087000","125.000000","0.002662","0.974000","1517475391"
"20",NULL,"117.400002","1.095000","124.000000","0.002662","0.970000","1517475392"
"21",NULL,"118.000000","1.099000","124.000000","0.002662","0.960000","1517475394"
"22",NULL,"119.099998","1.085000","124.000000","0.002662","0.966000","1517475396"
"23",NULL,"117.699997","1.082000","124.000000","0.002662","0.980000","1517475397"
"24",NULL,"116.900002","1.088000","124.000000","0.002662","0.981000","1517475399"
"25",NULL,"118.000000","1.092000","124.000000","0.002662","0.968000","1517475401"
"26",NULL,"117.400002","1.087000","124.000000","0.002662","0.979000","1517475402"
"27",NULL,"117.400002","1.082000","125.000000","0.002662","0.985000","1517475404"
"28",NULL,"117.800003","1.092000","125.000000","0.002662","0.972000","1517475405"
"29",NULL,"118.099998","1.099000","125.000000","0.002662","0.963000","1517475407"
"30",NULL,"119.199997","1.090000","125.000000","0.002662","0.961000","1517475409"
"31",NULL,"118.099998","1.085000","125.000000","0.002662","0.975000","1517475410"
"32",NULL,"117.199997","1.087000","125.000000","0.002662","0.980000","1517475412"
"33",NULL,"117.800003","1.089000","124.000000","0.002662","0.972000","1517475414"
"34",NULL,"118.500000","1.091000","124.000000","0.002662","0.966000","1517475415"
"35",NULL,"119.099998","1.084000","125.000000","0.002662","0.967000","1517475417"
"36",NULL,"118.099998","1.082000","124.000000","0.002662","0.976000","1517475418"
"37",NULL,"117.500000","1.083000","124.000000","0.002662","0.979000","1517475420"
"38",NULL,"117.099998","1.093000","125.000000","0.002662","0.976000","1517475421"
"39",NULL,"117.300003","1.097000","125.000000","0.002662","0.970000","1517475423"
"40",NULL,"118.199997","1.096000","125.000000","0.002666","0.965000","1517475424"
"41",NULL,"118.199997","1.089000","125.000000","0.002666","0.973000","1517475426"
"42",NULL,"117.699997","1.087000","125.000000","0.002666","0.978000","1517475428"
"43",NULL,"117.599998","1.092000","125.000000","0.002666","0.975000","1517475429"
"44",NULL,"118.400002","1.094000","125.000000","0.002666","0.968000","1517475431"
"45",NULL,"119.000000","1.093000","125.000000","0.002666","0.961000","1517475432"
"46",NULL,"118.900002","1.086000","125.000000","0.002666","0.969000","1517475434"
"47",NULL,"117.500000","1.089000","125.000000","0.002666","0.978000","1517475435"
"48",NULL,"117.099998","1.096000","125.000000","0.002666","0.975000","1517475437"
"49",NULL,"118.199997","1.098000","125.000000","0.002666","0.963000","1517475438"
"50",NULL,"118.800003","1.095000","125.000000","0.002666","0.960000","1517475440"
"51",NULL,"118.800003","1.082000","125.000000","0.002666","0.975000","1517475441"
"52",NULL,"118.699997","1.078000","125.000000","0.002666","0.980000","1517475443"
"53",NULL,"118.599998","1.083000","125.000000","0.002666","0.974000","1517475445"
"54",NULL,"117.900002","1.090000","125.000000","0.002666","0.973000","1517475446"
"55",NULL,"117.800003","1.094000","125.000000","0.002666","0.970000","1517475448"
"56",NULL,"118.199997","1.090000","125.000000","0.002666","0.971000","1517475449"
"57",NULL,"118.400002","1.092000","125.000000","0.002666","0.969000","1517475451"
"58",NULL,"118.099998","1.095000","125.000000","0.002666","0.970000","1517475452"
"59",NULL,"118.400002","1.095000","125.000000","0.002666","0.967000","1517475454"
"60",NULL,"119.000000","1.099000","125.000000","0.002666","0.956000","1517475456"
"61",NULL,"118.300003","1.099000","125.000000","0.002666","0.961000","1517475457"
"62",NULL,"117.800003","1.101000","125.000000","0.002666","0.966000","1517475459"
"63",NULL,"118.099998","1.095000","125.000000","0.002666","0.969000","1517475460"
"64",NULL,"117.800003","1.095000","125.000000","0.002666","0.970000","1517475462"
"65",NULL,"117.699997","1.094000","125.000000","0.002666","0.970000","1517475463"
"66",NULL,"117.699997","1.088000","125.000000","0.002666","0.976000","1517475465"
"67",NULL,"117.099998","1.083000","125.000000","0.002666","0.989000","1517475467"
"68",NULL,"117.800003","1.084000","125.000000","0.002666","0.981000","1517475468"
"69",NULL,"119.300003","1.093000","125.000000","0.002666","0.960000","1517475470"
"70",NULL,"117.699997","1.092000","125.000000","0.002666","0.973000","1517475471"
"71",NULL,"118.099998","1.084000","125.000000","0.002666","0.978000","1517475473"
"72",NULL,"119.000000","1.089000","125.000000","0.002666","0.966000","1517475474"
"73",NULL,"118.500000","1.097000","125.000000","0.002666","0.962000","1517475476"
"74",NULL,"117.300003","1.091000","125.000000","0.002666","0.976000","1517475477"
"75",NULL,"117.099998","1.086000","125.000000","0.002666","0.982000","1517475479"
"76",NULL,"118.300003","1.083000","125.000000","0.002666","0.975000","1517475480"
"77",NULL,"118.900002","1.084000","124.000000","0.002666","0.968000","1517475482"
"78",NULL,"117.699997","1.095000","124.000000","0.002666","0.967000","1517475484"
"79",NULL,"116.800003","1.099000","124.000000","0.002666","0.972000","1517475485"
"80",NULL,"117.400002","1.093000","125.000000","0.002666","0.973000","1517475487"
"81",NULL,"116.800003","1.090000","124.000000","0.002666","0.981000","1517475488"
"82",NULL,"117.099998","1.087000","124.000000","0.002666","0.980000","1517475490"
"83",NULL,"118.099998","1.077000","124.000000","0.002666","0.982000","1517475491"
"84",NULL,"118.199997","1.077000","125.000000","0.002666","0.981000","1517475493"
"85",NULL,"118.400002","1.085000","125.000000","0.002666","0.972000","1517475494"
"86",NULL,"118.199997","1.086000","124.000000","0.002666","0.972000","1517475496"
"87",NULL,"117.400002","1.088000","125.000000","0.002666","0.978000","1517475497"
"88",NULL,"117.199997","1.092000","125.000000","0.002666","0.976000","1517475499"
"89",NULL,"117.800003","1.094000","124.000000","0.002666","0.969000","1517475500"
"90",NULL,"117.699997","1.094000","124.000000","0.002666","0.968000","1517475502"
"91",NULL,"117.000000","1.097000","124.000000","0.002666","0.969000","1517475503"
"92",NULL,"116.900002","1.097000","124.000000","0.002666","0.969000","1517475505"
"93",NULL,"116.900002","1.097000","124.000000","0.002666","0.971000","1517475507"
"94",NULL,"116.599998","1.091000","124.000000","0.002666","0.978000","1517475508"
"95",NULL,"116.400002","1.089000","124.000000","0.002666","0.980000","1517475510"
"96",NULL,"118.000000","1.088000","124.000000","0.002666","0.970000","1517475511"
"97",NULL,"119.300003","1.086000","124.000000","0.002666","0.963000","1517475513"
"98",NULL,"118.400002","1.088000","125.000000","0.002666","0.971000","1517475514"
"99",NULL,"117.599998","1.092000","124.000000","0.002666","0.973000","1517475516"
"100",NULL,"117.099998","1.089000","124.000000","0.002666","0.979000","1517475517"
"101",NULL,"117.699997","1.082000","125.000000","0.002666","0.982000","1517475519"
"102",NULL,"118.300003","1.084000","125.000000","0.002666","0.975000","1517475521"
"103",NULL,"118.500000","1.087000","125.000000","0.002666","0.971000","1517475522"
"104",NULL,"118.900002","1.087000","125.000000","0.002666","0.967000","1517475524"
"105",NULL,"118.900002","1.088000","125.000000","0.002666","0.967000","1517475525"
"106",NULL,"119.000000","1.087000","125.000000","0.002666","0.967000","1517475527"
"107",NULL,"118.599998","1.086000","125.000000","0.002666","0.972000","1517475529"
"108",NULL,"118.199997","1.081000","125.000000","0.002666","0.979000","1517475530"
"109",NULL,"118.199997","1.077000","125.000000","0.002666","0.983000","1517475532"
"110",NULL,"117.300003","1.091000","125.000000","0.002666","0.979000","1517475533"
"111",NULL,"117.000000","1.098000","125.000000","0.002666","0.974000","1517475535"
"112",NULL,"118.900002","1.087000","125.000000","0.002666","0.968000","1517475536"
"113",NULL,"118.699997","1.081000","125.000000","0.002666","0.976000","1517475538"
"114",NULL,"116.599998","1.089000","125.000000","0.002666","0.984000","1517475540"
