"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.099998","0.512000","57.000000","0.002409","0.961000","1517362214"
"2",NULL,"117.500000","0.508000","57.000000","0.002409","0.966000","1517362216"
"3",NULL,"117.400002","0.506000","57.000000","0.002409","0.971000","1517362217"
"4",NULL,"117.800003","0.506000","57.000000","0.002409","0.970000","1517362219"
"5",NULL,"118.900002","0.502000","57.000000","0.002409","0.966000","1517362221"
"6",NULL,"119.199997","0.505000","57.000000","0.002409","0.957000","1517362222"
"7",NULL,"117.699997","0.509000","57.000000","0.002409","0.956000","1517362224"
"8",NULL,"116.900002","0.510000","57.000000","0.002409","0.960000","1517362225"
"9",NULL,"116.500000","0.509000","57.000000","0.002409","0.968000","1517362227"
"10",NULL,"116.800003","0.507000","57.000000","0.002409","0.972000","1517362228"
"11",NULL,"117.800003","0.505000","57.000000","0.002409","0.969000","1517362230"
"12",NULL,"117.400002","0.507000","57.000000","0.002409","0.967000","1517362232"
"13",NULL,"116.699997","0.510000","57.000000","0.002409","0.965000","1517362233"
"14",NULL,"116.300003","0.510000","57.000000","0.002409","0.969000","1517362235"
"15",NULL,"116.199997","0.508000","57.000000","0.002409","0.973000","1517362236"
"16",NULL,"116.900002","0.504000","57.000000","0.002409","0.973000","1517362238"
"17",NULL,"117.599998","0.502000","57.000000","0.002409","0.971000","1517362239"
"18",NULL,"118.300003","0.505000","57.000000","0.002409","0.964000","1517362241"
"19",NULL,"117.400002","0.510000","57.000000","0.002409","0.961000","1517362243"
"20",NULL,"116.699997","0.510000","57.000000","0.002409","0.966000","1517362244"
"21",NULL,"116.599998","0.505000","57.000000","0.002409","0.977000","1517362246"
"22",NULL,"117.000000","0.501000","57.000000","0.002409","0.980000","1517362247"
"23",NULL,"118.900002","0.501000","57.000000","0.002409","0.964000","1517362249"
"24",NULL,"118.900002","0.505000","57.000000","0.002409","0.959000","1517362250"
"25",NULL,"117.699997","0.509000","57.000000","0.002409","0.959000","1517362252"
"26",NULL,"117.199997","0.509000","57.000000","0.002409","0.963000","1517362253"
"27",NULL,"117.199997","0.507000","57.000000","0.002409","0.968000","1517362255"
"28",NULL,"117.900002","0.503000","57.000000","0.002409","0.970000","1517362256"
"29",NULL,"118.099998","0.505000","57.000000","0.002409","0.965000","1517362258"
"30",NULL,"118.699997","0.507000","57.000000","0.002409","0.953000","1517362260"
"31",NULL,"117.800003","0.510000","57.000000","0.002409","0.958000","1517362261"
"32",NULL,"117.000000","0.507000","57.000000","0.002409","0.965000","1517362263"
"33",NULL,"117.400002","0.503000","57.000000","0.002409","0.966000","1517362264"
"34",NULL,"118.599998","0.502000","57.000000","0.002409","0.965000","1517362266"
"35",NULL,"119.000000","0.502000","57.000000","0.002409","0.963000","1517362267"
"36",NULL,"118.400002","0.506000","57.000000","0.002409","0.957000","1517362269"
"37",NULL,"117.599998","0.509000","57.000000","0.002409","0.959000","1517362271"
"38",NULL,"116.699997","0.504000","57.000000","0.002409","0.975000","1517362272"
"39",NULL,"117.400002","0.506000","57.000000","0.002409","0.964000","1517362274"
"40",NULL,"118.099998","0.507000","57.000000","0.002409","0.955000","1517362275"
"41",NULL,"117.599998","0.506000","57.000000","0.002409","0.961000","1517362277"
"42",NULL,"117.099998","0.504000","57.000000","0.002409","0.971000","1517362278"
"43",NULL,"117.400002","0.502000","57.000000","0.002409","0.972000","1517362280"
"44",NULL,"118.699997","0.503000","57.000000","0.002409","0.959000","1517362282"
"45",NULL,"118.800003","0.507000","57.000000","0.002409","0.951000","1517362283"
"46",NULL,"117.599998","0.506000","57.000000","0.002409","0.961000","1517362285"
"47",NULL,"116.900002","0.506000","57.000000","0.002409","0.966000","1517362286"
"48",NULL,"116.400002","0.506000","57.000000","0.002409","0.971000","1517362288"
"49",NULL,"116.199997","0.504000","57.000000","0.002409","0.976000","1517362289"
"50",NULL,"117.199997","0.501000","57.000000","0.002409","0.976000","1517362291"
"51",NULL,"117.699997","0.501000","57.000000","0.002409","0.974000","1517362292"
"52",NULL,"117.599998","0.503000","57.000000","0.002409","0.971000","1517362294"
"53",NULL,"116.900002","0.503000","57.000000","0.002409","0.976000","1517362296"
"54",NULL,"116.900002","0.503000","57.000000","0.002409","0.976000","1517362297"
"55",NULL,"117.699997","0.503000","57.000000","0.002409","0.970000","1517362299"
"56",NULL,"118.500000","0.500000","57.000000","0.002409","0.970000","1517362301"
"57",NULL,"118.800003","0.499000","57.000000","0.002409","0.967000","1517362302"
"58",NULL,"119.199997","0.502000","57.000000","0.002409","0.956000","1517362304"
"59",NULL,"119.000000","0.505000","57.000000","0.002409","0.954000","1517362305"
"60",NULL,"117.000000","0.508000","57.000000","0.002409","0.963000","1517362307"
"61",NULL,"116.400002","0.507000","57.000000","0.002409","0.970000","1517362308"
"62",NULL,"117.699997","0.501000","57.000000","0.002409","0.970000","1517362310"
"63",NULL,"117.500000","0.503000","57.000000","0.002409","0.969000","1517362312"
"64",NULL,"117.500000","0.506000","57.000000","0.002409","0.962000","1517362313"
"65",NULL,"116.699997","0.506000","57.000000","0.002409","0.965000","1517362315"
"66",NULL,"116.099998","0.505000","57.000000","0.002409","0.974000","1517362316"
"67",NULL,"117.400002","0.505000","57.000000","0.002409","0.968000","1517362318"
"68",NULL,"118.199997","0.505000","57.000000","0.002409","0.962000","1517362319"
"69",NULL,"117.800003","0.504000","57.000000","0.002409","0.966000","1517362321"
"70",NULL,"116.300003","0.506000","57.000000","0.002409","0.975000","1517362323"
"71",NULL,"116.599998","0.501000","57.000000","0.002409","0.979000","1517362324"
"72",NULL,"118.199997","0.500000","57.000000","0.002409","0.967000","1517362326"
"73",NULL,"118.400002","0.504000","57.000000","0.002409","0.961000","1517362327"
"74",NULL,"117.199997","0.509000","57.000000","0.002409","0.963000","1517362329"
"75",NULL,"116.599998","0.508000","57.000000","0.002409","0.967000","1517362330"
"76",NULL,"117.599998","0.501000","57.000000","0.002409","0.969000","1517362332"
"77",NULL,"117.900002","0.505000","57.000000","0.002409","0.962000","1517362334"
"78",NULL,"117.699997","0.509000","57.000000","0.002409","0.956000","1517362335"
"79",NULL,"117.099998","0.507000","57.000000","0.002409","0.963000","1517362337"
"80",NULL,"116.900002","0.504000","57.000000","0.002409","0.970000","1517362338"
"81",NULL,"117.400002","0.498000","57.000000","0.002409","0.973000","1517362340"
"82",NULL,"117.800003","0.498000","56.000000","0.002409","0.967000","1517362341"
"83",NULL,"118.300003","0.503000","56.000000","0.002409","0.955000","1517362343"
"84",NULL,"117.000000","0.509000","57.000000","0.002409","0.958000","1517362345"
"85",NULL,"116.400002","0.507000","57.000000","0.002409","0.967000","1517362346"
"86",NULL,"117.000000","0.502000","57.000000","0.002409","0.972000","1517362348"
"87",NULL,"117.800003","0.501000","57.000000","0.002409","0.967000","1517362349"
"88",NULL,"118.099998","0.502000","57.000000","0.002409","0.964000","1517362351"
"89",NULL,"117.500000","0.505000","57.000000","0.002409","0.962000","1517362352"
"90",NULL,"117.300003","0.504000","57.000000","0.002409","0.965000","1517362354"
"91",NULL,"117.000000","0.501000","57.000000","0.002409","0.974000","1517362355"
"92",NULL,"117.599998","0.502000","57.000000","0.002409","0.967000","1517362357"
"93",NULL,"117.400002","0.504000","57.000000","0.002409","0.962000","1517362359"
"94",NULL,"117.500000","0.501000","57.000000","0.002409","0.969000","1517362360"
"95",NULL,"117.500000","0.501000","57.000000","0.002409","0.971000","1517362362"
"96",NULL,"116.900002","0.505000","57.000000","0.002409","0.965000","1517362364"
"97",NULL,"117.099998","0.501000","56.000000","0.002409","0.969000","1517362365"
"98",NULL,"117.400002","0.501000","56.000000","0.002409","0.964000","1517362367"
"99",NULL,"117.000000","0.504000","56.000000","0.002409","0.960000","1517362368"
"100",NULL,"116.699997","0.507000","57.000000","0.002409","0.963000","1517362370"
