"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"116.800003","0.239000","18.000000","0.006344","0.649000","1530278859"
"2",NULL,"116.500000","0.242000","18.000000","0.006344","0.644000","1530278860"
"3",NULL,"117.699997","0.237000","18.000000","0.006344","0.646000","1530278862"
"4",NULL,"117.800003","0.237000","18.000000","0.006344","0.645000","1530278864"
"5",NULL,"117.400002","0.236000","18.000000","0.006344","0.648000","1530278865"
"6",NULL,"117.099998","0.238000","18.000000","0.006344","0.645000","1530278867"
"7",NULL,"116.900002","0.238000","18.000000","0.006344","0.647000","1530278869"
"8",NULL,"115.800003","0.238000","17.000000","0.006344","0.650000","1530278870"
"9",NULL,"115.000000","0.245000","17.000000","0.006344","0.638000","1530278872"
"10",NULL,"115.500000","0.245000","17.000000","0.006344","0.632000","1530278873"
"11",NULL,"116.599998","0.243000","17.000000","0.006344","0.633000","1530278875"
"12",NULL,"116.900002","0.240000","17.000000","0.006344","0.639000","1530278877"
"13",NULL,"117.000000","0.239000","17.000000","0.006344","0.641000","1530278879"
"14",NULL,"116.800003","0.236000","17.000000","0.006344","0.648000","1530278880"
"15",NULL,"117.099998","0.237000","17.000000","0.006344","0.645000","1530278882"
"16",NULL,"116.400002","0.237000","17.000000","0.006344","0.649000","1530278884"
"17",NULL,"115.800003","0.238000","17.000000","0.006344","0.650000","1530278885"
"18",NULL,"115.400002","0.245000","17.000000","0.006344","0.633000","1530278887"
"19",NULL,"115.599998","0.245000","17.000000","0.006344","0.632000","1530278888"
"20",NULL,"117.099998","0.238000","17.000000","0.006344","0.642000","1530278890"
"21",NULL,"117.099998","0.235000","17.000000","0.006344","0.652000","1530278892"
"22",NULL,"116.800003","0.235000","17.000000","0.006344","0.652000","1530278894"
"23",NULL,"115.800003","0.242000","17.000000","0.006344","0.640000","1530278895"
"24",NULL,"116.300003","0.240000","17.000000","0.006344","0.640000","1530278897"
"25",NULL,"117.199997","0.237000","17.000000","0.006344","0.643000","1530278898"
"26",NULL,"117.599998","0.236000","17.000000","0.006344","0.645000","1530278900"
"27",NULL,"116.699997","0.240000","17.000000","0.006344","0.639000","1530278902"
"28",NULL,"115.900002","0.240000","17.000000","0.006344","0.642000","1530278903"
"29",NULL,"116.300003","0.238000","17.000000","0.006344","0.648000","1530278905"
"30",NULL,"115.400002","0.242000","17.000000","0.006344","0.641000","1530278907"
"31",NULL,"115.199997","0.244000","17.000000","0.006344","0.635000","1530278909"
"32",NULL,"115.400002","0.247000","17.000000","0.006344","0.626000","1530278910"
"33",NULL,"116.199997","0.242000","17.000000","0.006344","0.637000","1530278912"
"34",NULL,"116.400002","0.240000","17.000000","0.006344","0.640000","1530278913"
