app_id,v_val,i_val,p_val,pf_val,date
CFL_Now,115.699997,0.26,19,0.654,1530277494
CFL_Now,115.800003,0.263,19,0.651,1530277496
CFL_Now,117.099998,0.263,19,0.644,1530277498
CFL_Now,117,0.263,19,0.647,1530277499
CFL_Now,117.199997,0.264,19,0.645,1530277501
CFL_Now,116.400002,0.268,19,0.639,1530277503
CFL_Now,116.5,0.269,19,0.637,1530277505
CFL_Now,116.5,0.263,19,0.649,1530277506
CFL_Now,116.400002,0.268,20,0.64,1530277508
CFL_Now,116.199997,0.269,20,0.639,1530277510
CFL_Now,117,0.264,20,0.647,1530277511
CFL_Now,115.800003,0.265,19,0.65,1530277513
CFL_Now,115.599998,0.265,19,0.651,1530277515
CFL_Now,116,0.266,19,0.647,1530277516
CFL_Now,115.300003,0.263,19,0.657,1530277518
CFL_Now,115,0.264,19,0.654,1530277520
CFL_Now,115.099998,0.265,19,0.653,1530277521
CFL_Now,115.199997,0.265,19,0.646,1530277523
CFL_Now,115.400002,0.265,19,0.645,1530277525
CFL_Now,115.900002,0.263,19,0.645,1530277526
CFL_Now,115.699997,0.262,19,0.647,1530277528
CFL_Now,115.800003,0.261,19,0.647,1530277530
CFL_Now,115.800003,0.26,19,0.651,1530277532
CFL_Now,116,0.259,19,0.653,1530277533
CFL_Now,115.599998,0.26,19,0.65,1530277535
CFL_Now,115.5,0.26,19,0.649,1530277537
CFL_Now,115.599998,0.26,19,0.645,1530277538
CFL_Now,115.400002,0.26,19,0.647,1530277540
CFL_Now,115.400002,0.26,19,0.646,1530277542
CFL_Now,115.5,0.257,19,0.647,1530277543
CFL_Now,115.599998,0.258,19,0.643,1530277545
CFL_Now,115.599998,0.262,19,0.633,1530277547
CFL_Now,114.800003,0.264,19,0.633,1530277548
CFL_Now,116.300003,0.261,19,0.629,1530277550
CFL_Now,116.699997,0.258,19,0.633,1530277552
CFL_Now,116.300003,0.257,19,0.638,1530277553
CFL_Now,116.900002,0.253,18,0.641,1530277555
CFL_Now,117.099998,0.252,19,0.643,1530277557
CFL_Now,116.599998,0.251,18,0.647,1530277559
CFL_Now,116,0.251,18,0.647,1530277560
CFL_Now,115.699997,0.252,18,0.645,1530277562
CFL_Now,115.199997,0.253,18,0.645,1530277564
CFL_Now,115.400002,0.254,18,0.641,1530277565
CFL_Now,114.5,0.257,18,0.64,1530277567
CFL_Now,114.699997,0.258,18,0.635,1530277569
CFL_Now,115.300003,0.259,18,0.628,1530277570
CFL_Now,115.400002,0.258,18,0.629,1530277572
CFL_Now,115.400002,0.257,18,0.632,1530277574
CFL_Now,115.800003,0.252,18,0.639,1530277575
CFL_Now,115.900002,0.253,18,0.636,1530277577
CFL_Now,117.099998,0.247,18,0.644,1530277579
CFL_Now,117.099998,0.248,18,0.642,1530277581
CFL_Now,115.199997,0.254,18,0.634,1530277582
CFL_Now,115.800003,0.251,18,0.637,1530277584
CFL_Now,116.900002,0.248,18,0.64,1530277586
CFL_Now,116.699997,0.248,18,0.64,1530277587
CFL_Now,115.699997,0.249,18,0.643,1530277589
CFL_Now,115.699997,0.247,18,0.646,1530277591
CFL_Now,116.199997,0.246,18,0.644,1530277592
CFL_Now,116.5,0.247,18,0.64,1530277594
CFL_Now,116,0.248,18,0.639,1530277596
CFL_Now,116.099998,0.249,18,0.637,1530277597
