"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.699997","0.260000","19.000000","0.006344","0.654000","1530277494"
"2",NULL,"115.800003","0.263000","19.000000","0.006344","0.651000","1530277496"
"3",NULL,"117.099998","0.263000","19.000000","0.006344","0.644000","1530277498"
"4",NULL,"117.000000","0.263000","19.000000","0.006344","0.647000","1530277499"
"5",NULL,"117.199997","0.264000","19.000000","0.006344","0.645000","1530277501"
"6",NULL,"116.400002","0.268000","19.000000","0.006344","0.639000","1530277503"
"7",NULL,"116.500000","0.269000","19.000000","0.006344","0.637000","1530277505"
"8",NULL,"116.500000","0.263000","19.000000","0.006344","0.649000","1530277506"
"9",NULL,"116.400002","0.268000","20.000000","0.006344","0.640000","1530277508"
"10",NULL,"116.199997","0.269000","20.000000","0.006344","0.639000","1530277510"
"11",NULL,"117.000000","0.264000","20.000000","0.006344","0.647000","1530277511"
"12",NULL,"115.800003","0.265000","19.000000","0.006344","0.650000","1530277513"
"13",NULL,"115.599998","0.265000","19.000000","0.006344","0.651000","1530277515"
"14",NULL,"116.000000","0.266000","19.000000","0.006344","0.647000","1530277516"
"15",NULL,"115.300003","0.263000","19.000000","0.006344","0.657000","1530277518"
"16",NULL,"115.000000","0.264000","19.000000","0.006344","0.654000","1530277520"
"17",NULL,"115.099998","0.265000","19.000000","0.006344","0.653000","1530277521"
"18",NULL,"115.199997","0.265000","19.000000","0.006344","0.646000","1530277523"
"19",NULL,"115.400002","0.265000","19.000000","0.006344","0.645000","1530277525"
"20",NULL,"115.900002","0.263000","19.000000","0.006344","0.645000","1530277526"
"21",NULL,"115.699997","0.262000","19.000000","0.006344","0.647000","1530277528"
"22",NULL,"115.800003","0.261000","19.000000","0.006344","0.647000","1530277530"
"23",NULL,"115.800003","0.260000","19.000000","0.006344","0.651000","1530277532"
"24",NULL,"116.000000","0.259000","19.000000","0.006344","0.653000","1530277533"
"25",NULL,"115.599998","0.260000","19.000000","0.006344","0.650000","1530277535"
"26",NULL,"115.500000","0.260000","19.000000","0.006344","0.649000","1530277537"
"27",NULL,"115.599998","0.260000","19.000000","0.006344","0.645000","1530277538"
"28",NULL,"115.400002","0.260000","19.000000","0.006344","0.647000","1530277540"
"29",NULL,"115.400002","0.260000","19.000000","0.006344","0.646000","1530277542"
"30",NULL,"115.500000","0.257000","19.000000","0.006344","0.647000","1530277543"
"31",NULL,"115.599998","0.258000","19.000000","0.006344","0.643000","1530277545"
"32",NULL,"115.599998","0.262000","19.000000","0.006344","0.633000","1530277547"
"33",NULL,"114.800003","0.264000","19.000000","0.006344","0.633000","1530277548"
"34",NULL,"116.300003","0.261000","19.000000","0.006344","0.629000","1530277550"
"35",NULL,"116.699997","0.258000","19.000000","0.006344","0.633000","1530277552"
"36",NULL,"116.300003","0.257000","19.000000","0.006344","0.638000","1530277553"
"37",NULL,"116.900002","0.253000","18.000000","0.006344","0.641000","1530277555"
"38",NULL,"117.099998","0.252000","19.000000","0.006344","0.643000","1530277557"
"39",NULL,"116.599998","0.251000","18.000000","0.006344","0.647000","1530277559"
"40",NULL,"116.000000","0.251000","18.000000","0.006344","0.647000","1530277560"
"41",NULL,"115.699997","0.252000","18.000000","0.006344","0.645000","1530277562"
"42",NULL,"115.199997","0.253000","18.000000","0.006344","0.645000","1530277564"
"43",NULL,"115.400002","0.254000","18.000000","0.006344","0.641000","1530277565"
"44",NULL,"114.500000","0.257000","18.000000","0.006344","0.640000","1530277567"
"45",NULL,"114.699997","0.258000","18.000000","0.006344","0.635000","1530277569"
"46",NULL,"115.300003","0.259000","18.000000","0.006344","0.628000","1530277570"
"47",NULL,"115.400002","0.258000","18.000000","0.006344","0.629000","1530277572"
"48",NULL,"115.400002","0.257000","18.000000","0.006344","0.632000","1530277574"
"49",NULL,"115.800003","0.252000","18.000000","0.006344","0.639000","1530277575"
"50",NULL,"115.900002","0.253000","18.000000","0.006344","0.636000","1530277577"
"51",NULL,"117.099998","0.247000","18.000000","0.006344","0.644000","1530277579"
"52",NULL,"117.099998","0.248000","18.000000","0.006344","0.642000","1530277581"
"53",NULL,"115.199997","0.254000","18.000000","0.006344","0.634000","1530277582"
"54",NULL,"115.800003","0.251000","18.000000","0.006344","0.637000","1530277584"
"55",NULL,"116.900002","0.248000","18.000000","0.006344","0.640000","1530277586"
"56",NULL,"116.699997","0.248000","18.000000","0.006344","0.640000","1530277587"
"57",NULL,"115.699997","0.249000","18.000000","0.006344","0.643000","1530277589"
"58",NULL,"115.699997","0.247000","18.000000","0.006344","0.646000","1530277591"
"59",NULL,"116.199997","0.246000","18.000000","0.006344","0.644000","1530277592"
"60",NULL,"116.500000","0.247000","18.000000","0.006344","0.640000","1530277594"
"61",NULL,"116.000000","0.248000","18.000000","0.006344","0.639000","1530277596"
"62",NULL,"116.099998","0.249000","18.000000","0.006344","0.637000","1530277597"
"63",NULL,"115.699997","0.253000","18.000000","0.006344","0.629000","1530277599"
"64",NULL,"114.800003","0.257000","18.000000","0.006344","0.622000","1530277601"
"65",NULL,"114.800003","0.256000","18.000000","0.006344","0.624000","1530277603"
"66",NULL,"115.300003","0.252000","18.000000","0.006344","0.632000","1530277604"
"67",NULL,"116.199997","0.249000","18.000000","0.006344","0.632000","1530277606"
"68",NULL,"116.699997","0.246000","18.000000","0.006344","0.638000","1530277608"
"69",NULL,"116.300003","0.246000","18.000000","0.006344","0.638000","1530277609"
"70",NULL,"117.599998","0.245000","18.000000","0.006344","0.634000","1530277611"
"71",NULL,"117.500000","0.244000","18.000000","0.006344","0.637000","1530277613"
