app_id,v_val,i_val,p_val,pf_val,date
CFLTwoYearTenWatt_appliances,121.599998,0.215,13,0.531,1531206345
CFLTwoYearTenWatt_appliances,122,0.212,13,0.539,1531206347
CFLTwoYearTenWatt_appliances,121.599998,0.21,13,0.545,1531206348
CFLTwoYearTenWatt_appliances,120.599998,0.21,13,0.548,1531206350
CFLTwoYearTenWatt_appliances,120.599998,0.213,13,0.541,1531206352
CFLTwoYearTenWatt_appliances,121.199997,0.214,13,0.537,1531206353
CFLTwoYearTenWatt_appliances,120.5,0.209,13,0.551,1531206355
CFLTwoYearTenWatt_appliances,120.300003,0.208,13,0.555,1531206356
CFLTwoYearTenWatt_appliances,119.699997,0.209,13,0.556,1531206358
CFLTwoYearTenWatt_appliances,121.099998,0.211,13,0.547,1531206360
CFLTwoYearTenWatt_appliances,122.199997,0.213,13,0.537,1531206361
CFLTwoYearTenWatt_appliances,121.5,0.213,13,0.539,1531206363
CFLTwoYearTenWatt_appliances,121.300003,0.21,13,0.547,1531206364
CFLTwoYearTenWatt_appliances,120.099998,0.208,13,0.555,1531206366
CFLTwoYearTenWatt_appliances,119.599998,0.209,13,0.557,1531206368
CFLTwoYearTenWatt_appliances,121.099998,0.212,13,0.543,1531206370
CFLTwoYearTenWatt_appliances,120,0.208,13,0.553,1531206377
CFLTwoYearTenWatt_appliances,121.300003,0.215,13,0.532,1531206378
CFLTwoYearTenWatt_appliances,122.199997,0.213,13,0.534,1531206380
CFLTwoYearTenWatt_appliances,121.199997,0.21,13,0.544,1531206382
CFLTwoYearTenWatt_appliances,120.5,0.209,13,0.551,1531206383
CFLTwoYearTenWatt_appliances,120.900002,0.21,13,0.547,1531206385
CFLTwoYearTenWatt_appliances,120.699997,0.211,13,0.542,1531206387
CFLTwoYearTenWatt_appliances,120.199997,0.208,13,0.555,1531206388
CFLTwoYearTenWatt_appliances,120.099998,0.208,13,0.555,1531206390
CFLTwoYearTenWatt_appliances,120.300003,0.211,13,0.548,1531206392
CFLTwoYearTenWatt_appliances,121.599998,0.214,13,0.535,1531206393
CFLTwoYearTenWatt_appliances,121.699997,0.212,13,0.537,1531206395
CFLTwoYearTenWatt_appliances,120.800003,0.211,13,0.546,1531206397
CFLTwoYearTenWatt_appliances,120.5,0.211,14,0.552,1531206398
CFLTwoYearTenWatt_appliances,120,0.21,14,0.555,1531206400
CFLTwoYearTenWatt_appliances,119.300003,0.209,13,0.555,1531206402
CFLTwoYearTenWatt_appliances,119.400002,0.209,13,0.556,1531206403
CFLTwoYearTenWatt_appliances,119.400002,0.208,13,0.561,1531206405
