"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"119.500000","0.338000","22.000000","0.006350","0.554000","1531454541"
"2",NULL,"119.099998","0.337000","22.000000","0.006350","0.555000","1531454542"
"3",NULL,"118.599998","0.338000","22.000000","0.006350","0.558000","1531454544"
"4",NULL,"119.000000","0.339000","22.000000","0.006350","0.555000","1531454546"
"5",NULL,"119.300003","0.340000","22.000000","0.006350","0.553000","1531454547"
"6",NULL,"119.800003","0.340000","22.000000","0.006350","0.551000","1531454549"
"7",NULL,"119.000000","0.340000","22.000000","0.006350","0.553000","1531454550"
"8",NULL,"118.300003","0.338000","22.000000","0.006350","0.559000","1531454552"
"9",NULL,"118.900002","0.339000","22.000000","0.006350","0.556000","1531454554"
"10",NULL,"119.300003","0.340000","22.000000","0.006350","0.552000","1531454555"
"11",NULL,"119.199997","0.339000","22.000000","0.006350","0.554000","1531454557"
"12",NULL,"119.400002","0.342000","22.000000","0.006350","0.552000","1531454558"
"13",NULL,"119.300003","0.342000","22.000000","0.006350","0.551000","1531454560"
"14",NULL,"119.500000","0.342000","22.000000","0.006350","0.549000","1531454562"
"15",NULL,"119.000000","0.341000","22.000000","0.006350","0.552000","1531454563"
"16",NULL,"119.000000","0.341000","22.000000","0.006350","0.552000","1531454565"
"17",NULL,"119.199997","0.341000","22.000000","0.006350","0.553000","1531454567"
"18",NULL,"119.199997","0.341000","22.000000","0.006350","0.553000","1531454568"
"19",NULL,"119.000000","0.340000","22.000000","0.006350","0.558000","1531454570"
"20",NULL,"119.500000","0.340000","22.000000","0.006350","0.554000","1531454571"
"21",NULL,"119.699997","0.340000","22.000000","0.006350","0.553000","1531454573"
"22",NULL,"118.900002","0.339000","22.000000","0.006350","0.560000","1531454575"
"23",NULL,"118.800003","0.340000","22.000000","0.006350","0.559000","1531454576"
"24",NULL,"118.599998","0.338000","22.000000","0.006350","0.561000","1531454578"
"25",NULL,"119.199997","0.339000","22.000000","0.006350","0.556000","1531454579"
"26",NULL,"119.900002","0.341000","22.000000","0.006350","0.550000","1531454581"
"27",NULL,"119.699997","0.341000","22.000000","0.006350","0.552000","1531454583"
"28",NULL,"119.699997","0.343000","22.000000","0.006350","0.549000","1531454584"
"29",NULL,"119.599998","0.342000","22.000000","0.006350","0.549000","1531454586"
"30",NULL,"118.099998","0.339000","22.000000","0.006350","0.563000","1531454587"
"31",NULL,"118.800003","0.341000","22.000000","0.006350","0.556000","1531454589"
"32",NULL,"119.699997","0.344000","22.000000","0.006350","0.546000","1531454591"
"33",NULL,"119.699997","0.345000","22.000000","0.006350","0.546000","1531454592"
"34",NULL,"119.599998","0.344000","22.000000","0.006350","0.548000","1531454594"
"35",NULL,"118.599998","0.339000","22.000000","0.006350","0.559000","1531454595"
"36",NULL,"118.599998","0.339000","22.000000","0.006350","0.558000","1531454597"
"37",NULL,"118.599998","0.339000","22.000000","0.006350","0.558000","1531454599"
"38",NULL,"119.099998","0.339000","22.000000","0.006350","0.555000","1531454600"
"39",NULL,"119.199997","0.340000","22.000000","0.006350","0.554000","1531454602"
"40",NULL,"119.300003","0.342000","22.000000","0.006350","0.552000","1531454604"
"41",NULL,"119.699997","0.343000","22.000000","0.006350","0.550000","1531454605"
"42",NULL,"119.800003","0.342000","22.000000","0.006350","0.551000","1531454607"
"43",NULL,"119.199997","0.342000","22.000000","0.006350","0.553000","1531454608"
"44",NULL,"119.199997","0.342000","22.000000","0.006350","0.555000","1531454610"
"45",NULL,"119.500000","0.342000","22.000000","0.006350","0.552000","1531454612"
"46",NULL,"118.900002","0.343000","22.000000","0.006350","0.554000","1531454613"
"47",NULL,"119.599998","0.344000","22.000000","0.006350","0.550000","1531454615"
"48",NULL,"118.699997","0.343000","22.000000","0.006350","0.553000","1531454616"
"49",NULL,"118.000000","0.342000","22.000000","0.006350","0.558000","1531454618"
"50",NULL,"118.699997","0.343000","22.000000","0.006350","0.552000","1531454620"
"51",NULL,"119.699997","0.342000","22.000000","0.006350","0.550000","1531454621"
"52",NULL,"119.599998","0.343000","22.000000","0.006350","0.550000","1531454623"
"53",NULL,"120.000000","0.345000","22.000000","0.006350","0.546000","1531454624"
"54",NULL,"120.199997","0.345000","22.000000","0.006350","0.544000","1531454626"
"55",NULL,"119.699997","0.343000","22.000000","0.006350","0.547000","1531454628"
"56",NULL,"118.900002","0.345000","22.000000","0.006350","0.547000","1531454629"
"57",NULL,"118.900002","0.345000","22.000000","0.006350","0.549000","1531454631"
"58",NULL,"119.699997","0.342000","22.000000","0.006350","0.550000","1531454633"
"59",NULL,"119.500000","0.342000","22.000000","0.006350","0.549000","1531454634"
"60",NULL,"119.599998","0.342000","22.000000","0.006350","0.547000","1531454636"
"61",NULL,"119.300003","0.344000","22.000000","0.006350","0.543000","1531454637"
"62",NULL,"118.400002","0.342000","22.000000","0.006350","0.552000","1531454639"
