"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.400002","0.155000","9.000000","0.006347","0.505000","1531449823"
"2",NULL,"118.000000","0.147000","9.000000","0.006347","0.529000","1531449825"
"3",NULL,"118.500000","0.146000","9.000000","0.006347","0.530000","1531449827"
"4",NULL,"117.800003","0.149000","9.000000","0.006347","0.525000","1531449828"
"5",NULL,"117.300003","0.150000","9.000000","0.006347","0.524000","1531449830"
"6",NULL,"117.900002","0.147000","9.000000","0.006347","0.531000","1531449832"
"7",NULL,"118.699997","0.140000","9.000000","0.006347","0.555000","1531449834"
"8",NULL,"117.800003","0.153000","9.000000","0.006347","0.511000","1531449835"
"9",NULL,"117.500000","0.156000","9.000000","0.006347","0.498000","1531449837"
"10",NULL,"116.599998","0.148000","9.000000","0.006347","0.528000","1531449839"
"11",NULL,"117.900002","0.154000","9.000000","0.006347","0.504000","1531449841"
"12",NULL,"118.900002","0.154000","9.000000","0.006347","0.498000","1531449842"
"13",NULL,"118.400002","0.162000","9.000000","0.006347","0.474000","1531449844"
"14",NULL,"118.800003","0.164000","9.000000","0.006347","0.464000","1531449846"
"15",NULL,"118.800003","0.154000","9.000000","0.006347","0.501000","1531449848"
"16",NULL,"117.699997","0.137000","9.000000","0.006347","0.558000","1531449850"
"17",NULL,"117.500000","0.142000","9.000000","0.006347","0.544000","1531449852"
"18",NULL,"116.599998","0.150000","9.000000","0.006347","0.523000","1531449853"
"19",NULL,"117.099998","0.152000","9.000000","0.006347","0.510000","1531449855"
"20",NULL,"117.300003","0.151000","9.000000","0.006347","0.514000","1531449857"
"21",NULL,"117.099998","0.143000","9.000000","0.006347","0.539000","1531449859"
"22",NULL,"118.400002","0.137000","9.000000","0.006347","0.554000","1531449861"
"23",NULL,"118.800003","0.146000","9.000000","0.006347","0.524000","1531449862"
"24",NULL,"118.300003","0.145000","9.000000","0.006347","0.533000","1531449864"
"25",NULL,"118.300003","0.154000","9.000000","0.006347","0.502000","1531449866"
"26",NULL,"118.300003","0.160000","9.000000","0.006347","0.479000","1531449868"
"27",NULL,"118.000000","0.149000","9.000000","0.006347","0.520000","1531449869"
"28",NULL,"117.000000","0.143000","9.000000","0.006347","0.543000","1531449871"
"29",NULL,"117.699997","0.153000","9.000000","0.006347","0.509000","1531449873"
"30",NULL,"118.900002","0.165000","9.000000","0.006347","0.463000","1531449875"
"31",NULL,"119.099998","0.165000","9.000000","0.006347","0.461000","1531449877"
"32",NULL,"118.199997","0.156000","9.000000","0.006347","0.495000","1531449878"
"33",NULL,"117.599998","0.152000","9.000000","0.006347","0.509000","1531449880"
"34",NULL,"118.099998","0.160000","9.000000","0.006347","0.482000","1531449882"
"35",NULL,"118.800003","0.155000","9.000000","0.006347","0.503000","1531449884"
"36",NULL,"118.500000","0.141000","9.000000","0.006347","0.546000","1531449885"
"37",NULL,"117.800003","0.141000","9.000000","0.006347","0.549000","1531449887"
"38",NULL,"117.199997","0.146000","9.000000","0.006347","0.538000","1531449889"
"39",NULL,"117.199997","0.151000","9.000000","0.006347","0.519000","1531449891"
"40",NULL,"118.500000","0.150000","9.000000","0.006347","0.516000","1531449893"
"41",NULL,"117.900002","0.152000","9.000000","0.006347","0.510000","1531449895"
"42",NULL,"117.099998","0.147000","9.000000","0.006347","0.530000","1531449897"
"43",NULL,"117.000000","0.147000","9.000000","0.006347","0.532000","1531449898"
"44",NULL,"117.500000","0.151000","9.000000","0.006347","0.519000","1531449900"
"45",NULL,"118.300003","0.152000","9.000000","0.006347","0.516000","1531449902"
"46",NULL,"118.699997","0.154000","9.000000","0.006347","0.506000","1531449903"
"47",NULL,"118.099998","0.152000","9.000000","0.006347","0.517000","1531449905"
"48",NULL,"117.000000","0.152000","9.000000","0.006347","0.518000","1531449907"
"49",NULL,"117.300003","0.154000","9.000000","0.006347","0.509000","1531449908"
"50",NULL,"117.199997","0.149000","9.000000","0.006347","0.528000","1531449910"
"51",NULL,"117.599998","0.153000","9.000000","0.006347","0.514000","1531449912"
"52",NULL,"117.599998","0.152000","9.000000","0.006347","0.515000","1531449914"
"53",NULL,"118.500000","0.156000","9.000000","0.006347","0.498000","1531449916"
"54",NULL,"116.800003","0.157000","9.000000","0.006347","0.500000","1531449917"
"55",NULL,"116.099998","0.152000","9.000000","0.006347","0.518000","1531449919"
"56",NULL,"117.199997","0.152000","9.000000","0.006347","0.515000","1531449921"
"57",NULL,"117.500000","0.146000","9.000000","0.006347","0.532000","1531449923"
"58",NULL,"118.400002","0.144000","9.000000","0.006347","0.535000","1531449924"
"59",NULL,"118.699997","0.143000","9.000000","0.006347","0.539000","1531449926"
"60",NULL,"118.300003","0.148000","9.000000","0.006347","0.529000","1531449928"
"61",NULL,"118.199997","0.148000","9.000000","0.006347","0.525000","1531449929"
