"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"119.599998","0.396000","47.000000","0.000431","0.996000","1531815800"
"2",NULL,"119.699997","0.396000","47.000000","0.000431","0.993000","1531815802"
"3",NULL,"120.099998","0.393000","47.000000","0.000431","0.996000","1531815803"
"4",NULL,"120.199997","0.392000","47.000000","0.000431","0.996000","1531815805"
"5",NULL,"120.500000","0.392000","46.000000","0.000431","0.992000","1531815806"
"6",NULL,"120.300003","0.393000","46.000000","0.000431","0.993000","1531815808"
"7",NULL,"120.900002","0.392000","46.000000","0.000431","0.989000","1531815809"
"8",NULL,"120.500000","0.392000","47.000000","0.000431","0.993000","1531815811"
"9",NULL,"120.599998","0.390000","47.000000","0.000431","0.999000","1531815812"
"10",NULL,"121.599998","0.388000","47.000000","0.000431","0.995000","1531815814"
"11",NULL,"121.000000","0.391000","47.000000","0.000431","0.992000","1531815815"
"12",NULL,"120.500000","0.392000","47.000000","0.000431","0.995000","1531815817"
"13",NULL,"120.099998","0.394000","47.000000","0.000431","0.992000","1531815818"
"14",NULL,"119.900002","0.395000","47.000000","0.000431","0.992000","1531815820"
"15",NULL,"120.599998","0.394000","47.000000","0.000431","0.987000","1531815821"
"16",NULL,"121.199997","0.392000","47.000000","0.000431","0.988000","1531815823"
"17",NULL,"120.699997","0.395000","47.000000","0.000431","0.990000","1531815824"
"18",NULL,"120.000000","0.398000","47.000000","0.000431","0.988000","1531815826"
"19",NULL,"120.199997","0.396000","47.000000","0.000431","0.989000","1531815827"
"20",NULL,"120.400002","0.396000","47.000000","0.000431","0.986000","1531815829"
"21",NULL,"120.900002","0.393000","47.000000","0.000431","0.991000","1531815830"
"22",NULL,"120.800003","0.391000","47.000000","0.000431","0.999000","1531815832"
"23",NULL,"119.699997","0.392000","47.000000","0.000431","1.000000","1531815834"
"24",NULL,"120.099998","0.392000","47.000000","0.000431","1.000000","1531815835"
"25",NULL,"120.300003","0.393000","47.000000","0.000431","0.998000","1531815837"
"26",NULL,"119.699997","0.395000","47.000000","0.000431","0.998000","1531815838"
"27",NULL,"119.500000","0.399000","47.000000","0.000431","0.989000","1531815840"
"28",NULL,"120.199997","0.396000","47.000000","0.000431","0.992000","1531815841"
"29",NULL,"120.900002","0.392000","47.000000","0.000431","0.994000","1531815843"
"30",NULL,"120.500000","0.394000","47.000000","0.000431","0.992000","1531815844"
"31",NULL,"119.800003","0.393000","47.000000","0.000431","1.000000","1531815846"
"32",NULL,"119.599998","0.393000","47.000000","0.000431","1.000000","1531815847"
"33",NULL,"120.599998","0.393000","47.000000","0.000431","0.995000","1531815849"
"34",NULL,"121.599998","0.391000","47.000000","0.000431","0.991000","1531815850"
