app_id,v_val,i_val,p_val,pf_val,date
CFLFourYearBadFlashTwentyWatt_appliances,118.199997,0.259,13,0.5,1531459040
CFLFourYearBadFlashTwentyWatt_appliances,118.5,0.355,18,0.47,1531459042
CFLFourYearBadFlashTwentyWatt_appliances,118.199997,0.379,19,0.495,1531459044
CFLFourYearBadFlashTwentyWatt_appliances,118.099998,0.38,19,0.49,1531459045
CFLFourYearBadFlashTwentyWatt_appliances,118.300003,0.285,22,0.795,1531459047
CFLFourYearBadFlashTwentyWatt_appliances,117.5,0.315,18,0.625,1531459048
CFLFourYearBadFlashTwentyWatt_appliances,117.199997,0.341,20,0.586,1531459050
CFLFourYearBadFlashTwentyWatt_appliances,117.5,0.365,20,0.57,1531459052
CFLFourYearBadFlashTwentyWatt_appliances,118.199997,0.375,19,0.477,1531459054
CFLFourYearBadFlashTwentyWatt_appliances,118.199997,0.359,20,0.497,1531459055
CFLFourYearBadFlashTwentyWatt_appliances,118,0.359,19,0.495,1531459057
CFLFourYearBadFlashTwentyWatt_appliances,117,0.454,23,0.434,1531459058
CFLFourYearBadFlashTwentyWatt_appliances,116.900002,0.451,23,0.442,1531459060
CFLFourYearBadFlashTwentyWatt_appliances,116.599998,0.457,24,0.453,1531459061
CFLFourYearBadFlashTwentyWatt_appliances,116.699997,0.473,23,0.431,1531459063
CFLFourYearBadFlashTwentyWatt_appliances,117,0.469,23,0.426,1531459065
CFLFourYearBadFlashTwentyWatt_appliances,117,0.454,23,0.445,1531459066
CFLFourYearBadFlashTwentyWatt_appliances,117,0.451,23,0.452,1531459068
CFLFourYearBadFlashTwentyWatt_appliances,116.699997,0.449,23,0.456,1531459069
CFLFourYearBadFlashTwentyWatt_appliances,116.099998,0.447,24,0.462,1531459071
CFLFourYearBadFlashTwentyWatt_appliances,116.900002,0.451,23,0.453,1531459073
CFLFourYearBadFlashTwentyWatt_appliances,116.900002,0.375,19,0.445,1531459074
CFLFourYearBadFlashTwentyWatt_appliances,117.199997,0.374,19,0.448,1531459076
CFLFourYearBadFlashTwentyWatt_appliances,117.5,0.477,22,0.399,1531459077
CFLFourYearBadFlashTwentyWatt_appliances,117.400002,0.478,22,0.396,1531459079
CFLFourYearBadFlashTwentyWatt_appliances,117.300003,0.453,23,0.445,1531459080
CFLFourYearBadFlashTwentyWatt_appliances,116.199997,0.449,23,0.457,1531459082
CFLFourYearBadFlashTwentyWatt_appliances,117.099998,0.386,20,0.439,1531459084
