app_id,v_val,i_val,p_val,pf_val,date
JeinPoLiEnergySavingLampsNew,115.699997,0.267,19,0.631,1531646327
JeinPoLiEnergySavingLampsNew,117.199997,0.262,19,0.637,1531646329
JeinPoLiEnergySavingLampsNew,116.099998,0.26,19,0.646,1531646331
JeinPoLiEnergySavingLampsNew,115,0.267,19,0.633,1531646332
JeinPoLiEnergySavingLampsNew,115.099998,0.262,19,0.642,1531646334
JeinPoLiEnergySavingLampsNew,115.400002,0.259,19,0.649,1531646336
JeinPoLiEnergySavingLampsNew,114.5,0.259,19,0.653,1531646338
JeinPoLiEnergySavingLampsNew,115.400002,0.258,19,0.651,1531646340
JeinPoLiEnergySavingLampsNew,114.599998,0.264,19,0.641,1531646342
JeinPoLiEnergySavingLampsNew,114.300003,0.265,19,0.636,1531646343
JeinPoLiEnergySavingLampsNew,115.800003,0.26,19,0.639,1531646345
JeinPoLiEnergySavingLampsNew,116.5,0.264,19,0.624,1531646347
JeinPoLiEnergySavingLampsNew,116.199997,0.268,19,0.616,1531646349
JeinPoLiEnergySavingLampsNew,114.800003,0.267,19,0.629,1531646351
JeinPoLiEnergySavingLampsNew,114.400002,0.263,19,0.641,1531646353
JeinPoLiEnergySavingLampsNew,115.599998,0.26,19,0.644,1531646355
JeinPoLiEnergySavingLampsNew,115.300003,0.262,19,0.639,1531646356
JeinPoLiEnergySavingLampsNew,115.699997,0.263,19,0.634,1531646358
JeinPoLiEnergySavingLampsNew,114.900002,0.26,19,0.644,1531646360
JeinPoLiEnergySavingLampsNew,114.599998,0.261,19,0.643,1531646362
JeinPoLiEnergySavingLampsNew,115.400002,0.26,19,0.64,1531646364
JeinPoLiEnergySavingLampsNew,114.599998,0.262,19,0.64,1531646365
JeinPoLiEnergySavingLampsNew,114.599998,0.262,19,0.638,1531646367
JeinPoLiEnergySavingLampsNew,114.900002,0.26,19,0.644,1531646369
JeinPoLiEnergySavingLampsNew,114.5,0.261,19,0.643,1531646371
JeinPoLiEnergySavingLampsNew,115.300003,0.26,19,0.64,1531646373
JeinPoLiEnergySavingLampsNew,114.400002,0.264,19,0.634,1531646374
JeinPoLiEnergySavingLampsNew,114.599998,0.264,19,0.633,1531646376
JeinPoLiEnergySavingLampsNew,116,0.262,19,0.625,1531646378
JeinPoLiEnergySavingLampsNew,116.5,0.259,19,0.632,1531646380
JeinPoLiEnergySavingLampsNew,116.5,0.257,19,0.636,1531646381
JeinPoLiEnergySavingLampsNew,114.800003,0.261,19,0.635,1531646383
JeinPoLiEnergySavingLampsNew,114.199997,0.261,19,0.64,1531646385
JeinPoLiEnergySavingLampsNew,115,0.263,19,0.63,1531646387
JeinPoLiEnergySavingLampsNew,116.199997,0.258,19,0.636,1531646388
