"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"118.699997","0.346000","23.000000","0.006353","0.572000","1531456476"
"2",NULL,"118.699997","0.345000","23.000000","0.006353","0.573000","1531456478"
"3",NULL,"119.199997","0.346000","23.000000","0.006353","0.570000","1531456479"
"4",NULL,"119.199997","0.347000","23.000000","0.006353","0.568000","1531456481"
"5",NULL,"119.199997","0.347000","23.000000","0.006353","0.567000","1531456483"
"6",NULL,"118.900002","0.346000","23.000000","0.006353","0.573000","1531456484"
"7",NULL,"118.900002","0.346000","23.000000","0.006353","0.573000","1531456486"
"8",NULL,"119.500000","0.349000","23.000000","0.006353","0.566000","1531456487"
"9",NULL,"120.199997","0.350000","23.000000","0.006353","0.564000","1531456489"
"10",NULL,"121.000000","0.352000","23.000000","0.006353","0.556000","1531456491"
"11",NULL,"121.000000","0.355000","23.000000","0.006353","0.551000","1531456492"
"12",NULL,"120.199997","0.353000","23.000000","0.006353","0.556000","1531456494"
"13",NULL,"119.199997","0.347000","23.000000","0.006353","0.572000","1531456495"
"14",NULL,"119.699997","0.348000","23.000000","0.006353","0.570000","1531456497"
"15",NULL,"119.900002","0.351000","23.000000","0.006353","0.564000","1531456498"
"16",NULL,"119.099998","0.350000","23.000000","0.006353","0.569000","1531456500"
"17",NULL,"119.599998","0.350000","23.000000","0.006353","0.568000","1531456501"
"18",NULL,"120.400002","0.350000","23.000000","0.006353","0.564000","1531456503"
"19",NULL,"120.500000","0.352000","23.000000","0.006353","0.561000","1531456505"
"20",NULL,"120.199997","0.353000","23.000000","0.006353","0.559000","1531456506"
"21",NULL,"120.099998","0.352000","23.000000","0.006353","0.561000","1531456508"
"22",NULL,"120.099998","0.352000","23.000000","0.006353","0.563000","1531456509"
"23",NULL,"119.599998","0.351000","23.000000","0.006353","0.568000","1531456511"
"24",NULL,"119.099998","0.349000","23.000000","0.006353","0.571000","1531456513"
"25",NULL,"119.300003","0.348000","23.000000","0.006353","0.571000","1531456514"
"26",NULL,"119.699997","0.348000","23.000000","0.006353","0.570000","1531456516"
"27",NULL,"120.000000","0.350000","23.000000","0.006353","0.565000","1531456517"
"28",NULL,"119.500000","0.350000","23.000000","0.006353","0.569000","1531456519"
"29",NULL,"119.699997","0.351000","23.000000","0.006353","0.566000","1531456521"
"30",NULL,"119.599998","0.349000","23.000000","0.006353","0.568000","1531456522"
"31",NULL,"119.300003","0.350000","23.000000","0.006353","0.568000","1531456524"
"32",NULL,"119.500000","0.351000","23.000000","0.006353","0.564000","1531456526"
"33",NULL,"118.900002","0.349000","23.000000","0.006353","0.572000","1531456527"
"34",NULL,"119.199997","0.350000","23.000000","0.006353","0.569000","1531456529"
