app_id,v_val,i_val,p_val,pf_val,date
CFLNewTwentyWatt_appliances,119.5,0.338,22,0.554,1531454541
CFLNewTwentyWatt_appliances,119.099998,0.337,22,0.555,1531454542
CFLNewTwentyWatt_appliances,118.599998,0.338,22,0.558,1531454544
CFLNewTwentyWatt_appliances,119,0.339,22,0.555,1531454546
CFLNewTwentyWatt_appliances,119.300003,0.34,22,0.553,1531454547
CFLNewTwentyWatt_appliances,119.800003,0.34,22,0.551,1531454549
CFLNewTwentyWatt_appliances,119,0.34,22,0.553,1531454550
CFLNewTwentyWatt_appliances,118.300003,0.338,22,0.559,1531454552
CFLNewTwentyWatt_appliances,118.900002,0.339,22,0.556,1531454554
CFLNewTwentyWatt_appliances,119.300003,0.34,22,0.552,1531454555
CFLNewTwentyWatt_appliances,119.199997,0.339,22,0.554,1531454557
CFLNewTwentyWatt_appliances,119.400002,0.342,22,0.552,1531454558
CFLNewTwentyWatt_appliances,119.300003,0.342,22,0.551,1531454560
CFLNewTwentyWatt_appliances,119.5,0.342,22,0.549,1531454562
CFLNewTwentyWatt_appliances,119,0.341,22,0.552,1531454563
CFLNewTwentyWatt_appliances,119,0.341,22,0.552,1531454565
CFLNewTwentyWatt_appliances,119.199997,0.341,22,0.553,1531454567
CFLNewTwentyWatt_appliances,119.199997,0.341,22,0.553,1531454568
CFLNewTwentyWatt_appliances,119,0.34,22,0.558,1531454570
CFLNewTwentyWatt_appliances,119.5,0.34,22,0.554,1531454571
CFLNewTwentyWatt_appliances,119.699997,0.34,22,0.553,1531454573
CFLNewTwentyWatt_appliances,118.900002,0.339,22,0.56,1531454575
CFLNewTwentyWatt_appliances,118.800003,0.34,22,0.559,1531454576
CFLNewTwentyWatt_appliances,118.599998,0.338,22,0.561,1531454578
CFLNewTwentyWatt_appliances,119.199997,0.339,22,0.556,1531454579
CFLNewTwentyWatt_appliances,119.900002,0.341,22,0.55,1531454581
CFLNewTwentyWatt_appliances,119.699997,0.341,22,0.552,1531454583
CFLNewTwentyWatt_appliances,119.699997,0.343,22,0.549,1531454584
CFLNewTwentyWatt_appliances,119.599998,0.342,22,0.549,1531454586
CFLNewTwentyWatt_appliances,118.099998,0.339,22,0.563,1531454587
CFLNewTwentyWatt_appliances,118.800003,0.341,22,0.556,1531454589
CFLNewTwentyWatt_appliances,119.699997,0.344,22,0.546,1531454591
CFLNewTwentyWatt_appliances,119.699997,0.345,22,0.546,1531454592
CFLNewTwentyWatt_appliances,119.599998,0.344,22,0.548,1531454594
CFLNewTwentyWatt_appliances,118.599998,0.339,22,0.559,1531454595
CFLNewTwentyWatt_appliances,118.599998,0.339,22,0.558,1531454597
CFLNewTwentyWatt_appliances,118.599998,0.339,22,0.558,1531454599
CFLNewTwentyWatt_appliances,119.099998,0.339,22,0.555,1531454600
CFLNewTwentyWatt_appliances,119.199997,0.34,22,0.554,1531454602
CFLNewTwentyWatt_appliances,119.300003,0.342,22,0.552,1531454604
CFLNewTwentyWatt_appliances,119.699997,0.343,22,0.55,1531454605
CFLNewTwentyWatt_appliances,119.800003,0.342,22,0.551,1531454607
CFLNewTwentyWatt_appliances,119.199997,0.342,22,0.553,1531454608
CFLNewTwentyWatt_appliances,119.199997,0.342,22,0.555,1531454610
CFLNewTwentyWatt_appliances,119.5,0.342,22,0.552,1531454612
CFLNewTwentyWatt_appliances,118.900002,0.343,22,0.554,1531454613
CFLNewTwentyWatt_appliances,119.599998,0.344,22,0.55,1531454615
CFLNewTwentyWatt_appliances,118.699997,0.343,22,0.553,1531454616
CFLNewTwentyWatt_appliances,118,0.342,22,0.558,1531454618
CFLNewTwentyWatt_appliances,118.699997,0.343,22,0.552,1531454620
CFLNewTwentyWatt_appliances,119.699997,0.342,22,0.55,1531454621
CFLNewTwentyWatt_appliances,119.599998,0.343,22,0.55,1531454623
CFLNewTwentyWatt_appliances,120,0.345,22,0.546,1531454624
CFLNewTwentyWatt_appliances,120.199997,0.345,22,0.544,1531454626
CFLNewTwentyWatt_appliances,119.699997,0.343,22,0.547,1531454628
CFLNewTwentyWatt_appliances,118.900002,0.345,22,0.547,1531454629
CFLNewTwentyWatt_appliances,118.900002,0.345,22,0.549,1531454631
CFLNewTwentyWatt_appliances,119.699997,0.342,22,0.55,1531454633
CFLNewTwentyWatt_appliances,119.5,0.342,22,0.549,1531454634
CFLNewTwentyWatt_appliances,119.599998,0.342,22,0.547,1531454636
