app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattFourYear,119.199997,0.389,46,0.995,1531969425
T5TwentyEightWattFourYear,118.800003,0.39,46,0.996,1531969427
T5TwentyEightWattFourYear,118.300003,0.393,46,0.994,1531969428
T5TwentyEightWattFourYear,118.800003,0.391,46,0.995,1531969430
T5TwentyEightWattFourYear,119,0.392,46,0.993,1531969431
T5TwentyEightWattFourYear,119.199997,0.391,46,0.992,1531969433
T5TwentyEightWattFourYear,118.900002,0.393,46,0.99,1531969435
T5TwentyEightWattFourYear,119.099998,0.392,46,0.99,1531969436
T5TwentyEightWattFourYear,120,0.389,46,0.991,1531969438
T5TwentyEightWattFourYear,119.800003,0.392,46,0.987,1531969439
T5TwentyEightWattFourYear,119.099998,0.394,46,0.986,1531969441
T5TwentyEightWattFourYear,118.199997,0.395,46,0.99,1531969443
T5TwentyEightWattFourYear,117.900002,0.396,46,0.991,1531969444
T5TwentyEightWattFourYear,117.800003,0.397,46,0.992,1531969446
T5TwentyEightWattFourYear,118.300003,0.395,46,0.991,1531969447
T5TwentyEightWattFourYear,118.699997,0.394,46,0.99,1531969449
T5TwentyEightWattFourYear,118.199997,0.394,46,0.996,1531969451
T5TwentyEightWattFourYear,118.400002,0.394,46,0.993,1531969452
T5TwentyEightWattFourYear,118.599998,0.393,46,0.994,1531969454
T5TwentyEightWattFourYear,118.900002,0.392,46,0.992,1531969455
T5TwentyEightWattFourYear,119.599998,0.391,46,0.988,1531969457
T5TwentyEightWattFourYear,119.800003,0.392,46,0.986,1531969458
T5TwentyEightWattFourYear,119.400002,0.392,46,0.989,1531969460
T5TwentyEightWattFourYear,118.699997,0.394,46,0.989,1531969462
T5TwentyEightWattFourYear,118.900002,0.392,46,0.991,1531969463
T5TwentyEightWattFourYear,119,0.39,46,0.995,1531969465
T5TwentyEightWattFourYear,117.900002,0.392,46,1,1531969467
T5TwentyEightWattFourYear,118.800003,0.391,46,0.996,1531969468
T5TwentyEightWattFourYear,119.400002,0.392,46,0.987,1531969470
T5TwentyEightWattFourYear,119.099998,0.394,46,0.985,1531969471
T5TwentyEightWattFourYear,118.599998,0.393,46,0.989,1531969473
T5TwentyEightWattFourYear,118.5,0.393,46,0.991,1531969475
T5TwentyEightWattFourYear,119.099998,0.39,46,0.992,1531969476
T5TwentyEightWattFourYear,119.099998,0.389,46,0.997,1531969478
T5TwentyEightWattFourYear,118.5,0.391,46,0.998,1531969479
T5TwentyEightWattFourYear,118.900002,0.391,46,0.997,1531969481
T5TwentyEightWattFourYear,119.400002,0.389,46,0.997,1531969483
T5TwentyEightWattFourYear,119.300003,0.392,46,0.989,1531969484
T5TwentyEightWattFourYear,118.400002,0.393,46,0.994,1531969486
T5TwentyEightWattFourYear,118.400002,0.392,46,0.999,1531969487
T5TwentyEightWattFourYear,119.400002,0.39,46,0.998,1531969489
T5TwentyEightWattFourYear,119.300003,0.39,46,0.997,1531969490
T5TwentyEightWattFourYear,119.900002,0.39,46,0.992,1531969492
T5TwentyEightWattFourYear,119,0.393,46,0.992,1531969494
T5TwentyEightWattFourYear,119.400002,0.392,46,0.99,1531969495
T5TwentyEightWattFourYear,120.099998,0.389,46,0.988,1531969497
T5TwentyEightWattFourYear,119.400002,0.389,46,0.996,1531969498
T5TwentyEightWattFourYear,119.5,0.389,46,0.996,1531969500
T5TwentyEightWattFourYear,119.199997,0.391,46,0.994,1531969501
T5TwentyEightWattFourYear,118.5,0.394,46,0.992,1531969503
T5TwentyEightWattFourYear,118.800003,0.393,46,0.992,1531969505
T5TwentyEightWattFourYear,119.599998,0.387,46,0.999,1531969506
T5TwentyEightWattFourYear,119.800003,0.388,46,0.995,1531969508
T5TwentyEightWattFourYear,119.800003,0.391,46,0.989,1531969509
T5TwentyEightWattFourYear,118.800003,0.392,46,0.993,1531969511
T5TwentyEightWattFourYear,118.900002,0.392,46,0.992,1531969512
T5TwentyEightWattFourYear,120.099998,0.387,46,0.994,1531969514
T5TwentyEightWattFourYear,119.199997,0.392,46,0.988,1531969516
T5TwentyEightWattFourYear,117.900002,0.395,46,0.991,1531969517
T5TwentyEightWattFourYear,118.800003,0.39,46,0.997,1531969519
T5TwentyEightWattFourYear,119.400002,0.389,46,0.997,1531969520
T5TwentyEightWattFourYear,119,0.39,46,0.992,1531969522
T5TwentyEightWattFourYear,118.599998,0.391,46,0.991,1531969524
T5TwentyEightWattFourYear,119.800003,0.388,46,0.992,1531969525
T5TwentyEightWattFourYear,120.400002,0.385,46,0.994,1531969527
T5TwentyEightWattFourYear,119.5,0.389,46,0.994,1531969528
T5TwentyEightWattFourYear,119,0.391,46,0.993,1531969530
T5TwentyEightWattFourYear,118.5,0.391,46,0.995,1531969532
T5TwentyEightWattFourYear,118.599998,0.391,46,0.991,1531969533
T5TwentyEightWattFourYear,118.800003,0.391,46,0.991,1531969535
T5TwentyEightWattFourYear,119.099998,0.39,46,0.993,1531969536
T5TwentyEightWattFourYear,119.300003,0.389,46,0.993,1531969538
T5TwentyEightWattFourYear,118.900002,0.391,46,0.991,1531969540
T5TwentyEightWattFourYear,118.599998,0.391,46,0.994,1531969541
T5TwentyEightWattFourYear,118.699997,0.389,46,0.998,1531969543
T5TwentyEightWattFourYear,118.599998,0.389,46,0.997,1531969544
T5TwentyEightWattFourYear,118.800003,0.39,46,0.993,1531969546
T5TwentyEightWattFourYear,119.5,0.387,46,0.997,1531969547
T5TwentyEightWattFourYear,119,0.391,46,0.991,1531969549
T5TwentyEightWattFourYear,118.5,0.393,46,0.988,1531969551
T5TwentyEightWattFourYear,119.400002,0.389,46,0.992,1531969552
T5TwentyEightWattFourYear,120.099998,0.387,46,0.993,1531969554
T5TwentyEightWattFourYear,119.5,0.39,46,0.99,1531969555
T5TwentyEightWattFourYear,118.5,0.392,46,0.991,1531969557
T5TwentyEightWattFourYear,117.800003,0.394,46,0.991,1531969558
T5TwentyEightWattFourYear,118.400002,0.392,46,0.992,1531969560
T5TwentyEightWattFourYear,118.699997,0.392,46,0.991,1531969562
T5TwentyEightWattFourYear,118.5,0.394,46,0.988,1531969563
T5TwentyEightWattFourYear,118.400002,0.394,46,0.987,1531969565
T5TwentyEightWattFourYear,118.800003,0.392,46,0.991,1531969566
T5TwentyEightWattFourYear,118.900002,0.392,46,0.991,1531969568
T5TwentyEightWattFourYear,118.199997,0.393,46,0.994,1531969570
T5TwentyEightWattFourYear,119.199997,0.391,46,0.992,1531969571
T5TwentyEightWattFourYear,120,0.39,46,0.989,1531969573
