app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattOneYearTwo,118.5,0.391,46,0.996,1531796526
T5TwentyEightWattOneYearTwo,118,0.395,46,0.997,1531796527
T5TwentyEightWattOneYearTwo,118.199997,0.399,46,0.989,1531796529
T5TwentyEightWattOneYearTwo,118,0.401,46,0.989,1531796531
T5TwentyEightWattOneYearTwo,117.400002,0.403,47,0.996,1531796533
T5TwentyEightWattOneYearTwo,117.300003,0.407,47,0.989,1531796534
T5TwentyEightWattOneYearTwo,117.900002,0.407,47,0.985,1531796536
T5TwentyEightWattOneYearTwo,117.800003,0.407,47,0.988,1531796538
T5TwentyEightWattOneYearTwo,118.099998,0.406,47,0.992,1531796540
T5TwentyEightWattOneYearTwo,118.5,0.405,47,0.996,1531796541
T5TwentyEightWattOneYearTwo,118.599998,0.407,47,0.992,1531796543
T5TwentyEightWattOneYearTwo,117.599998,0.41,48,0.996,1531796545
T5TwentyEightWattOneYearTwo,117.5,0.411,48,0.999,1531796546
T5TwentyEightWattOneYearTwo,118.900002,0.407,48,0.995,1531796548
T5TwentyEightWattOneYearTwo,118.900002,0.408,48,0.995,1531796550
T5TwentyEightWattOneYearTwo,117.800003,0.413,48,0.997,1531796552
T5TwentyEightWattOneYearTwo,116.599998,0.417,48,0.997,1531796553
T5TwentyEightWattOneYearTwo,117,0.419,48,0.991,1531796555
T5TwentyEightWattOneYearTwo,116.900002,0.419,48,0.991,1531796557
T5TwentyEightWattOneYearTwo,117,0.416,48,1,1531796559
T5TwentyEightWattOneYearTwo,117.800003,0.412,48,1,1531796560
T5TwentyEightWattOneYearTwo,118.099998,0.413,48,1,1531796562
T5TwentyEightWattOneYearTwo,117.599998,0.415,48,1,1531796564
T5TwentyEightWattOneYearTwo,117.5,0.416,49,1,1531796566
T5TwentyEightWattOneYearTwo,117.699997,0.418,48,0.995,1531796567
T5TwentyEightWattOneYearTwo,117.300003,0.42,49,0.994,1531796569
T5TwentyEightWattOneYearTwo,117.400002,0.418,49,1,1531796571
T5TwentyEightWattOneYearTwo,117.699997,0.418,49,1,1531796573
T5TwentyEightWattOneYearTwo,116.800003,0.42,49,1,1531796574
T5TwentyEightWattOneYearTwo,116.800003,0.423,49,0.996,1531796576
T5TwentyEightWattOneYearTwo,116.699997,0.424,49,0.994,1531796578
T5TwentyEightWattOneYearTwo,117.900002,0.418,49,0.998,1531796580
T5TwentyEightWattOneYearTwo,119.400002,0.416,49,0.991,1531796581
T5TwentyEightWattOneYearTwo,119.599998,0.417,49,0.991,1531796583
T5TwentyEightWattOneYearTwo,118,0.419,49,0.998,1531796585
T5TwentyEightWattOneYearTwo,117.5,0.419,49,1,1531796586
T5TwentyEightWattOneYearTwo,118,0.419,49,0.996,1531796588
T5TwentyEightWattOneYearTwo,117.400002,0.421,49,0.997,1531796590
T5TwentyEightWattOneYearTwo,117.800003,0.419,49,1,1531796592
T5TwentyEightWattOneYearTwo,117.800003,0.42,49,0.999,1531796593
T5TwentyEightWattOneYearTwo,118,0.42,49,1,1531796595
T5TwentyEightWattOneYearTwo,118.199997,0.419,49,0.998,1531796597
T5TwentyEightWattOneYearTwo,117.599998,0.425,49,0.991,1531796598
T5TwentyEightWattOneYearTwo,117.099998,0.425,49,0.997,1531796600
T5TwentyEightWattOneYearTwo,117.900002,0.421,49,0.998,1531796602
T5TwentyEightWattOneYearTwo,118.300003,0.42,49,0.997,1531796604
T5TwentyEightWattOneYearTwo,117.099998,0.423,49,1,1531796605
T5TwentyEightWattOneYearTwo,117.300003,0.423,49,0.999,1531796607
T5TwentyEightWattOneYearTwo,117.199997,0.424,49,0.998,1531796609
T5TwentyEightWattOneYearTwo,117.400002,0.424,49,0.998,1531796611
T5TwentyEightWattOneYearTwo,117.099998,0.426,49,0.998,1531796612
T5TwentyEightWattOneYearTwo,117.099998,0.425,49,1,1531796614
T5TwentyEightWattOneYearTwo,117.599998,0.422,49,1,1531796616
T5TwentyEightWattOneYearTwo,118,0.424,49,0.994,1531796618
T5TwentyEightWattOneYearTwo,116.5,0.43,49,0.993,1531796619
T5TwentyEightWattOneYearTwo,116.699997,0.427,49,0.999,1531796621
T5TwentyEightWattOneYearTwo,117.800003,0.424,49,0.996,1531796623
T5TwentyEightWattOneYearTwo,116.900002,0.429,49,0.991,1531796624
T5TwentyEightWattOneYearTwo,117.300003,0.425,49,0.997,1531796626
T5TwentyEightWattOneYearTwo,117.599998,0.423,49,1,1531796628
T5TwentyEightWattOneYearTwo,117.699997,0.424,49,0.997,1531796630
T5TwentyEightWattOneYearTwo,118,0.426,49,0.99,1531796632
T5TwentyEightWattOneYearTwo,116.900002,0.428,49,0.998,1531796633
T5TwentyEightWattOneYearTwo,116.800003,0.428,49,1,1531796635
T5TwentyEightWattOneYearTwo,116.5,0.429,49,1,1531796637
T5TwentyEightWattOneYearTwo,117.699997,0.426,49,0.996,1531796639
T5TwentyEightWattOneYearTwo,118.199997,0.426,49,0.99,1531796640
T5TwentyEightWattOneYearTwo,117.900002,0.426,49,0.992,1531796642
T5TwentyEightWattOneYearTwo,117.199997,0.428,49,0.994,1531796644
T5TwentyEightWattOneYearTwo,118.599998,0.424,49,0.99,1531796645
T5TwentyEightWattOneYearTwo,118.599998,0.424,49,0.992,1531796647
T5TwentyEightWattOneYearTwo,118.099998,0.425,49,0.994,1531796649
T5TwentyEightWattOneYearTwo,117.5,0.43,49,0.99,1531796651
T5TwentyEightWattOneYearTwo,117.300003,0.426,49,1,1531796652
T5TwentyEightWattOneYearTwo,117.199997,0.427,49,0.998,1531796654
T5TwentyEightWattOneYearTwo,117.300003,0.427,49,0.996,1531796656
T5TwentyEightWattOneYearTwo,118,0.424,50,1,1531796657
T5TwentyEightWattOneYearTwo,118.599998,0.424,50,0.994,1531796659
T5TwentyEightWattOneYearTwo,118.5,0.423,50,0.998,1531796661
T5TwentyEightWattOneYearTwo,117.800003,0.424,50,1,1531796663
T5TwentyEightWattOneYearTwo,116.699997,0.429,49,0.998,1531796664
T5TwentyEightWattOneYearTwo,117.900002,0.425,49,0.996,1531796666
T5TwentyEightWattOneYearTwo,118.699997,0.423,49,0.996,1531796668
T5TwentyEightWattOneYearTwo,118.199997,0.427,50,0.992,1531796670
T5TwentyEightWattOneYearTwo,118,0.426,50,0.995,1531796671
T5TwentyEightWattOneYearTwo,117.900002,0.427,49,0.993,1531796673
T5TwentyEightWattOneYearTwo,117.699997,0.427,49,0.991,1531796675
T5TwentyEightWattOneYearTwo,117.400002,0.426,50,0.998,1531796677
T5TwentyEightWattOneYearTwo,118.599998,0.424,50,0.993,1531796678
T5TwentyEightWattOneYearTwo,117.800003,0.427,49,0.992,1531796680
T5TwentyEightWattOneYearTwo,117.5,0.43,49,0.988,1531796682
T5TwentyEightWattOneYearTwo,117.599998,0.428,49,0.99,1531796684
T5TwentyEightWattOneYearTwo,117.099998,0.43,49,0.991,1531796685
T5TwentyEightWattOneYearTwo,117,0.431,49,0.99,1531796687
T5TwentyEightWattOneYearTwo,117.400002,0.428,49,0.993,1531796689
T5TwentyEightWattOneYearTwo,117.400002,0.426,49,0.999,1531796691
T5TwentyEightWattOneYearTwo,117.699997,0.424,49,1,1531796692
T5TwentyEightWattOneYearTwo,118.199997,0.425,49,0.992,1531796694
T5TwentyEightWattOneYearTwo,117.5,0.426,49,0.995,1531796696
T5TwentyEightWattOneYearTwo,116.599998,0.431,49,0.992,1531796698
T5TwentyEightWattOneYearTwo,117.300003,0.429,49,0.989,1531796699
T5TwentyEightWattOneYearTwo,117.800003,0.425,49,0.995,1531796701
T5TwentyEightWattOneYearTwo,118.099998,0.425,49,0.993,1531796703
T5TwentyEightWattOneYearTwo,118.800003,0.424,49,0.989,1531796705
T5TwentyEightWattOneYearTwo,117.400002,0.429,49,0.991,1531796706
T5TwentyEightWattOneYearTwo,116.699997,0.431,49,0.992,1531796708
T5TwentyEightWattOneYearTwo,116.599998,0.431,49,0.99,1531796710
T5TwentyEightWattOneYearTwo,117.099998,0.429,49,0.993,1531796712
T5TwentyEightWattOneYearTwo,116.5,0.431,49,0.992,1531796713
T5TwentyEightWattOneYearTwo,116.699997,0.43,49,0.992,1531796715
T5TwentyEightWattOneYearTwo,117.300003,0.428,49,0.99,1531796717
T5TwentyEightWattOneYearTwo,117.699997,0.426,49,0.994,1531796719
T5TwentyEightWattOneYearTwo,117.400002,0.428,49,0.991,1531796720
T5TwentyEightWattOneYearTwo,117.699997,0.425,49,0.996,1531796722
T5TwentyEightWattOneYearTwo,117.199997,0.428,49,0.993,1531796724
T5TwentyEightWattOneYearTwo,118,0.427,49,0.988,1531796725
T5TwentyEightWattOneYearTwo,117.900002,0.425,49,0.994,1531796727
T5TwentyEightWattOneYearTwo,117.900002,0.424,49,0.996,1531796729
T5TwentyEightWattOneYearTwo,118.300003,0.424,49,0.994,1531796731
T5TwentyEightWattOneYearTwo,117.199997,0.425,49,0.998,1531796732
T5TwentyEightWattOneYearTwo,117.400002,0.427,49,0.991,1531796734
T5TwentyEightWattOneYearTwo,117.599998,0.427,49,0.99,1531796736
T5TwentyEightWattOneYearTwo,118.099998,0.422,49,0.997,1531796738
T5TwentyEightWattOneYearTwo,118.300003,0.424,49,0.992,1531796739
T5TwentyEightWattOneYearTwo,118.400002,0.422,49,0.995,1531796741
T5TwentyEightWattOneYearTwo,118.599998,0.423,49,0.992,1531796743
T5TwentyEightWattOneYearTwo,118.699997,0.421,49,0.995,1531796745
T5TwentyEightWattOneYearTwo,117.900002,0.424,49,0.993,1531796746
T5TwentyEightWattOneYearTwo,116.900002,0.428,49,0.995,1531796748
T5TwentyEightWattOneYearTwo,117,0.425,49,1,1531796750
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.997,1531796752
T5TwentyEightWattOneYearTwo,117.5,0.422,49,1,1531796754
T5TwentyEightWattOneYearTwo,117,0.423,49,1,1531796756
T5TwentyEightWattOneYearTwo,117,0.425,49,1,1531796757
T5TwentyEightWattOneYearTwo,117.5,0.425,49,0.994,1531796759
T5TwentyEightWattOneYearTwo,118.099998,0.421,49,1,1531796761
T5TwentyEightWattOneYearTwo,117.699997,0.423,49,0.998,1531796763
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.998,1531796764
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.996,1531796766
T5TwentyEightWattOneYearTwo,117.300003,0.424,49,0.996,1531796768
T5TwentyEightWattOneYearTwo,117.400002,0.426,49,0.991,1531796770
T5TwentyEightWattOneYearTwo,116.800003,0.429,49,0.99,1531796771
T5TwentyEightWattOneYearTwo,117.699997,0.423,49,0.997,1531796773
T5TwentyEightWattOneYearTwo,118,0.422,49,0.995,1531796775
T5TwentyEightWattOneYearTwo,117.199997,0.424,49,0.998,1531796777
T5TwentyEightWattOneYearTwo,116.699997,0.425,49,1,1531796779
T5TwentyEightWattOneYearTwo,116.400002,0.43,49,0.994,1531796780
T5TwentyEightWattOneYearTwo,117.199997,0.427,49,0.993,1531796782
T5TwentyEightWattOneYearTwo,117.400002,0.425,49,0.996,1531796784
T5TwentyEightWattOneYearTwo,117.099998,0.426,49,0.996,1531796785
T5TwentyEightWattOneYearTwo,117.099998,0.424,49,1,1531796787
T5TwentyEightWattOneYearTwo,116.400002,0.426,49,1,1531796789
T5TwentyEightWattOneYearTwo,117,0.426,49,1,1531796791
T5TwentyEightWattOneYearTwo,118.199997,0.422,49,0.993,1531796792
T5TwentyEightWattOneYearTwo,118,0.424,49,0.99,1531796794
T5TwentyEightWattOneYearTwo,118.400002,0.424,49,0.987,1531796796
T5TwentyEightWattOneYearTwo,117.5,0.427,49,0.99,1531796798
T5TwentyEightWattOneYearTwo,118,0.423,49,0.994,1531796799
T5TwentyEightWattOneYearTwo,117.800003,0.425,49,0.992,1531796801
T5TwentyEightWattOneYearTwo,117.300003,0.428,49,0.991,1531796803
T5TwentyEightWattOneYearTwo,117.400002,0.427,49,0.989,1531796805
T5TwentyEightWattOneYearTwo,117.599998,0.422,49,0.998,1531796806
T5TwentyEightWattOneYearTwo,118,0.424,49,0.992,1531796808
T5TwentyEightWattOneYearTwo,117.599998,0.426,49,0.99,1531796810
T5TwentyEightWattOneYearTwo,117.699997,0.423,49,0.995,1531796812
T5TwentyEightWattOneYearTwo,118.5,0.421,49,0.993,1531796813
T5TwentyEightWattOneYearTwo,118,0.42,49,0.998,1531796815
T5TwentyEightWattOneYearTwo,117.5,0.42,49,1,1531796817
T5TwentyEightWattOneYearTwo,118,0.421,49,0.997,1531796819
T5TwentyEightWattOneYearTwo,117.699997,0.421,49,1,1531796820
T5TwentyEightWattOneYearTwo,117.800003,0.422,49,0.997,1531796822
T5TwentyEightWattOneYearTwo,118,0.424,49,0.992,1531796824
T5TwentyEightWattOneYearTwo,116.800003,0.428,49,0.988,1531796825
T5TwentyEightWattOneYearTwo,117.099998,0.427,49,0.991,1531796827
T5TwentyEightWattOneYearTwo,116.800003,0.426,49,0.994,1531796829
T5TwentyEightWattOneYearTwo,117.099998,0.425,49,0.996,1531796831
T5TwentyEightWattOneYearTwo,117.400002,0.424,49,0.996,1531796833
T5TwentyEightWattOneYearTwo,117.300003,0.428,49,0.987,1531796834
T5TwentyEightWattOneYearTwo,118.300003,0.425,49,0.986,1531796836
T5TwentyEightWattOneYearTwo,118.199997,0.422,49,0.995,1531796838
T5TwentyEightWattOneYearTwo,117.199997,0.423,49,1,1531796840
T5TwentyEightWattOneYearTwo,116.300003,0.426,49,1,1531796841
T5TwentyEightWattOneYearTwo,116.699997,0.426,49,0.999,1531796843
T5TwentyEightWattOneYearTwo,117.800003,0.424,49,0.991,1531796845
T5TwentyEightWattOneYearTwo,118.300003,0.426,49,0.984,1531796846
T5TwentyEightWattOneYearTwo,118.099998,0.424,49,0.99,1531796848
T5TwentyEightWattOneYearTwo,118.400002,0.423,49,0.991,1531796850
T5TwentyEightWattOneYearTwo,117.900002,0.423,49,0.994,1531796852
T5TwentyEightWattOneYearTwo,117.099998,0.426,49,0.996,1531796853
T5TwentyEightWattOneYearTwo,117.5,0.425,49,0.995,1531796855
T5TwentyEightWattOneYearTwo,118.099998,0.422,49,0.994,1531796857
T5TwentyEightWattOneYearTwo,118.099998,0.424,49,0.988,1531796859
T5TwentyEightWattOneYearTwo,117.699997,0.422,49,0.999,1531796860
T5TwentyEightWattOneYearTwo,117.699997,0.423,49,0.998,1531796862
T5TwentyEightWattOneYearTwo,117.099998,0.425,49,0.996,1531796864
T5TwentyEightWattOneYearTwo,117.099998,0.424,49,1,1531796866
T5TwentyEightWattOneYearTwo,116.900002,0.425,49,0.999,1531796867
T5TwentyEightWattOneYearTwo,117.400002,0.424,49,0.994,1531796869
T5TwentyEightWattOneYearTwo,118.199997,0.422,49,0.993,1531796871
T5TwentyEightWattOneYearTwo,117.099998,0.426,49,0.995,1531796872
T5TwentyEightWattOneYearTwo,118.199997,0.425,49,0.99,1531796874
T5TwentyEightWattOneYearTwo,118.400002,0.425,49,0.986,1531796876
T5TwentyEightWattOneYearTwo,117.800003,0.424,49,0.994,1531796878
T5TwentyEightWattOneYearTwo,116.5,0.426,49,0.999,1531796879
T5TwentyEightWattOneYearTwo,116.400002,0.429,49,0.995,1531796881
T5TwentyEightWattOneYearTwo,117.5,0.425,49,0.996,1531796883
T5TwentyEightWattOneYearTwo,117.199997,0.423,49,1,1531796884
T5TwentyEightWattOneYearTwo,116.800003,0.427,49,0.996,1531796886
T5TwentyEightWattOneYearTwo,116.800003,0.427,49,0.995,1531796888
T5TwentyEightWattOneYearTwo,117.699997,0.422,49,1,1531796890
T5TwentyEightWattOneYearTwo,117.400002,0.424,49,1,1531796891
T5TwentyEightWattOneYearTwo,117.400002,0.426,49,0.995,1531796893
T5TwentyEightWattOneYearTwo,117.300003,0.427,49,0.993,1531796895
T5TwentyEightWattOneYearTwo,117,0.427,49,0.995,1531796896
T5TwentyEightWattOneYearTwo,117.199997,0.426,49,0.993,1531796898
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.996,1531796900
T5TwentyEightWattOneYearTwo,117.800003,0.423,49,0.996,1531796902
T5TwentyEightWattOneYearTwo,118.400002,0.422,49,0.991,1531796903
T5TwentyEightWattOneYearTwo,118.300003,0.421,49,0.993,1531796905
T5TwentyEightWattOneYearTwo,118.400002,0.42,49,0.995,1531796907
T5TwentyEightWattOneYearTwo,118,0.42,49,1,1531796909
T5TwentyEightWattOneYearTwo,117.5,0.425,49,0.994,1531796910
T5TwentyEightWattOneYearTwo,118,0.422,49,0.996,1531796912
T5TwentyEightWattOneYearTwo,117.5,0.422,49,0.997,1531796914
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.993,1531796916
T5TwentyEightWattOneYearTwo,118.099998,0.425,49,0.988,1531796918
T5TwentyEightWattOneYearTwo,118.599998,0.422,49,0.992,1531796920
T5TwentyEightWattOneYearTwo,118.400002,0.421,49,0.994,1531796921
T5TwentyEightWattOneYearTwo,119.099998,0.418,49,0.997,1531796923
T5TwentyEightWattOneYearTwo,118,0.421,49,0.997,1531796925
T5TwentyEightWattOneYearTwo,116.800003,0.425,49,0.998,1531796927
T5TwentyEightWattOneYearTwo,117.199997,0.423,49,0.999,1531796928
T5TwentyEightWattOneYearTwo,117.5,0.422,49,1,1531796930
T5TwentyEightWattOneYearTwo,116.800003,0.422,49,1,1531796932
T5TwentyEightWattOneYearTwo,117,0.422,49,1,1531796934
T5TwentyEightWattOneYearTwo,116.400002,0.426,49,0.999,1531796935
T5TwentyEightWattOneYearTwo,116.5,0.426,49,0.996,1531796937
T5TwentyEightWattOneYearTwo,116.400002,0.428,49,0.994,1531796939
T5TwentyEightWattOneYearTwo,117.199997,0.426,49,0.993,1531796941
T5TwentyEightWattOneYearTwo,117.300003,0.423,49,1,1531796942
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.996,1531796944
T5TwentyEightWattOneYearTwo,117.300003,0.426,49,0.993,1531796946
T5TwentyEightWattOneYearTwo,117.199997,0.424,49,0.997,1531796948
T5TwentyEightWattOneYearTwo,117.699997,0.421,49,1,1531796949
T5TwentyEightWattOneYearTwo,117.800003,0.422,49,0.996,1531796951
T5TwentyEightWattOneYearTwo,118.199997,0.422,49,0.992,1531796953
T5TwentyEightWattOneYearTwo,117.400002,0.421,49,1,1531796954
T5TwentyEightWattOneYearTwo,118.5,0.42,49,0.996,1531796956
T5TwentyEightWattOneYearTwo,118.099998,0.423,49,0.992,1531796958
T5TwentyEightWattOneYearTwo,117.400002,0.427,49,0.988,1531796960
T5TwentyEightWattOneYearTwo,118.099998,0.426,49,0.986,1531796961
T5TwentyEightWattOneYearTwo,118,0.425,49,0.988,1531796963
T5TwentyEightWattOneYearTwo,118,0.426,49,0.987,1531796965
T5TwentyEightWattOneYearTwo,117.5,0.423,49,0.999,1531796967
T5TwentyEightWattOneYearTwo,117.5,0.424,49,0.994,1531796968
T5TwentyEightWattOneYearTwo,117.300003,0.425,49,0.994,1531796970
