app_table_id,v_val,i_val,p_val,pf_val
BFS,117.199997,2.752,227,0.705
BFS,117.300003,2.746,227,0.705
BFS,115.699997,2.723,226,0.718
BFS,116.199997,2.737,226,0.71
BFS,116.5,2.743,226,0.709
BFS,117.199997,2.733,227,0.708
BFS,117.099998,2.746,227,0.706
BFS,117.099998,2.74,228,0.71
BFS,116,2.709,227,0.723
BFS,116,2.703,227,0.726
BFS,115.900002,2.708,227,0.725
BFS,115.900002,2.712,228,0.724
BFS,116.300003,2.727,227,0.718
BFS,116.699997,2.738,226,0.708
BFS,116.699997,2.71,226,0.715
BFS,115.800003,2.693,227,0.728
BFS,115.199997,2.691,227,0.732
BFS,115.800003,2.707,227,0.723
BFS,115.900002,2.721,227,0.719
BFS,116.699997,2.744,227,0.709
BFS,117.400002,2.754,228,0.706
BFS,117.400002,2.754,227,0.704
BFS,116.900002,2.729,227,0.713
BFS,116.900002,2.728,227,0.713
BFS,116.5,2.741,226,0.708
BFS,115.699997,2.723,226,0.719
BFS,115.400002,2.716,226,0.723
BFS,116.300003,2.711,226,0.717
BFS,115.900002,2.693,224,0.719
BFS,114.900002,2.671,222,0.725
BFS,116,2.68,222,0.714
BFS,116.199997,2.682,222,0.712
BFS,115.599998,2.711,223,0.713
BFS,114.599998,2.704,224,0.724
BFS,114.400002,2.687,225,0.731
BFS,115.599998,2.693,224,0.719
BFS,115.699997,2.677,222,0.716
BFS,116.099998,2.694,222,0.709
BFS,116.599998,2.728,223,0.701
BFS,115.5,2.705,223,0.715
BFS,115,2.694,222,0.717
BFS,114.699997,2.687,221,0.718
BFS,114.699997,2.684,222,0.72
BFS,115.099998,2.713,224,0.718
BFS,115,2.715,224,0.718
BFS,115.099998,2.715,223,0.714
BFS,115.599998,2.703,223,0.713
BFS,115.900002,2.706,223,0.712
BFS,115,2.701,223,0.718
BFS,115.400002,2.707,223,0.713
BFS,115.599998,2.709,223,0.711
BFS,116.699997,2.7,222,0.706
BFS,116.800003,2.687,224,0.713
BFS,115.699997,2.672,224,0.726
BFS,114.400002,2.678,224,0.731
BFS,114.900002,2.702,224,0.721
BFS,116.099998,2.707,225,0.716
BFS,115.199997,2.682,223,0.724
BFS,114.800003,2.666,223,0.729
BFS,114.699997,2.672,223,0.728
BFS,115.400002,2.701,223,0.716
BFS,116.099998,2.714,223,0.709
