app_id,v_val,i_val,p_val,pf_val
FS,118.199997,0.333,22,0.571
FS,119.099998,0.337,22,0.559
FS,118.5,0.336,22,0.566
FS,117.800003,0.333,22,0.574
FS,118,0.334,22,0.571
FS,117.199997,0.332,22,0.577
FS,117.199997,0.332,22,0.579
FS,117.099998,0.33,22,0.582
FS,117.5,0.331,22,0.577
FS,118,0.333,22,0.57
FS,119.5,0.337,22,0.556
FS,119.5,0.335,22,0.558
FS,119.099998,0.331,22,0.57
FS,118.400002,0.33,22,0.575
FS,117.400002,0.329,22,0.581
FS,118.800003,0.332,22,0.567
FS,119.5,0.333,22,0.564
FS,119.800003,0.334,22,0.564
FS,118.5,0.329,22,0.574
FS,117.900002,0.33,22,0.576
FS,118.199997,0.331,22,0.572
FS,119.099998,0.334,22,0.561
FS,119.300003,0.334,22,0.561
FS,118.599998,0.331,22,0.572
FS,118.099998,0.328,22,0.581
FS,118,0.328,22,0.58
FS,118.599998,0.331,22,0.576
FS,118.800003,0.333,22,0.572
FS,119.199997,0.335,22,0.567
FS,119.300003,0.335,22,0.566
FS,119.699997,0.333,22,0.567
FS,119.400002,0.33,22,0.573
FS,118.699997,0.33,22,0.576
FS,117.900002,0.327,22,0.582
FS,118.199997,0.329,22,0.578
FS,119.099998,0.332,22,0.57
FS,119.199997,0.333,22,0.568
FS,119.5,0.331,22,0.573
FS,118.900002,0.328,22,0.581
FS,118.699997,0.329,22,0.579
FS,118.199997,0.329,22,0.584
FS,118.699997,0.332,22,0.577
FS,119.400002,0.33,22,0.572
FS,118.199997,0.328,22,0.584
FS,117.599998,0.327,22,0.59
FS,119.5,0.33,22,0.575
FS,119.5,0.33,22,0.575
FS,118.699997,0.327,22,0.585
FS,118.199997,0.328,22,0.585
FS,118.800003,0.332,22,0.577
FS,119.699997,0.334,22,0.568
FS,119.900002,0.335,22,0.567
FS,119.300003,0.333,22,0.572
FS,119,0.333,22,0.574
FS,119.199997,0.333,22,0.572
FS,119,0.332,22,0.574
FS,119,0.329,22,0.578
FS,119.199997,0.329,22,0.576
FS,118.699997,0.328,22,0.582
FS,117.599998,0.327,22,0.589
FS,117.599998,0.328,22,0.588
FS,118.699997,0.331,22,0.582
FS,119.099998,0.332,22,0.578
FS,119,0.333,22,0.575
FS,118.900002,0.329,22,0.579
FS,119,0.329,22,0.578
FS,119.800003,0.331,22,0.57
FS,119.800003,0.332,22,0.57
FS,118.900002,0.333,22,0.579
FS,118.599998,0.331,23,0.586
FS,118.199997,0.326,22,0.591
FS,118.400002,0.327,22,0.585
FS,117.800003,0.324,22,0.592
FS,118.300003,0.324,22,0.59
FS,118.599998,0.324,22,0.591
FS,118,0.325,22,0.593
FS,117.900002,0.326,22,0.593
FS,118.5,0.327,22,0.588
FS,119.300003,0.329,22,0.579
FS,119.599998,0.328,22,0.58
FS,119.099998,0.325,22,0.586
FS,118.800003,0.327,22,0.583
FS,119.5,0.33,22,0.573
FS,119.900002,0.329,22,0.572
FS,119,0.326,22,0.584
FS,118.300003,0.324,22,0.59
FS,118.099998,0.323,22,0.592
FS,118,0.323,22,0.594
FS,118.099998,0.324,22,0.591
FS,117.900002,0.324,22,0.593
FS,117.800003,0.325,22,0.591
FS,118.300003,0.326,22,0.586
FS,118.400002,0.324,22,0.592
FS,118.099998,0.323,22,0.595
FS,118.099998,0.324,22,0.593
FS,118.300003,0.326,22,0.588
FS,118.800003,0.325,22,0.587
FS,119.400002,0.325,22,0.582
FS,119.599998,0.327,22,0.58
FS,119.599998,0.329,22,0.576
FS,119.900002,0.33,22,0.574
FS,119.599998,0.326,22,0.58
FS,119.099998,0.324,22,0.585
FS,118.900002,0.324,22,0.587
FS,118.300003,0.323,22,0.592
FS,118.300003,0.324,22,0.591
FS,120,0.329,22,0.572
FS,120.5,0.33,22,0.569
FS,120,0.327,22,0.574
FS,119.300003,0.325,22,0.58
FS,118.199997,0.322,22,0.593
FS,118.199997,0.321,22,0.595
FS,118.400002,0.323,22,0.591
FS,119,0.325,22,0.583
FS,120.099998,0.329,22,0.571
FS,120.300003,0.327,22,0.574
FS,119.599998,0.324,22,0.582
FS,119.199997,0.324,22,0.585
FS,118.400002,0.321,22,0.596
FS,118.300003,0.322,22,0.592
FS,118.800003,0.323,22,0.584
FS,118.800003,0.325,22,0.58
FS,119,0.327,22,0.579
FS,120.300003,0.328,22,0.571
FS,120.5,0.328,22,0.568
FS,119.300003,0.326,22,0.577
FS,119,0.326,22,0.581
FS,119,0.325,22,0.581
FS,119.400002,0.327,22,0.574
FS,119.699997,0.327,22,0.573
FS,119.5,0.325,22,0.578
FS,119.400002,0.326,22,0.577
FS,120.400002,0.328,22,0.569
FS,120.199997,0.325,22,0.575
FS,118.800003,0.321,22,0.59
FS,119.099998,0.324,22,0.586
FS,119.5,0.325,22,0.58
FS,119.599998,0.324,22,0.58
FS,119.900002,0.326,22,0.579
FS,119.900002,0.327,22,0.579
FS,119.300003,0.323,22,0.586
FS,119.5,0.323,22,0.586
FS,118.699997,0.322,22,0.59
FS,117.599998,0.321,22,0.595
FS,118.300003,0.323,22,0.588
FS,119.400002,0.325,22,0.58
FS,119.699997,0.324,22,0.579
FS,120.099998,0.325,22,0.574
FS,120,0.324,22,0.578
FS,119.900002,0.324,22,0.58
FS,119.300003,0.322,22,0.584
FS,118.5,0.32,22,0.592
FS,119.599998,0.322,22,0.584
FS,119.900002,0.323,22,0.579
FS,120.099998,0.325,22,0.573
FS,120.400002,0.326,22,0.571
FS,119.900002,0.324,22,0.576
FS,119.300003,0.323,22,0.58
FS,118.800003,0.322,22,0.584
FS,119.099998,0.323,22,0.583
FS,118.699997,0.323,22,0.59
FS,118.099998,0.32,22,0.597
FS,118.699997,0.321,22,0.591
FS,119.300003,0.322,22,0.588
FS,119.599998,0.323,22,0.585
FS,119.900002,0.323,22,0.586
FS,119,0.319,22,0.595
FS,118.900002,0.323,22,0.587
FS,119.800003,0.325,22,0.578
FS,119,0.321,22,0.592
FS,118.599998,0.321,22,0.596
FS,120.5,0.325,22,0.578
FS,120.199997,0.324,22,0.583
FS,120.099998,0.326,22,0.581
FS,120.300003,0.327,22,0.58
FS,119.699997,0.324,22,0.587
FS,119.599998,0.323,22,0.589
FS,120.099998,0.325,22,0.584
FS,120.400002,0.328,22,0.577
FS,120.900002,0.329,22,0.573
FS,120.5,0.327,22,0.579
FS,120.300003,0.326,22,0.581
FS,120.099998,0.326,22,0.582
FS,119.400002,0.324,22,0.59
FS,119.5,0.324,22,0.588
FS,116.400002,0.322,21,0.564
FS,117.300003,0.327,21,0.552
FS,114.699997,0.322,21,1.605
FS,115.599998,0.322,21,0.566
FS,115.400002,0.325,21,0.563
FS,115.300003,0.32,21,1.605
FS,115.400002,0.323,21,0.569
FS,115.800003,0.322,21,0.568
FS,116,0.322,21,0.566
FS,115.599998,0.322,21,0.572
FS,116.099998,0.323,21,0.566
FS,116,0.323,21,0.566
FS,116.199997,0.323,21,0.564
FS,115.400002,0.321,21,0.573
FS,115.699997,0.32,21,0.573
FS,116.199997,0.322,21,0.567
FS,115,0.319,21,0.58
FS,115.800003,0.323,21,0.567
FS,115.400002,0.323,21,0.569
FS,115.5,0.32,21,0.576
FS,116.900002,0.322,21,0.565
FS,116.800003,0.324,21,0.563
FS,115,0.319,20,0.572
FS,114.199997,0.317,21,0.583
FS,114.400002,0.317,21,0.584
FS,115.300003,0.318,21,0.577
FS,116.199997,0.318,21,1.605
FS,116.300003,0.319,21,0.569
FS,115.300003,0.316,21,0.58
FS,114.900002,0.315,21,0.583
FS,114.800003,0.316,21,0.58
FS,114.199997,0.317,21,0.583
FS,114.800003,0.319,21,0.576
FS,115.5,0.321,21,0.57
FS,115.099998,0.316,21,0.58
FS,115.099998,0.316,21,0.581
FS,115.199997,0.318,21,0.574
FS,116.199997,0.318,21,0.571
FS,115.099998,0.314,21,0.585
FS,114.199997,0.314,21,0.584
FS,115.400002,0.318,20,0.569
FS,116.199997,0.319,21,0.569
FS,116.800003,0.319,21,0.567
FS,116.800003,0.319,21,0.569
FS,116,0.315,21,0.58
FS,116.300003,0.316,21,0.576
FS,116.5,0.316,21,0.573
FS,116.400002,0.318,21,0.571
FS,116.099998,0.319,21,0.57
FS,116.099998,0.32,21,0.567
FS,116.099998,0.322,21,0.565
FS,116.099998,0.318,21,0.572
FS,115,0.315,21,0.583
FS,114.5,0.314,21,0.588
FS,115.099998,0.315,21,0.582
FS,116,0.315,20,0.57
FS,115.699997,0.317,20,0.568
FS,115.699997,0.318,21,0.573
FS,114.599998,0.312,21,0.59
FS,115,0.312,21,0.589
FS,115.800003,0.316,21,0.576
FS,115.5,0.318,21,0.573
FS,114.800003,0.316,21,0.581
FS,114.800003,0.313,21,0.585
FS,115.300003,0.312,21,1.605
FS,116.099998,0.316,21,0.572
FS,116.5,0.318,21,0.568
FS,116.5,0.318,21,0.568
FS,115.5,0.316,21,0.575
FS,115.599998,0.316,21,0.575
FS,116,0.318,21,0.572
FS,115.300003,0.316,20,0.573
FS,115.900002,0.316,20,0.571
FS,116,0.316,21,0.578
FS,116.599998,0.317,21,0.569
FS,116.300003,0.314,21,0.575
FS,116.400002,0.312,21,0.578
FS,114.900002,0.309,21,0.59
FS,114.900002,0.312,21,0.587
FS,115.099998,0.312,21,0.586
FS,114.400002,0.311,21,0.592
FS,114.5,0.312,21,0.589
FS,115,0.313,21,0.585
FS,115.599998,0.313,21,0.58
FS,114.699997,0.311,21,0.588
FS,114.5,0.31,20,0.589
FS,114.699997,0.312,21,0.586
FS,115.5,0.31,20,0.584
FS,115.099998,0.314,20,0.578
FS,114.5,0.312,20,0.586
FS,114.900002,0.311,21,0.589
FS,115.300003,0.312,21,0.585
FS,115.400002,0.312,21,0.586
FS,114.800003,0.31,21,0.59
FS,114.400002,0.309,20,0.592
FS,115.400002,0.311,20,0.583
FS,115,0.312,20,0.583
FS,114.599998,0.311,20,0.587
FS,114.900002,0.311,20,0.586
FS,115.800003,0.313,20,0.577
FS,114.300003,0.309,21,1.605
FS,114.800003,0.309,20,0.587
FS,114.5,0.309,20,0.587
FS,114.400002,0.309,20,0.59
FS,115.5,0.311,20,0.58
FS,116.199997,0.314,20,0.571
FS,115.5,0.313,20,0.578
FS,115.099998,0.311,20,0.584
FS,114.5,0.308,20,0.588
FS,115.099998,0.308,20,0.582
FS,115.900002,0.31,20,0.58
FS,116.699997,0.314,20,0.572
FS,116.599998,0.315,20,0.571
FS,116.5,0.315,20,0.569
FS,115.800003,0.31,20,0.582
FS,115.099998,0.308,20,0.59
FS,115.099998,0.31,20,0.587
FS,114.599998,0.308,21,0.595
FS,115.5,0.313,20,0.576
FS,116.099998,0.314,20,0.573
FS,115.699997,0.308,20,0.588
FS,114.699997,0.309,21,0.592
FS,115.199997,0.312,21,0.584
FS,116.400002,0.313,20,0.574
FS,115.300003,0.308,20,0.585
FS,114.800003,0.307,20,0.594
FS,114.199997,0.307,21,0.6
FS,114.400002,0.308,20,0.593
FS,114.699997,0.311,20,0.586
FS,114.5,0.311,21,0.589
FS,114.699997,0.311,21,0.59
FS,114.699997,0.308,21,0.593
FS,114,0.309,20,0.592
FS,114.199997,0.308,20,0.595
FS,115.400002,0.307,20,0.592
FS,116.199997,0.311,20,0.577
FS,115.199997,0.31,21,0.587
FS,114.599998,0.308,21,0.596
FS,115.199997,0.309,20,0.589
FS,115.099998,0.31,21,0.588
FS,114.5,0.308,21,0.596
FS,116,0.312,20,0.576
FS,114.699997,0.309,20,0.586
FS,114.900002,0.308,20,0.589
FS,115.900002,0.31,20,0.581
FS,115.400002,0.309,20,0.586
FS,115.5,0.31,20,0.582
FS,114.699997,0.308,20,0.591
FS,114.900002,0.308,20,0.591
FS,114.900002,0.309,20,0.59
FS,114.300003,0.307,20,0.594
FS,115.400002,0.308,20,0.588
FS,115.900002,0.309,20,0.583
FS,116.199997,0.311,20,0.575
FS,116.300003,0.311,20,0.576
FS,114.900002,0.31,20,0.587
FS,114.900002,0.31,20,0.587
FS,114.5,0.309,20,0.591
FS,115.199997,0.308,20,0.587
FS,115.400002,0.306,20,0.589
FS,115.300003,0.306,20,0.59
FS,115.099998,0.306,20,0.593
FS,115.099998,0.308,20,0.59
FS,115.5,0.31,20,0.585
FS,116,0.311,20,0.578
FS,115.800003,0.31,20,0.58
FS,115.699997,0.309,20,0.582
FS,115.599998,0.307,20,0.586
FS,115.900002,0.307,20,0.587
FS,114.199997,0.305,20,0.602
FS,114.199997,0.304,20,0.601
FS,114.300003,0.304,20,0.599
