app_id,v_val,i_val,p_val,pf_val
HS,111.099998,8.917,984,0.993
HS,110.900002,8.927,984,0.993
HS,110.699997,8.924,983,0.995
HS,110.400002,8.898,984,1
HS,110.599998,8.893,985,1
HS,110.800003,8.888,984,0.999
HS,110.5,8.907,987,1
HS,111.099998,8.894,985,0.997
HS,111,8.882,984,0.997
HS,110.900002,8.871,985,1
HS,111.400002,8.822,986,1
HS,111.900002,8.802,986,1
HS,112.099998,8.761,985,1
HS,112.599998,8.744,984,0.999
HS,112.699997,8.756,984,0.997
HS,112.5,8.806,985,0.993
HS,111.599998,8.884,984,0.992
HS,111.199997,8.916,982,0.99
HS,111,8.904,984,0.995
HS,111.199997,8.85,987,1
HS,111,8.847,986,1
HS,111.699997,8.827,986,0.999
HS,111.400002,8.825,987,1
HS,111.300003,8.812,987,1
HS,111.5,8.864,987,0.998
HS,111.800003,8.798,988,1
HS,111.699997,8.805,988,1
HS,111.699997,8.84,987,0.999
HS,111.199997,8.884,985,0.997
HS,111.099998,8.896,984,0.995
HS,111,8.876,983,0.997
HS,110.400002,8.944,982,0.994
HS,110.400002,8.945,983,0.995
HS,110.400002,8.931,986,0.999
HS,110.300003,8.949,987,1
HS,110.699997,8.93,986,0.997
HS,111.099998,8.886,985,0.997
HS,110.400002,8.923,985,0.999
HS,110.199997,8.915,986,1
HS,110.199997,8.92,985,1
HS,110.699997,8.916,984,0.997
HS,111,8.87,986,1
HS,111.900002,8.773,984,1
HS,112.5,8.759,984,0.998
HS,112.5,8.785,985,0.996
HS,112.300003,8.823,984,0.993
HS,112.199997,8.832,985,0.993
HS,111.199997,8.844,981,0.997
HS,110.599998,8.839,980,1
HS,111.099998,8.838,986,1
HS,111.800003,8.797,985,1
HS,112,8.835,984,0.994
HS,111.599998,8.886,984,0.992
HS,111.300003,8.888,985,0.996
HS,110.900002,8.902,986,0.998
HS,110.800003,8.875,987,1
HS,111,8.884,987,1
HS,111.599998,8.802,987,1
HS,111.800003,8.801,987,1
HS,111.400002,8.866,987,0.999
HS,111.199997,8.9,987,0.998
HS,111.099998,8.915,987,0.997
HS,111.5,8.857,989,1
HS,111.400002,8.865,988,1
HS,111.300003,8.899,988,0.997
HS,110.599998,8.92,989,1
HS,110.5,8.931,988,1
HS,111.400002,8.852,988,1
HS,111.900002,8.813,990,1
HS,112.300003,8.836,991,0.998
HS,112.300003,8.8,989,1
HS,112.400002,8.808,988,0.996
HS,112,8.898,988,0.99
HS,112,8.889,988,0.993
HS,111.400002,8.874,989,1
HS,111.400002,8.873,987,0.999
HS,112,8.829,987,0.998
HS,111.400002,8.889,987,0.996
HS,110.800003,8.897,988,1
HS,111,8.882,989,1
HS,111.900002,8.831,988,1
HS,112.599998,8.861,989,0.991
HS,111.400002,8.923,989,0.994
HS,111.099998,8.929,989,0.996
HS,111,8.927,990,0.999
HS,111,8.942,991,0.998
HS,111.400002,8.905,991,0.998
HS,112,8.838,990,1
HS,112.699997,8.792,991,0.999
HS,112.900002,8.785,990,0.997
HS,112.400002,8.8,990,1
HS,112.400002,8.827,987,0.995
HS,112.599998,8.846,986,0.989
HS,112.099998,8.855,987,0.995
