"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"118.599998","0.087000","6.000000","0.002750","0.637000","1517478326"
"2",NULL,"118.599998","0.087000","6.000000","0.002750","0.640000","1517478327"
"3",NULL,"119.699997","0.084000","6.000000","0.002750","0.652000","1517478329"
"4",NULL,"120.099998","0.084000","6.000000","0.002750","0.654000","1517478330"
"5",NULL,"119.500000","0.084000","6.000000","0.002750","0.655000","1517478332"
"6",NULL,"119.400002","0.085000","6.000000","0.002750","0.653000","1517478334"
"7",NULL,"120.199997","0.085000","6.000000","0.002750","0.645000","1517478335"
"8",NULL,"120.900002","0.084000","6.000000","0.002750","0.642000","1517478337"
"9",NULL,"120.099998","0.085000","6.000000","0.002750","0.638000","1517478338"
"10",NULL,"120.199997","0.086000","6.000000","0.002750","0.637000","1517478340"
"11",NULL,"120.699997","0.084000","6.000000","0.002750","0.647000","1517478341"
"12",NULL,"120.199997","0.083000","6.000000","0.002750","0.659000","1517478343"
"13",NULL,"120.300003","0.083000","6.000000","0.002750","0.658000","1517478345"
"14",NULL,"120.400002","0.084000","6.000000","0.002750","0.647000","1517478346"
"15",NULL,"121.000000","0.084000","6.000000","0.002750","0.640000","1517478348"
"16",NULL,"120.800003","0.084000","6.000000","0.002750","0.643000","1517478350"
"17",NULL,"119.099998","0.087000","6.000000","0.002750","0.636000","1517478351"
"18",NULL,"119.000000","0.086000","6.000000","0.002750","0.638000","1517478353"
"19",NULL,"119.599998","0.084000","6.000000","0.002750","0.649000","1517478355"
"20",NULL,"119.300003","0.085000","6.000000","0.002750","0.650000","1517478356"
"21",NULL,"120.099998","0.085000","6.000000","0.002750","0.647000","1517478358"
"22",NULL,"120.900002","0.084000","6.000000","0.002750","0.650000","1517478360"
"23",NULL,"120.699997","0.084000","6.000000","0.002750","0.648000","1517478361"
"24",NULL,"120.099998","0.085000","6.000000","0.002750","0.641000","1517478363"
"25",NULL,"118.900002","0.087000","6.000000","0.002750","0.636000","1517478364"
"26",NULL,"120.400002","0.085000","6.000000","0.002750","0.641000","1517478366"
"27",NULL,"121.099998","0.084000","6.000000","0.002750","0.645000","1517478368"
"28",NULL,"120.500000","0.085000","6.000000","0.002750","0.633000","1517478369"
"29",NULL,"119.199997","0.087000","6.000000","0.002750","0.625000","1517478371"
"30",NULL,"119.800003","0.087000","6.000000","0.002750","0.633000","1517478373"
"31",NULL,"120.099998","0.085000","6.000000","0.002750","0.644000","1517478374"
"32",NULL,"119.500000","0.085000","6.000000","0.002750","0.645000","1517478376"
"33",NULL,"119.099998","0.086000","6.000000","0.002750","0.643000","1517478377"
"34",NULL,"118.900002","0.086000","6.000000","0.002750","0.643000","1517478379"
"35",NULL,"119.599998","0.084000","6.000000","0.002750","0.645000","1517478380"
"36",NULL,"119.800003","0.085000","6.000000","0.002750","0.640000","1517478382"
"37",NULL,"119.500000","0.086000","6.000000","0.002750","0.635000","1517478384"
"38",NULL,"119.500000","0.085000","6.000000","0.002750","0.631000","1517478385"
"39",NULL,"119.800003","0.085000","6.000000","0.002750","0.630000","1517478387"
"40",NULL,"120.199997","0.085000","6.000000","0.002750","0.633000","1517478389"
"41",NULL,"120.099998","0.084000","6.000000","0.002750","0.647000","1517478390"
"42",NULL,"119.599998","0.085000","6.000000","0.002750","0.649000","1517478392"
"43",NULL,"118.599998","0.087000","6.000000","0.002750","0.636000","1517478393"
"44",NULL,"118.300003","0.089000","6.000000","0.002750","0.624000","1517478395"
"45",NULL,"118.500000","0.088000","6.000000","0.002750","0.628000","1517478397"
"46",NULL,"119.000000","0.087000","6.000000","0.002750","0.635000","1517478398"
"47",NULL,"119.300003","0.086000","6.000000","0.002750","0.637000","1517478400"
"48",NULL,"120.000000","0.085000","6.000000","0.002750","0.642000","1517478402"
"49",NULL,"119.400002","0.086000","6.000000","0.002750","0.632000","1517478403"
"50",NULL,"119.000000","0.086000","6.000000","0.002750","0.639000","1517478405"
"51",NULL,"119.000000","0.087000","6.000000","0.002750","0.635000","1517478407"
"52",NULL,"118.500000","0.088000","6.000000","0.002750","0.636000","1517478408"
"53",NULL,"118.699997","0.086000","6.000000","0.002750","0.640000","1517478410"
"54",NULL,"119.199997","0.086000","6.000000","0.002750","0.635000","1517478412"
"55",NULL,"120.099998","0.085000","6.000000","0.002750","0.640000","1517478413"
"56",NULL,"119.300003","0.086000","6.000000","0.002750","0.637000","1517478415"
"57",NULL,"119.199997","0.086000","6.000000","0.002750","0.641000","1517478417"
"58",NULL,"119.900002","0.084000","6.000000","0.002750","0.650000","1517478418"
"59",NULL,"119.699997","0.086000","6.000000","0.002750","0.641000","1517478420"
"60",NULL,"119.800003","0.086000","6.000000","0.002750","0.637000","1517478422"
"61",NULL,"121.000000","0.085000","6.000000","0.002750","0.641000","1517478423"
"62",NULL,"120.400002","0.087000","6.000000","0.002750","0.626000","1517478425"
"63",NULL,"120.199997","0.087000","6.000000","0.002750","0.623000","1517478426"
"64",NULL,"119.699997","0.085000","6.000000","0.002750","0.641000","1517478428"
"65",NULL,"119.500000","0.085000","6.000000","0.002750","0.637000","1517478430"
"66",NULL,"119.300003","0.086000","6.000000","0.002750","0.640000","1517478431"
"67",NULL,"119.300003","0.085000","6.000000","0.002750","0.645000","1517478433"
"68",NULL,"119.500000","0.084000","6.000000","0.002750","0.648000","1517478435"
"69",NULL,"119.400002","0.085000","6.000000","0.002750","0.646000","1517478436"
"70",NULL,"119.800003","0.086000","6.000000","0.002750","0.636000","1517478438"
"71",NULL,"120.099998","0.086000","6.000000","0.002750","0.633000","1517478439"
"72",NULL,"119.599998","0.085000","6.000000","0.002750","0.644000","1517478441"
"73",NULL,"119.099998","0.085000","6.000000","0.002750","0.646000","1517478443"
"74",NULL,"119.199997","0.086000","6.000000","0.002750","0.638000","1517478444"
"75",NULL,"120.099998","0.086000","6.000000","0.002750","0.632000","1517478446"
"76",NULL,"120.400002","0.085000","6.000000","0.002750","0.639000","1517478448"
"77",NULL,"120.400002","0.085000","6.000000","0.002750","0.643000","1517478449"
"78",NULL,"120.699997","0.085000","6.000000","0.002750","0.641000","1517478451"
"79",NULL,"120.099998","0.084000","6.000000","0.002750","0.648000","1517478452"
"80",NULL,"118.800003","0.086000","6.000000","0.002750","0.640000","1517478454"
"81",NULL,"118.300003","0.088000","6.000000","0.002750","0.630000","1517478456"
"82",NULL,"119.500000","0.086000","6.000000","0.002750","0.634000","1517478457"
"83",NULL,"119.900002","0.086000","6.000000","0.002750","0.637000","1517478459"
"84",NULL,"119.800003","0.085000","6.000000","0.002750","0.638000","1517478461"
"85",NULL,"119.900002","0.085000","6.000000","0.002750","0.641000","1517478462"
"86",NULL,"119.699997","0.085000","6.000000","0.002750","0.639000","1517478464"
"87",NULL,"119.599998","0.085000","6.000000","0.002750","0.637000","1517478466"
"88",NULL,"119.900002","0.085000","6.000000","0.002750","0.639000","1517478467"
"89",NULL,"120.000000","0.084000","6.000000","0.002750","0.651000","1517478469"
"90",NULL,"120.300003","0.084000","6.000000","0.002750","0.646000","1517478470"
"91",NULL,"119.699997","0.085000","6.000000","0.002750","0.637000","1517478472"
"92",NULL,"119.400002","0.085000","6.000000","0.002750","0.639000","1517478474"
"93",NULL,"119.599998","0.085000","6.000000","0.002750","0.647000","1517478475"
"94",NULL,"119.000000","0.085000","6.000000","0.002750","0.652000","1517478477"
"95",NULL,"118.800003","0.085000","6.000000","0.002750","0.652000","1517478479"
"96",NULL,"119.699997","0.084000","6.000000","0.002750","0.646000","1517478480"
"97",NULL,"119.199997","0.085000","6.000000","0.002750","0.636000","1517478482"
"98",NULL,"119.599998","0.085000","6.000000","0.002750","0.633000","1517478484"
"99",NULL,"119.699997","0.086000","6.000000","0.002750","0.633000","1517478485"
"100",NULL,"119.900002","0.086000","6.000000","0.002750","0.631000","1517478487"
"101",NULL,"120.900002","0.084000","6.000000","0.002750","0.643000","1517478488"
"102",NULL,"120.300003","0.085000","6.000000","0.002750","0.640000","1517478490"
"103",NULL,"120.300003","0.084000","6.000000","0.002750","0.641000","1517478492"
"104",NULL,"120.900002","0.084000","6.000000","0.002750","0.645000","1517478493"
