app_id,v_val,i_val,p_val,pf_val
BSC,113.300003,9.348,1061,1
BSC,112.300003,9.431,1060,1
BSC,112.900002,9.431,1060,0.995
BSC,113.599998,9.408,1061,0.991
BSC,113.800003,9.385,1061,0.993
BSC,114,9.341,1063,0.998
BSC,113.199997,9.357,1064,1
BSC,112.800003,9.375,1061,1.605
BSC,112.699997,9.398,1060,1
BSC,113.800003,9.35,1060,0.996
BSC,113.900002,9.345,1060,0.996
BSC,112.800003,9.388,1062,1
BSC,114.5,9.35,1061,1.605
BSC,114,9.324,1059,0.996
BSC,114.199997,9.329,1063,1.605
BSC,113.400002,9.412,1062,0.995
BSC,113.400002,9.386,1062,1.605
BSC,113,9.345,1062,1
BSC,113.300003,9.387,1062,0.998
BSC,113.5,9.37,1064,1
BSC,114.300003,9.335,1062,0.995
BSC,113.699997,9.401,1061,0.992
BSC,114.300003,9.349,1064,0.995
BSC,114.099998,9.343,1064,0.997
BSC,112.800003,9.388,1061,1
BSC,114.300003,9.36,1058,0.989
BSC,113.900002,9.331,1059,0.996
BSC,113.400002,9.338,1060,1
BSC,113.400002,9.369,1060,0.997
BSC,114,9.362,1059,0.992
BSC,113.699997,9.358,1058,0.994
BSC,113.300003,9.337,1059,1
BSC,113.099998,9.349,1060,1
BSC,113.599998,9.406,1060,0.991
BSC,114.199997,9.358,1059,0.99
BSC,114.199997,9.286,1061,1
BSC,113.400002,9.328,1061,1
BSC,112.5,9.471,1061,0.996
BSC,113.699997,9.359,1061,0.997
BSC,114,9.289,1060,1
BSC,112.699997,9.381,1057,0.999
BSC,113.599998,9.341,1056,0.994
BSC,114.300003,9.271,1058,0.998
BSC,113.300003,9.313,1059,1
BSC,113.199997,9.368,1057,0.996
BSC,114.099998,9.308,1056,0.994
BSC,113.300003,9.358,1058,0.997
BSC,113.599998,9.351,1057,0.994
BSC,114.400002,9.285,1057,0.994
BSC,113.099998,9.352,1056,0.998
BSC,112.900002,9.406,1056,0.994
BSC,113.900002,9.341,1060,0.996
BSC,114.199997,9.291,1061,1
BSC,114.099998,9.343,1062,0.995
BSC,113.800003,9.371,1062,0.995
BSC,113.099998,9.393,1061,0.998
BSC,113.800003,9.38,1060,0.993
BSC,114.599998,9.323,1059,0.99
