app_id,v_val,i_val,p_val,pf_val
CFSHWIPTR,111.400002,8.422,903,0.962
CFSHWIPTR,110,8.426,902,0.974
CFSHWIPTR,109.599998,8.826,900,1.605
CFSHWIPTR,109.900002,8.855,899,0.923
CFSHWIPTR,111.300003,8.54,902,0.948
CFSHWIPTR,112.099998,8.444,904,0.955
CFSHWIPTR,112,8.288,904,0.973
CFSHWIPTR,111.199997,8.059,903,1
CFSHWIPTR,110.300003,7.981,903,1
CFSHWIPTR,110.5,7.974,904,1
CFSHWIPTR,111.900002,8.035,904,1
CFSHWIPTR,112.599998,8.151,903,0.983
CFSHWIPTR,112.599998,8.244,901,0.97
CFSHWIPTR,110.900002,8.604,902,0.945
CFSHWIPTR,110.300003,8.722,904,0.939
CFSHWIPTR,111,8.59,902,0.946
CFSHWIPTR,110.599998,8.642,901,0.943
CFSHWIPTR,110.400002,8.715,901,0.936
CFSHWIPTR,110.5,8.585,900,0.95
CFSHWIPTR,110.400002,8.583,899,0.95
CFSHWIPTR,109.800003,8.873,900,0.924
CFSHWIPTR,109.800003,8.874,901,0.924
CFSHWIPTR,111.099998,8.656,898,0.934
CFSHWIPTR,111.199997,8.635,898,0.935
CFSHWIPTR,111.199997,8.558,898,0.944
CFSHWIPTR,111.199997,8.672,898,0.931
CFSHWIPTR,111.599998,8.608,899,0.935
CFSHWIPTR,112.300003,8.417,899,0.95
CFSHWIPTR,112,8.316,899,0.964
CFSHWIPTR,111,8.348,902,0.974
CFSHWIPTR,110.5,8.256,900,0.987
CFSHWIPTR,110.5,8.153,895,0.994
CFSHWIPTR,110.300003,8.129,898,1
CFSHWIPTR,110.5,8.123,901,1
CFSHWIPTR,110.099998,8.132,901,1
CFSHWIPTR,110,8.129,899,1
CFSHWIPTR,110,7.96,899,1
CFSHWIPTR,110,7.961,901,1
CFSHWIPTR,110.300003,7.965,903,1
CFSHWIPTR,110.599998,8.197,902,0.995
CFSHWIPTR,110.699997,8.207,902,0.993
CFSHWIPTR,111.599998,8.144,904,0.994
CFSHWIPTR,112.099998,8.16,903,0.986
CFSHWIPTR,112,8.26,902,0.976
CFSHWIPTR,111.699997,8.293,902,0.974
CFSHWIPTR,112.199997,8.2,903,0.981
CFSHWIPTR,112,8.155,902,0.987
CFSHWIPTR,111.699997,8.171,902,0.988
CFSHWIPTR,111.300003,8.461,903,0.958
CFSHWIPTR,110.699997,8.554,904,0.954
CFSHWIPTR,110.099998,8.555,902,0.958
CFSHWIPTR,110.199997,8.599,901,0.952
CFSHWIPTR,110.400002,8.692,902,0.939
CFSHWIPTR,110.900002,8.588,902,0.948
CFSHWIPTR,111.400002,8.545,900,0.946
CFSHWIPTR,111.800003,8.536,898,0.942
CFSHWIPTR,111.599998,8.507,899,0.947
CFSHWIPTR,111.599998,8.493,899,0.948
CFSHWIPTR,112,8.469,899,0.947
CFSHWIPTR,112,8.456,899,0.949
CFSHWIPTR,111.900002,8.294,899,1.605
CFSHWIPTR,111.699997,8.369,901,0.964
CFSHWIPTR,111.599998,8.301,902,0.973
CFSHWIPTR,111.599998,8.139,900,0.991
CFSHWIPTR,110.900002,8.076,900,1
CFSHWIPTR,110.099998,7.974,901,1
CFSHWIPTR,110.5,7.983,901,1
CFSHWIPTR,111.099998,8.042,901,1
CFSHWIPTR,111.400002,8.139,900,0.992
CFSHWIPTR,111,8.515,898,0.95
CFSHWIPTR,110.400002,8.784,900,0.927
CFSHWIPTR,110.099998,8.851,899,0.922
CFSHWIPTR,110.599998,8.573,900,0.949
CFSHWIPTR,111.300003,8.471,900,0.954
CFSHWIPTR,111.199997,8.593,900,0.942
CFSHWIPTR,111.699997,8.281,900,0.972
CFSHWIPTR,111.599998,8.235,898,0.977
CFSHWIPTR,111.300003,8.416,897,0.958
CFSHWIPTR,111.199997,8.438,898,0.958
CFSHWIPTR,111.099998,8.205,898,0.986
CFSHWIPTR,111.400002,8.266,899,0.977
CFSHWIPTR,111.699997,8.54,899,0.942
CFSHWIPTR,111.199997,8.615,899,0.938
CFSHWIPTR,110.599998,8.711,898,0.932
CFSHWIPTR,111,8.564,898,0.945
CFSHWIPTR,111,8.542,900,0.949
CFSHWIPTR,111.300003,8.562,900,0.945
CFSHWIPTR,111.400002,8.496,899,0.95
CFSHWIPTR,111.699997,8.324,899,0.968
CFSHWIPTR,111.900002,8.171,901,0.985
CFSHWIPTR,111.300003,8.175,902,0.991
CFSHWIPTR,111.300003,8.049,903,1
CFSHWIPTR,112,8.07,903,0.998
CFSHWIPTR,111.599998,8.371,902,0.966
CFSHWIPTR,111.400002,8.521,903,0.951
CFSHWIPTR,111.400002,8.523,903,0.951
CFSHWIPTR,111.400002,8.512,903,0.952
CFSHWIPTR,111,8.635,904,0.942
CFSHWIPTR,111.099998,8.674,904,0.938
CFSHWIPTR,111.400002,8.536,905,0.952
CFSHWIPTR,111.099998,8.374,903,0.971
CFSHWIPTR,110.699997,8.29,903,0.985
CFSHWIPTR,110.099998,8.307,906,0.992
CFSHWIPTR,110.599998,8.181,905,1
CFSHWIPTR,110.699997,8.174,905,1
CFSHWIPTR,110.800003,8.235,906,0.995
CFSHWIPTR,110.800003,8.238,906,0.994
CFSHWIPTR,110.599998,8.21,903,0.996
CFSHWIPTR,110.900002,8.213,903,0.993
CFSHWIPTR,111.099998,8.213,905,0.993
CFSHWIPTR,111.099998,8.061,904,1
CFSHWIPTR,111.099998,8.061,902,1
CFSHWIPTR,110.900002,8.256,902,0.988
CFSHWIPTR,110.900002,8.029,905,1
CFSHWIPTR,110.699997,8.029,905,1
CFSHWIPTR,111.199997,8.058,906,1
CFSHWIPTR,111.300003,8.057,905,1
CFSHWIPTR,110.599998,7.98,902,1
CFSHWIPTR,110.699997,7.982,902,1
CFSHWIPTR,111.099998,7.984,903,1
CFSHWIPTR,110.800003,8.276,904,0.987
CFSHWIPTR,110.199997,8.573,906,0.96
CFSHWIPTR,111.5,8.12,906,1
CFSHWIPTR,111.800003,8.129,906,0.997
CFSHWIPTR,112.099998,8.148,903,0.988
CFSHWIPTR,112,8.057,902,0.999
CFSHWIPTR,112.199997,8.084,904,0.995
CFSHWIPTR,112.199997,8.16,901,0.984
CFSHWIPTR,112.199997,8.197,901,0.979
CFSHWIPTR,112,8.192,902,0.983
CFSHWIPTR,111,8.25,901,0.984
CFSHWIPTR,110.800003,8.28,900,0.981
CFSHWIPTR,111.5,8.308,902,0.973
CFSHWIPTR,111.300003,8.462,902,0.959
CFSHWIPTR,111.5,8.568,901,0.943
CFSHWIPTR,111.099998,8.283,902,0.98
CFSHWIPTR,111.300003,8.281,902,0.979
CFSHWIPTR,111.800003,8.435,902,0.956
CFSHWIPTR,111.699997,8.45,902,0.955
CFSHWIPTR,111,8.633,903,0.942
CFSHWIPTR,110.599998,8.675,905,0.942
CFSHWIPTR,110.800003,8.676,908,0.943
CFSHWIPTR,110.699997,8.734,907,0.938
CFSHWIPTR,110.400002,8.573,905,0.957
CFSHWIPTR,110.300003,8.611,904,0.953
CFSHWIPTR,110,8.587,903,0.958
CFSHWIPTR,110.400002,8.571,904,0.957
CFSHWIPTR,112.199997,8.558,904,0.941
CFSHWIPTR,111.599998,8.339,903,0.97
CFSHWIPTR,111.599998,8.213,904,0.986
CFSHWIPTR,110.900002,8.365,903,0.974
CFSHWIPTR,111,8.128,902,1
CFSHWIPTR,110.900002,8.098,903,1
CFSHWIPTR,110.400002,8.198,903,1
CFSHWIPTR,110.400002,8.193,903,0.999
CFSHWIPTR,111.300003,8.071,901,1
CFSHWIPTR,111.5,8.014,902,1
CFSHWIPTR,112,8.041,901,1
CFSHWIPTR,112.400002,8.129,899,0.984
CFSHWIPTR,112.400002,8.197,900,0.976
CFSHWIPTR,111.800003,8.41,901,0.958
CFSHWIPTR,111.099998,8.546,902,0.949
CFSHWIPTR,110.800003,8.61,901,0.945
CFSHWIPTR,109.900002,8.547,902,0.962
CFSHWIPTR,110.599998,8.48,903,0.964
CFSHWIPTR,112,8.333,903,0.968
CFSHWIPTR,111.300003,8.149,902,0.994
CFSHWIPTR,110.400002,8.037,902,1
CFSHWIPTR,110.5,7.99,902,1
CFSHWIPTR,111.199997,8.026,902,1
CFSHWIPTR,111.300003,8.401,903,0.966
CFSHWIPTR,111.300003,8.548,904,0.95
CFSHWIPTR,110.900002,8.68,904,0.939
CFSHWIPTR,110,8.846,904,0.928
CFSHWIPTR,110.199997,8.89,903,0.921
CFSHWIPTR,111.099998,8.62,903,0.944
CFSHWIPTR,111.300003,8.602,903,0.944
CFSHWIPTR,110.699997,8.85,903,0.92
CFSHWIPTR,110.599998,8.845,902,0.921
CFSHWIPTR,110.699997,8.753,902,0.93
CFSHWIPTR,111.199997,8.56,902,0.948
CFSHWIPTR,111.099998,8.56,901,0.948
CFSHWIPTR,110.699997,8.482,902,0.962
CFSHWIPTR,111,8.409,900,0.966
CFSHWIPTR,111.699997,8.433,899,0.954
CFSHWIPTR,111.5,8.319,899,0.969
CFSHWIPTR,110.599998,8.359,900,0.974
CFSHWIPTR,110.599998,8.152,901,1
CFSHWIPTR,110.300003,8.123,901,1
CFSHWIPTR,110.400002,8.251,900,0.99
CFSHWIPTR,110.5,8.269,900,0.987
CFSHWIPTR,111.599998,8.055,900,1
CFSHWIPTR,112,8.31,899,0.966
CFSHWIPTR,112,8.362,900,0.961
CFSHWIPTR,112.5,8.278,901,0.968
CFSHWIPTR,112.199997,8.32,902,0.966
CFSHWIPTR,111.800003,8.401,902,0.96
CFSHWIPTR,111.699997,8.443,902,0.956
CFSHWIPTR,111.5,8.437,901,0.958
CFSHWIPTR,111,8.48,899,0.955
CFSHWIPTR,109.900002,8.654,899,0.945
CFSHWIPTR,109.699997,8.47,899,0.968
CFSHWIPTR,109.599998,8.503,899,0.965
CFSHWIPTR,110.099998,8.542,899,0.957
CFSHWIPTR,110.199997,8.566,900,0.954
CFSHWIPTR,110.199997,8.581,898,0.951
CFSHWIPTR,110,8.585,899,0.952
CFSHWIPTR,110.400002,8.597,899,0.949
CFSHWIPTR,110.699997,8.587,899,0.947
CFSHWIPTR,110.800003,8.568,899,0.948
CFSHWIPTR,111.099998,8.562,899,0.946
CFSHWIPTR,111.5,8.509,899,0.947
CFSHWIPTR,111,8.675,901,0.935
CFSHWIPTR,111.699997,8.409,901,0.959
CFSHWIPTR,111.699997,8.312,901,0.97
CFSHWIPTR,111.400002,8.331,902,0.972
CFSHWIPTR,110.800003,8.26,902,0.987
CFSHWIPTR,110.300003,8.173,903,1
CFSHWIPTR,110.699997,7.985,903,1
CFSHWIPTR,111.199997,8.005,903,1
CFSHWIPTR,111.699997,8.111,904,0.998
