"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.500000","4.754000","539.000000","0.002675","0.982000","1517476377"
"2",NULL,"116.300003","4.990000","540.000000","0.002675","0.933000","1517476379"
"3",NULL,"116.500000","5.060000","540.000000","0.002675","0.918000","1517476380"
"4",NULL,"118.199997","1.909000","194.000000","0.002675","0.699000","1517476382"
"5",NULL,"118.900002","0.318000","22.000000","0.002675","0.595000","1517476383"
"6",NULL,"119.300003","0.320000","22.000000","0.002675","0.588000","1517476385"
"7",NULL,"116.300003","3.239000","369.000000","0.002675","0.864000","1517476387"
"8",NULL,"114.900002","4.751000","541.000000","0.002675","0.992000","1517476388"
"9",NULL,"116.300003","4.969000","541.000000","0.002675","0.939000","1517476390"
"10",NULL,"116.000000","5.317000","542.000000","0.002675","0.879000","1517476391"
"11",NULL,"115.500000","5.095000","541.000000","0.002675","0.925000","1517476393"
"12",NULL,"116.000000","5.146000","542.000000","0.002675","0.913000","1517476395"
"13",NULL,"116.800003","5.276000","542.000000","0.002675","0.881000","1517476396"
"14",NULL,"116.800003","4.853000","542.000000","0.002675","0.958000","1517476398"
"15",NULL,"117.000000","4.772000","540.000000","0.002675","0.968000","1517476399"
"16",NULL,"116.300003","4.727000","540.000000","0.002675","0.982000","1517476401"
"17",NULL,"115.500000","4.678000","540.000000","0.002675","0.999000","1517476402"
"18",NULL,"115.300003","4.667000","540.000000","0.002675","1.000000","1517476404"
"19",NULL,"114.900002","4.670000","541.000000","0.002675","1.000000","1517476406"
"20",NULL,"115.800003","4.736000","541.000000","0.002675","0.988000","1517476407"
"21",NULL,"115.900002","4.733000","541.000000","0.002675","0.987000","1517476409"
"22",NULL,"115.400002","4.968000","541.000000","0.002678","0.948000","1517476410"
"23",NULL,"116.099998","5.001000","541.000000","0.002678","0.936000","1517476412"
"24",NULL,"116.800003","5.041000","542.000000","0.002678","0.923000","1517476414"
"25",NULL,"117.000000","5.093000","542.000000","0.002678","0.909000","1517476415"
"26",NULL,"116.000000","4.994000","542.000000","0.002678","0.938000","1517476417"
"27",NULL,"114.900002","4.979000","542.000000","0.002678","0.954000","1517476418"
"28",NULL,"115.000000","5.292000","542.000000","0.002678","0.896000","1517476420"
"29",NULL,"115.900002","5.492000","542.000000","0.002678","0.852000","1517476422"
"30",NULL,"116.699997","5.134000","542.000000","0.002678","0.908000","1517476423"
"31",NULL,"116.599998","5.014000","542.000000","0.002678","0.929000","1517476425"
"32",NULL,"116.699997","4.982000","542.000000","0.002678","0.933000","1517476427"
"33",NULL,"116.400002","5.079000","541.000000","0.002678","0.917000","1517476428"
"34",NULL,"116.199997","5.068000","540.000000","0.002678","0.920000","1517476430"
"35",NULL,"116.900002","4.934000","541.000000","0.002678","0.937000","1517476431"
"36",NULL,"117.000000","4.995000","540.000000","0.002678","0.924000","1517476433"
