app_id,v_val,i_val,p_val,pf_val
CSBHWIPTR,109.900002,9.473,979,0.94
CSBHWIPTR,110,9.526,979,0.934
CSBHWIPTR,110.800003,9.43,981,0.939
CSBHWIPTR,111,9.412,982,0.939
CSBHWIPTR,111.5,9.298,981,0.945
CSBHWIPTR,112.300003,9.013,981,0.969
CSBHWIPTR,112.099998,8.898,982,0.984
CSBHWIPTR,110.800003,8.758,981,1
CSBHWIPTR,110.699997,8.839,983,1
CSBHWIPTR,110.699997,8.821,984,1
CSBHWIPTR,111.5,8.751,985,1
CSBHWIPTR,111.400002,9.057,984,0.976
CSBHWIPTR,111.300003,9.289,983,0.951
CSBHWIPTR,111.900002,9.077,983,0.968
CSBHWIPTR,112.199997,9.039,984,0.97
CSBHWIPTR,111.699997,9.151,983,0.962
CSBHWIPTR,110.800003,9.151,983,0.97
CSBHWIPTR,110.5,9.549,982,0.931
CSBHWIPTR,110.300003,9.56,980,0.929
CSBHWIPTR,111.400002,9.238,980,0.953
CSBHWIPTR,111.800003,9.141,982,0.96
CSBHWIPTR,111.5,9.009,982,0.978
CSBHWIPTR,112.199997,9.064,981,0.964
CSBHWIPTR,112.199997,9.017,981,0.969
CSBHWIPTR,111.400002,8.828,978,0.994
CSBHWIPTR,112.199997,8.836,980,0.988
CSBHWIPTR,111.900002,8.818,982,0.995
CSBHWIPTR,110.900002,9.009,982,0.982
CSBHWIPTR,111,8.992,982,0.984
CSBHWIPTR,111.099998,8.735,983,1
CSBHWIPTR,111.300003,8.807,983,1
CSBHWIPTR,111.099998,8.781,983,1
CSBHWIPTR,110.900002,8.712,982,1
CSBHWIPTR,111.5,8.66,980,1
CSBHWIPTR,112.099998,8.696,980,1
CSBHWIPTR,112.199997,9.007,980,0.97
CSBHWIPTR,111.599998,9.11,980,0.964
CSBHWIPTR,111,9.262,979,0.952
CSBHWIPTR,111,9.387,980,0.94
CSBHWIPTR,111.300003,9.42,981,0.935
CSBHWIPTR,111.199997,9.117,981,0.968
CSBHWIPTR,111.599998,9.081,981,0.967
CSBHWIPTR,111.199997,8.935,983,0.989
CSBHWIPTR,110.800003,8.862,985,1
CSBHWIPTR,110.800003,8.837,984,1
CSBHWIPTR,111.5,8.92,982,0.988
CSBHWIPTR,111.300003,9.165,983,0.963
CSBHWIPTR,111.099998,9.293,984,0.953
CSBHWIPTR,110.400002,9.471,983,0.94
CSBHWIPTR,110.699997,9.209,981,0.964
CSBHWIPTR,111.599998,9.083,982,0.97
CSBHWIPTR,111.599998,8.938,983,0.985
CSBHWIPTR,111.900002,8.829,981,0.993
CSBHWIPTR,111.400002,8.765,981,1
CSBHWIPTR,111,8.702,982,1
CSBHWIPTR,110.900002,8.796,983,1
CSBHWIPTR,110.900002,8.786,983,1
CSBHWIPTR,110.099998,8.658,983,1
CSBHWIPTR,110.199997,8.66,984,1
CSBHWIPTR,110.400002,8.933,987,1
CSBHWIPTR,111.199997,9.029,986,0.982
CSBHWIPTR,111.699997,8.783,985,1
CSBHWIPTR,111.900002,9.013,985,0.978
CSBHWIPTR,112.199997,9.052,984,0.97
CSBHWIPTR,112.300003,8.857,985,0.99
CSBHWIPTR,112.300003,9.087,985,0.965
CSBHWIPTR,111.599998,9.176,985,0.962
CSBHWIPTR,111.099998,9.337,985,0.95
CSBHWIPTR,110.599998,9.442,983,0.941
CSBHWIPTR,111.199997,9.29,983,0.952
CSBHWIPTR,111.099998,9.297,983,0.952
CSBHWIPTR,110.5,9.204,983,0.967
CSBHWIPTR,110.5,9.185,983,0.969
CSBHWIPTR,110.699997,9.425,984,0.942
CSBHWIPTR,111,9.455,984,0.937
CSBHWIPTR,111.800003,9.133,983,0.963
CSBHWIPTR,112.099998,9.052,982,0.968
CSBHWIPTR,112.5,8.957,983,0.974
CSBHWIPTR,112.800003,8.778,982,0.992
CSBHWIPTR,112.5,8.713,982,1
CSBHWIPTR,110.699997,8.915,981,0.994
CSBHWIPTR,110.900002,8.932,982,0.993
CSBHWIPTR,112.300003,8.809,984,0.994
CSBHWIPTR,111.5,8.906,982,0.989
CSBHWIPTR,112,9.036,982,0.97
CSBHWIPTR,111.800003,9.16,982,0.96
CSBHWIPTR,111,9.285,981,0.952
CSBHWIPTR,110.5,9.233,979,0.96
CSBHWIPTR,110.5,9.357,981,0.948
CSBHWIPTR,110.900002,9.24,981,0.956
CSBHWIPTR,111.800003,8.923,981,0.983
CSBHWIPTR,111.699997,9.125,983,0.965
CSBHWIPTR,111.699997,9.087,983,0.969
CSBHWIPTR,113,8.857,982,0.981
CSBHWIPTR,113,8.863,983,0.98
CSBHWIPTR,112.400002,8.846,984,0.989
CSBHWIPTR,112.199997,8.916,984,0.983
CSBHWIPTR,111.300003,9.241,983,0.955
CSBHWIPTR,110.800003,9.379,983,0.945
CSBHWIPTR,111.199997,9.396,984,0.941
CSBHWIPTR,111.599998,9.355,984,0.942
CSBHWIPTR,111.199997,9.012,981,0.979
CSBHWIPTR,111.099998,8.821,981,1
CSBHWIPTR,110.300003,8.717,984,1
CSBHWIPTR,111.199997,8.929,984,0.992
CSBHWIPTR,111.800003,8.941,984,0.986
CSBHWIPTR,112,9.006,984,0.977
CSBHWIPTR,112.400002,9.105,984,0.962
CSBHWIPTR,111.599998,9.299,984,0.948
CSBHWIPTR,110.800003,9.46,983,0.938
CSBHWIPTR,110.5,9.547,982,0.93
CSBHWIPTR,111,9.187,982,0.964
CSBHWIPTR,111.900002,9.124,983,0.963
CSBHWIPTR,112.099998,8.975,983,0.976
CSBHWIPTR,111.800003,8.963,982,0.98
CSBHWIPTR,111.900002,9.041,983,0.972
CSBHWIPTR,111.099998,9.011,983,0.982
CSBHWIPTR,110.800003,8.667,983,1
CSBHWIPTR,111.400002,8.679,983,1
CSBHWIPTR,111.5,8.707,985,1
CSBHWIPTR,111.800003,8.755,985,1
CSBHWIPTR,112.800003,9.021,984,0.967
CSBHWIPTR,112.199997,9.108,984,0.962
CSBHWIPTR,111.400002,9.231,984,0.956
CSBHWIPTR,110.800003,9.409,986,0.945
CSBHWIPTR,110.800003,9.474,985,0.937
CSBHWIPTR,111.300003,9.295,984,0.952
CSBHWIPTR,111.900002,9.149,985,0.962
CSBHWIPTR,112.099998,8.979,985,0.978
CSBHWIPTR,111.099998,9.059,987,0.982
CSBHWIPTR,110.800003,9.291,988,0.96
CSBHWIPTR,111.5,9.243,987,0.959
CSBHWIPTR,111.599998,8.771,984,1
CSBHWIPTR,112.099998,8.786,983,0.998
CSBHWIPTR,112.800003,8.737,985,0.999
CSBHWIPTR,113,8.757,985,0.995
CSBHWIPTR,112.599998,8.82,984,0.99
CSBHWIPTR,112.300003,8.864,984,0.988
CSBHWIPTR,112.300003,8.833,985,0.993
CSBHWIPTR,113.099998,8.808,987,0.99
CSBHWIPTR,113.099998,8.822,985,0.987
CSBHWIPTR,112.300003,8.814,985,0.994
CSBHWIPTR,112,8.875,985,0.991
CSBHWIPTR,111.900002,9.039,984,0.972
CSBHWIPTR,110.5,9.484,983,0.938
CSBHWIPTR,111.099998,9.511,984,0.931
CSBHWIPTR,111.5,9.306,985,0.949
CSBHWIPTR,111,9.079,984,0.978
CSBHWIPTR,110.599998,8.68,985,1
CSBHWIPTR,111,8.995,984,0.987
CSBHWIPTR,111.800003,9.08,983,0.969
CSBHWIPTR,111.800003,9.009,983,0.976
CSBHWIPTR,110.699997,9.224,982,0.962
CSBHWIPTR,111.300003,9.463,981,0.931
CSBHWIPTR,111.900002,9.109,983,0.965
CSBHWIPTR,111.400002,8.901,984,0.992
CSBHWIPTR,111.400002,8.768,984,1
CSBHWIPTR,112.199997,8.762,984,1
CSBHWIPTR,112,9.051,984,0.971
CSBHWIPTR,111.599998,9.218,985,0.957
CSBHWIPTR,111,9.146,983,0.97
CSBHWIPTR,110.5,9.273,983,0.961
CSBHWIPTR,111.800003,9.253,983,0.951
CSBHWIPTR,111.900002,9.197,982,0.953
CSBHWIPTR,111.900002,9.077,982,0.966
CSBHWIPTR,112.099998,8.914,984,0.984
CSBHWIPTR,112.099998,8.853,984,0.991
CSBHWIPTR,111.300003,8.756,984,1
CSBHWIPTR,111.199997,8.821,983,1
CSBHWIPTR,110.900002,8.803,984,1
CSBHWIPTR,110.800003,8.861,985,1
CSBHWIPTR,111,8.857,985,1
CSBHWIPTR,111.099998,8.714,987,1
CSBHWIPTR,111.300003,8.714,986,1
CSBHWIPTR,110.900002,8.959,984,0.991
CSBHWIPTR,111.5,8.84,985,1
CSBHWIPTR,112,8.855,986,0.994
CSBHWIPTR,112.599998,8.765,986,0.998
CSBHWIPTR,113.099998,8.795,985,0.99
CSBHWIPTR,112.400002,8.802,985,0.995
CSBHWIPTR,112.5,9.003,987,0.974
CSBHWIPTR,112.099998,9.078,986,0.968
CSBHWIPTR,111.400002,9.044,984,0.976
CSBHWIPTR,111,9.124,984,0.972
CSBHWIPTR,110.5,9.228,984,0.965
CSBHWIPTR,110,9.544,983,0.936
CSBHWIPTR,110.199997,9.563,984,0.933
CSBHWIPTR,111.400002,9.281,983,0.952
CSBHWIPTR,111.800003,9.25,983,0.951
CSBHWIPTR,111.800003,9.203,984,0.956
CSBHWIPTR,111.800003,8.935,985,0.986
CSBHWIPTR,112,9.004,987,0.979
CSBHWIPTR,112.5,8.978,985,0.976
CSBHWIPTR,112.5,8.936,983,0.978
CSBHWIPTR,112.599998,9.009,985,0.971
CSBHWIPTR,112.599998,9.013,986,0.971
CSBHWIPTR,112.099998,9.264,986,0.949
CSBHWIPTR,112.099998,9.33,986,0.943
CSBHWIPTR,111.800003,9.376,987,0.941
CSBHWIPTR,111.599998,9.32,986,0.948
CSBHWIPTR,111.199997,9.371,986,0.947
CSBHWIPTR,111.300003,9.342,988,0.95
CSBHWIPTR,111.699997,9.29,988,0.952
CSBHWIPTR,111.599998,9.428,990,0.94
CSBHWIPTR,111.900002,9.196,989,0.961
CSBHWIPTR,111.699997,9.208,988,0.961
CSBHWIPTR,111.099998,9.238,988,0.963
CSBHWIPTR,111,9.302,989,0.958
CSBHWIPTR,111.199997,9.428,989,0.943
CSBHWIPTR,111.5,9.432,988,0.94
CSBHWIPTR,111.599998,9.471,989,0.935
CSBHWIPTR,112.199997,9.215,989,0.956
CSBHWIPTR,112.400002,9.059,990,0.971
CSBHWIPTR,112.199997,8.87,991,0.995
CSBHWIPTR,111.699997,8.796,990,1
CSBHWIPTR,111.099998,8.696,990,1
CSBHWIPTR,111.800003,8.706,990,1
CSBHWIPTR,112,8.737,989,1
CSBHWIPTR,112.300003,9.068,990,0.972
CSBHWIPTR,112.5,9.142,991,0.964
CSBHWIPTR,112.800003,8.997,992,0.977
CSBHWIPTR,112,9.093,990,0.972
CSBHWIPTR,110.800003,9.404,990,0.95
CSBHWIPTR,110.599998,9.466,990,0.945
CSBHWIPTR,110.699997,9.244,991,0.969
CSBHWIPTR,110.699997,9.28,989,0.963
CSBHWIPTR,110.699997,9.248,988,0.966
CSBHWIPTR,111.599998,9.165,990,0.968
CSBHWIPTR,112.5,9.057,989,0.97
CSBHWIPTR,113.099998,9.008,989,0.97
CSBHWIPTR,113.199997,8.904,989,0.98
CSBHWIPTR,112.599998,8.749,988,1
CSBHWIPTR,111.900002,8.705,988,1
CSBHWIPTR,110.900002,8.761,989,1
CSBHWIPTR,110.800003,8.771,990,1
CSBHWIPTR,111.400002,8.951,989,0.993
CSBHWIPTR,112.300003,8.878,990,0.993
