"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.400002","3.259000","360.000000","0.005691","0.942000","1517902990"
"2",NULL,"117.099998","3.325000","360.000000","0.005691","0.926000","1517902991"
"3",NULL,"116.099998","3.345000","360.000000","0.005691","0.931000","1517902993"
"4",NULL,"115.599998","3.354000","361.000000","0.005691","0.934000","1517902995"
"5",NULL,"115.400002","3.330000","360.000000","0.005691","0.942000","1517902996"
"6",NULL,"116.099998","3.143000","360.000000","0.005691","0.989000","1517902998"
"7",NULL,"116.199997","3.154000","360.000000","0.005691","0.985000","1517902999"
"8",NULL,"116.199997","3.189000","360.000000","0.005691","0.975000","1517903001"
"9",NULL,"116.400002","3.306000","360.000000","0.005691","0.937000","1517903002"
"10",NULL,"116.800003","3.247000","359.000000","0.005691","0.949000","1517903004"
"11",NULL,"116.599998","3.082000","360.000000","0.005691","1.000000","1517903006"
"12",NULL,"116.099998","3.062000","360.000000","0.005691","1.000000","1517903007"
"13",NULL,"116.400002","3.089000","360.000000","0.005691","1.000000","1517903009"
"14",NULL,"115.800003","3.089000","359.000000","0.005691","1.000000","1517903010"
"15",NULL,"115.699997","3.179000","359.000000","0.005691","0.978000","1517903012"
"16",NULL,"117.000000","3.197000","360.000000","0.005691","0.962000","1517903014"
"17",NULL,"117.300003","3.266000","360.000000","0.005691","0.940000","1517903015"
"18",NULL,"116.599998","3.323000","360.000000","0.005691","0.931000","1517903017"
"19",NULL,"115.400002","3.347000","360.000000","0.005691","0.937000","1517903019"
"20",NULL,"115.099998","3.332000","361.000000","0.005691","0.944000","1517903020"
"21",NULL,"116.099998","3.252000","361.000000","0.005691","0.958000","1517903022"
"22",NULL,"117.199997","3.162000","361.000000","0.005691","0.975000","1517903023"
"23",NULL,"117.000000","3.247000","360.000000","0.005691","0.951000","1517903025"
"24",NULL,"115.900002","3.056000","359.000000","0.005691","1.000000","1517903027"
"25",NULL,"115.500000","3.074000","360.000000","0.005691","1.000000","1517903028"
"26",NULL,"116.400002","3.257000","360.000000","0.005691","0.951000","1517903030"
"27",NULL,"117.000000","3.337000","360.000000","0.005691","0.923000","1517903031"
"28",NULL,"117.000000","3.301000","360.000000","0.005691","0.934000","1517903033"
"29",NULL,"116.400002","3.294000","360.000000","0.005691","0.941000","1517903035"
"30",NULL,"115.699997","3.409000","361.000000","0.005691","0.917000","1517903036"
"31",NULL,"116.199997","3.424000","363.000000","0.005691","0.913000","1517903038"
"32",NULL,"116.599998","3.169000","362.000000","0.005691","0.981000","1517903040"
"33",NULL,"117.000000","3.116000","362.000000","0.005691","0.993000","1517903041"
"34",NULL,"117.199997","3.112000","362.000000","0.005691","0.994000","1517903043"
"35",NULL,"117.199997","3.104000","362.000000","0.005691","0.995000","1517903044"
"36",NULL,"118.000000","3.162000","362.000000","0.005691","0.970000","1517903046"
"37",NULL,"117.400002","3.189000","362.000000","0.005694","0.968000","1517903048"
"38",NULL,"117.000000","3.253000","362.000000","0.005694","0.954000","1517903049"
"39",NULL,"115.900002","3.335000","362.000000","0.005694","0.938000","1517903051"
"40",NULL,"115.800003","3.377000","361.000000","0.005694","0.927000","1517903052"
"41",NULL,"116.599998","3.435000","362.000000","0.005694","0.905000","1517903054"
"42",NULL,"116.400002","3.165000","362.000000","0.005694","0.985000","1517903056"
"43",NULL,"115.699997","3.090000","362.000000","0.005694","1.000000","1517903057"
"44",NULL,"115.599998","3.062000","361.000000","0.005694","1.000000","1517903059"
"45",NULL,"115.900002","3.060000","362.000000","0.005694","1.000000","1517903060"
"46",NULL,"117.500000","3.198000","362.000000","0.005694","0.966000","1517903062"
"47",NULL,"117.400002","3.102000","362.000000","0.005694","0.995000","1517903064"
"48",NULL,"117.099998","3.150000","362.000000","0.005694","0.983000","1517903065"
"49",NULL,"115.800003","3.135000","362.000000","0.005694","0.999000","1517903067"
"50",NULL,"115.000000","3.190000","362.000000","0.005694","0.990000","1517903068"
"51",NULL,"115.500000","3.347000","362.000000","0.005694","0.941000","1517903070"
"52",NULL,"116.400002","3.245000","362.000000","0.005694","0.962000","1517903072"
"53",NULL,"116.900002","3.223000","362.000000","0.005694","0.963000","1517903073"
"54",NULL,"117.099998","3.407000","362.000000","0.005694","0.907000","1517903075"
"55",NULL,"117.900002","3.337000","362.000000","0.005694","0.921000","1517903077"
"56",NULL,"117.900002","3.298000","362.000000","0.005694","0.931000","1517903078"
"57",NULL,"117.599998","3.218000","361.000000","0.005694","0.955000","1517903080"
"58",NULL,"116.900002","3.163000","361.000000","0.005694","0.977000","1517903082"
"59",NULL,"116.400002","3.138000","361.000000","0.005694","0.990000","1517903083"
"60",NULL,"116.099998","3.087000","362.000000","0.005694","1.000000","1517903085"
"61",NULL,"115.900002","3.069000","361.000000","0.005694","1.000000","1517903086"
"62",NULL,"116.099998","3.098000","361.000000","0.005694","1.000000","1517903088"
"63",NULL,"115.900002","3.079000","361.000000","0.005694","1.000000","1517903090"
"64",NULL,"116.599998","3.088000","361.000000","0.005694","1.000000","1517903091"
"65",NULL,"117.400002","3.205000","361.000000","0.005694","0.961000","1517903093"
"66",NULL,"117.000000","3.219000","361.000000","0.005694","0.959000","1517903094"
"67",NULL,"116.500000","3.325000","362.000000","0.005694","0.936000","1517903096"
"68",NULL,"116.599998","3.336000","362.000000","0.005694","0.932000","1517903098"
"69",NULL,"116.000000","3.397000","361.000000","0.005694","0.919000","1517903099"
"70",NULL,"116.300003","3.385000","361.000000","0.005694","0.918000","1517903101"
"71",NULL,"116.900002","3.291000","360.000000","0.005694","0.938000","1517903102"
"72",NULL,"117.199997","3.214000","360.000000","0.005694","0.958000","1517903104"
"73",NULL,"116.500000","3.351000","360.000000","0.005694","0.925000","1517903106"
"74",NULL,"115.699997","3.307000","360.000000","0.005694","0.944000","1517903107"
"75",NULL,"116.099998","3.188000","360.000000","0.005694","0.974000","1517903109"
"76",NULL,"117.099998","3.173000","360.000000","0.005694","0.971000","1517903111"
"77",NULL,"117.199997","3.086000","361.000000","0.005694","0.997000","1517903112"
"78",NULL,"118.000000","3.123000","361.000000","0.005694","0.979000","1517903114"
"79",NULL,"117.300003","3.242000","361.000000","0.005694","0.951000","1517903116"
"80",NULL,"116.699997","3.256000","361.000000","0.005694","0.952000","1517903117"
"81",NULL,"117.099998","3.148000","360.000000","0.005694","0.978000","1517903119"
"82",NULL,"116.699997","3.204000","360.000000","0.005694","0.963000","1517903121"
"83",NULL,"116.900002","3.192000","359.000000","0.005694","0.964000","1517903122"
"84",NULL,"117.199997","3.076000","359.000000","0.005694","0.998000","1517903124"
"85",NULL,"116.599998","3.061000","360.000000","0.005694","1.000000","1517903125"
"86",NULL,"116.000000","3.106000","360.000000","0.005694","0.998000","1517903127"
"87",NULL,"115.199997","3.089000","360.000000","0.005694","1.000000","1517903129"
"88",NULL,"116.099998","3.131000","360.000000","0.005694","0.991000","1517903130"
"89",NULL,"117.000000","3.274000","359.000000","0.005694","0.939000","1517903132"
"90",NULL,"116.900002","3.352000","360.000000","0.005694","0.918000","1517903133"
"91",NULL,"116.599998","3.393000","360.000000","0.005694","0.912000","1517903135"
"92",NULL,"115.400002","3.355000","360.000000","0.005694","0.933000","1517903137"
"93",NULL,"115.800003","3.296000","360.000000","0.005694","0.945000","1517903138"
"94",NULL,"116.400002","3.316000","359.000000","0.005694","0.933000","1517903140"
"95",NULL,"116.300003","3.235000","359.000000","0.005694","0.958000","1517903142"
"96",NULL,"115.699997","3.201000","359.000000","0.005694","0.974000","1517903143"
"97",NULL,"115.800003","3.076000","359.000000","0.005697","1.000000","1517903145"
"98",NULL,"116.300003","3.126000","359.000000","0.005697","0.989000","1517903146"
"99",NULL,"117.400002","3.284000","359.000000","0.005697","0.931000","1517903148"
"100",NULL,"116.500000","3.323000","359.000000","0.005697","0.929000","1517903150"
"101",NULL,"115.800003","3.375000","358.000000","0.005697","0.919000","1517903151"
"102",NULL,"115.300003","3.504000","359.000000","0.005697","0.889000","1517903153"
"103",NULL,"115.699997","3.452000","359.000000","0.005697","0.899000","1517903154"
"104",NULL,"116.300003","3.396000","358.000000","0.005697","0.908000","1517903156"
"105",NULL,"115.800003","3.424000","359.000000","0.005697","0.905000","1517903158"
"106",NULL,"116.199997","3.381000","358.000000","0.005697","0.913000","1517903159"
"107",NULL,"117.000000","3.264000","359.000000","0.005697","0.940000","1517903161"
"108",NULL,"117.300003","3.222000","359.000000","0.005697","0.951000","1517903163"
"109",NULL,"117.099998","3.256000","359.000000","0.005697","0.945000","1517903164"
"110",NULL,"117.199997","3.214000","359.000000","0.005697","0.952000","1517903166"
