app_id,v_val,i_val,p_val,pf_val
CFSSBHWIPTR,109.900002,9.094,974,0.975
CFSSBHWIPTR,110.400002,8.929,972,0.986
CFSSBHWIPTR,110.699997,8.968,971,0.978
CFSSBHWIPTR,110.699997,8.996,973,0.977
CFSSBHWIPTR,110.199997,9.011,975,0.981
CFSSBHWIPTR,110.199997,8.996,975,0.983
CFSSBHWIPTR,110.300003,8.951,974,0.987
CFSSBHWIPTR,110.199997,8.892,975,0.995
CFSSBHWIPTR,110,9.072,973,0.976
CFSSBHWIPTR,109.400002,9.009,973,0.988
CFSSBHWIPTR,108.800003,9.026,974,0.994
CFSSBHWIPTR,109,9.01,975,0.994
CFSSBHWIPTR,109.400002,8.741,976,1
CFSSBHWIPTR,110,8.885,976,0.998
CFSSBHWIPTR,111.199997,8.933,976,0.982
CFSSBHWIPTR,110.5,8.892,975,0.991
CFSSBHWIPTR,110.400002,9.002,976,0.981
CFSSBHWIPTR,110,8.938,978,0.994
CFSSBHWIPTR,109.300003,9.065,975,0.985
CFSSBHWIPTR,110,9.127,975,0.972
CFSSBHWIPTR,110.599998,9.05,977,0.976
CFSSBHWIPTR,109.800003,8.977,975,0.989
CFSSBHWIPTR,109.599998,8.805,973,1
CFSSBHWIPTR,109.300003,9.036,973,0.986
CFSSBHWIPTR,110.300003,8.772,973,1
CFSSBHWIPTR,111,8.793,974,0.997
CFSSBHWIPTR,110.800003,9.069,975,0.971
CFSSBHWIPTR,110.300003,9.218,976,0.959
CFSSBHWIPTR,110.400002,9.276,978,0.955
CFSSBHWIPTR,109.699997,9.524,979,0.937
CFSSBHWIPTR,110.300003,9.372,979,0.947
CFSSBHWIPTR,110.900002,9.234,979,0.957
CFSSBHWIPTR,110.199997,9.087,979,0.979
CFSSBHWIPTR,109.900002,8.921,977,0.998
CFSSBHWIPTR,110.400002,9.006,977,0.983
CFSSBHWIPTR,110,9.011,977,0.985
CFSSBHWIPTR,108.800003,9.005,978,1
CFSSBHWIPTR,108.699997,9.292,979,0.97
CFSSBHWIPTR,110,9.118,978,0.976
CFSSBHWIPTR,110.699997,9.025,979,0.979
CFSSBHWIPTR,111.099998,9.128,980,0.966
CFSSBHWIPTR,111,8.993,980,0.982
CFSSBHWIPTR,110.800003,8.894,979,0.993
CFSSBHWIPTR,110.199997,8.838,978,1
CFSSBHWIPTR,109.900002,8.777,979,1
CFSSBHWIPTR,110.099998,8.766,979,1
CFSSBHWIPTR,109.699997,6.606,1116,1
CFSSBHWIPTR,109.5,4.409,1176,1
CFSSBHWIPTR,110.699997,6.654,1039,1
CFSSBHWIPTR,110.800003,9.097,979,1.605
CFSSBHWIPTR,110.099998,9.183,978,0.966
CFSSBHWIPTR,109.5,9.461,978,0.943
CFSSBHWIPTR,109.300003,9.523,977,0.938
CFSSBHWIPTR,109.699997,9.436,979,0.946
CFSSBHWIPTR,109.699997,9.453,981,0.946
CFSSBHWIPTR,109.699997,9.352,982,0.959
CFSSBHWIPTR,110,9.352,981,0.955
CFSSBHWIPTR,109.5,9.635,979,0.928
CFSSBHWIPTR,110.300003,9.363,981,0.951
