app_id,v_val,i_val,p_val,pf_val
CHWIPTR,110.900002,7.955,872,0.987
CHWIPTR,110.5,8.151,871,0.967
CHWIPTR,110.099998,8.046,872,0.986
CHWIPTR,109.900002,8.036,874,0.991
CHWIPTR,110.599998,8.041,873,0.983
CHWIPTR,110.800003,7.878,872,0.999
CHWIPTR,111,8.187,873,0.961
CHWIPTR,111.300003,8.162,873,0.961
CHWIPTR,112.099998,7.981,874,0.976
CHWIPTR,110.599998,7.857,871,1
CHWIPTR,109.900002,7.75,869,1
CHWIPTR,110.400002,7.838,869,1
CHWIPTR,111.400002,8.053,868,0.968
CHWIPTR,110.900002,8.196,871,0.958
CHWIPTR,110.300003,8.345,872,0.948
CHWIPTR,109.900002,8.479,870,0.934
CHWIPTR,109.800003,8.471,871,0.937
CHWIPTR,110.099998,8.457,871,0.936
CHWIPTR,110.5,8.374,871,0.942
CHWIPTR,111.199997,8.136,871,0.964
CHWIPTR,111.199997,8.09,872,0.97
CHWIPTR,109.800003,8.434,869,0.938
CHWIPTR,110.599998,8.086,867,0.97
CHWIPTR,110.699997,8.188,869,0.959
CHWIPTR,111,8.169,869,0.958
CHWIPTR,110.900002,8.154,867,0.959
CHWIPTR,110.099998,8.311,866,0.946
CHWIPTR,110.099998,8.328,865,0.944
CHWIPTR,110.900002,8.175,866,0.955
CHWIPTR,111,8.3,869,0.943
CHWIPTR,111.199997,8.33,870,0.939
CHWIPTR,110.300003,8.439,872,0.936
CHWIPTR,110.5,8.438,870,0.933
CHWIPTR,110.199997,8.452,870,0.934
CHWIPTR,110.5,8.474,870,0.929
CHWIPTR,110,8.24,871,0.962
CHWIPTR,110.099998,8.249,872,0.961
CHWIPTR,111.099998,8.306,871,0.944
CHWIPTR,110.699997,8.496,871,0.926
CHWIPTR,110.400002,8.49,871,0.928
CHWIPTR,110.800003,8.286,872,0.95
CHWIPTR,110.599998,8.359,872,0.944
CHWIPTR,110.699997,8.302,872,0.949
CHWIPTR,110.400002,8.106,872,0.975
CHWIPTR,110.599998,8.003,874,0.987
CHWIPTR,110.5,8.169,873,0.967
CHWIPTR,110.300003,8.116,872,0.974
CHWIPTR,110.5,7.955,874,0.994
CHWIPTR,110.300003,7.934,875,1
CHWIPTR,110.400002,8.272,876,0.961
CHWIPTR,110.400002,8.289,876,0.96
CHWIPTR,109.800003,7.745,872,1
CHWIPTR,109.900002,7.745,871,1
CHWIPTR,109.900002,7.815,873,1
CHWIPTR,110.699997,8.086,872,0.977
CHWIPTR,110.699997,8.091,873,0.977
CHWIPTR,110,7.919,873,1
CHWIPTR,110.599998,7.81,873,1
CHWIPTR,110.699997,8.069,873,0.979
CHWIPTR,110.400002,8.378,874,0.946
CHWIPTR,110.699997,8.302,875,0.952
CHWIPTR,110.900002,8.375,875,0.942
CHWIPTR,111.5,8.23,875,0.954
CHWIPTR,110.5,8.259,874,0.959
CHWIPTR,110,8.336,873,0.954
CHWIPTR,109.5,8.368,875,0.956
CHWIPTR,109.900002,8.585,876,0.928
CHWIPTR,110,8.026,876,0.993
CHWIPTR,110.400002,7.935,876,0.999
CHWIPTR,110.800003,8.061,875,0.979
CHWIPTR,110.599998,7.932,873,0.995
CHWIPTR,111.400002,8.093,872,0.968
CHWIPTR,111.099998,8.137,873,0.966
CHWIPTR,111.199997,8.016,872,0.978
CHWIPTR,111.199997,8.107,871,0.967
CHWIPTR,110.5,8.463,868,0.927
CHWIPTR,110,8.264,867,0.955
CHWIPTR,109.5,8.026,870,0.993
CHWIPTR,109.900002,7.901,871,1
CHWIPTR,109.900002,7.927,871,1
CHWIPTR,110,7.938,872,0.999
CHWIPTR,109.400002,8.09,874,0.989
CHWIPTR,110.300003,7.794,873,1
CHWIPTR,110.099998,7.781,873,1
CHWIPTR,110,7.86,873,1
CHWIPTR,110.099998,7.834,871,1
CHWIPTR,110.099998,7.832,872,1
CHWIPTR,109.599998,7.992,873,0.998
CHWIPTR,109.699997,7.742,871,1
CHWIPTR,109.400002,7.742,873,1
CHWIPTR,109.900002,7.828,873,1
CHWIPTR,109.599998,7.97,873,1
CHWIPTR,109.300003,7.971,874,1
CHWIPTR,109.900002,7.943,873,1
CHWIPTR,109.300003,7.769,873,1
CHWIPTR,109.099998,7.777,873,1
CHWIPTR,110,7.958,871,0.996
CHWIPTR,109.400002,8.353,872,0.955
CHWIPTR,109.599998,8.372,873,0.952
CHWIPTR,110.599998,8.053,871,0.979
CHWIPTR,111,7.904,871,0.993
CHWIPTR,111,7.894,871,0.994
CHWIPTR,110.300003,7.973,872,0.992
CHWIPTR,109.699997,8.096,872,0.983
CHWIPTR,109.800003,8.083,873,0.985
CHWIPTR,109.800003,8.028,875,0.994
CHWIPTR,110.599998,8.252,876,0.961
CHWIPTR,111.199997,8.001,873,0.983
CHWIPTR,111.199997,7.805,872,1
CHWIPTR,112,7.912,875,0.987
CHWIPTR,112,8.097,876,0.966
CHWIPTR,111.199997,8.249,876,0.954
CHWIPTR,110.400002,8.459,875,0.937
CHWIPTR,110.300003,8.512,876,0.932
CHWIPTR,110.800003,8.383,875,0.942
CHWIPTR,110.400002,8.227,874,0.963
CHWIPTR,109.699997,8.125,874,0.982
CHWIPTR,109.300003,8.09,873,0.99
CHWIPTR,109.900002,8.257,874,0.964
CHWIPTR,110,8.251,875,0.965
CHWIPTR,109.900002,7.754,875,1
CHWIPTR,109.5,7.766,872,1
CHWIPTR,109.599998,7.782,872,1
CHWIPTR,110.199997,7.867,872,1
CHWIPTR,110.699997,8.057,870,0.975
CHWIPTR,111.300003,8.078,869,0.966
CHWIPTR,110.099998,8.414,869,0.938
CHWIPTR,109.599998,8.285,870,0.959
CHWIPTR,110.199997,8.118,871,0.973
CHWIPTR,111,8.032,869,1.605
CHWIPTR,110.400002,7.935,869,0.992
CHWIPTR,109.599998,7.777,870,1
CHWIPTR,109.900002,7.829,870,1
CHWIPTR,109.800003,7.934,868,0.997
CHWIPTR,110.599998,8.13,870,0.969
CHWIPTR,110.300003,8.258,872,0.959
CHWIPTR,110.199997,8.606,873,0.92
CHWIPTR,109.5,8.348,871,0.954
CHWIPTR,109.199997,8.352,870,0.955
CHWIPTR,109.900002,8.497,870,0.932
CHWIPTR,109.599998,8.492,869,0.934
CHWIPTR,109.599998,8.508,869,0.932
CHWIPTR,109.800003,8.065,869,0.982
CHWIPTR,110.099998,7.793,869,1
CHWIPTR,109.300003,8.341,873,0.959
CHWIPTR,109.199997,8.648,873,0.924
CHWIPTR,109.5,8.644,872,0.921
CHWIPTR,110,8.3,872,0.956
CHWIPTR,110.699997,8.083,873,0.976
CHWIPTR,110.699997,8.305,874,0.951
CHWIPTR,111.300003,8.204,874,0.956
CHWIPTR,111.699997,8.123,874,0.963
CHWIPTR,111.699997,7.967,874,0.982
CHWIPTR,110,8.124,875,0.979
CHWIPTR,109.900002,8.094,874,0.984
CHWIPTR,109.599998,7.827,874,1
CHWIPTR,109.199997,7.805,873,1
CHWIPTR,109.300003,7.799,873,1
CHWIPTR,110.400002,7.931,872,0.997
CHWIPTR,109.800003,7.817,874,1
CHWIPTR,109.699997,7.836,874,1
CHWIPTR,110.199997,7.884,873,1
CHWIPTR,110.400002,8.123,873,0.974
CHWIPTR,110.800003,8.143,873,0.968
CHWIPTR,111.400002,7.944,873,0.985
CHWIPTR,111.400002,7.952,870,0.982
CHWIPTR,111.300003,7.949,868,0.981
CHWIPTR,109.900002,7.914,869,0.999
CHWIPTR,110.800003,8.042,870,0.977
CHWIPTR,111,8.119,870,0.965
CHWIPTR,110.400002,8.072,869,0.976
CHWIPTR,110.900002,8.199,871,0.957
CHWIPTR,110.900002,8.245,871,0.952
CHWIPTR,111.199997,8.251,871,0.949
CHWIPTR,109.900002,8.486,871,0.933
CHWIPTR,109.5,8.523,871,0.933
CHWIPTR,109.900002,8.565,868,0.922
CHWIPTR,110.099998,8.589,869,0.918
CHWIPTR,110.099998,8.594,869,0.918
CHWIPTR,110.199997,8.386,868,0.94
CHWIPTR,110.699997,8.337,870,0.944
