app_id,v_val,i_val,p_val,pf_val
CM,119.099998,0.458,53,0.977
CM,118.800003,0.463,53,0.969
CM,118.699997,0.463,53,0.97
CM,118.900002,0.463,53,0.967
CM,118.400002,0.462,53,0.974
CM,119.099998,0.462,53,0.971
CM,118.900002,0.462,53,0.971
CM,118.5,0.464,53,0.976
CM,118.699997,0.464,53,0.976
CM,119.300003,0.46,53,0.981
CM,118.900002,0.471,54,0.977
CM,118.5,0.472,54,0.969
CM,117.199997,0.468,53,0.974
CM,117.099998,0.471,53,0.972
CM,117.400002,0.47,53,0.973
CM,117.900002,0.478,55,0.988
CM,117.400002,0.479,55,0.986
CM,117.599998,0.465,53,0.97
CM,117.599998,0.469,54,0.978
CM,118.599998,0.467,54,0.984
CM,118.699997,0.467,54,0.977
CM,117.699997,0.468,53,0.975
CM,117.900002,0.475,54,0.978
CM,117.599998,0.481,54,0.972
CM,117.699997,0.47,53,0.956
CM,117.599998,0.473,53,0.969
CM,116.800003,0.478,53,0.966
CM,116.5,0.476,53,0.963
CM,116.900002,0.473,53,0.975
CM,118,0.469,54,0.977
CM,118.300003,0.472,53,0.964
CM,118,0.467,53,0.971
CM,117.699997,0.468,53,0.97
CM,117.800003,0.465,53,0.975
CM,117.599998,0.462,53,0.978
CM,117.400002,0.468,53,0.97
CM,118.800003,0.457,52,0.972
CM,118.900002,0.456,52,0.967
CM,118.800003,0.479,53,0.946
CM,118.099998,0.486,54,0.947
CM,117.400002,0.474,54,0.969
CM,117,0.477,54,0.966
CM,116.900002,0.476,53,0.969
CM,117.599998,0.482,55,0.981
CM,119,0.468,54,0.977
CM,119.099998,0.463,53,0.971
CM,117.800003,0.46,52,0.976
CM,117,0.466,53,0.973
CM,117.199997,0.473,53,0.972
CM,117.5,0.475,53,0.966
CM,117.900002,0.471,54,0.972
CM,118,0.475,54,0.965
CM,118.599998,0.463,53,0.976
CM,118.5,0.463,53,0.977
CM,118.900002,0.463,53,0.976
CM,118.099998,0.467,53,0.969
CM,117.900002,0.468,53,0.968
CM,117.5,0.472,53,0.964
CM,117.099998,0.473,53,0.965
CM,117,0.469,53,0.971
CM,116.900002,0.48,53,0.952
CM,117,0.489,54,0.955
CM,116.099998,0.48,54,0.971
CM,116.599998,0.467,53,0.976
CM,117.699997,0.463,53,0.98
CM,118.800003,0.461,53,0.975
CM,118.800003,0.459,53,0.983
CM,117.699997,0.464,53,0.981
CM,118.099998,0.467,53,0.967
CM,117.599998,0.468,53,0.966
CM,116.800003,0.467,53,0.982
CM,117,0.467,53,0.982
CM,117.800003,0.461,52,0.969
CM,118.300003,0.46,52,0.968
CM,118,0.464,53,0.968
CM,117,0.468,53,0.969
CM,116.900002,0.468,53,0.971
CM,117.699997,0.464,53,0.976
CM,118.300003,0.465,53,0.967
CM,117.800003,0.468,53,0.965
CM,117.699997,0.471,53,0.967
CM,117.5,0.471,53,0.968
CM,118.300003,0.464,53,0.972
CM,118.900002,0.468,54,0.972
CM,118.699997,0.483,54,0.957
CM,118.699997,0.482,54,0.956
CM,118.099998,0.475,54,0.968
CM,116.800003,0.48,54,0.97
CM,117.099998,0.476,54,0.972
CM,117.900002,0.469,53,0.971
CM,117.599998,0.475,53,0.959
CM,117.699997,0.478,53,0.957
CM,117.699997,0.474,54,0.967
CM,116.900002,0.478,54,0.966
CM,117.599998,0.473,53,0.968
CM,117.900002,0.469,53,0.972
CM,118.400002,0.473,51,0.925
CM,117.300003,0.477,51,0.92
CM,116.599998,0.483,54,0.969
CM,117.699997,0.476,55,0.981
CM,118.199997,0.464,53,0.983
CM,118.300003,0.466,53,0.974
CM,117.900002,0.47,54,0.982
CM,118.199997,0.466,54,0.983
CM,118.400002,0.464,53,0.974
CM,118.099998,0.463,53,0.976
CM,117.5,0.466,53,0.972
CM,118,0.472,53,0.958
CM,119.300003,0.492,56,0.96
CM,119.099998,0.489,56,0.968
CM,117.800003,0.466,54,0.992
CM,117.699997,0.471,54,0.986
CM,118.300003,0.475,53,0.959
CM,118.699997,0.468,53,0.963
CM,118.400002,0.466,54,0.982
CM,118.599998,0.463,53,0.977
CM,117.800003,0.461,52,0.968
CM,118.199997,0.458,52,0.97
CM,118.900002,0.453,52,0.976
CM,118.900002,0.454,52,0.973
CM,118.800003,0.45,54,1
CM,118.099998,0.459,54,1
CM,117.800003,0.472,53,0.968
CM,118.099998,0.466,53,0.971
CM,118.599998,0.456,52,0.978
CM,119,0.463,53,0.969
CM,118.599998,0.466,53,0.968
CM,117.400002,0.469,53,0.971
CM,117.300003,0.465,53,0.976
CM,117.900002,0.447,52,0.997
CM,117.900002,0.457,53,0.993
CM,118.199997,0.481,54,0.956
CM,118.099998,0.478,53,0.951
CM,118.300003,0.465,53,0.972
CM,117.800003,0.468,53,0.972
CM,117.599998,0.47,53,0.969
CM,118,0.467,53,0.972
CM,117.900002,0.466,53,0.978
CM,118.099998,0.466,53,0.977
CM,117.699997,0.477,53,0.956
CM,118.099998,0.472,53,0.963
CM,119.099998,0.461,53,0.972
CM,118.599998,0.463,53,0.971
CM,118.5,0.471,53,0.964
CM,118.300003,0.473,53,0.962
CM,117.199997,0.469,53,0.975
CM,117.599998,0.467,53,0.976
CM,117.400002,0.47,54,0.979
CM,116.800003,0.474,53,0.973
CM,117.199997,0.468,53,0.968
CM,117.900002,0.461,53,0.982
CM,116.5,0.468,52,0.97
CM,117.400002,0.464,52,0.971
CM,118.800003,0.459,53,0.972
CM,118.800003,0.459,53,0.971
CM,119,0.455,52,0.974
CM,118.199997,0.458,53,0.984
CM,116.699997,0.469,54,0.996
CM,117.400002,0.47,53,0.959
CM,117.300003,0.466,52,0.953
CM,117.400002,0.466,53,0.973
CM,119,0.453,52,0.974
CM,119.099998,0.453,52,0.975
CM,118.400002,0.466,52,0.955
CM,117.199997,0.479,55,0.98
CM,118,0.48,55,0.978
CM,118.800003,0.463,53,0.97
CM,117.900002,0.468,53,0.966
CM,118.199997,0.467,53,0.968
CM,119.199997,0.461,53,0.972
CM,118.099998,0.465,53,0.973
CM,117.5,0.474,54,0.973
CM,118.300003,0.471,54,0.973
CM,118.5,0.467,54,0.982
CM,117.5,0.48,55,0.984
CM,117.099998,0.481,54,0.972
CM,118.599998,0.464,53,0.977
CM,118.900002,0.46,53,0.977
CM,117.400002,0.465,53,0.98
CM,117.800003,0.468,53,0.964
CM,118.400002,0.469,52,0.953
CM,117.900002,0.477,52,0.934
CM,118.400002,0.469,52,0.948
CM,117.900002,0.467,53,0.966
