app_id,v_val,i_val,p_val,pf_val
CSBIPTR,113.800003,4.584,519,0.995
CSBIPTR,114.199997,4.587,519,0.99
CSBIPTR,112.900002,4.618,519,0.996
CSBIPTR,112.5,4.597,519,1
CSBIPTR,112.400002,4.581,518,1
CSBIPTR,112.800003,4.592,519,1
CSBIPTR,112.400002,4.6,519,1
CSBIPTR,112.699997,4.565,518,1
CSBIPTR,113,4.57,519,1
CSBIPTR,113.199997,4.571,519,1
CSBIPTR,112.900002,4.593,520,1
CSBIPTR,113,4.583,520,1
CSBIPTR,113.699997,4.569,520,1
CSBIPTR,114.300003,4.564,520,0.997
CSBIPTR,114.300003,4.552,519,0.997
CSBIPTR,113,4.59,519,1
CSBIPTR,112.5,4.592,519,1
CSBIPTR,113.300003,4.556,520,1
CSBIPTR,113.900002,4.54,521,1
CSBIPTR,113.599998,4.592,520,0.996
CSBIPTR,113.800003,4.597,520,0.994
CSBIPTR,113.5,4.593,520,0.998
CSBIPTR,113.300003,4.563,520,1
CSBIPTR,113.800003,4.542,520,1
CSBIPTR,113.5,4.566,520,1
CSBIPTR,113.900002,4.565,519,0.998
CSBIPTR,113.699997,4.572,521,1
CSBIPTR,114.599998,4.548,521,0.999
CSBIPTR,114.599998,4.542,521,1
CSBIPTR,113.400002,4.551,520,1
CSBIPTR,112.699997,4.587,521,1
CSBIPTR,112.099998,4.623,520,1
CSBIPTR,112,4.623,519,1
CSBIPTR,112.699997,4.606,519,1
CSBIPTR,114.300003,4.564,519,0.996
CSBIPTR,114.199997,4.55,520,0.999
CSBIPTR,112.699997,4.586,519,1
CSBIPTR,112.099998,4.611,519,1
CSBIPTR,112.699997,4.598,519,1
CSBIPTR,113.400002,4.57,520,1
CSBIPTR,113.599998,4.573,520,1
CSBIPTR,113.300003,4.579,520,1
CSBIPTR,113.199997,4.567,519,1
CSBIPTR,113.900002,4.538,519,1
CSBIPTR,112.900002,4.585,519,1
CSBIPTR,112.599998,4.595,519,1
CSBIPTR,112.300003,4.597,519,1
CSBIPTR,112.400002,4.596,519,1
CSBIPTR,113.099998,4.558,520,1
CSBIPTR,113.199997,4.547,520,1
CSBIPTR,113.199997,4.561,520,1
CSBIPTR,113.800003,4.555,520,1
CSBIPTR,114,4.572,522,1
CSBIPTR,113.900002,4.584,521,0.998
CSBIPTR,114.400002,4.571,520,0.994
CSBIPTR,114.099998,4.591,520,0.993
CSBIPTR,113.5,4.601,520,0.995
CSBIPTR,113.099998,4.587,520,1
CSBIPTR,112.900002,4.565,519,1
CSBIPTR,113.199997,4.567,519,1
CSBIPTR,113.599998,4.584,519,0.996
CSBIPTR,113.099998,4.592,520,1
CSBIPTR,112.300003,4.619,520,1
CSBIPTR,113.099998,4.577,520,1
CSBIPTR,113.800003,4.548,519,1
CSBIPTR,113.900002,4.579,519,0.995
CSBIPTR,112.800003,4.63,520,0.996
CSBIPTR,112.800003,4.63,520,0.996
CSBIPTR,113.400002,4.571,521,1
CSBIPTR,113.300003,4.575,520,1
CSBIPTR,113.300003,4.579,521,1
CSBIPTR,114,4.549,521,1
CSBIPTR,114.699997,4.541,521,1
CSBIPTR,114.900002,4.549,520,0.995
CSBIPTR,114.099998,4.587,520,0.994
CSBIPTR,114,4.594,521,0.994
CSBIPTR,114.099998,4.596,521,0.993
CSBIPTR,114.5,4.597,521,0.989
CSBIPTR,115.199997,4.55,520,0.992
CSBIPTR,113.800003,4.569,520,1
CSBIPTR,113.699997,4.563,520,1
CSBIPTR,113.5,4.562,519,1
CSBIPTR,114.5,4.521,519,1
CSBIPTR,114.599998,4.522,518,1
CSBIPTR,114.099998,4.551,518,0.997
CSBIPTR,114.099998,4.557,518,0.996
CSBIPTR,114,4.565,518,0.996
CSBIPTR,113.599998,4.589,518,0.994
CSBIPTR,113.199997,4.615,519,0.993
CSBIPTR,113.099998,4.577,519,1
CSBIPTR,113.300003,4.543,519,1
CSBIPTR,113.099998,4.562,519,1
CSBIPTR,113.5,4.56,518,1
CSBIPTR,114,4.565,519,0.997
CSBIPTR,113.099998,4.595,519,0.998
CSBIPTR,112.599998,4.59,517,1
CSBIPTR,113.199997,4.593,517,0.994
CSBIPTR,113,4.614,518,0.994
CSBIPTR,112.5,4.604,518,1
CSBIPTR,112.5,4.596,518,1
CSBIPTR,113,4.594,518,0.998
CSBIPTR,114.199997,4.561,518,0.994
CSBIPTR,113.199997,4.584,517,0.997
CSBIPTR,112.300003,4.604,517,1
CSBIPTR,112.599998,4.582,517,1
CSBIPTR,113.099998,4.555,518,1
CSBIPTR,113.900002,4.532,518,1
CSBIPTR,114,4.534,518,1
CSBIPTR,113.400002,4.567,518,1
CSBIPTR,114.400002,4.553,518,0.995
CSBIPTR,114.199997,4.545,518,0.997
CSBIPTR,113.099998,4.572,517,1
CSBIPTR,112.900002,4.587,517,0.999
CSBIPTR,114,4.572,518,0.993
CSBIPTR,114.199997,4.566,518,0.993
CSBIPTR,113.300003,4.557,518,1
CSBIPTR,113.199997,4.554,517,1
CSBIPTR,113,4.565,518,1
CSBIPTR,113.800003,4.536,520,1
CSBIPTR,113.599998,4.545,519,1
CSBIPTR,112.400002,4.58,518,1
CSBIPTR,112.099998,4.584,518,1
CSBIPTR,112.400002,4.575,518,1
CSBIPTR,112.5,4.589,518,1
CSBIPTR,112.900002,4.583,518,1
CSBIPTR,112.699997,4.578,518,1
CSBIPTR,112.900002,4.569,519,1
CSBIPTR,112.800003,4.59,519,1
CSBIPTR,112.5,4.591,519,1
