"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.199997","2.752000","227.000000","0.002394","0.705000","1517301438"
"2",NULL,"117.300003","2.746000","227.000000","0.002394","0.705000","1517301440"
"3",NULL,"115.699997","2.723000","226.000000","0.002394","0.718000","1517301442"
"4",NULL,"116.199997","2.737000","226.000000","0.002394","0.710000","1517301443"
"5",NULL,"116.500000","2.743000","226.000000","0.002394","0.709000","1517301445"
"6",NULL,"117.199997","2.733000","227.000000","0.002394","0.708000","1517301447"
"7",NULL,"117.099998","2.746000","227.000000","0.002394","0.706000","1517301448"
"8",NULL,"117.099998","2.740000","228.000000","0.002394","0.710000","1517301450"
"9",NULL,"116.000000","2.709000","227.000000","0.002394","0.723000","1517301452"
"10",NULL,"116.000000","2.703000","227.000000","0.002394","0.726000","1517301453"
"11",NULL,"115.900002","2.708000","227.000000","0.002394","0.725000","1517301455"
"12",NULL,"115.900002","2.712000","228.000000","0.002394","0.724000","1517301456"
"13",NULL,"116.300003","2.727000","227.000000","0.002394","0.718000","1517301458"
"14",NULL,"116.699997","2.738000","226.000000","0.002394","0.708000","1517301460"
"15",NULL,"116.699997","2.710000","226.000000","0.002394","0.715000","1517301461"
"16",NULL,"115.800003","2.693000","227.000000","0.002394","0.728000","1517301463"
"17",NULL,"115.199997","2.691000","227.000000","0.002394","0.732000","1517301465"
"18",NULL,"115.800003","2.707000","227.000000","0.002394","0.723000","1517301466"
"19",NULL,"115.900002","2.721000","227.000000","0.002394","0.719000","1517301468"
"20",NULL,"116.699997","2.744000","227.000000","0.002394","0.709000","1517301470"
"21",NULL,"117.400002","2.754000","228.000000","0.002394","0.706000","1517301471"
"22",NULL,"117.400002","2.754000","227.000000","0.002394","0.704000","1517301473"
"23",NULL,"116.900002","2.729000","227.000000","0.002394","0.713000","1517301474"
"24",NULL,"116.900002","2.728000","227.000000","0.002394","0.713000","1517301476"
"25",NULL,"116.500000","2.741000","226.000000","0.002394","0.708000","1517301478"
"26",NULL,"115.699997","2.723000","226.000000","0.002394","0.719000","1517301479"
"27",NULL,"115.400002","2.716000","226.000000","0.002394","0.723000","1517301481"
"28",NULL,"116.300003","2.711000","226.000000","0.002394","0.717000","1517301482"
"29",NULL,"115.900002","2.693000","224.000000","0.002394","0.719000","1517301484"
"30",NULL,"114.900002","2.671000","222.000000","0.002394","0.725000","1517301486"
"31",NULL,"116.000000","2.680000","222.000000","0.002394","0.714000","1517301487"
"32",NULL,"116.199997","2.682000","222.000000","0.002394","0.712000","1517301489"
"33",NULL,"115.599998","2.711000","223.000000","0.002394","0.713000","1517301490"
"34",NULL,"114.599998","2.704000","224.000000","0.002394","0.724000","1517301492"
"35",NULL,"114.400002","2.687000","225.000000","0.002394","0.731000","1517301494"
"36",NULL,"115.599998","2.693000","224.000000","0.002394","0.719000","1517301496"
"37",NULL,"115.699997","2.677000","222.000000","0.002394","0.716000","1517301497"
"38",NULL,"116.099998","2.694000","222.000000","0.002394","0.709000","1517301499"
"39",NULL,"116.599998","2.728000","223.000000","0.002394","0.701000","1517301500"
"40",NULL,"115.500000","2.705000","223.000000","0.002394","0.715000","1517301502"
