"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"113.300003","9.348000","1061.000000","0.002437","1.000000","1517457152"
"2",NULL,"112.300003","9.431000","1060.000000","0.002437","1.000000","1517457153"
"3",NULL,"112.900002","9.431000","1060.000000","0.002437","0.995000","1517457155"
"4",NULL,"113.599998","9.408000","1061.000000","0.002437","0.991000","1517457156"
"5",NULL,"113.800003","9.385000","1061.000000","0.002437","0.993000","1517457158"
"6",NULL,"114.000000","9.341000","1063.000000","0.002441","0.998000","1517457160"
"7",NULL,"113.199997","9.357000","1064.000000","0.002441","1.000000","1517457161"
"8",NULL,"112.800003","9.375000","1061.000000","0.002425","1.605000","1517457163"
"9",NULL,"112.699997","9.398000","1060.000000","0.002441","1.000000","1517457165"
"10",NULL,"113.800003","9.350000","1060.000000","0.002441","0.996000","1517457167"
"11",NULL,"113.900002","9.345000","1060.000000","0.002441","0.996000","1517457168"
"12",NULL,"112.800003","9.388000","1062.000000","0.002441","1.000000","1517457170"
"13",NULL,"114.500000","9.350000","1061.000000","0.002425","1.605000","1517457205"
"14",NULL,"114.000000","9.324000","1059.000000","0.002444","0.996000","1517457206"
"15",NULL,"114.199997","9.329000","1063.000000","0.001800","1.605000","1517457210"
"16",NULL,"113.400002","9.412000","1062.000000","0.002444","0.995000","1517457212"
"17",NULL,"113.400002","9.386000","1062.000000","0.002425","1.605000","1517457214"
"18",NULL,"113.000000","9.345000","1062.000000","0.002444","1.000000","1517457216"
"19",NULL,"113.300003","9.387000","1062.000000","0.002444","0.998000","1517457218"
"20",NULL,"113.500000","9.370000","1064.000000","0.002444","1.000000","1517457219"
"21",NULL,"114.300003","9.335000","1062.000000","0.002444","0.995000","1517457221"
"22",NULL,"113.699997","9.401000","1061.000000","0.002444","0.992000","1517457223"
"23",NULL,"114.300003","9.349000","1064.000000","0.002444","0.995000","1517457224"
"24",NULL,"114.099998","9.343000","1064.000000","0.002444","0.997000","1517457226"
"25",NULL,"112.800003","9.388000","1061.000000","0.002447","1.000000","1517457227"
"26",NULL,"114.300003","9.360000","1058.000000","0.002447","0.989000","1517457229"
"27",NULL,"113.900002","9.331000","1059.000000","0.002447","0.996000","1517457231"
"28",NULL,"113.400002","9.338000","1060.000000","0.002447","1.000000","1517457232"
"29",NULL,"113.400002","9.369000","1060.000000","0.002447","0.997000","1517457234"
"30",NULL,"114.000000","9.362000","1059.000000","0.002447","0.992000","1517457236"
"31",NULL,"113.699997","9.358000","1058.000000","0.002447","0.994000","1517457237"
"32",NULL,"113.300003","9.337000","1059.000000","0.002447","1.000000","1517457239"
"33",NULL,"113.099998","9.349000","1060.000000","0.002447","1.000000","1517457240"
"34",NULL,"113.599998","9.406000","1060.000000","0.002447","0.991000","1517457242"
"35",NULL,"114.199997","9.358000","1059.000000","0.002447","0.990000","1517457243"
"36",NULL,"114.199997","9.286000","1061.000000","0.002447","1.000000","1517457245"
"37",NULL,"113.400002","9.328000","1061.000000","0.002447","1.000000","1517457247"
"38",NULL,"112.500000","9.471000","1061.000000","0.002447","0.996000","1517457248"
"39",NULL,"113.699997","9.359000","1061.000000","0.002447","0.997000","1517457250"
"40",NULL,"114.000000","9.289000","1060.000000","0.002447","1.000000","1517457251"
"41",NULL,"112.699997","9.381000","1057.000000","0.002447","0.999000","1517457253"
"42",NULL,"113.599998","9.341000","1056.000000","0.002447","0.994000","1517457255"
"43",NULL,"114.300003","9.271000","1058.000000","0.002447","0.998000","1517457257"
"44",NULL,"113.300003","9.313000","1059.000000","0.002447","1.000000","1517457258"
"45",NULL,"113.199997","9.368000","1057.000000","0.002447","0.996000","1517457260"
"46",NULL,"114.099998","9.308000","1056.000000","0.002450","0.994000","1517457262"
"47",NULL,"113.300003","9.358000","1058.000000","0.002450","0.997000","1517457263"
"48",NULL,"113.599998","9.351000","1057.000000","0.002450","0.994000","1517457265"
"49",NULL,"114.400002","9.285000","1057.000000","0.002450","0.994000","1517457266"
"50",NULL,"113.099998","9.352000","1056.000000","0.002450","0.998000","1517457268"
"51",NULL,"112.900002","9.406000","1056.000000","0.002450","0.994000","1517457269"
"52",NULL,"113.900002","9.341000","1060.000000","0.002450","0.996000","1517457271"
"53",NULL,"114.199997","9.291000","1061.000000","0.002450","1.000000","1517457273"
"54",NULL,"114.099998","9.343000","1062.000000","0.002450","0.995000","1517457274"
"55",NULL,"113.800003","9.371000","1062.000000","0.002450","0.995000","1517457276"
"56",NULL,"113.099998","9.393000","1061.000000","0.002450","0.998000","1517457277"
"57",NULL,"113.800003","9.380000","1060.000000","0.002450","0.993000","1517457279"
"58",NULL,"114.599998","9.323000","1059.000000","0.002450","0.990000","1517457281"
