"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"112.900002","4.826000","541.000000","0.006169","0.994000","1518078183"
"2",NULL,"113.599998","4.814000","542.000000","0.006169","0.990000","1518078184"
"3",NULL,"115.000000","4.750000","543.000000","0.006172","0.994000","1518078186"
"4",NULL,"113.599998","4.780000","543.000000","0.006172","1.000000","1518078188"
"5",NULL,"112.699997","4.806000","543.000000","0.006172","1.000000","1518078189"
"6",NULL,"112.900002","4.812000","542.000000","0.006172","0.998000","1518078191"
"7",NULL,"113.199997","4.810000","542.000000","0.006172","0.996000","1518078193"
"8",NULL,"114.000000","4.789000","543.000000","0.006172","0.994000","1518078194"
"9",NULL,"114.400002","4.773000","543.000000","0.006172","0.994000","1518078196"
"10",NULL,"114.199997","4.768000","543.000000","0.006172","0.996000","1518078197"
"11",NULL,"113.300003","4.766000","542.000000","0.006172","1.000000","1518078199"
"12",NULL,"113.900002","4.762000","542.000000","0.006172","0.999000","1518078201"
"13",NULL,"113.599998","4.777000","542.000000","0.006172","0.999000","1518078202"
"14",NULL,"112.400002","4.810000","543.000000","0.006172","1.000000","1518078204"
"15",NULL,"113.000000","4.800000","542.000000","0.006172","1.000000","1518078206"
"16",NULL,"112.800003","4.795000","541.000000","0.006172","1.000000","1518078207"
"17",NULL,"112.800003","4.786000","540.000000","0.006172","1.000000","1518078209"
"18",NULL,"112.199997","4.811000","542.000000","0.006172","1.000000","1518078211"
"19",NULL,"112.199997","4.805000","541.000000","0.006172","1.000000","1518078212"
"20",NULL,"113.000000","4.777000","542.000000","0.006172","1.000000","1518078214"
"21",NULL,"112.500000","4.792000","542.000000","0.006172","1.000000","1518078216"
"22",NULL,"112.599998","4.796000","543.000000","0.006172","1.000000","1518078217"
"23",NULL,"112.800003","4.800000","542.000000","0.006172","1.000000","1518078219"
"24",NULL,"113.599998","4.799000","543.000000","0.006172","0.995000","1518078221"
"25",NULL,"113.900002","4.800000","543.000000","0.006172","0.992000","1518078222"
"26",NULL,"114.300003","4.778000","543.000000","0.006172","0.994000","1518078224"
"27",NULL,"114.800003","4.746000","543.000000","0.006172","0.996000","1518078225"
"28",NULL,"113.900002","4.750000","542.000000","0.006172","1.000000","1518078227"
"29",NULL,"113.000000","4.766000","542.000000","0.006172","1.000000","1518078228"
"30",NULL,"113.400002","4.784000","542.000000","0.006172","0.999000","1518078230"
"31",NULL,"113.500000","4.798000","541.000000","0.006172","0.994000","1518078232"
"32",NULL,"114.300003","4.765000","542.000000","0.006172","0.995000","1518078233"
"33",NULL,"114.800003","4.737000","543.000000","0.006172","0.999000","1518078235"
"34",NULL,"113.900002","4.755000","543.000000","0.006172","1.000000","1518078236"
"35",NULL,"113.199997","4.776000","542.000000","0.006172","1.000000","1518078238"
"36",NULL,"114.000000","4.774000","541.000000","0.006172","0.994000","1518078239"
"37",NULL,"114.500000","4.766000","542.000000","0.006172","0.993000","1518078241"
"38",NULL,"114.000000","4.778000","543.000000","0.006172","0.997000","1518078242"
"39",NULL,"113.800003","4.793000","542.000000","0.006172","0.993000","1518078244"
"40",NULL,"114.800003","4.733000","542.000000","0.006172","0.998000","1518078246"
"41",NULL,"114.900002","4.723000","542.000000","0.006172","0.999000","1518078247"
"42",NULL,"114.699997","4.731000","541.000000","0.006172","0.997000","1518078249"
"43",NULL,"114.599998","4.734000","541.000000","0.006172","0.998000","1518078250"
"44",NULL,"113.300003","4.753000","541.000000","0.006175","1.000000","1518078252"
"45",NULL,"113.000000","4.762000","542.000000","0.006175","1.000000","1518078253"
"46",NULL,"112.900002","4.782000","542.000000","0.006175","1.000000","1518078255"
"47",NULL,"112.500000","4.785000","543.000000","0.006175","1.000000","1518078257"
"48",NULL,"112.699997","4.790000","543.000000","0.006175","1.000000","1518078258"
"49",NULL,"112.599998","4.807000","543.000000","0.006175","1.000000","1518078260"
"50",NULL,"112.599998","4.803000","543.000000","0.006175","1.000000","1518078261"
"51",NULL,"113.699997","4.767000","542.000000","0.006175","1.000000","1518078263"
"52",NULL,"112.900002","4.766000","542.000000","0.006175","1.000000","1518078265"
"53",NULL,"113.000000","4.758000","542.000000","0.006175","1.000000","1518078266"
"54",NULL,"113.199997","4.759000","541.000000","0.006175","1.000000","1518078268"
"55",NULL,"113.300003","4.751000","541.000000","0.006175","1.000000","1518078269"
"56",NULL,"113.300003","4.735000","542.000000","0.006175","1.000000","1518078271"
"57",NULL,"113.599998","4.730000","542.000000","0.006175","1.000000","1518078272"
"58",NULL,"114.300003","4.755000","542.000000","0.006175","0.997000","1518078274"
"59",NULL,"114.599998","4.730000","542.000000","0.006175","1.000000","1518078276"
"60",NULL,"114.599998","4.738000","542.000000","0.006175","0.998000","1518078277"
"61",NULL,"114.599998","4.742000","542.000000","0.006175","0.998000","1518078279"
"62",NULL,"114.500000","4.745000","542.000000","0.006175","0.998000","1518078280"
"63",NULL,"114.800003","4.757000","541.000000","0.006175","0.991000","1518078282"
"64",NULL,"114.800003","4.755000","541.000000","0.006175","0.991000","1518078283"
"65",NULL,"113.800003","4.771000","541.000000","0.006175","0.997000","1518078285"
"66",NULL,"115.000000","4.740000","543.000000","0.006175","0.996000","1518078287"
"67",NULL,"115.199997","4.734000","543.000000","0.006175","0.995000","1518078288"
"68",NULL,"115.000000","4.721000","542.000000","0.006175","0.998000","1518078290"
"69",NULL,"114.500000","4.724000","541.000000","0.006175","1.000000","1518078291"
"70",NULL,"113.800003","4.735000","542.000000","0.006175","1.000000","1518078293"
"71",NULL,"113.500000","4.750000","542.000000","0.006175","1.000000","1518078294"
"72",NULL,"112.400002","4.795000","541.000000","0.006175","1.000000","1518078296"
"73",NULL,"112.199997","4.803000","541.000000","0.006175","1.000000","1518078297"
"74",NULL,"112.400002","4.799000","541.000000","0.006175","1.000000","1518078299"
"75",NULL,"112.400002","4.803000","541.000000","0.006175","1.000000","1518078300"
"76",NULL,"112.500000","4.807000","539.000000","0.006175","0.997000","1518078302"
"77",NULL,"112.500000","4.803000","539.000000","0.006175","0.997000","1518078303"
"78",NULL,"112.500000","4.794000","541.000000","0.006175","1.000000","1518078305"
"79",NULL,"113.199997","4.775000","541.000000","0.006175","1.000000","1518078307"
"80",NULL,"113.400002","4.758000","541.000000","0.006175","1.000000","1518078308"
