"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"110.900002","7.955000","872.000000","0.005972","0.987000","1518073677"
"2",NULL,"110.500000","8.151000","871.000000","0.005972","0.967000","1518073678"
"3",NULL,"110.099998","8.046000","872.000000","0.005972","0.986000","1518073680"
"4",NULL,"109.900002","8.036000","874.000000","0.005972","0.991000","1518073682"
"5",NULL,"110.599998","8.041000","873.000000","0.005972","0.983000","1518073683"
"6",NULL,"110.800003","7.878000","872.000000","0.005972","0.999000","1518073685"
"7",NULL,"111.000000","8.187000","873.000000","0.005972","0.961000","1518073687"
"8",NULL,"111.300003","8.162000","873.000000","0.005972","0.961000","1518073689"
"9",NULL,"112.099998","7.981000","874.000000","0.005972","0.976000","1518073690"
"10",NULL,"110.599998","7.857000","871.000000","0.005972","1.000000","1518073692"
"11",NULL,"109.900002","7.750000","869.000000","0.005972","1.000000","1518073694"
"12",NULL,"110.400002","7.838000","869.000000","0.005975","1.000000","1518073695"
"13",NULL,"111.400002","8.053000","868.000000","0.005975","0.968000","1518073697"
"14",NULL,"110.900002","8.196000","871.000000","0.005975","0.958000","1518073699"
"15",NULL,"110.300003","8.345000","872.000000","0.005975","0.948000","1518073700"
"16",NULL,"109.900002","8.479000","870.000000","0.005975","0.934000","1518073702"
"17",NULL,"109.800003","8.471000","871.000000","0.005975","0.937000","1518073704"
"18",NULL,"110.099998","8.457000","871.000000","0.005975","0.936000","1518073705"
"19",NULL,"110.500000","8.374000","871.000000","0.005975","0.942000","1518073707"
"20",NULL,"111.199997","8.136000","871.000000","0.005975","0.964000","1518073709"
"21",NULL,"111.199997","8.090000","872.000000","0.005975","0.970000","1518073710"
"22",NULL,"109.800003","8.434000","869.000000","0.005975","0.938000","1518073712"
"23",NULL,"110.599998","8.086000","867.000000","0.005975","0.970000","1518073714"
"24",NULL,"110.699997","8.188000","869.000000","0.005975","0.959000","1518073716"
"25",NULL,"111.000000","8.169000","869.000000","0.005975","0.958000","1518073717"
"26",NULL,"110.900002","8.154000","867.000000","0.005975","0.959000","1518073719"
"27",NULL,"110.099998","8.311000","866.000000","0.005975","0.946000","1518073721"
"28",NULL,"110.099998","8.328000","865.000000","0.005975","0.944000","1518073722"
"29",NULL,"110.900002","8.175000","866.000000","0.005975","0.955000","1518073724"
"30",NULL,"111.000000","8.300000","869.000000","0.005975","0.943000","1518073726"
"31",NULL,"111.199997","8.330000","870.000000","0.005975","0.939000","1518073727"
"32",NULL,"110.300003","8.439000","872.000000","0.005975","0.936000","1518073729"
"33",NULL,"110.500000","8.438000","870.000000","0.005975","0.933000","1518073731"
"34",NULL,"110.199997","8.452000","870.000000","0.005975","0.934000","1518073732"
"35",NULL,"110.500000","8.474000","870.000000","0.005975","0.929000","1518073734"
"36",NULL,"110.000000","8.240000","871.000000","0.005975","0.962000","1518073736"
"37",NULL,"110.099998","8.249000","872.000000","0.005975","0.961000","1518073737"
"38",NULL,"111.099998","8.306000","871.000000","0.005978","0.944000","1518073739"
"39",NULL,"110.699997","8.496000","871.000000","0.005978","0.926000","1518073741"
"40",NULL,"110.400002","8.490000","871.000000","0.005978","0.928000","1518073742"
"41",NULL,"110.800003","8.286000","872.000000","0.005978","0.950000","1518073744"
"42",NULL,"110.599998","8.359000","872.000000","0.005978","0.944000","1518073746"
"43",NULL,"110.699997","8.302000","872.000000","0.005978","0.949000","1518073747"
"44",NULL,"110.400002","8.106000","872.000000","0.005978","0.975000","1518073749"
"45",NULL,"110.599998","8.003000","874.000000","0.005978","0.987000","1518073751"
"46",NULL,"110.500000","8.169000","873.000000","0.005978","0.967000","1518073753"
"47",NULL,"110.300003","8.116000","872.000000","0.005978","0.974000","1518073754"
"48",NULL,"110.500000","7.955000","874.000000","0.005978","0.994000","1518073756"
"49",NULL,"110.300003","7.934000","875.000000","0.005978","1.000000","1518073757"
"50",NULL,"110.400002","8.272000","876.000000","0.005978","0.961000","1518073759"
"51",NULL,"110.400002","8.289000","876.000000","0.005978","0.960000","1518073761"
"52",NULL,"109.800003","7.745000","872.000000","0.005978","1.000000","1518073763"
"53",NULL,"109.900002","7.745000","871.000000","0.005978","1.000000","1518073764"
"54",NULL,"109.900002","7.815000","873.000000","0.005978","1.000000","1518073766"
