"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"116.800003","0.392000","45.000000","0.002416","1.000000","1517363774"
"2",NULL,"118.099998","0.389000","45.000000","0.002416","0.996000","1517363776"
"3",NULL,"118.300003","0.390000","45.000000","0.002416","0.990000","1517363778"
"4",NULL,"117.400002","0.393000","45.000000","0.002416","0.991000","1517363779"
"5",NULL,"116.500000","0.394000","45.000000","0.002416","0.993000","1517363781"
"6",NULL,"117.300003","0.391000","45.000000","0.002416","0.994000","1517363782"
"7",NULL,"117.599998","0.388000","45.000000","0.002416","0.996000","1517363784"
"8",NULL,"116.900002","0.391000","45.000000","0.002416","0.995000","1517363785"
"9",NULL,"117.199997","0.392000","45.000000","0.002416","0.996000","1517363787"
"10",NULL,"117.199997","0.391000","45.000000","0.002416","0.998000","1517363789"
"11",NULL,"116.400002","0.394000","45.000000","0.002416","0.997000","1517363790"
"12",NULL,"118.099998","0.390000","45.000000","0.002416","0.991000","1517363792"
"13",NULL,"118.699997","0.390000","45.000000","0.002416","0.987000","1517363793"
"14",NULL,"117.599998","0.393000","45.000000","0.002416","0.989000","1517363795"
"15",NULL,"117.800003","0.390000","45.000000","0.002416","0.995000","1517363797"
"16",NULL,"118.400002","0.388000","45.000000","0.002416","0.995000","1517363798"
"17",NULL,"117.400002","0.393000","45.000000","0.002416","0.992000","1517363800"
"18",NULL,"116.699997","0.396000","45.000000","0.002416","0.985000","1517363802"
"19",NULL,"116.300003","0.395000","45.000000","0.002416","0.992000","1517363803"
"20",NULL,"117.300003","0.392000","45.000000","0.002416","0.992000","1517363805"
"21",NULL,"116.500000","0.396000","45.000000","0.002416","0.989000","1517363807"
"22",NULL,"116.400002","0.396000","45.000000","0.002416","0.991000","1517363808"
"23",NULL,"116.300003","0.395000","45.000000","0.002416","0.991000","1517363810"
"24",NULL,"116.599998","0.392000","45.000000","0.002416","0.993000","1517363811"
"25",NULL,"117.199997","0.390000","45.000000","0.002416","0.996000","1517363813"
"26",NULL,"117.900002","0.393000","45.000000","0.002416","0.989000","1517363815"
