app_id,v_val,i_val,p_val,pf_val
B,115.900002,2.159,251,1
B,117.400002,2.147,251,0.996
B,117.099998,2.162,251,0.991
B,116.5,2.16,250,0.995
B,115.900002,2.159,250,0.998
B,116,2.166,249,0.994
B,116.400002,2.158,250,0.995
B,116.300003,2.159,249,0.994
B,115.5,2.167,250,0.998
B,115.900002,2.155,250,1
B,115.5,2.167,250,1
B,115.5,2.164,251,1
B,116.300003,2.155,251,1
B,115.800003,2.177,250,0.995
B,115.900002,2.171,250,0.997
B,115.900002,2.163,251,1
B,116.099998,2.164,251,1
B,116.699997,2.154,251,0.999
B,117,2.16,250,0.992
B,117,2.165,250,0.988
B,116.300003,2.175,250,0.987
B,116.699997,2.16,250,0.992
B,115.800003,2.165,250,0.999
B,116.199997,2.157,250,0.999
B,115.900002,2.17,251,0.998
B,116.099998,2.179,251,0.993
B,116,2.179,251,0.993
B,116.099998,2.17,250,0.994
B,116.400002,2.182,250,0.987
B,116.400002,2.178,250,0.987
B,116.099998,2.161,250,0.996
B,116.699997,2.157,250,0.993
B,117.300003,2.148,250,0.993
B,117.599998,2.144,250,0.994
B,116.5,2.154,250,1
B,116.400002,2.151,250,1
B,115.599998,2.162,250,1
B,115,2.178,250,0.999
B,115.900002,2.172,250,0.995
B,116.300003,2.157,249,0.995
B,116.5,2.147,249,0.998
B,116.199997,2.153,249,0.998
B,116.699997,2.138,250,1
B,116.5,2.138,250,1
B,116.400002,2.136,249,1
B,116.5,2.151,249,0.995
B,116.800003,2.149,249,0.993
B,116.599998,2.148,249,0.996
B,115.400002,2.177,249,0.993
B,114.800003,2.181,249,0.997
B,114.300003,2.172,249,1
B,115.5,2.147,248,1
B,116.099998,2.14,249,1
B,116.300003,2.143,249,1
B,115.599998,2.17,249,0.992
B,115.5,2.165,249,0.997
B,115.5,2.161,249,1
B,115.599998,2.157,250,1
B,116.400002,2.153,250,0.999
B,117.400002,2.147,250,0.992
B,117.099998,2.157,250,0.989
B,115.5,2.175,250,0.995
B,115.300003,2.168,250,1
B,115.300003,2.167,250,1
B,115.099998,2.169,249,1
B,115,2.169,249,1
B,115.400002,2.163,249,1
B,115.099998,2.163,250,1
B,115.400002,2.156,250,1
B,114.900002,2.173,249,0.998
B,115.400002,2.171,249,0.995
B,116.300003,2.165,249,0.992
B,116.300003,2.163,250,0.994
B,115.900002,2.149,250,1
B,115.199997,2.166,250,1
B,115,2.177,250,0.999
B,116.300003,2.164,250,0.993
B,116,2.16,250,0.998
B,115.800003,2.152,250,1
B,116,2.154,249,0.999
B,115.800003,2.162,250,0.998
B,116.699997,2.152,250,0.996
B,116.199997,2.164,249,0.992
B,116.099998,2.168,249,0.991
B,116.099998,2.163,249,0.995
B,116.199997,2.16,249,0.994
B,116.5,2.164,249,0.989
B,116.400002,2.169,249,0.989
B,116.5,2.168,249,0.988
B,115.400002,2.17,249,0.997
B,115.400002,2.16,249,1
B,116.400002,2.15,249,0.997
B,116.699997,2.16,249,0.99
B,115.199997,2.171,249,0.997
B,116.300003,2.145,250,1
B,116.900002,2.147,250,0.997
B,115.599998,2.168,249,0.996
B,116.599998,2.15,250,0.998
B,117.199997,2.144,250,0.996
B,115.199997,2.174,250,0.998
B,115.5,2.158,250,1
