app_id,v_val,i_val,p_val,pf_val
CFSSBISR,118,1.02,117,0.971
CFSSBISR,118.400002,1.018,117,0.97
CFSSBISR,118.400002,1.019,117,0.971
CFSSBISR,117.699997,1.021,117,0.977
CFSSBISR,117.599998,1.022,117,0.976
CFSSBISR,118.199997,1.021,117,0.973
CFSSBISR,119.300003,1.019,117,0.967
CFSSBISR,119.5,1.015,117,0.969
CFSSBISR,118.699997,1.009,117,0.982
CFSSBISR,117.800003,1.023,117,0.977
CFSSBISR,118.599998,1.021,118,0.974
CFSSBISR,118.199997,1.019,117,0.976
CFSSBISR,118.300003,1.016,117,0.976
CFSSBISR,118.099998,1.015,117,0.98
CFSSBISR,117.199997,1.022,117,0.982
CFSSBISR,118.099998,1.019,117,0.976
CFSSBISR,117.800003,1.014,117,0.981
CFSSBISR,119,1.018,117,0.968
CFSSBISR,117,1.024,117,0.979
CFSSBISR,118.300003,1.021,117,0.972
CFSSBISR,118.599998,1.018,117,0.973
CFSSBISR,118.900002,1.016,117,0.972
CFSSBISR,118.800003,1.021,117,0.966
CFSSBISR,119,1.019,117,0.966
CFSSBISR,118.599998,1.02,117,0.968
CFSSBISR,117,1.021,117,0.979
CFSSBISR,117.800003,1.015,117,0.981
CFSSBISR,117.900002,1.009,117,0.986
CFSSBISR,118,1.007,117,0.986
CFSSBISR,118.5,1.01,117,0.98
CFSSBISR,118.900002,1.012,117,0.975
CFSSBISR,117.5,1.021,117,0.977
CFSSBISR,117.099998,1.019,117,0.983
CFSSBISR,117.699997,1.013,117,0.984
CFSSBISR,117.599998,1.011,117,0.987
CFSSBISR,117.900002,1.014,117,0.983
CFSSBISR,119.199997,1.005,117,0.981
CFSSBISR,119.099998,1.009,117,0.979
CFSSBISR,118.400002,1.016,118,0.981
CFSSBISR,118.400002,1.017,118,0.98
CFSSBISR,119.300003,1.015,117,0.972
CFSSBISR,119.199997,1.012,117,0.976
CFSSBISR,119,1.012,117,0.979
CFSSBISR,118.900002,1.009,117,0.982
CFSSBISR,118.5,1.014,118,0.981
CFSSBISR,118.199997,1.02,118,0.977
CFSSBISR,118.400002,1.023,117,0.973
CFSSBISR,119.199997,1.024,118,0.966
CFSSBISR,119.800003,1.023,118,0.963
CFSSBISR,118.400002,1.019,118,0.979
CFSSBISR,118,1.014,118,0.988
CFSSBISR,117.400002,1.021,118,0.986
CFSSBISR,118.099998,1.023,118,0.977
CFSSBISR,118.900002,1.021,118,0.971
CFSSBISR,119.099998,1.017,118,0.974
CFSSBISR,119.099998,1.012,118,0.978
CFSSBISR,118.800003,1.013,117,0.976
CFSSBISR,118.900002,1.005,117,0.984
CFSSBISR,118.800003,1.006,117,0.986
CFSSBISR,117.699997,1.011,117,0.99
CFSSBISR,118.199997,1.012,117,0.984
CFSSBISR,118.099998,1.012,117,0.985
CFSSBISR,118.300003,1.008,117,0.987
CFSSBISR,117.400002,1.018,117,0.984
CFSSBISR,117.900002,1.018,117,0.98
CFSSBISR,118.699997,1.007,117,0.982
CFSSBISR,118.699997,1.006,117,0.984
CFSSBISR,118.199997,1.006,117,0.987
CFSSBISR,119,1.015,117,0.971
CFSSBISR,119,1.019,117,0.968
CFSSBISR,118.199997,1.021,117,0.975
CFSSBISR,118.099998,1.02,117,0.976
CFSSBISR,117.800003,1.022,117,0.976
CFSSBISR,117,1.024,117,0.982
CFSSBISR,117.099998,1.02,117,0.985
CFSSBISR,117.300003,1.013,117,0.989
CFSSBISR,117.5,1.012,117,0.988
CFSSBISR,116.300003,1.017,117,0.994
CFSSBISR,117.300003,1.015,117,0.985
CFSSBISR,117.599998,1.015,117,0.982
CFSSBISR,117.199997,1.015,117,0.988
CFSSBISR,117.400002,1.011,117,0.99
CFSSBISR,117.5,1.014,117,0.985
CFSSBISR,118.400002,1.015,117,0.976
CFSSBISR,118.5,1.014,117,0.976
CFSSBISR,118.199997,1.005,117,0.988
CFSSBISR,118.599998,1.005,117,0.986
CFSSBISR,118.400002,1.008,117,0.985
CFSSBISR,118.400002,1.008,117,0.985
CFSSBISR,118.300003,1.011,117,0.982
CFSSBISR,118.5,1.011,117,0.98
CFSSBISR,119.099998,1.004,117,0.982
CFSSBISR,118.199997,1.013,117,0.982
CFSSBISR,117.800003,1.014,117,0.983
CFSSBISR,117.800003,1.01,117,0.986
CFSSBISR,118.5,1.01,117,0.98
CFSSBISR,118.5,1.011,117,0.98
CFSSBISR,118.300003,1.01,117,0.983
CFSSBISR,119.099998,1.008,117,0.979
CFSSBISR,117.599998,1.015,117,0.985
CFSSBISR,117,1.015,117,0.986
CFSSBISR,117.099998,1.017,117,0.983
CFSSBISR,117,1.023,117,0.979
CFSSBISR,117.400002,1.022,117,0.977
CFSSBISR,117.800003,1.021,117,0.975
CFSSBISR,117.699997,1.017,117,0.981
CFSSBISR,118.300003,1.011,117,0.978
CFSSBISR,117.900002,1.011,117,0.984
CFSSBISR,117.5,1.011,117,0.986
CFSSBISR,117.599998,1.012,117,0.984
CFSSBISR,117.900002,1.023,117,0.974
CFSSBISR,118.199997,1.025,117,0.97
CFSSBISR,117.699997,1.019,117,0.978
CFSSBISR,118,1.018,117,0.974
CFSSBISR,117.699997,1.02,117,0.974
CFSSBISR,118.300003,1.021,117,0.97
CFSSBISR,118.300003,1.021,117,0.969
CFSSBISR,118,1.021,117,0.973
CFSSBISR,118.599998,1.013,117,0.976
CFSSBISR,119.099998,1.009,117,0.977
CFSSBISR,117.699997,1.013,117,0.984
CFSSBISR,117.400002,1.01,117,0.99
CFSSBISR,117.699997,1.011,117,0.988
CFSSBISR,117.199997,1.018,117,0.982
CFSSBISR,117,1.023,117,0.979
CFSSBISR,117.699997,1.019,117,0.978
CFSSBISR,118.199997,1.02,117,0.975
CFSSBISR,118,1.022,117,0.976
CFSSBISR,118.5,1.016,117,0.978
CFSSBISR,117.699997,1.015,117,0.983
CFSSBISR,117.199997,1.016,117,0.986
CFSSBISR,118.800003,1.014,117,0.976
CFSSBISR,119.099998,1.006,117,0.979
CFSSBISR,117.400002,1.018,117,0.98
CFSSBISR,116.900002,1.026,117,0.978
CFSSBISR,118.099998,1.024,117,0.973
CFSSBISR,118.599998,1.012,117,0.981
CFSSBISR,118.300003,1.009,117,0.986
CFSSBISR,117.800003,1.015,117,0.984
CFSSBISR,118.099998,1.025,117,0.97
CFSSBISR,118.599998,1.023,117,0.967
CFSSBISR,119.099998,1.014,117,0.971
CFSSBISR,118.900002,1.011,117,0.976
CFSSBISR,118.800003,1.009,117,0.98
CFSSBISR,118.300003,1.005,117,0.988
CFSSBISR,117.099998,1.012,117,0.99
CFSSBISR,117.300003,1.012,117,0.989
CFSSBISR,118.900002,1.005,117,0.982
CFSSBISR,119.300003,1.007,117,0.977
CFSSBISR,119.099998,1.012,117,0.975
CFSSBISR,117.800003,1.024,117,0.973
CFSSBISR,117.5,1.025,117,0.973
CFSSBISR,118,1.017,117,0.978
CFSSBISR,117.900002,1.012,117,0.983
CFSSBISR,117.800003,1.005,117,0.99
CFSSBISR,117.900002,1.017,117,0.98
CFSSBISR,117.599998,1.024,117,0.974
CFSSBISR,117.300003,1.018,117,0.981
CFSSBISR,117.099998,1.015,117,0.985
CFSSBISR,116.900002,1.019,117,0.984
CFSSBISR,118.199997,1.008,117,0.983
CFSSBISR,118.699997,1.006,117,0.982
CFSSBISR,118.400002,1.007,117,0.985
CFSSBISR,118.400002,1.007,117,0.984
CFSSBISR,118.199997,1.011,117,0.984
CFSSBISR,118.199997,1.011,117,0.983
CFSSBISR,118.400002,1.012,117,0.978
CFSSBISR,118.699997,1.011,117,0.977
CFSSBISR,118.5,1.012,117,0.978
CFSSBISR,118.5,1.013,117,0.976
CFSSBISR,118.800003,1.011,117,0.977
CFSSBISR,118.300003,1.011,117,0.982
CFSSBISR,118.699997,1.009,117,0.98
CFSSBISR,117.699997,1.01,117,0.987
CFSSBISR,117,1.012,117,0.99
CFSSBISR,117,1.017,117,0.986
CFSSBISR,116.599998,1.02,117,0.987
CFSSBISR,117.199997,1.016,117,0.986
CFSSBISR,118.199997,1.011,117,0.982
CFSSBISR,118.300003,1.014,117,0.979
CFSSBISR,118.699997,1.016,117,0.973
CFSSBISR,118.800003,1.01,117,0.976
CFSSBISR,118.900002,1.013,117,0.974
CFSSBISR,118.300003,1.013,117,0.981
CFSSBISR,118,1.012,117,0.984
CFSSBISR,117.400002,1.024,117,0.975
CFSSBISR,117.900002,1.026,117,0.969
