app_id,v_val,i_val,p_val,pf_val
CSBISR,117.199997,0.837,98,1
CSBISR,117.599998,0.84,98,0.999
CSBISR,118.5,0.838,98,0.99
CSBISR,118.599998,0.834,98,0.997
CSBISR,119.199997,0.829,98,0.996
CSBISR,118.699997,0.832,98,0.997
CSBISR,118.5,0.831,98,0.998
CSBISR,118.5,0.831,98,0.998
CSBISR,118.699997,0.826,98,1
CSBISR,118.599998,0.826,98,1
CSBISR,118.900002,0.825,98,1
CSBISR,118.099998,0.829,98,1
CSBISR,118.099998,0.83,98,1
CSBISR,118.900002,0.827,98,0.999
CSBISR,118.5,0.828,98,1
CSBISR,118.400002,0.827,98,1
CSBISR,119.300003,0.827,98,0.997
CSBISR,119.199997,0.827,98,1
CSBISR,118.800003,0.831,98,0.998
CSBISR,118.699997,0.831,98,0.997
CSBISR,118.699997,0.827,98,1
CSBISR,118.300003,0.832,98,1
CSBISR,117.800003,0.836,98,1
CSBISR,117.699997,0.837,98,0.998
CSBISR,118.400002,0.837,98,0.992
CSBISR,118.300003,0.837,98,0.993
CSBISR,117.800003,0.837,98,0.998
CSBISR,117.5,0.833,98,1
CSBISR,118.199997,0.826,98,1
CSBISR,117.599998,0.831,98,1
CSBISR,116.800003,0.84,98,1
CSBISR,116.800003,0.84,98,1
CSBISR,117.599998,0.839,98,0.997
CSBISR,117.699997,0.838,98,0.998
CSBISR,117.5,0.839,98,0.998
CSBISR,117.099998,0.84,98,1
CSBISR,117.699997,0.835,98,1
CSBISR,118.599998,0.829,98,1
CSBISR,118.900002,0.828,98,1
CSBISR,118.099998,0.834,98,0.999
CSBISR,117.400002,0.841,98,0.998
CSBISR,117.199997,0.84,98,0.999
CSBISR,117.800003,0.834,98,1
CSBISR,118.5,0.833,98,0.997
CSBISR,118.300003,0.835,98,0.996
CSBISR,117.300003,0.836,98,1
CSBISR,117.900002,0.829,98,1
CSBISR,118.5,0.834,98,0.994
CSBISR,117.599998,0.84,98,0.995
CSBISR,117.900002,0.835,98,0.999
CSBISR,119.199997,0.829,98,0.994
CSBISR,119,0.831,98,0.992
CSBISR,118.099998,0.833,98,0.998
CSBISR,118.199997,0.828,98,1
CSBISR,119,0.824,98,0.998
CSBISR,118.800003,0.831,98,0.994
CSBISR,118.099998,0.836,98,0.994
CSBISR,117.699997,0.839,98,0.994
CSBISR,117.699997,0.836,98,0.998
CSBISR,119,0.826,98,1
CSBISR,119.5,0.826,98,0.996
CSBISR,119.599998,0.826,98,0.993
CSBISR,119,0.826,98,0.998
CSBISR,119,0.827,98,0.996
CSBISR,118.400002,0.835,98,0.994
CSBISR,118.300003,0.837,98,0.993
CSBISR,119,0.83,98,0.997
CSBISR,119.199997,0.826,98,1
CSBISR,118.699997,0.83,98,0.999
CSBISR,118.300003,0.838,98,0.99
CSBISR,118.400002,0.837,98,0.991
CSBISR,117.900002,0.839,98,0.992
CSBISR,118.300003,0.836,98,0.989
CSBISR,118,0.836,97,0.99
CSBISR,118.199997,0.835,97,0.991
CSBISR,118.400002,0.836,98,0.99
CSBISR,118,0.84,97,0.987
CSBISR,118.5,0.835,98,0.99
CSBISR,118.599998,0.834,98,0.991
CSBISR,118.800003,0.831,98,0.994
CSBISR,119,0.828,98,0.996
CSBISR,118.900002,0.827,98,1
CSBISR,119,0.824,98,1
CSBISR,118.800003,0.829,98,0.997
CSBISR,118,0.831,98,1
CSBISR,117.800003,0.834,98,1
CSBISR,117.599998,0.833,98,1
CSBISR,117.199997,0.843,98,0.994
CSBISR,117.300003,0.843,98,0.991
CSBISR,118.300003,0.836,98,0.992
CSBISR,119,0.832,98,0.992
CSBISR,118.800003,0.827,98,1
CSBISR,118.099998,0.83,98,1
CSBISR,118.5,0.83,98,0.998
CSBISR,119,0.825,98,1
CSBISR,118.699997,0.825,98,1
CSBISR,118.800003,0.825,98,1
CSBISR,118.199997,0.829,98,1
CSBISR,118.199997,0.833,98,0.999
CSBISR,118.400002,0.831,98,1
CSBISR,117.900002,0.832,98,1
CSBISR,118.199997,0.83,98,1
CSBISR,118.699997,0.831,98,0.999
CSBISR,119.099998,0.835,98,0.988
CSBISR,118.800003,0.837,98,0.988
CSBISR,118.300003,0.839,98,0.99
CSBISR,117.900002,0.838,98,0.998
CSBISR,116.900002,0.844,98,0.998
CSBISR,117,0.842,98,0.998
CSBISR,118.199997,0.833,98,1
CSBISR,118.699997,0.829,98,1
CSBISR,118.5,0.827,98,1
CSBISR,118.5,0.83,98,1
CSBISR,118.400002,0.833,98,0.996
CSBISR,118.099998,0.838,98,0.992
CSBISR,117.400002,0.841,98,0.995
CSBISR,117.199997,0.842,98,0.995
CSBISR,117.300003,0.839,98,0.999
CSBISR,118,0.833,98,1
CSBISR,119.199997,0.827,98,0.997
CSBISR,119.199997,0.83,98,0.992
CSBISR,118.300003,0.836,98,0.993
CSBISR,117.699997,0.838,98,0.997
CSBISR,118.099998,0.832,98,0.999
CSBISR,118.300003,0.831,98,0.999
CSBISR,118.800003,0.829,98,0.998
CSBISR,118.5,0.829,98,0.999
CSBISR,117.300003,0.84,98,0.995
CSBISR,116.699997,0.839,98,1
CSBISR,118.099998,0.828,98,1
CSBISR,118.599998,0.828,98,0.997
