"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"411",NULL,"115.900002","2.159000","251.000000","7.350000","1.000000","1517208017"
"412",NULL,"117.400002","2.147000","251.000000","7.350000","0.996000","1517208018"
"413",NULL,"117.099998","2.162000","251.000000","7.350000","0.991000","1517208020"
"414",NULL,"116.500000","2.160000","250.000000","7.350000","0.995000","1517208022"
"415",NULL,"115.900002","2.159000","250.000000","7.350000","0.998000","1517208024"
"416",NULL,"116.000000","2.166000","249.000000","7.350000","0.994000","1517208025"
"417",NULL,"116.400002","2.158000","250.000000","7.350000","0.995000","1517208027"
"418",NULL,"116.300003","2.159000","249.000000","7.350000","0.994000","1517208029"
"419",NULL,"115.500000","2.167000","250.000000","7.350000","0.998000","1517208030"
"420",NULL,"115.900002","2.155000","250.000000","7.350000","1.000000","1517208032"
"421",NULL,"115.500000","2.167000","250.000000","7.350000","1.000000","1517208034"
"422",NULL,"115.500000","2.164000","251.000000","7.350000","1.000000","1517208036"
"423",NULL,"116.300003","2.155000","251.000000","7.350000","1.000000","1517208037"
"424",NULL,"115.800003","2.177000","250.000000","7.350000","0.995000","1517208039"
"425",NULL,"115.900002","2.171000","250.000000","7.350000","0.997000","1517208041"
"426",NULL,"115.900002","2.163000","251.000000","7.350000","1.000000","1517208042"
"427",NULL,"116.099998","2.164000","251.000000","7.350000","1.000000","1517208044"
"428",NULL,"116.699997","2.154000","251.000000","7.350000","0.999000","1517208046"
"429",NULL,"117.000000","2.160000","250.000000","7.350000","0.992000","1517208047"
"430",NULL,"117.000000","2.165000","250.000000","7.350000","0.988000","1517208049"
"431",NULL,"116.300003","2.175000","250.000000","7.350000","0.987000","1517208051"
"432",NULL,"116.699997","2.160000","250.000000","7.350000","0.992000","1517208053"
"433",NULL,"115.800003","2.165000","250.000000","7.350000","0.999000","1517208054"
"434",NULL,"116.199997","2.157000","250.000000","7.350000","0.999000","1517208056"
"435",NULL,"115.900002","2.170000","251.000000","7.350000","0.998000","1517208058"
"436",NULL,"116.099998","2.179000","251.000000","7.350000","0.993000","1517208060"
"437",NULL,"116.000000","2.179000","251.000000","7.350000","0.993000","1517208061"
"438",NULL,"116.099998","2.170000","250.000000","7.350000","0.994000","1517208063"
