"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.000000","3.914000","448.000000","0.006081","0.995000","1518075788"
"2",NULL,"114.500000","3.936000","447.000000","0.006081","0.993000","1518075790"
"3",NULL,"113.699997","3.942000","448.000000","0.006081","0.999000","1518075792"
"4",NULL,"113.699997","3.923000","448.000000","0.006081","1.000000","1518075793"
"5",NULL,"114.699997","3.909000","447.000000","0.006081","0.997000","1518075795"
"6",NULL,"114.800003","3.909000","447.000000","0.006081","0.997000","1518075796"
"7",NULL,"113.800003","3.948000","448.000000","0.006081","0.997000","1518075798"
"8",NULL,"113.699997","3.951000","447.000000","0.006081","0.996000","1518075800"
"9",NULL,"113.500000","3.931000","448.000000","0.006081","1.000000","1518075801"
"10",NULL,"115.199997","3.907000","448.000000","0.006084","0.995000","1518075803"
"11",NULL,"114.900002","3.914000","447.000000","0.006084","0.994000","1518075805"
"12",NULL,"113.900002","3.935000","447.000000","0.006084","0.999000","1518075806"
"13",NULL,"113.699997","3.952000","448.000000","0.006084","0.996000","1518075808"
"14",NULL,"113.699997","3.950000","448.000000","0.006084","0.997000","1518075809"
"15",NULL,"113.800003","3.937000","449.000000","0.006084","1.000000","1518075811"
"16",NULL,"114.500000","3.916000","449.000000","0.006084","1.000000","1518075812"
"17",NULL,"115.099998","3.911000","449.000000","0.006084","0.997000","1518075814"
"18",NULL,"114.900002","3.937000","447.000000","0.006084","0.989000","1518075816"
"19",NULL,"114.500000","3.947000","447.000000","0.006084","0.988000","1518075817"
"20",NULL,"113.800003","3.955000","447.000000","0.006084","0.993000","1518075819"
"21",NULL,"113.500000","3.958000","447.000000","0.006084","0.995000","1518075820"
"22",NULL,"112.800003","3.967000","448.000000","0.006084","1.000000","1518075822"
"23",NULL,"112.599998","3.964000","448.000000","0.006084","1.000000","1518075823"
"24",NULL,"112.500000","3.966000","447.000000","0.006084","1.000000","1518075825"
"25",NULL,"112.599998","3.962000","447.000000","0.006084","1.000000","1518075826"
"26",NULL,"113.000000","3.943000","447.000000","0.006084","1.000000","1518075828"
"27",NULL,"113.400002","3.939000","446.000000","0.006084","0.999000","1518075829"
"28",NULL,"114.099998","3.911000","445.000000","0.006084","0.998000","1518075831"
"29",NULL,"114.300003","3.915000","446.000000","0.006084","0.997000","1518075833"
"30",NULL,"113.900002","3.937000","446.000000","0.006084","0.995000","1518075834"
"31",NULL,"113.900002","3.954000","447.000000","0.006084","0.992000","1518075836"
"32",NULL,"113.300003","3.955000","447.000000","0.006084","0.998000","1518075837"
"33",NULL,"112.800003","3.945000","447.000000","0.006084","1.000000","1518075839"
"34",NULL,"113.400002","3.925000","448.000000","0.006084","1.000000","1518075840"
"35",NULL,"113.699997","3.906000","448.000000","0.006084","1.000000","1518075842"
"36",NULL,"113.500000","3.936000","448.000000","0.006084","1.000000","1518075843"
"37",NULL,"113.300003","3.954000","447.000000","0.006084","0.998000","1518075845"
"38",NULL,"114.199997","3.914000","447.000000","0.006084","1.000000","1518075847"
"39",NULL,"113.900002","3.927000","446.000000","0.006084","0.998000","1518075848"
"40",NULL,"112.500000","3.950000","446.000000","0.006084","1.000000","1518075850"
"41",NULL,"112.400002","3.961000","446.000000","0.006084","1.000000","1518075851"
