"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"116.199997","3.614000","380.000000","0.005731","0.903000","1517904959"
"2",NULL,"115.900002","3.620000","380.000000","0.005731","0.906000","1517904961"
"3",NULL,"115.900002","3.627000","380.000000","0.005731","0.904000","1517904962"
"4",NULL,"116.500000","3.543000","380.000000","0.005731","0.923000","1517904964"
"5",NULL,"116.099998","3.626000","380.000000","0.005731","0.903000","1517904966"
"6",NULL,"116.300003","3.618000","380.000000","0.005731","0.904000","1517904967"
"7",NULL,"116.300003","3.416000","381.000000","0.005734","0.961000","1517904969"
"8",NULL,"116.500000","3.507000","381.000000","0.005734","0.934000","1517904971"
"9",NULL,"116.599998","3.518000","381.000000","0.005734","0.930000","1517904972"
"10",NULL,"116.599998","3.437000","380.000000","0.005734","0.951000","1517904974"
"11",NULL,"115.699997","3.400000","380.000000","0.005734","0.969000","1517904976"
"12",NULL,"115.199997","3.374000","380.000000","0.005734","0.982000","1517904977"
"13",NULL,"115.099998","3.687000","381.000000","0.005734","0.898000","1517905020"
"14",NULL,"115.300003","3.683000","381.000000","0.005734","0.897000","1517905022"
"15",NULL,"115.500000","3.684000","381.000000","0.005734","0.895000","1517905023"
"16",NULL,"115.400002","3.537000","381.000000","0.005734","0.936000","1517905025"
"17",NULL,"115.800003","3.395000","380.000000","0.005734","0.971000","1517905027"
"18",NULL,"116.099998","3.406000","380.000000","0.005734","0.964000","1517905028"
"19",NULL,"115.500000","3.387000","380.000000","0.005734","0.975000","1517905030"
"20",NULL,"115.699997","3.232000","380.000000","0.005734","1.000000","1517905032"
"21",NULL,"115.300003","3.372000","380.000000","0.005734","0.981000","1517905033"
"22",NULL,"115.599998","3.621000","380.000000","0.005734","0.909000","1517905035"
"23",NULL,"115.800003","3.608000","381.000000","0.005734","0.911000","1517905036"
"24",NULL,"115.699997","3.609000","382.000000","0.005734","0.915000","1517905038"
"25",NULL,"115.699997","3.599000","382.000000","0.005734","0.917000","1517905039"
"26",NULL,"116.699997","3.520000","382.000000","0.005734","0.929000","1517905041"
"27",NULL,"115.599998","3.501000","382.000000","0.005734","0.946000","1517905043"
"28",NULL,"115.199997","3.521000","382.000000","0.005734","0.944000","1517905044"
"29",NULL,"116.099998","3.606000","381.000000","0.005734","0.912000","1517905046"
"30",NULL,"116.099998","3.534000","381.000000","0.005734","0.930000","1517905048"
"31",NULL,"116.599998","3.485000","381.000000","0.005734","0.938000","1517905049"
"32",NULL,"117.099998","3.470000","380.000000","0.005734","0.936000","1517905051"
"33",NULL,"117.099998","3.401000","380.000000","0.005734","0.954000","1517905052"
"34",NULL,"116.500000","3.271000","380.000000","0.005734","0.997000","1517905054"
"35",NULL,"115.599998","3.371000","380.000000","0.005734","0.977000","1517905056"
"36",NULL,"115.300003","3.362000","379.000000","0.005734","0.982000","1517905057"
"37",NULL,"116.099998","3.239000","379.000000","0.005734","1.000000","1517905059"
"38",NULL,"116.599998","3.328000","380.000000","0.005734","0.980000","1517905061"
"39",NULL,"116.599998","3.488000","380.000000","0.005734","0.935000","1517905062"
"40",NULL,"117.699997","3.331000","379.000000","0.005737","0.967000","1517905064"
"41",NULL,"117.800003","3.346000","379.000000","0.005737","0.961000","1517905065"
"42",NULL,"116.599998","3.302000","379.000000","0.005737","0.984000","1517905067"
"43",NULL,"116.400002","3.304000","378.000000","0.005737","0.985000","1517905068"
"44",NULL,"117.400002","3.359000","379.000000","0.005737","0.960000","1517905070"
"45",NULL,"116.800003","3.421000","379.000000","0.005737","0.949000","1517905072"
"46",NULL,"116.599998","3.406000","379.000000","0.005737","0.955000","1517905073"
"47",NULL,"117.199997","3.358000","379.000000","0.005737","0.964000","1517905075"
"48",NULL,"116.400002","3.332000","379.000000","0.005737","0.978000","1517905077"
"49",NULL,"116.199997","3.426000","379.000000","0.005737","0.954000","1517905078"
"50",NULL,"115.699997","3.605000","378.000000","0.005737","0.906000","1517905080"
"51",NULL,"115.199997","3.492000","378.000000","0.005737","0.942000","1517905081"
"52",NULL,"116.099998","3.301000","379.000000","0.005737","0.991000","1517905083"
"53",NULL,"115.400002","3.366000","379.000000","0.005737","0.978000","1517905085"
"54",NULL,"115.500000","3.382000","379.000000","0.005737","0.971000","1517905086"
"55",NULL,"116.599998","3.315000","379.000000","0.005737","0.980000","1517905088"
"56",NULL,"116.800003","3.310000","379.000000","0.005737","0.981000","1517905090"
"57",NULL,"116.900002","3.305000","379.000000","0.005737","0.981000","1517905091"
"58",NULL,"116.500000","3.310000","378.000000","0.005737","0.981000","1517905093"
"59",NULL,"115.699997","3.396000","379.000000","0.005737","0.967000","1517905095"
"60",NULL,"115.699997","3.380000","379.000000","0.005737","0.971000","1517905096"
"61",NULL,"116.199997","3.235000","379.000000","0.005737","1.000000","1517905098"
"62",NULL,"115.900002","3.234000","379.000000","0.005737","1.000000","1517905099"
"63",NULL,"120.000000","0.879000","104.000000","0.005750","0.989000","1517907240"
"64",NULL,"120.099998","0.874000","104.000000","0.005750","0.994000","1517907242"
"65",NULL,"121.099998","0.866000","104.000000","0.005750","0.993000","1517907244"
"66",NULL,"120.800003","0.868000","104.000000","0.005750","0.994000","1517907245"
