"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"114.300003","5.893000","616.000000","0.002722","0.920000","1517477405"
"2",NULL,"115.300003","5.600000","616.000000","0.002722","0.957000","1517477406"
"3",NULL,"115.699997","5.829000","618.000000","0.002722","0.916000","1517477408"
"4",NULL,"116.199997","5.854000","618.000000","0.002722","0.908000","1517477410"
"5",NULL,"115.699997","5.951000","618.000000","0.002722","0.897000","1517477411"
"6",NULL,"115.000000","5.999000","617.000000","0.002722","0.894000","1517477413"
"7",NULL,"115.000000","6.079000","616.000000","0.002722","0.881000","1517477415"
"8",NULL,"115.099998","6.128000","617.000000","0.002722","0.875000","1517477416"
"9",NULL,"115.300003","5.822000","620.000000","0.002722","0.927000","1517477418"
"10",NULL,"116.599998","5.815000","619.000000","0.002722","0.913000","1517477419"
"11",NULL,"116.300003","5.636000","618.000000","0.002722","0.944000","1517477421"
"12",NULL,"115.300003","5.646000","617.000000","0.002722","0.953000","1517477423"
"13",NULL,"115.900002","5.361000","617.000000","0.002722","0.993000","1517477424"
"14",NULL,"116.599998","5.433000","617.000000","0.002722","0.975000","1517477426"
"15",NULL,"116.800003","5.744000","619.000000","0.002722","0.922000","1517477428"
"16",NULL,"115.199997","6.083000","618.000000","0.002722","0.882000","1517477429"
"17",NULL,"114.900002","6.172000","618.000000","0.002722","0.871000","1517477431"
"18",NULL,"115.900002","5.762000","618.000000","0.002722","0.930000","1517477433"
"19",NULL,"116.599998","5.599000","618.000000","0.002722","0.948000","1517477434"
"20",NULL,"115.599998","5.476000","618.000000","0.002725","0.977000","1517477436"
"21",NULL,"115.099998","5.674000","619.000000","0.002725","0.951000","1517477437"
"22",NULL,"114.800003","5.631000","618.000000","0.002725","0.960000","1517477439"
"23",NULL,"114.800003","5.321000","617.000000","0.002725","1.000000","1517477440"
"24",NULL,"114.699997","5.311000","618.000000","0.002725","1.000000","1517477442"
"25",NULL,"115.500000","5.420000","618.000000","0.002725","0.989000","1517477444"
"26",NULL,"114.900002","5.300000","617.000000","0.002725","1.000000","1517477445"
"27",NULL,"114.900002","5.302000","616.000000","0.002725","1.000000","1517477447"
"28",NULL,"114.900002","5.308000","618.000000","0.002725","1.000000","1517477449"
"29",NULL,"115.599998","5.340000","618.000000","0.002725","1.000000","1517477450"
"30",NULL,"115.599998","5.338000","618.000000","0.002725","1.000000","1517477452"
"31",NULL,"115.699997","5.441000","616.000000","0.002725","0.980000","1517477454"
"32",NULL,"114.400002","5.310000","616.000000","0.002725","1.000000","1517477455"
"33",NULL,"114.199997","5.317000","616.000000","0.002725","1.000000","1517477457"
"34",NULL,"115.199997","5.343000","616.000000","0.002725","1.000000","1517477459"
"35",NULL,"115.400002","5.378000","615.000000","0.002725","0.991000","1517477460"
"36",NULL,"115.400002","5.430000","615.000000","0.002725","0.982000","1517477462"
"37",NULL,"115.900002","5.546000","615.000000","0.002725","0.959000","1517477463"
"38",NULL,"116.000000","5.650000","615.000000","0.002725","0.941000","1517477465"
"39",NULL,"115.500000","6.034000","615.000000","0.002725","0.883000","1517477467"
"40",NULL,"114.900002","6.138000","615.000000","0.002725","0.873000","1517477468"
"41",NULL,"114.800003","5.876000","617.000000","0.002725","0.919000","1517477470"
"42",NULL,"115.199997","6.057000","618.000000","0.002725","0.885000","1517477471"
"43",NULL,"115.900002","5.936000","617.000000","0.002725","0.897000","1517477473"
"44",NULL,"117.000000","5.771000","617.000000","0.002725","0.914000","1517477475"
"45",NULL,"117.199997","5.686000","618.000000","0.002725","0.927000","1517477476"
"46",NULL,"116.699997","5.705000","617.000000","0.002725","0.930000","1517477478"
"47",NULL,"117.099998","5.504000","617.000000","0.002725","0.958000","1517477479"
"48",NULL,"117.099998","5.483000","617.000000","0.002725","0.962000","1517477481"
"49",NULL,"116.800003","5.516000","618.000000","0.002725","0.961000","1517477483"
"50",NULL,"116.800003","5.368000","617.000000","0.002725","0.983000","1517477484"
"51",NULL,"117.000000","5.378000","616.000000","0.002725","0.979000","1517477486"
"52",NULL,"117.300003","5.418000","619.000000","0.002725","0.973000","1517477488"
"53",NULL,"117.400002","5.476000","618.000000","0.002725","0.961000","1517477489"
"54",NULL,"117.400002","5.515000","617.000000","0.002725","0.954000","1517477491"
"55",NULL,"117.300003","5.610000","619.000000","0.002728","0.939000","1517477493"
"56",NULL,"117.300003","5.660000","619.000000","0.002728","0.931000","1517477494"
"57",NULL,"116.500000","5.609000","619.000000","0.002728","0.948000","1517477496"
"58",NULL,"116.300003","5.824000","620.000000","0.002728","0.915000","1517477497"
"59",NULL,"116.400002","5.854000","620.000000","0.002728","0.909000","1517477499"
"60",NULL,"115.800003","6.002000","619.000000","0.002728","0.890000","1517477500"
"61",NULL,"115.400002","6.026000","618.000000","0.002728","0.889000","1517477502"
"62",NULL,"115.599998","5.736000","620.000000","0.002728","0.938000","1517477504"
"63",NULL,"115.300003","5.518000","620.000000","0.002728","0.977000","1517477505"
"64",NULL,"115.900002","5.628000","617.000000","0.002728","0.949000","1517477507"
"65",NULL,"116.400002","5.818000","618.000000","0.002728","0.912000","1517477508"
"66",NULL,"116.500000","5.774000","618.000000","0.002728","0.917000","1517477510"
"67",NULL,"116.400002","5.576000","617.000000","0.002728","0.951000","1517477512"
"68",NULL,"116.400002","5.491000","617.000000","0.002728","0.965000","1517477513"
"69",NULL,"116.800003","5.429000","617.000000","0.002728","0.973000","1517477515"
"70",NULL,"117.199997","5.412000","615.000000","0.002728","0.970000","1517477517"
"71",NULL,"115.900002","5.630000","616.000000","0.002728","0.949000","1517477518"
"72",NULL,"115.500000","5.599000","616.000000","0.002728","0.958000","1517477520"
"73",NULL,"115.699997","5.339000","615.000000","0.002728","0.996000","1517477522"
"74",NULL,"114.800003","5.355000","615.000000","0.002728","1.000000","1517477523"
"75",NULL,"115.500000","5.439000","615.000000","0.002728","0.979000","1517477525"
"76",NULL,"116.500000","5.708000","615.000000","0.002728","0.925000","1517477527"
"77",NULL,"116.099998","5.988000","615.000000","0.002728","0.884000","1517477528"
"78",NULL,"115.599998","6.115000","614.000000","0.002728","0.869000","1517477530"
"79",NULL,"114.900002","5.865000","614.000000","0.002728","0.915000","1517477532"
"80",NULL,"115.800003","5.852000","615.000000","0.002728","0.908000","1517477533"
"81",NULL,"116.699997","5.713000","616.000000","0.002728","0.924000","1517477535"
