"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1","10","115.099998","0.223000","15.000000","7.350000","0.606000","1517205153"
"2","10","115.900002","0.224000","15.000000","7.350000","0.603000","1517205154"
"3",NULL,"114.699997","0.221000","15.000000","7.350000","0.619000","1517205167"
"4",NULL,"115.000000","0.221000","15.000000","7.350000","0.616000","1517205169"
"5",NULL,"115.699997","0.223000","15.000000","7.350000","0.605000","1517205171"
"6",NULL,"115.400002","0.222000","15.000000","7.350000","0.606000","1517205172"
"7",NULL,"116.000000","0.223000","15.000000","7.350000","0.600000","1517205174"
"8",NULL,"116.300003","0.224000","15.000000","7.350000","0.597000","1517205176"
"9",NULL,"115.400002","0.224000","15.000000","7.350000","0.603000","1517205177"
"10",NULL,"114.800003","0.223000","15.000000","7.350000","0.608000","1517205179"
"11",NULL,"114.900002","0.220000","15.000000","7.350000","0.614000","1517205181"
"12",NULL,"115.300003","0.223000","15.000000","7.350000","0.606000","1517205182"
"13",NULL,"116.199997","0.225000","15.000000","7.350000","0.596000","1517205184"
"14",NULL,"115.500000","0.224000","15.000000","7.350000","0.599000","1517205186"
"15",NULL,"115.199997","0.223000","15.000000","7.350000","0.605000","1517205188"
"16",NULL,"115.800003","0.223000","15.000000","7.350000","0.604000","1517205189"
"17",NULL,"116.599998","0.224000","15.000000","7.350000","0.596000","1517205191"
"18",NULL,"116.500000","0.225000","15.000000","7.350000","0.594000","1517205193"
"19",NULL,"114.599998","0.223000","15.000000","7.350000","0.613000","1517205194"
"20",NULL,"114.300003","0.222000","15.000000","7.350000","0.617000","1517205196"
"21",NULL,"115.800003","0.224000","15.000000","7.350000","0.600000","1517205198"
"22",NULL,"116.000000","0.225000","15.000000","7.350000","0.599000","1517205199"
"23",NULL,"115.199997","0.224000","15.000000","7.350000","0.608000","1517205201"
"24",NULL,"115.199997","0.222000","15.000000","7.350000","0.609000","1517205203"
"25",NULL,"115.400002","0.224000","15.000000","7.350000","0.603000","1517205204"
"26",NULL,"116.300003","0.226000","15.000000","7.350000","0.590000","1517205206"
"27",NULL,"115.900002","0.226000","15.000000","7.350000","0.594000","1517205208"
"28",NULL,"114.800003","0.223000","15.000000","7.350000","0.608000","1517205210"
"29",NULL,"114.699997","0.222000","15.000000","7.350000","0.613000","1517205211"
"30",NULL,"114.300003","0.221000","15.000000","7.350000","0.620000","1517205213"
"31",NULL,"114.500000","0.220000","15.000000","7.350000","0.618000","1517205215"
"32",NULL,"115.300003","0.221000","15.000000","7.350000","0.613000","1517205217"
"33",NULL,"114.900002","0.222000","15.000000","7.350000","0.612000","1517205218"
"34",NULL,"114.599998","0.221000","15.000000","7.350000","0.614000","1517205220"
"35",NULL,"0.060000","17.886000","15.000000","7.280000","1.605000","1517205223"
"36",NULL,"115.800003","0.224000","15.000000","7.350000","0.599000","1517205224"
"37",NULL,"115.900002","0.227000","15.000000","7.350000","0.592000","1517205226"
"38",NULL,"116.300003","0.227000","15.000000","7.350000","0.588000","1517205228"
"39",NULL,"116.599998","0.225000","15.000000","7.350000","0.589000","1517205230"
"40",NULL,"115.800003","0.221000","15.000000","7.350000","0.608000","1517205231"
"41",NULL,"115.000000","0.220000","15.000000","7.350000","0.615000","1517205233"
"42",NULL,"115.099998","0.222000","15.000000","7.350000","0.610000","1517205235"
"43",NULL,"114.900002","0.222000","15.000000","7.350000","0.612000","1517205236"
"44",NULL,"115.000000","0.223000","15.000000","7.350000","0.604000","1517205238"
"45",NULL,"115.199997","0.224000","15.000000","7.350000","0.603000","1517205240"
"46",NULL,"115.400002","0.223000","15.000000","7.350000","0.602000","1517205242"
"47",NULL,"115.199997","0.224000","15.000000","7.350000","0.599000","1517205243"
"48",NULL,"115.300003","0.225000","15.000000","7.350000","0.597000","1517205245"
"49",NULL,"114.900002","0.223000","15.000000","7.350000","0.607000","1517205247"
"50",NULL,"114.900002","0.221000","15.000000","7.350000","0.612000","1517205248"
"51",NULL,"114.400002","0.222000","15.000000","7.350000","0.614000","1517205250"
"52",NULL,"114.199997","0.222000","15.000000","7.350000","0.615000","1517205252"
"53",NULL,"114.900002","0.222000","15.000000","7.350000","0.612000","1517205254"
"54",NULL,"116.099998","0.224000","15.000000","7.350000","0.600000","1517205255"
"55",NULL,"116.800003","0.225000","15.000000","7.350000","0.592000","1517205257"
"56",NULL,"117.000000","0.223000","15.000000","7.350000","0.597000","1517205258"
"57",NULL,"115.300003","0.222000","15.000000","7.350000","0.612000","1517205260"
