"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.699997","0.397000","24.000000","0.002359","0.519000","1517298755"
"2",NULL,"118.500000","0.397000","24.000000","0.002359","0.521000","1517298757"
"3",NULL,"118.000000","0.394000","23.000000","0.002359","0.499000","1517298759"
"4",NULL,"118.000000","0.410000","25.000000","0.002359","0.520000","1517298760"
"5",NULL,"117.599998","0.398000","25.000000","0.002359","0.543000","1517298762"
"6",NULL,"117.800003","0.381000","24.000000","0.002359","0.547000","1517298764"
"7",NULL,"117.400002","0.383000","23.000000","0.002359","0.530000","1517298765"
"8",NULL,"117.000000","0.391000","23.000000","0.002359","0.523000","1517298767"
"9",NULL,"117.300003","0.386000","24.000000","0.002359","0.535000","1517298769"
"10",NULL,"117.699997","0.380000","23.000000","0.002359","0.535000","1517298770"
"11",NULL,"117.699997","0.365000","23.000000","0.002359","0.540000","1517298772"
"12",NULL,"117.800003","0.376000","23.000000","0.002359","0.534000","1517298773"
"13",NULL,"117.599998","0.396000","24.000000","0.002359","0.521000","1517298775"
"14",NULL,"117.599998","0.366000","23.000000","0.002359","0.545000","1517298776"
"15",NULL,"118.099998","0.371000","23.000000","0.002359","0.541000","1517298778"
"16",NULL,"117.699997","0.384000","23.000000","0.002359","0.516000","1517298780"
"17",NULL,"117.300003","0.394000","22.000000","0.002359","0.493000","1517298782"
"18",NULL,"116.800003","0.397000","23.000000","0.002359","0.500000","1517298783"
"19",NULL,"116.599998","0.401000","23.000000","0.002359","0.499000","1517298785"
"20",NULL,"117.099998","0.401000","24.000000","0.002359","0.515000","1517298787"
"21",NULL,"117.699997","0.398000","25.000000","0.002359","0.541000","1517298788"
"22",NULL,"118.000000","0.375000","24.000000","0.002359","0.558000","1517298790"
"23",NULL,"118.199997","0.361000","22.000000","0.002359","0.527000","1517298792"
"24",NULL,"116.599998","0.379000","22.000000","0.002359","0.514000","1517298793"
"25",NULL,"116.500000","0.385000","23.000000","0.002359","0.532000","1517298795"
"26",NULL,"117.400002","0.384000","23.000000","0.002359","0.522000","1517298797"
"27",NULL,"118.300003","0.393000","22.000000","0.002359","0.478000","1517298798"
"28",NULL,"117.300003","0.384000","22.000000","0.002359","0.497000","1517298800"
"29",NULL,"117.000000","0.347000","21.000000","0.002359","0.530000","1517298801"
"30",NULL,"118.099998","0.341000","21.000000","0.002359","0.528000","1517298803"
"31",NULL,"117.500000","0.344000","21.000000","0.002359","0.535000","1517298805"
"32",NULL,"117.900002","0.363000","22.000000","0.002359","0.530000","1517298806"
"33",NULL,"118.599998","0.361000","23.000000","0.002359","0.537000","1517298808"
"34",NULL,"117.699997","0.357000","23.000000","0.002359","0.558000","1517298809"
"35",NULL,"117.000000","0.368000","23.000000","0.002359","0.548000","1517298811"
"36",NULL,"118.099998","0.377000","23.000000","0.002359","0.526000","1517298813"
"37",NULL,"117.000000","0.375000","22.000000","0.002359","0.516000","1517298816"
"38",NULL,"117.699997","0.377000","23.000000","0.002359","0.519000","1517298817"
"39",NULL,"118.099998","0.360000","22.000000","0.002359","0.522000","1517298819"
"40",NULL,"117.199997","0.354000","21.000000","0.002359","0.508000","1517298821"
"41",NULL,"117.900002","0.364000","21.000000","0.002359","0.503000","1517298822"
"42",NULL,"118.900002","0.365000","22.000000","0.002359","0.520000","1517298824"
"43",NULL,"118.199997","0.397000","23.000000","0.002359","0.513000","1517298826"
"44",NULL,"116.800003","0.406000","22.000000","0.002359","0.472000","1517298827"
"45",NULL,"116.599998","0.391000","22.000000","0.002359","0.493000","1517298829"
"46",NULL,"117.000000","0.386000","24.000000","0.002359","0.538000","1517298830"
"47",NULL,"117.300003","0.372000","23.000000","0.002359","0.543000","1517298832"
"48",NULL,"117.300003","0.426000","24.000000","0.002359","0.500000","1517298834"
"49",NULL,"117.800003","0.416000","25.000000","0.002359","0.537000","1517298835"
"50",NULL,"118.699997","0.361000","24.000000","0.002359","0.564000","1517298837"
"51",NULL,"117.599998","0.379000","23.000000","0.002359","0.523000","1517298839"
"52",NULL,"117.199997","0.411000","27.000000","0.002359","0.567000","1517298840"
"53",NULL,"117.699997","0.462000","31.000000","0.002359","0.583000","1517298842"
"54",NULL,"117.500000","0.553000","36.000000","0.002359","0.567000","1517298844"
"55",NULL,"117.599998","0.442000","28.000000","0.002359","0.545000","1517298845"
"56",NULL,"117.000000","0.371000","22.000000","0.002359","0.523000","1517298847"
"57",NULL,"117.800003","0.358000","23.000000","0.002359","0.560000","1517298848"
"58",NULL,"118.400002","0.426000","28.000000","0.002359","0.578000","1517298850"
"59",NULL,"117.900002","0.418000","26.000000","0.002359","0.546000","1517298852"
"60",NULL,"117.000000","0.375000","22.000000","0.002359","0.514000","1517298853"
"61",NULL,"116.500000","0.452000","29.000000","0.002359","0.543000","1517298855"
"62",NULL,"117.099998","0.454000","31.000000","0.002359","0.595000","1517298857"
"63",NULL,"117.900002","0.441000","28.000000","0.002359","0.548000","1517298858"
"64",NULL,"118.500000","0.435000","27.000000","0.002359","0.520000","1517298860"
"65",NULL,"118.599998","0.359000","22.000000","0.002359","0.517000","1517298861"
"66",NULL,"118.300003","0.362000","22.000000","0.002359","0.518000","1517298863"
"67",NULL,"117.199997","0.383000","21.000000","0.002359","0.488000","1517298864"
"68",NULL,"116.599998","0.389000","21.000000","0.002359","0.482000","1517298866"
"69",NULL,"117.199997","0.359000","22.000000","0.002359","0.545000","1517298868"
"70",NULL,"117.099998","0.355000","21.000000","0.002359","0.526000","1517298869"
"71",NULL,"116.900002","0.413000","25.000000","0.002359","0.529000","1517298871"
"72",NULL,"117.199997","0.439000","28.000000","0.002359","0.542000","1517298872"
"73",NULL,"117.500000","0.385000","23.000000","0.002359","0.519000","1517298874"
