"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"117.300003","2.414000","282.000000","0.002366","0.996000","1517299960"
"2",NULL,"117.400002","2.408000","282.000000","0.002366","0.997000","1517299962"
"3",NULL,"116.800003","2.417000","282.000000","0.002366","0.998000","1517299963"
"4",NULL,"117.099998","2.416000","281.000000","0.002366","0.995000","1517299965"
"5",NULL,"117.699997","2.406000","281.000000","0.002366","0.994000","1517299967"
"6",NULL,"117.900002","2.402000","281.000000","0.002366","0.993000","1517299969"
"7",NULL,"117.199997","2.404000","281.000000","0.002366","0.999000","1517299970"
"8",NULL,"117.199997","2.402000","281.000000","0.002366","0.999000","1517299972"
"9",NULL,"117.599998","2.408000","281.000000","0.002366","0.993000","1517299974"
"10",NULL,"116.599998","2.442000","281.000000","0.002366","0.988000","1517299975"
"11",NULL,"116.400002","2.442000","281.000000","0.002366","0.991000","1517299977"
"12",NULL,"116.900002","2.423000","281.000000","0.002366","0.993000","1517299979"
"13",NULL,"116.800003","2.422000","281.000000","0.002366","0.995000","1517299980"
"14",NULL,"117.699997","2.400000","281.000000","0.002366","0.996000","1517299982"
"15",NULL,"117.800003","2.408000","281.000000","0.002366","0.991000","1517299984"
"16",NULL,"116.800003","2.432000","281.000000","0.002366","0.989000","1517299985"
"17",NULL,"116.199997","2.444000","281.000000","0.002366","0.990000","1517299987"
"18",NULL,"116.400002","2.437000","281.000000","0.002366","0.991000","1517299989"
"19",NULL,"116.900002","2.423000","281.000000","0.002366","0.993000","1517299990"
"20",NULL,"117.000000","2.419000","281.000000","0.002366","0.995000","1517299992"
"21",NULL,"116.500000","2.426000","282.000000","0.002366","0.997000","1517299994"
"22",NULL,"117.500000","2.403000","281.000000","0.002366","0.996000","1517299995"
"23",NULL,"118.000000","2.403000","281.000000","0.002366","0.992000","1517299997"
"24",NULL,"118.099998","2.409000","282.000000","0.002366","0.990000","1517299998"
"25",NULL,"117.300003","2.424000","281.000000","0.002366","0.990000","1517300000"
"26",NULL,"116.599998","2.431000","281.000000","0.002369","0.993000","1517300002"
"27",NULL,"116.699997","2.423000","281.000000","0.002369","0.996000","1517300003"
"28",NULL,"117.199997","2.408000","282.000000","0.002369","0.998000","1517300005"
"29",NULL,"117.000000","2.413000","281.000000","0.002369","0.996000","1517300006"
"30",NULL,"117.300003","2.410000","281.000000","0.002369","0.995000","1517300008"
"31",NULL,"117.400002","2.400000","281.000000","0.002369","1.000000","1517300009"
"32",NULL,"117.199997","2.402000","282.000000","0.002369","1.000000","1517300011"
"33",NULL,"117.400002","2.408000","281.000000","0.002369","0.996000","1517300013"
"34",NULL,"116.699997","2.415000","282.000000","0.002369","1.000000","1517300014"
"35",NULL,"116.699997","2.413000","281.000000","0.002369","0.999000","1517300016"
"36",NULL,"117.300003","2.415000","281.000000","0.002369","0.992000","1517300018"
"37",NULL,"117.500000","2.402000","281.000000","0.002369","0.995000","1517300019"
"38",NULL,"117.400002","2.402000","281.000000","0.002369","0.997000","1517300021"
"39",NULL,"117.699997","2.393000","281.000000","0.002369","0.999000","1517300023"
"40",NULL,"117.199997","2.397000","282.000000","0.002369","1.000000","1517300024"
"41",NULL,"115.900002","2.436000","280.000000","0.001800","1.605000","1517300029"
"42",NULL,"118.000000","2.391000","281.000000","0.002375","1.605000","1517300284"
"43",NULL,"117.900002","2.396000","281.000000","0.002375","0.996000","1517300286"
"44",NULL,"117.900002","2.408000","280.000000","0.002375","0.987000","1517300287"
"45",NULL,"117.699997","2.419000","280.000000","0.002375","1.605000","1517300291"
"46",NULL,"116.699997","2.430000","281.000000","0.001800","1.605000","1517300294"
"47",NULL,"117.699997","2.407000","280.000000","0.002375","0.989000","1517300296"
"48",NULL,"117.099998","2.412000","280.000000","0.002375","0.993000","1517300297"
"49",NULL,"116.599998","2.423000","281.000000","0.002375","0.994000","1517300299"
"50",NULL,"118.099998","2.410000","281.000000","0.002375","0.987000","1517300300"
"51",NULL,"118.300003","2.393000","281.000000","0.001800","1.605000","1517300303"
"52",NULL,"118.000000","2.390000","281.000000","0.002375","0.997000","1517300304"
"53",NULL,"118.199997","2.383000","281.000000","0.002375","0.997000","1517300306"
"54",NULL,"117.800003","2.386000","281.000000","0.001800","1.605000","1517300308"
"55",NULL,"116.900002","2.405000","281.000000","0.002375","0.998000","1517300310"
"56",NULL,"116.800003","2.413000","281.000000","0.002375","0.997000","1517300311"
"57",NULL,"116.599998","2.419000","281.000000","0.002375","0.997000","1517300313"
"58",NULL,"116.199997","2.433000","281.000000","0.002375","0.993000","1517300314"
"59",NULL,"117.599998","2.415000","280.000000","0.002375","1.605000","1517300316"
"60",NULL,"118.099998","2.394000","280.000000","0.002375","0.992000","1517300318"
"61",NULL,"117.500000","2.386000","280.000000","0.002375","1.000000","1517300320"
"62",NULL,"116.300003","2.427000","280.000000","0.002375","0.994000","1517300321"
"63",NULL,"116.699997","2.432000","280.000000","0.002375","0.989000","1517300323"
"64",NULL,"117.900002","2.394000","281.000000","0.002375","0.995000","1517300325"
"65",NULL,"117.000000","2.411000","281.000000","0.002375","0.997000","1517300326"
"66",NULL,"116.400002","2.433000","281.000000","0.002375","0.992000","1517300328"
"67",NULL,"117.000000","2.419000","280.000000","0.002375","0.991000","1517300329"
"68",NULL,"117.699997","2.398000","280.000000","0.002375","0.994000","1517300331"
"69",NULL,"117.300003","2.411000","280.000000","0.002375","0.992000","1517300332"
"70",NULL,"116.699997","2.430000","280.000000","0.002375","0.989000","1517300334"
"71",NULL,"117.400002","2.407000","281.000000","0.002375","0.994000","1517300336"
"72",NULL,"116.300003","2.426000","281.000000","0.002375","0.996000","1517300337"
"73",NULL,"116.199997","2.440000","281.000000","0.002375","0.990000","1517300339"
"74",NULL,"117.099998","2.420000","281.000000","0.002375","0.990000","1517300340"
"75",NULL,"117.599998","2.401000","281.000000","0.002375","0.995000","1517300342"
"76",NULL,"117.300003","2.399000","281.000000","0.002375","0.998000","1517300343"
"77",NULL,"116.599998","2.419000","281.000000","0.002375","0.995000","1517300345"
"78",NULL,"116.199997","2.444000","281.000000","0.002375","0.988000","1517300347"
"79",NULL,"116.500000","2.423000","281.000000","0.002375","0.996000","1517300348"
"80",NULL,"116.800003","2.409000","281.000000","0.002375","0.999000","1517300350"
"81",NULL,"117.500000","2.413000","281.000000","0.002375","0.991000","1517300352"
"82",NULL,"117.199997","2.407000","281.000000","0.001800","1.605000","1517300356"
"83",NULL,"117.099998","2.403000","281.000000","0.002375","0.997000","1517300358"
"84",NULL,"117.400002","2.405000","281.000000","0.002375","0.994000","1517300359"
"85",NULL,"117.800003","2.408000","281.000000","0.002375","0.991000","1517300361"
"86",NULL,"117.599998","2.411000","281.000000","0.002375","0.990000","1517300363"
"87",NULL,"118.099998","2.403000","281.000000","0.002375","0.989000","1517300364"
"88",NULL,"117.699997","2.404000","281.000000","0.002375","0.993000","1517300366"
"89",NULL,"116.000000","2.427000","281.000000","0.002375","0.998000","1517300367"
"90",NULL,"116.000000","2.421000","281.000000","0.002375","1.000000","1517300369"
"91",NULL,"116.400002","2.414000","281.000000","0.002375","1.000000","1517300370"
"92",NULL,"116.500000","2.412000","281.000000","0.002375","1.000000","1517300372"
"93",NULL,"116.900002","2.407000","281.000000","0.002375","0.999000","1517300373"
"94",NULL,"117.000000","2.411000","281.000000","0.002375","0.997000","1517300375"
"95",NULL,"116.699997","2.413000","281.000000","0.002375","0.998000","1517300377"
"96",NULL,"117.099998","2.419000","281.000000","0.002375","0.992000","1517300378"
"97",NULL,"117.000000","2.423000","281.000000","0.002375","0.991000","1517300380"
"98",NULL,"117.099998","2.410000","280.000000","0.002375","0.993000","1517300382"
"99",NULL,"118.199997","2.395000","280.000000","0.002378","0.990000","1517300383"
"100",NULL,"118.300003","2.385000","281.000000","0.002378","0.995000","1517300385"
"101",NULL,"117.400002","2.400000","280.000000","0.002378","0.997000","1517300386"
"102",NULL,"116.599998","2.416000","280.000000","0.002378","0.996000","1517300388"
"103",NULL,"116.900002","2.412000","280.000000","0.002378","0.995000","1517300389"
"104",NULL,"117.699997","2.413000","281.000000","0.002378","0.990000","1517300391"
"105",NULL,"117.699997","2.420000","281.000000","0.002378","0.987000","1517300393"
"106",NULL,"118.400002","2.392000","281.000000","0.002378","0.992000","1517300394"
