app_id,v_val,i_val,p_val,pf_val
CFSSBIPTR,112.900002,4.826,541,0.994
CFSSBIPTR,113.599998,4.814,542,0.99
CFSSBIPTR,115,4.75,543,0.994
CFSSBIPTR,113.599998,4.78,543,1
CFSSBIPTR,112.699997,4.806,543,1
CFSSBIPTR,112.900002,4.812,542,0.998
CFSSBIPTR,113.199997,4.81,542,0.996
CFSSBIPTR,114,4.789,543,0.994
CFSSBIPTR,114.400002,4.773,543,0.994
CFSSBIPTR,114.199997,4.768,543,0.996
CFSSBIPTR,113.300003,4.766,542,1
CFSSBIPTR,113.900002,4.762,542,0.999
CFSSBIPTR,113.599998,4.777,542,0.999
CFSSBIPTR,112.400002,4.81,543,1
CFSSBIPTR,113,4.8,542,1
CFSSBIPTR,112.800003,4.795,541,1
CFSSBIPTR,112.800003,4.786,540,1
CFSSBIPTR,112.199997,4.811,542,1
CFSSBIPTR,112.199997,4.805,541,1
CFSSBIPTR,113,4.777,542,1
CFSSBIPTR,112.5,4.792,542,1
CFSSBIPTR,112.599998,4.796,543,1
CFSSBIPTR,112.800003,4.8,542,1
CFSSBIPTR,113.599998,4.799,543,0.995
CFSSBIPTR,113.900002,4.8,543,0.992
CFSSBIPTR,114.300003,4.778,543,0.994
CFSSBIPTR,114.800003,4.746,543,0.996
CFSSBIPTR,113.900002,4.75,542,1
CFSSBIPTR,113,4.766,542,1
CFSSBIPTR,113.400002,4.784,542,0.999
CFSSBIPTR,113.5,4.798,541,0.994
CFSSBIPTR,114.300003,4.765,542,0.995
CFSSBIPTR,114.800003,4.737,543,0.999
CFSSBIPTR,113.900002,4.755,543,1
CFSSBIPTR,113.199997,4.776,542,1
CFSSBIPTR,114,4.774,541,0.994
CFSSBIPTR,114.5,4.766,542,0.993
CFSSBIPTR,114,4.778,543,0.997
CFSSBIPTR,113.800003,4.793,542,0.993
CFSSBIPTR,114.800003,4.733,542,0.998
CFSSBIPTR,114.900002,4.723,542,0.999
CFSSBIPTR,114.699997,4.731,541,0.997
CFSSBIPTR,114.599998,4.734,541,0.998
CFSSBIPTR,113.300003,4.753,541,1
CFSSBIPTR,113,4.762,542,1
CFSSBIPTR,112.900002,4.782,542,1
CFSSBIPTR,112.5,4.785,543,1
CFSSBIPTR,112.699997,4.79,543,1
CFSSBIPTR,112.599998,4.807,543,1
CFSSBIPTR,112.599998,4.803,543,1
CFSSBIPTR,113.699997,4.767,542,1
CFSSBIPTR,112.900002,4.766,542,1
CFSSBIPTR,113,4.758,542,1
CFSSBIPTR,113.199997,4.759,541,1
CFSSBIPTR,113.300003,4.751,541,1
CFSSBIPTR,113.300003,4.735,542,1
CFSSBIPTR,113.599998,4.73,542,1
CFSSBIPTR,114.300003,4.755,542,0.997
CFSSBIPTR,114.599998,4.73,542,1
CFSSBIPTR,114.599998,4.738,542,0.998
CFSSBIPTR,114.599998,4.742,542,0.998
CFSSBIPTR,114.5,4.745,542,0.998
CFSSBIPTR,114.800003,4.757,541,0.991
CFSSBIPTR,114.800003,4.755,541,0.991
CFSSBIPTR,113.800003,4.771,541,0.997
CFSSBIPTR,115,4.74,543,0.996
CFSSBIPTR,115.199997,4.734,543,0.995
CFSSBIPTR,115,4.721,542,0.998
CFSSBIPTR,114.5,4.724,541,1
CFSSBIPTR,113.800003,4.735,542,1
CFSSBIPTR,113.5,4.75,542,1
CFSSBIPTR,112.400002,4.795,541,1
CFSSBIPTR,112.199997,4.803,541,1
CFSSBIPTR,112.400002,4.799,541,1
CFSSBIPTR,112.400002,4.803,541,1
CFSSBIPTR,112.5,4.807,539,0.997
CFSSBIPTR,112.5,4.803,539,0.997
CFSSBIPTR,112.5,4.794,541,1
CFSSBIPTR,113.199997,4.775,541,1
CFSSBIPTR,113.400002,4.758,541,1
CFSSBIPTR,113.900002,4.734,542,1
CFSSBIPTR,114.300003,4.736,542,1
CFSSBIPTR,114.199997,4.769,542,0.995
CFSSBIPTR,114.099998,4.787,543,0.993
CFSSBIPTR,114.300003,4.766,542,0.995
CFSSBIPTR,114,4.778,541,0.994
CFSSBIPTR,114,4.781,541,0.993
CFSSBIPTR,114.400002,4.755,541,0.995
CFSSBIPTR,113.099998,4.789,541,0.999
CFSSBIPTR,112.5,4.802,541,1
CFSSBIPTR,112.599998,4.79,541,1
CFSSBIPTR,112.699997,4.78,542,1
CFSSBIPTR,113.300003,4.737,542,1
CFSSBIPTR,113.5,4.731,543,1
CFSSBIPTR,113.699997,4.761,542,1
CFSSBIPTR,114,4.758,542,0.999
CFSSBIPTR,114.699997,4.73,542,1
CFSSBIPTR,114.5,4.757,542,0.996
CFSSBIPTR,114.199997,4.782,543,0.994
CFSSBIPTR,112.699997,4.798,544,1
CFSSBIPTR,112.400002,4.815,543,1
CFSSBIPTR,112.800003,4.794,543,1
CFSSBIPTR,113.400002,4.787,543,0.999
CFSSBIPTR,114.699997,4.751,542,0.994
CFSSBIPTR,115.099998,4.726,542,0.997
CFSSBIPTR,113.599998,4.764,542,1
CFSSBIPTR,113.5,4.772,542,1
CFSSBIPTR,113.099998,4.772,541,1
CFSSBIPTR,112.699997,4.802,541,0.999
CFSSBIPTR,114.199997,4.782,541,0.99
CFSSBIPTR,114.900002,4.779,543,0.988
CFSSBIPTR,115,4.766,543,0.99
CFSSBIPTR,114.900002,4.73,540,0.994
CFSSBIPTR,114.5,4.739,539,0.994
CFSSBIPTR,113.800003,4.745,541,1
CFSSBIPTR,114.599998,4.728,541,0.999
CFSSBIPTR,114.300003,4.734,542,1
CFSSBIPTR,113.800003,4.733,542,1
CFSSBIPTR,113.599998,4.743,542,1
CFSSBIPTR,113.300003,4.784,543,1
CFSSBIPTR,113.099998,4.791,542,1
CFSSBIPTR,112.5,4.786,541,1
CFSSBIPTR,112.800003,4.804,542,1
CFSSBIPTR,113.099998,4.792,542,1
CFSSBIPTR,113.099998,4.778,542,1
CFSSBIPTR,113.199997,4.784,542,1
