"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"118.000000","1.020000","117.000000","0.005725","0.971000","1517904203"
"2",NULL,"118.400002","1.018000","117.000000","0.005725","0.970000","1517904204"
"3",NULL,"118.400002","1.019000","117.000000","0.005725","0.971000","1517904206"
"4",NULL,"117.699997","1.021000","117.000000","0.005725","0.977000","1517904208"
"5",NULL,"117.599998","1.022000","117.000000","0.005725","0.976000","1517904209"
"6",NULL,"118.199997","1.021000","117.000000","0.005725","0.973000","1517904211"
"7",NULL,"119.300003","1.019000","117.000000","0.005725","0.967000","1517904213"
"8",NULL,"119.500000","1.015000","117.000000","0.005725","0.969000","1517904214"
"9",NULL,"118.699997","1.009000","117.000000","0.005725","0.982000","1517904216"
"10",NULL,"117.800003","1.023000","117.000000","0.005725","0.977000","1517904218"
"11",NULL,"118.599998","1.021000","118.000000","0.005725","0.974000","1517904219"
"12",NULL,"118.199997","1.019000","117.000000","0.005725","0.976000","1517904221"
"13",NULL,"118.300003","1.016000","117.000000","0.005725","0.976000","1517904223"
"14",NULL,"118.099998","1.015000","117.000000","0.005725","0.980000","1517904224"
"15",NULL,"117.199997","1.022000","117.000000","0.005725","0.982000","1517904226"
"16",NULL,"118.099998","1.019000","117.000000","0.005725","0.976000","1517904228"
"17",NULL,"117.800003","1.014000","117.000000","0.005725","0.981000","1517904230"
"18",NULL,"119.000000","1.018000","117.000000","0.005725","0.968000","1517904237"
"19",NULL,"117.000000","1.024000","117.000000","0.005725","0.979000","1517904240"
"20",NULL,"118.300003","1.021000","117.000000","0.005725","0.972000","1517904242"
"21",NULL,"118.599998","1.018000","117.000000","0.005725","0.973000","1517904244"
"22",NULL,"118.900002","1.016000","117.000000","0.005725","0.972000","1517904245"
"23",NULL,"118.800003","1.021000","117.000000","0.005725","0.966000","1517904247"
"24",NULL,"119.000000","1.019000","117.000000","0.005725","0.966000","1517904249"
"25",NULL,"118.599998","1.020000","117.000000","0.005725","0.968000","1517904250"
"26",NULL,"117.000000","1.021000","117.000000","0.005725","0.979000","1517904252"
"27",NULL,"117.800003","1.015000","117.000000","0.005725","0.981000","1517904254"
"28",NULL,"117.900002","1.009000","117.000000","0.005725","0.986000","1517904255"
"29",NULL,"118.000000","1.007000","117.000000","0.005725","0.986000","1517904257"
"30",NULL,"118.500000","1.010000","117.000000","0.005725","0.980000","1517904258"
"31",NULL,"118.900002","1.012000","117.000000","0.005725","0.975000","1517904260"
"32",NULL,"117.500000","1.021000","117.000000","0.005725","0.977000","1517904262"
"33",NULL,"117.099998","1.019000","117.000000","0.005725","0.983000","1517904263"
"34",NULL,"117.699997","1.013000","117.000000","0.005725","0.984000","1517904265"
"35",NULL,"117.599998","1.011000","117.000000","0.005725","0.987000","1517904266"
"36",NULL,"117.900002","1.014000","117.000000","0.005725","0.983000","1517904268"
"37",NULL,"119.199997","1.005000","117.000000","0.005725","0.981000","1517904270"
"38",NULL,"119.099998","1.009000","117.000000","0.005725","0.979000","1517904271"
"39",NULL,"118.400002","1.016000","118.000000","0.005725","0.981000","1517904273"
"40",NULL,"118.400002","1.017000","118.000000","0.005725","0.980000","1517904274"
"41",NULL,"119.300003","1.015000","117.000000","0.005725","0.972000","1517904276"
"42",NULL,"119.199997","1.012000","117.000000","0.005725","0.976000","1517904278"
"43",NULL,"119.000000","1.012000","117.000000","0.005725","0.979000","1517904279"
"44",NULL,"118.900002","1.009000","117.000000","0.005725","0.982000","1517904281"
"45",NULL,"118.500000","1.014000","118.000000","0.005725","0.981000","1517904282"
"46",NULL,"118.199997","1.020000","118.000000","0.005725","0.977000","1517904284"
"47",NULL,"118.400002","1.023000","117.000000","0.005725","0.973000","1517904285"
"48",NULL,"119.199997","1.024000","118.000000","0.005725","0.966000","1517904287"
"49",NULL,"119.800003","1.023000","118.000000","0.005725","0.963000","1517904288"
"50",NULL,"118.400002","1.019000","118.000000","0.005725","0.979000","1517904290"
"51",NULL,"118.000000","1.014000","118.000000","0.005725","0.988000","1517904292"
"52",NULL,"117.400002","1.021000","118.000000","0.005725","0.986000","1517904293"
"53",NULL,"118.099998","1.023000","118.000000","0.005725","0.977000","1517904295"
"54",NULL,"118.900002","1.021000","118.000000","0.005725","0.971000","1517904296"
"55",NULL,"119.099998","1.017000","118.000000","0.005725","0.974000","1517904298"
"56",NULL,"119.099998","1.012000","118.000000","0.005725","0.978000","1517904299"
"57",NULL,"118.800003","1.013000","117.000000","0.005725","0.976000","1517904301"
"58",NULL,"118.900002","1.005000","117.000000","0.005725","0.984000","1517904303"
"59",NULL,"118.800003","1.006000","117.000000","0.005725","0.986000","1517904304"
"60",NULL,"117.699997","1.011000","117.000000","0.005725","0.990000","1517904306"
"61",NULL,"118.199997","1.012000","117.000000","0.005725","0.984000","1517904308"
"62",NULL,"118.099998","1.012000","117.000000","0.005725","0.985000","1517904309"
"63",NULL,"118.300003","1.008000","117.000000","0.005725","0.987000","1517904311"
"64",NULL,"117.400002","1.018000","117.000000","0.005725","0.984000","1517904313"
"65",NULL,"117.900002","1.018000","117.000000","0.005725","0.980000","1517904314"
"66",NULL,"118.699997","1.007000","117.000000","0.005725","0.982000","1517904316"
"67",NULL,"118.699997","1.006000","117.000000","0.005725","0.984000","1517904317"
"68",NULL,"118.199997","1.006000","117.000000","0.005725","0.987000","1517904319"
"69",NULL,"119.000000","1.015000","117.000000","0.005725","0.971000","1517904321"
"70",NULL,"119.000000","1.019000","117.000000","0.005725","0.968000","1517904322"
"71",NULL,"118.199997","1.021000","117.000000","0.005725","0.975000","1517904324"
"72",NULL,"118.099998","1.020000","117.000000","0.005725","0.976000","1517904325"
"73",NULL,"117.800003","1.022000","117.000000","0.005725","0.976000","1517904327"
"74",NULL,"117.000000","1.024000","117.000000","0.005725","0.982000","1517904328"
"75",NULL,"117.099998","1.020000","117.000000","0.005725","0.985000","1517904330"
"76",NULL,"117.300003","1.013000","117.000000","0.005725","0.989000","1517904332"
"77",NULL,"117.500000","1.012000","117.000000","0.005725","0.988000","1517904333"
"78",NULL,"116.300003","1.017000","117.000000","0.005725","0.994000","1517904335"
"79",NULL,"117.300003","1.015000","117.000000","0.005725","0.985000","1517904337"
"80",NULL,"117.599998","1.015000","117.000000","0.005725","0.982000","1517904338"
"81",NULL,"117.199997","1.015000","117.000000","0.005725","0.988000","1517904340"
"82",NULL,"117.400002","1.011000","117.000000","0.005725","0.990000","1517904341"
"83",NULL,"117.500000","1.014000","117.000000","0.005725","0.985000","1517904343"
"84",NULL,"118.400002","1.015000","117.000000","0.005725","0.976000","1517904345"
"85",NULL,"118.500000","1.014000","117.000000","0.005725","0.976000","1517904346"
"86",NULL,"118.199997","1.005000","117.000000","0.005725","0.988000","1517904348"
"87",NULL,"118.599998","1.005000","117.000000","0.005725","0.986000","1517904349"
"88",NULL,"118.400002","1.008000","117.000000","0.005725","0.985000","1517904351"
"89",NULL,"118.400002","1.008000","117.000000","0.005725","0.985000","1517904352"
"90",NULL,"118.300003","1.011000","117.000000","0.005725","0.982000","1517904354"
"91",NULL,"118.500000","1.011000","117.000000","0.005725","0.980000","1517904355"
"92",NULL,"119.099998","1.004000","117.000000","0.005725","0.982000","1517904357"
"93",NULL,"118.199997","1.013000","117.000000","0.005725","0.982000","1517904359"
"94",NULL,"117.800003","1.014000","117.000000","0.005725","0.983000","1517904360"
"95",NULL,"117.800003","1.010000","117.000000","0.005725","0.986000","1517904362"
"96",NULL,"118.500000","1.010000","117.000000","0.005725","0.980000","1517904363"
"97",NULL,"118.500000","1.011000","117.000000","0.005725","0.980000","1517904365"
"98",NULL,"118.300003","1.010000","117.000000","0.005725","0.983000","1517904367"
"99",NULL,"119.099998","1.008000","117.000000","0.005725","0.979000","1517904368"
"100",NULL,"117.599998","1.015000","117.000000","0.005725","0.985000","1517904370"
"101",NULL,"117.000000","1.015000","117.000000","0.005725","0.986000","1517904372"
"102",NULL,"117.099998","1.017000","117.000000","0.005725","0.983000","1517904373"
"103",NULL,"117.000000","1.023000","117.000000","0.005725","0.979000","1517904375"
"104",NULL,"117.400002","1.022000","117.000000","0.005725","0.977000","1517904376"
"105",NULL,"117.800003","1.021000","117.000000","0.005725","0.975000","1517904378"
"106",NULL,"117.699997","1.017000","117.000000","0.005725","0.981000","1517904380"
"107",NULL,"118.300003","1.011000","117.000000","0.005725","0.978000","1517904381"
"108",NULL,"117.900002","1.011000","117.000000","0.005725","0.984000","1517904383"
"109",NULL,"117.500000","1.011000","117.000000","0.005725","0.986000","1517904384"
"110",NULL,"117.599998","1.012000","117.000000","0.005725","0.984000","1517904386"
"111",NULL,"117.900002","1.023000","117.000000","0.005725","0.974000","1517904388"
"112",NULL,"118.199997","1.025000","117.000000","0.005725","0.970000","1517904389"
"113",NULL,"117.699997","1.019000","117.000000","0.005725","0.978000","1517904391"
"114",NULL,"118.000000","1.018000","117.000000","0.005725","0.974000","1517904392"
"115",NULL,"117.699997","1.020000","117.000000","0.005725","0.974000","1517904394"
"116",NULL,"118.300003","1.021000","117.000000","0.005725","0.970000","1517904396"
"117",NULL,"118.300003","1.021000","117.000000","0.005725","0.969000","1517904397"
"118",NULL,"118.000000","1.021000","117.000000","0.005725","0.973000","1517904399"
"119",NULL,"118.599998","1.013000","117.000000","0.005725","0.976000","1517904401"
"120",NULL,"119.099998","1.009000","117.000000","0.005725","0.977000","1517904402"
"121",NULL,"117.699997","1.013000","117.000000","0.005725","0.984000","1517904404"
"122",NULL,"117.400002","1.010000","117.000000","0.005725","0.990000","1517904406"
"123",NULL,"117.699997","1.011000","117.000000","0.005725","0.988000","1517904407"
"124",NULL,"117.199997","1.018000","117.000000","0.005725","0.982000","1517904409"
"125",NULL,"117.000000","1.023000","117.000000","0.005725","0.979000","1517904410"
"126",NULL,"117.699997","1.019000","117.000000","0.005725","0.978000","1517904412"
"127",NULL,"118.199997","1.020000","117.000000","0.005725","0.975000","1517904414"
"128",NULL,"118.000000","1.022000","117.000000","0.005725","0.976000","1517904415"
"129",NULL,"118.500000","1.016000","117.000000","0.005725","0.978000","1517904417"
"130",NULL,"117.699997","1.015000","117.000000","0.005725","0.983000","1517904418"
"131",NULL,"117.199997","1.016000","117.000000","0.005725","0.986000","1517904420"
"132",NULL,"118.800003","1.014000","117.000000","0.005725","0.976000","1517904422"
"133",NULL,"119.099998","1.006000","117.000000","0.005725","0.979000","1517904423"
"134",NULL,"117.400002","1.018000","117.000000","0.005725","0.980000","1517904425"
"135",NULL,"116.900002","1.026000","117.000000","0.005725","0.978000","1517904426"
"136",NULL,"118.099998","1.024000","117.000000","0.005725","0.973000","1517904428"
"137",NULL,"118.599998","1.012000","117.000000","0.005725","0.981000","1517904430"
"138",NULL,"118.300003","1.009000","117.000000","0.005725","0.986000","1517904431"
"139",NULL,"117.800003","1.015000","117.000000","0.005725","0.984000","1517904433"
"140",NULL,"118.099998","1.025000","117.000000","0.005725","0.970000","1517904435"
"141",NULL,"118.599998","1.023000","117.000000","0.005725","0.967000","1517904436"
"142",NULL,"119.099998","1.014000","117.000000","0.005725","0.971000","1517904438"
"143",NULL,"118.900002","1.011000","117.000000","0.005725","0.976000","1517904440"
"144",NULL,"118.800003","1.009000","117.000000","0.005725","0.980000","1517904441"
"145",NULL,"118.300003","1.005000","117.000000","0.005725","0.988000","1517904443"
"146",NULL,"117.099998","1.012000","117.000000","0.005725","0.990000","1517904445"
