app_id,v_val,i_val,p_val,pf_val,date
CFL_Now,117.099998,0.248,18,0.642,1530277581
CFL_Now,117.400002,0.242,18,0.633,1530277682
CFL_Now,115.5,0.26,19,0.649,1530277537
CFL_Now,117.199997,0.24,18,0.643,1530277655
CFL_Now,116.300003,0.237,17,0.644,1530277783
CFL_Now,116.800003,0.239,17,0.643,1530277695
CFL_Now,115.5,0.245,18,0.636,1530277685
CFL_Now,116,0.237,17,0.64,1530277808
CFL_Now,115.900002,0.244,17,0.625,1530277765
CFL_Now,115.699997,0.262,19,0.647,1530277528
CFL_Now,116,0.236,17,0.646,1530277827
CFL_Now,116.300003,0.243,18,0.644,1530277618
CFL_Now,115.699997,0.242,17,0.639,1530277688
CFL_Now,116.199997,0.24,17,0.633,1530277769
CFL_Now,116.800003,0.241,17,0.637,1530277678
CFL_Now,116.199997,0.242,17,0.635,1530277741
CFL_Now,117.099998,0.237,17,0.637,1530277773
CFL_Now,117,0.263,19,0.647,1530277499
CFL_Now,115.5,0.247,18,0.63,1530277675
CFL_Now,116,0.266,19,0.647,1530277516
CFL_Now,115.400002,0.24,17,0.639,1530277767
CFL_Now,117,0.241,18,0.639,1530277665
CFL_Now,115.300003,0.237,17,0.64,1530277815
CFL_Now,116.300003,0.246,18,0.638,1530277609
CFL_Now,115.900002,0.241,17,0.636,1530277757
CFL_Now,117.5,0.242,18,0.639,1530277645
CFL_Now,115.599998,0.247,18,0.63,1530277673
CFL_Now,115.5,0.242,18,0.644,1530277687
CFL_Now,117.199997,0.242,18,0.642,1530277631
CFL_Now,114.699997,0.258,18,0.635,1530277569
CFL_Now,115.900002,0.235,17,0.641,1530277858
CFL_Now,116.199997,0.249,18,0.632,1530277606
CFL_Now,114.800003,0.256,18,0.624,1530277603
CFL_Now,115.300003,0.252,18,0.632,1530277604
CFL_Now,116.5,0.236,17,0.638,1530277841
CFL_Now,115.5,0.242,17,0.625,1530277885
CFL_Now,116.199997,0.246,18,0.644,1530277592
CFL_Now,115.199997,0.254,18,0.634,1530277582
CFL_Now,115.599998,0.238,17,0.641,1530277778
CFL_Now,117.300003,0.24,17,0.63,1530277751
CFL_Now,115.5,0.238,17,0.638,1530277880
CFL_Now,115.5,0.245,17,0.622,1530277792
CFL_Now,115.5,0.237,17,0.642,1530277798
CFL_Now,115.599998,0.26,19,0.645,1530277538
CFL_Now,116,0.246,17,0.623,1530277743
CFL_Now,116.300003,0.261,19,0.629,1530277550
CFL_Now,117.099998,0.263,19,0.644,1530277498
CFL_Now,115.199997,0.241,17,0.629,1530277837
CFL_Now,116.099998,0.241,17,0.63,1530277774
CFL_Now,116.900002,0.238,17,0.641,1530277707
CFL_Now,116,0.248,18,0.639,1530277596
CFL_Now,116.099998,0.237,17,0.644,1530277780
CFL_Now,115.099998,0.265,19,0.653,1530277521
CFL_Now,115.5,0.246,18,0.637,1530277648
CFL_Now,115.400002,0.239,17,0.631,1530277866
CFL_Now,116.599998,0.242,18,0.644,1530277619
CFL_Now,116.5,0.245,17,0.628,1530277699
CFL_Now,116.400002,0.237,17,0.639,1530277788
CFL_Now,115.599998,0.24,17,0.637,1530277762
CFL_Now,114.800003,0.264,19,0.633,1530277548
CFL_Now,115.800003,0.252,18,0.639,1530277575
CFL_Now,115.300003,0.239,17,0.638,1530277824
CFL_Now,116.599998,0.243,18,0.634,1530277670
CFL_Now,116.099998,0.247,18,0.629,1530277672
CFL_Now,117.599998,0.238,17,0.635,1530277735
CFL_Now,115.400002,0.238,17,0.642,1530277795
CFL_Now,115.900002,0.253,18,0.636,1530277577
CFL_Now,116.300003,0.234,17,0.64,1530277871
CFL_Now,116.599998,0.242,17,0.629,1530277745
CFL_Now,114.900002,0.243,17,0.628,1530277814
CFL_Now,117.099998,0.237,17,0.639,1530277723
CFL_Now,115.699997,0.247,18,0.646,1530277591
CFL_Now,116.5,0.269,19,0.637,1530277505
CFL_Now,116.699997,0.236,17,0.637,1530277873
CFL_Now,115.5,0.24,17,0.629,1530277852
CFL_Now,117.099998,0.247,18,0.644,1530277579
CFL_Now,117.199997,0.242,18,0.641,1530277629
CFL_Now,115.400002,0.244,17,0.634,1530277702
CFL_Now,117.5,0.236,17,0.637,1530277771
CFL_Now,116.5,0.235,17,0.638,1530277861
CFL_Now,116.599998,0.251,18,0.647,1530277559
CFL_Now,114.5,0.257,18,0.64,1530277567
CFL_Now,116,0.251,18,0.647,1530277560
CFL_Now,116.400002,0.236,17,0.644,1530277785
CFL_Now,116.5,0.24,17,0.632,1530277760
CFL_Now,116.099998,0.243,17,0.631,1530277748
CFL_Now,115.400002,0.26,19,0.647,1530277540
CFL_Now,116.599998,0.238,17,0.63,1530277864
CFL_Now,117.300003,0.24,18,0.64,1530277658
CFL_Now,116.400002,0.239,17,0.636,1530277753
CFL_Now,115,0.264,19,0.654,1530277520
CFL_Now,117.400002,0.24,18,0.641,1530277660
CFL_Now,116.400002,0.236,17,0.64,1530277825
