app_id,v_val,i_val,p_val,pf_val,date
CFLOneYearTenWatt,119.099998,0.211,13,0.532,1531200405
CFLOneYearTenWatt,119.900002,0.212,13,0.526,1531200407
CFLOneYearTenWatt,119.300003,0.209,13,0.535,1531200408
CFLOneYearTenWatt,118.699997,0.209,13,0.538,1531200410
CFLOneYearTenWatt,119.699997,0.21,13,0.527,1531200412
CFLOneYearTenWatt,118.800003,0.209,13,0.535,1531200413
CFLOneYearTenWatt,119.699997,0.211,13,0.526,1531200415
CFLOneYearTenWatt,118.800003,0.21,13,0.534,1531200416
CFLOneYearTenWatt,118.300003,0.209,13,0.538,1531200418
CFLOneYearTenWatt,119.599998,0.211,13,0.526,1531200420
CFLOneYearTenWatt,118.699997,0.209,13,0.538,1531200421
CFLOneYearTenWatt,118.5,0.209,13,0.539,1531200423
CFLOneYearTenWatt,118.800003,0.21,13,0.533,1531200425
CFLOneYearTenWatt,120.699997,0.211,13,0.519,1531200426
CFLOneYearTenWatt,120.199997,0.209,13,0.528,1531200428
CFLOneYearTenWatt,118.400002,0.208,13,0.541,1531200430
CFLOneYearTenWatt,119.199997,0.21,13,0.532,1531200431
CFLOneYearTenWatt,118.900002,0.209,13,0.535,1531200433
CFLOneYearTenWatt,117.800003,0.207,13,0.546,1531200435
CFLOneYearTenWatt,117.900002,0.21,13,0.539,1531200436
CFLOneYearTenWatt,118,0.21,13,0.535,1531200438
CFLOneYearTenWatt,118.599998,0.21,13,0.529,1531200440
CFLOneYearTenWatt,119.300003,0.212,13,0.524,1531200442
CFLOneYearTenWatt,119.199997,0.212,13,0.523,1531200443
CFLOneYearTenWatt,118.699997,0.21,13,0.529,1531200445
CFLOneYearTenWatt,118.099998,0.207,13,0.543,1531200447
CFLOneYearTenWatt,118.5,0.208,13,0.537,1531200448
CFLOneYearTenWatt,118.800003,0.21,13,0.529,1531200450
CFLOneYearTenWatt,118.400002,0.209,13,0.535,1531200452
CFLOneYearTenWatt,118.5,0.209,13,0.536,1531200453
CFLOneYearTenWatt,119.199997,0.21,13,0.528,1531200455
CFLOneYearTenWatt,118.800003,0.21,13,0.531,1531200457
CFLOneYearTenWatt,118.5,0.209,13,0.534,1531200458
CFLOneYearTenWatt,119,0.208,13,0.534,1531200460
CFLOneYearTenWatt,119.099998,0.21,13,0.529,1531200462
CFLOneYearTenWatt,118.599998,0.21,13,0.53,1531200463
CFLOneYearTenWatt,118.099998,0.209,13,0.537,1531200465
CFLOneYearTenWatt,118.5,0.209,13,0.534,1531200467
CFLOneYearTenWatt,118.900002,0.209,13,0.534,1531200468
CFLOneYearTenWatt,118.5,0.207,13,0.542,1531200470
CFLOneYearTenWatt,118.5,0.208,13,0.543,1531200471
CFLOneYearTenWatt,118.300003,0.207,13,0.544,1531200473
