app_id,v_val,i_val,p_val,pf_val,date
CFLTwoYearTenWatt,121.599998,0.215,13,0.531,1531206345
CFLTwoYearTenWatt,122,0.212,13,0.539,1531206347
CFLTwoYearTenWatt,121.599998,0.21,13,0.545,1531206348
CFLTwoYearTenWatt,120.599998,0.21,13,0.548,1531206350
CFLTwoYearTenWatt,120.599998,0.213,13,0.541,1531206352
CFLTwoYearTenWatt,121.199997,0.214,13,0.537,1531206353
CFLTwoYearTenWatt,120.5,0.209,13,0.551,1531206355
CFLTwoYearTenWatt,120.300003,0.208,13,0.555,1531206356
CFLTwoYearTenWatt,119.699997,0.209,13,0.556,1531206358
CFLTwoYearTenWatt,121.099998,0.211,13,0.547,1531206360
CFLTwoYearTenWatt,122.199997,0.213,13,0.537,1531206361
CFLTwoYearTenWatt,121.5,0.213,13,0.539,1531206363
CFLTwoYearTenWatt,121.300003,0.21,13,0.547,1531206364
CFLTwoYearTenWatt,120.099998,0.208,13,0.555,1531206366
CFLTwoYearTenWatt,119.599998,0.209,13,0.557,1531206368
CFLTwoYearTenWatt,121.099998,0.212,13,0.543,1531206370
CFLTwoYearTenWatt,120,0.208,13,0.553,1531206377
CFLTwoYearTenWatt,121.300003,0.215,13,0.532,1531206378
CFLTwoYearTenWatt,122.199997,0.213,13,0.534,1531206380
CFLTwoYearTenWatt,121.199997,0.21,13,0.544,1531206382
CFLTwoYearTenWatt,120.5,0.209,13,0.551,1531206383
CFLTwoYearTenWatt,120.900002,0.21,13,0.547,1531206385
CFLTwoYearTenWatt,120.699997,0.211,13,0.542,1531206387
CFLTwoYearTenWatt,120.199997,0.208,13,0.555,1531206388
CFLTwoYearTenWatt,120.099998,0.208,13,0.555,1531206390
CFLTwoYearTenWatt,120.300003,0.211,13,0.548,1531206392
CFLTwoYearTenWatt,121.599998,0.214,13,0.535,1531206393
CFLTwoYearTenWatt,121.699997,0.212,13,0.537,1531206395
CFLTwoYearTenWatt,120.800003,0.211,13,0.546,1531206397
CFLTwoYearTenWatt,120.5,0.211,14,0.552,1531206398
CFLTwoYearTenWatt,120,0.21,14,0.555,1531206400
CFLTwoYearTenWatt,119.300003,0.209,13,0.555,1531206402
CFLTwoYearTenWatt,119.400002,0.209,13,0.556,1531206403
CFLTwoYearTenWatt,119.400002,0.208,13,0.561,1531206405
CFLTwoYearTenWatt,119.5,0.209,13,0.557,1531206406
CFLTwoYearTenWatt,119.800003,0.21,13,0.556,1531206408
CFLTwoYearTenWatt,121.099998,0.213,13,0.541,1531206410
CFLTwoYearTenWatt,120.800003,0.21,13,0.546,1531206411
CFLTwoYearTenWatt,120.900002,0.209,13,0.549,1531206413
CFLTwoYearTenWatt,119.900002,0.209,13,0.554,1531206415
CFLTwoYearTenWatt,120.199997,0.209,13,0.552,1531206417
CFLTwoYearTenWatt,120.599998,0.211,13,0.546,1531206418
CFLTwoYearTenWatt,121,0.212,13,0.54,1531206420
CFLTwoYearTenWatt,121.900002,0.213,13,0.532,1531206422
CFLTwoYearTenWatt,121.099998,0.211,13,0.541,1531206423
CFLTwoYearTenWatt,120.800003,0.21,13,0.548,1531206425
CFLTwoYearTenWatt,121.5,0.211,13,0.541,1531206427
CFLTwoYearTenWatt,121.5,0.211,13,0.542,1531206428
CFLTwoYearTenWatt,120,0.209,13,0.555,1531206430
CFLTwoYearTenWatt,121.400002,0.214,13,0.537,1531206432
CFLTwoYearTenWatt,122.099998,0.214,13,0.532,1531206433
CFLTwoYearTenWatt,120.900002,0.21,13,0.549,1531206435
CFLTwoYearTenWatt,121,0.21,13,0.546,1531206436
CFLTwoYearTenWatt,121.300003,0.209,13,0.548,1531206438
CFLTwoYearTenWatt,121.099998,0.211,13,0.545,1531206440
CFLTwoYearTenWatt,120.699997,0.212,13,0.541,1531206441
CFLTwoYearTenWatt,121.800003,0.213,13,0.536,1531206443
CFLTwoYearTenWatt,120.400002,0.21,13,0.552,1531206445
CFLTwoYearTenWatt,120.599998,0.214,14,0.545,1531206446
CFLTwoYearTenWatt,121.599998,0.214,14,0.539,1531206448
CFLTwoYearTenWatt,121.199997,0.21,13,0.546,1531206450
CFLTwoYearTenWatt,119.699997,0.208,13,0.557,1531206451
CFLTwoYearTenWatt,119.900002,0.21,13,0.553,1531206453
CFLTwoYearTenWatt,120.599998,0.213,13,0.544,1531206455
CFLTwoYearTenWatt,121,0.214,13,0.538,1531206456
CFLTwoYearTenWatt,121.099998,0.212,13,0.544,1531206458
CFLTwoYearTenWatt,120.400002,0.21,13,0.55,1531206460
CFLTwoYearTenWatt,119.5,0.21,13,0.554,1531206461
