"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.699997","0.267000","19.000000","0.004866","0.631000","1531646327"
"2",NULL,"117.199997","0.262000","19.000000","0.004866","0.637000","1531646329"
"3",NULL,"116.099998","0.260000","19.000000","0.004866","0.646000","1531646331"
"4",NULL,"115.000000","0.267000","19.000000","0.004866","0.633000","1531646332"
"5",NULL,"115.099998","0.262000","19.000000","0.004866","0.642000","1531646334"
"6",NULL,"115.400002","0.259000","19.000000","0.004866","0.649000","1531646336"
"7",NULL,"114.500000","0.259000","19.000000","0.004866","0.653000","1531646338"
"8",NULL,"115.400002","0.258000","19.000000","0.004866","0.651000","1531646340"
"9",NULL,"114.599998","0.264000","19.000000","0.004866","0.641000","1531646342"
"10",NULL,"114.300003","0.265000","19.000000","0.004866","0.636000","1531646343"
"11",NULL,"115.800003","0.260000","19.000000","0.004866","0.639000","1531646345"
"12",NULL,"116.500000","0.264000","19.000000","0.004866","0.624000","1531646347"
"13",NULL,"116.199997","0.268000","19.000000","0.004866","0.616000","1531646349"
"14",NULL,"114.800003","0.267000","19.000000","0.004866","0.629000","1531646351"
"15",NULL,"114.400002","0.263000","19.000000","0.004866","0.641000","1531646353"
"16",NULL,"115.599998","0.260000","19.000000","0.004866","0.644000","1531646355"
"17",NULL,"115.300003","0.262000","19.000000","0.004866","0.639000","1531646356"
"18",NULL,"115.699997","0.263000","19.000000","0.004866","0.634000","1531646358"
"19",NULL,"114.900002","0.260000","19.000000","0.004866","0.644000","1531646360"
"20",NULL,"114.599998","0.261000","19.000000","0.004866","0.643000","1531646362"
"21",NULL,"115.400002","0.260000","19.000000","0.004866","0.640000","1531646364"
"22",NULL,"114.599998","0.262000","19.000000","0.004866","0.640000","1531646365"
"23",NULL,"114.599998","0.262000","19.000000","0.004866","0.638000","1531646367"
"24",NULL,"114.900002","0.260000","19.000000","0.004866","0.644000","1531646369"
"25",NULL,"114.500000","0.261000","19.000000","0.004866","0.643000","1531646371"
"26",NULL,"115.300003","0.260000","19.000000","0.004866","0.640000","1531646373"
"27",NULL,"114.400002","0.264000","19.000000","0.004866","0.634000","1531646374"
"28",NULL,"114.599998","0.264000","19.000000","0.004866","0.633000","1531646376"
"29",NULL,"116.000000","0.262000","19.000000","0.004866","0.625000","1531646378"
"30",NULL,"116.500000","0.259000","19.000000","0.004866","0.632000","1531646380"
"31",NULL,"116.500000","0.257000","19.000000","0.004866","0.636000","1531646381"
"32",NULL,"114.800003","0.261000","19.000000","0.004866","0.635000","1531646383"
"33",NULL,"114.199997","0.261000","19.000000","0.004866","0.640000","1531646385"
"34",NULL,"115.000000","0.263000","19.000000","0.004866","0.630000","1531646387"
"35",NULL,"116.199997","0.258000","19.000000","0.004866","0.636000","1531646388"
"36",NULL,"115.800003","0.256000","19.000000","0.004866","0.643000","1531646390"
"37",NULL,"115.000000","0.256000","19.000000","0.004866","0.649000","1531646392"
"38",NULL,"114.699997","0.254000","19.000000","0.004866","0.655000","1531646394"
"39",NULL,"114.599998","0.261000","19.000000","0.004866","0.637000","1531646396"
"40",NULL,"115.000000","0.258000","19.000000","0.004866","0.640000","1531646398"
"41",NULL,"115.500000","0.255000","19.000000","0.004866","0.649000","1531646400"
"42",NULL,"116.000000","0.255000","19.000000","0.004866","0.646000","1531646401"
"43",NULL,"115.699997","0.257000","19.000000","0.004866","0.641000","1531646403"
"44",NULL,"115.000000","0.256000","19.000000","0.004866","0.646000","1531646405"
"45",NULL,"114.199997","0.257000","19.000000","0.004866","0.647000","1531646407"
"46",NULL,"115.300003","0.258000","19.000000","0.004866","0.640000","1531646408"
"47",NULL,"115.400002","0.259000","19.000000","0.004866","0.639000","1531646410"
"48",NULL,"115.300003","0.259000","19.000000","0.004866","0.638000","1531646412"
"49",NULL,"115.199997","0.256000","19.000000","0.004866","0.647000","1531646414"
"50",NULL,"115.199997","0.259000","19.000000","0.004866","0.639000","1531646416"
"51",NULL,"115.000000","0.264000","19.000000","0.004866","0.631000","1531646417"
"52",NULL,"114.300003","0.262000","19.000000","0.004866","0.640000","1531646419"
"53",NULL,"114.800003","0.260000","19.000000","0.004866","0.640000","1531646421"
"54",NULL,"115.199997","0.265000","19.000000","0.004866","0.622000","1531646423"
"55",NULL,"115.199997","0.258000","19.000000","0.004866","0.639000","1531646424"
"56",NULL,"115.300003","0.256000","19.000000","0.004866","0.644000","1531646426"
"57",NULL,"115.099998","0.256000","19.000000","0.004866","0.644000","1531646428"
"58",NULL,"114.800003","0.256000","19.000000","0.004866","0.648000","1531646430"
"59",NULL,"115.900002","0.257000","19.000000","0.004866","0.639000","1531646432"
"60",NULL,"115.699997","0.256000","18.000000","0.004866","0.638000","1531646434"
"61",NULL,"114.599998","0.258000","18.000000","0.004866","0.639000","1531646435"
"62",NULL,"114.599998","0.261000","18.000000","0.004866","0.634000","1531646437"
"63",NULL,"116.000000","0.260000","19.000000","0.004866","0.632000","1531646439"
"64",NULL,"115.800003","0.258000","18.000000","0.004866","0.634000","1531646441"
"65",NULL,"114.900002","0.259000","18.000000","0.004866","0.637000","1531646442"
"66",NULL,"116.199997","0.258000","19.000000","0.004866","0.635000","1531646444"
"67",NULL,"116.000000","0.256000","19.000000","0.004866","0.639000","1531646446"
"68",NULL,"115.900002","0.257000","19.000000","0.004866","0.639000","1531646448"
"69",NULL,"115.599998","0.261000","19.000000","0.004866","0.634000","1531646450"
"70",NULL,"115.500000","0.260000","19.000000","0.004866","0.638000","1531646452"
"71",NULL,"115.000000","0.262000","19.000000","0.004866","0.636000","1531646453"
"72",NULL,"116.400002","0.260000","19.000000","0.004866","0.631000","1531646455"
"73",NULL,"116.599998","0.264000","19.000000","0.004866","0.623000","1531646457"
"74",NULL,"114.900002","0.265000","19.000000","0.004866","0.629000","1531646459"
"75",NULL,"115.699997","0.258000","19.000000","0.004866","0.642000","1531646460"
"76",NULL,"115.000000","0.262000","19.000000","0.004866","0.637000","1531646462"
"77",NULL,"115.300003","0.261000","19.000000","0.004866","0.637000","1531646464"
"78",NULL,"116.099998","0.259000","19.000000","0.004866","0.640000","1531646466"
"79",NULL,"116.199997","0.262000","19.000000","0.004866","0.635000","1531646468"
"80",NULL,"114.800003","0.263000","19.000000","0.004866","0.639000","1531646469"
"81",NULL,"115.599998","0.264000","19.000000","0.004866","0.634000","1531646471"
"82",NULL,"115.400002","0.263000","19.000000","0.004866","0.636000","1531646473"
"83",NULL,"115.900002","0.262000","19.000000","0.004866","0.633000","1531646475"
"84",NULL,"115.500000","0.263000","19.000000","0.004866","0.635000","1531646477"
"85",NULL,"115.500000","0.263000","19.000000","0.004866","0.635000","1531646479"
"86",NULL,"115.800003","0.259000","19.000000","0.004866","0.642000","1531646481"
"87",NULL,"114.800003","0.262000","19.000000","0.004866","0.642000","1531646482"
"88",NULL,"114.500000","0.263000","19.000000","0.004866","0.638000","1531646484"
"89",NULL,"115.000000","0.263000","19.000000","0.004866","0.638000","1531646486"
"90",NULL,"115.099998","0.260000","19.000000","0.004866","0.646000","1531646488"
"91",NULL,"115.500000","0.264000","19.000000","0.004866","0.634000","1531646490"
"92",NULL,"115.300003","0.266000","19.000000","0.004866","0.631000","1531646492"
"93",NULL,"115.199997","0.264000","19.000000","0.004866","0.636000","1531646494"
"94",NULL,"115.199997","0.262000","19.000000","0.004866","0.642000","1531646495"
"95",NULL,"115.400002","0.264000","19.000000","0.004866","0.635000","1531646497"
"96",NULL,"115.500000","0.263000","19.000000","0.004866","0.636000","1531646499"
"97",NULL,"114.900002","0.262000","19.000000","0.004866","0.641000","1531646501"
"98",NULL,"115.500000","0.260000","19.000000","0.004866","0.643000","1531646503"
"99",NULL,"114.900002","0.263000","19.000000","0.004866","0.638000","1531646504"
"100",NULL,"115.300003","0.265000","19.000000","0.004866","0.629000","1531646506"
"101",NULL,"116.199997","0.261000","19.000000","0.004866","0.634000","1531646508"
"102",NULL,"116.500000","0.260000","19.000000","0.004866","0.633000","1531646510"
"103",NULL,"115.599998","0.264000","19.000000","0.004866","0.627000","1531646512"
"104",NULL,"115.000000","0.262000","19.000000","0.004866","0.631000","1531646513"
"105",NULL,"115.199997","0.262000","19.000000","0.004866","0.630000","1531646515"
"106",NULL,"115.500000","0.259000","19.000000","0.004866","0.634000","1531646517"
"107",NULL,"114.199997","0.260000","18.000000","0.004866","0.636000","1531646519"
"108",NULL,"114.699997","0.260000","18.000000","0.004866","0.632000","1531646521"
"109",NULL,"115.900002","0.254000","18.000000","0.004866","0.639000","1531646522"
"110",NULL,"116.900002","0.253000","18.000000","0.004866","0.640000","1531646524"
"111",NULL,"116.699997","0.259000","18.000000","0.004866","0.621000","1531646526"
"112",NULL,"116.099998","0.261000","18.000000","0.004866","0.619000","1531646528"
"113",NULL,"115.599998","0.254000","18.000000","0.004866","0.641000","1531646530"
"114",NULL,"115.300003","0.255000","18.000000","0.004866","0.636000","1531646531"
"115",NULL,"115.400002","0.254000","18.000000","0.004866","0.639000","1531646533"
"116",NULL,"115.300003","0.256000","18.000000","0.004866","0.632000","1531646535"
"117",NULL,"116.300003","0.253000","18.000000","0.004866","0.633000","1531646537"
"118",NULL,"116.900002","0.253000","18.000000","0.004866","0.633000","1531646539"
"119",NULL,"115.300003","0.254000","18.000000","0.004866","0.640000","1531646541"
"120",NULL,"115.400002","0.252000","18.000000","0.004866","0.642000","1531646542"
"121",NULL,"115.099998","0.253000","18.000000","0.004866","0.638000","1531646544"
"122",NULL,"115.800003","0.252000","18.000000","0.004866","0.636000","1531646546"
"123",NULL,"115.500000","0.250000","18.000000","0.004866","0.642000","1531646548"
"124",NULL,"115.400002","0.250000","18.000000","0.004866","0.645000","1531646550"
"125",NULL,"115.199997","0.250000","18.000000","0.004866","0.645000","1531646552"
"126",NULL,"115.699997","0.253000","18.000000","0.004866","0.636000","1531646554"
"127",NULL,"115.099998","0.254000","18.000000","0.004866","0.634000","1531646555"
"128",NULL,"115.300003","0.256000","18.000000","0.004866","0.634000","1531646557"
"129",NULL,"116.300003","0.253000","18.000000","0.004866","0.637000","1531646559"
"130",NULL,"116.000000","0.254000","18.000000","0.004866","0.638000","1531646561"
"131",NULL,"116.000000","0.250000","18.000000","0.004866","0.646000","1531646563"
"132",NULL,"116.599998","0.255000","18.000000","0.004866","0.633000","1531646564"
"133",NULL,"116.500000","0.256000","18.000000","0.004866","0.634000","1531646566"
"134",NULL,"115.800003","0.256000","18.000000","0.004866","0.637000","1531646568"
"135",NULL,"115.099998","0.256000","18.000000","0.004866","0.639000","1531646570"
"136",NULL,"115.599998","0.253000","18.000000","0.004866","0.643000","1531646572"
"137",NULL,"116.400002","0.253000","18.000000","0.004866","0.640000","1531646574"
"138",NULL,"116.400002","0.253000","18.000000","0.004866","0.642000","1531646575"
"139",NULL,"115.699997","0.253000","18.000000","0.004866","0.647000","1531646577"
"140",NULL,"115.099998","0.253000","18.000000","0.004866","0.650000","1531646579"
"141",NULL,"115.000000","0.255000","18.000000","0.004866","0.645000","1531646581"
"142",NULL,"115.000000","0.255000","18.000000","0.004866","0.646000","1531646582"
"143",NULL,"116.400002","0.252000","18.000000","0.004866","0.645000","1531646584"
"144",NULL,"116.400002","0.252000","18.000000","0.004866","0.645000","1531646586"
"145",NULL,"116.400002","0.253000","18.000000","0.004866","0.642000","1531646588"
"146",NULL,"115.900002","0.258000","19.000000","0.004866","0.634000","1531646590"
"147",NULL,"115.300003","0.261000","19.000000","0.004866","0.633000","1531646592"
"148",NULL,"116.099998","0.261000","19.000000","0.004866","0.627000","1531646594"
"149",NULL,"116.400002","0.255000","19.000000","0.004866","0.638000","1531646596"
"150",NULL,"115.400002","0.254000","19.000000","0.004866","0.649000","1531646597"
"151",NULL,"114.699997","0.255000","19.000000","0.004866","0.651000","1531646599"
"152",NULL,"114.400002","0.257000","19.000000","0.004866","0.646000","1531646601"
"153",NULL,"115.599998","0.257000","19.000000","0.004866","0.641000","1531646603"
"154",NULL,"115.800003","0.256000","19.000000","0.004866","0.645000","1531646605"
"155",NULL,"115.000000","0.260000","19.000000","0.004866","0.639000","1531646606"
"156",NULL,"115.300003","0.260000","19.000000","0.004866","0.639000","1531646608"
"157",NULL,"116.099998","0.255000","19.000000","0.004866","0.645000","1531646610"
"158",NULL,"116.199997","0.254000","19.000000","0.004866","0.646000","1531646612"
"159",NULL,"115.400002","0.255000","19.000000","0.004866","0.645000","1531646613"
"160",NULL,"114.800003","0.257000","19.000000","0.004866","0.645000","1531646615"
"161",NULL,"114.500000","0.257000","19.000000","0.004866","0.647000","1531646617"
"162",NULL,"115.199997","0.263000","19.000000","0.004866","0.632000","1531646619"
"163",NULL,"116.000000","0.260000","19.000000","0.004866","0.633000","1531646621"
"164",NULL,"116.400002","0.258000","19.000000","0.004866","0.633000","1531646622"
"165",NULL,"116.500000","0.255000","19.000000","0.004866","0.640000","1531646624"
"166",NULL,"116.500000","0.254000","19.000000","0.004866","0.645000","1531646626"
"167",NULL,"115.800003","0.254000","19.000000","0.004866","0.649000","1531646628"
"168",NULL,"115.699997","0.258000","19.000000","0.004866","0.639000","1531646630"
