app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattOneYearThree,121.5,0.395,47,0.994,1531801935
T5TwentyEightWattOneYearThree,120.800003,0.398,47,0.994,1531801937
T5TwentyEightWattOneYearThree,120.699997,0.398,47,0.994,1531801939
T5TwentyEightWattOneYearThree,120,0.402,47,0.993,1531801941
T5TwentyEightWattOneYearThree,120.199997,0.401,47,0.991,1531801942
T5TwentyEightWattOneYearThree,120.300003,0.4,47,0.992,1531801944
T5TwentyEightWattOneYearThree,119.699997,0.401,47,0.996,1531801946
T5TwentyEightWattOneYearThree,120.599998,0.397,47,0.998,1531801948
T5TwentyEightWattOneYearThree,121,0.395,47,0.999,1531801949
T5TwentyEightWattOneYearThree,120.900002,0.398,47,0.992,1531801951
T5TwentyEightWattOneYearThree,121.400002,0.397,47,0.99,1531801953
T5TwentyEightWattOneYearThree,120.800003,0.397,47,0.995,1531801954
T5TwentyEightWattOneYearThree,119.900002,0.399,47,0.998,1531801956
T5TwentyEightWattOneYearThree,120.300003,0.397,47,1,1531801958
T5TwentyEightWattOneYearThree,120.900002,0.397,47,0.994,1531801960
T5TwentyEightWattOneYearThree,121,0.398,47,0.99,1531801961
T5TwentyEightWattOneYearThree,119.800003,0.4,47,0.994,1531801963
T5TwentyEightWattOneYearThree,120.5,0.397,47,0.997,1531801965
T5TwentyEightWattOneYearThree,121.400002,0.396,47,0.989,1531801966
T5TwentyEightWattOneYearThree,120.900002,0.4,47,0.985,1531801968
T5TwentyEightWattOneYearThree,120,0.402,47,0.986,1531801970
T5TwentyEightWattOneYearThree,119.800003,0.399,47,0.994,1531801972
T5TwentyEightWattOneYearThree,120.900002,0.396,47,0.994,1531801973
T5TwentyEightWattOneYearThree,121.5,0.392,47,0.998,1531801975
T5TwentyEightWattOneYearThree,121.199997,0.393,47,0.998,1531801977
T5TwentyEightWattOneYearThree,120.400002,0.396,47,0.995,1531801979
T5TwentyEightWattOneYearThree,120.400002,0.396,47,0.996,1531801980
T5TwentyEightWattOneYearThree,120.099998,0.397,47,0.997,1531801982
T5TwentyEightWattOneYearThree,119.900002,0.399,47,0.994,1531801984
T5TwentyEightWattOneYearThree,120.199997,0.398,47,0.993,1531801986
T5TwentyEightWattOneYearThree,120.300003,0.397,47,0.995,1531801987
T5TwentyEightWattOneYearThree,119.400002,0.398,47,0.999,1531801989
T5TwentyEightWattOneYearThree,120.699997,0.395,47,0.996,1531801991
T5TwentyEightWattOneYearThree,121.900002,0.391,47,0.997,1531801993
T5TwentyEightWattOneYearThree,121.199997,0.395,47,0.995,1531801994
T5TwentyEightWattOneYearThree,120.300003,0.398,47,0.995,1531801996
T5TwentyEightWattOneYearThree,120.199997,0.398,47,0.997,1531801998
T5TwentyEightWattOneYearThree,120,0.396,47,1,1531802000
T5TwentyEightWattOneYearThree,120.300003,0.396,47,1,1531802001
T5TwentyEightWattOneYearThree,120.900002,0.396,47,0.999,1531802003
T5TwentyEightWattOneYearThree,120.5,0.398,47,0.997,1531802005
T5TwentyEightWattOneYearThree,120.5,0.399,47,0.994,1531802007
T5TwentyEightWattOneYearThree,120.199997,0.401,47,0.992,1531802008
T5TwentyEightWattOneYearThree,120.300003,0.399,47,0.996,1531802010
T5TwentyEightWattOneYearThree,120.199997,0.399,48,1,1531802012
T5TwentyEightWattOneYearThree,121.400002,0.397,48,0.995,1531802013
T5TwentyEightWattOneYearThree,121.199997,0.397,47,0.996,1531802015
T5TwentyEightWattOneYearThree,120.5,0.398,48,0.999,1531802017
T5TwentyEightWattOneYearThree,120.599998,0.4,48,0.995,1531802019
T5TwentyEightWattOneYearThree,120.300003,0.401,47,0.993,1531802020
T5TwentyEightWattOneYearThree,120,0.401,47,0.994,1531802022
T5TwentyEightWattOneYearThree,119.300003,0.404,47,0.992,1531802024
T5TwentyEightWattOneYearThree,120.599998,0.398,47,0.994,1531802026
T5TwentyEightWattOneYearThree,120.5,0.398,47,0.997,1531802027
T5TwentyEightWattOneYearThree,120.199997,0.4,47,0.995,1531802029
T5TwentyEightWattOneYearThree,120.400002,0.396,47,1,1531802031
T5TwentyEightWattOneYearThree,120.800003,0.396,47,0.998,1531802033
T5TwentyEightWattOneYearThree,120.099998,0.398,47,0.997,1531802034
T5TwentyEightWattOneYearThree,120.199997,0.4,47,0.994,1531802036
T5TwentyEightWattOneYearThree,120.5,0.399,47,0.993,1531802038
T5TwentyEightWattOneYearThree,120.699997,0.397,47,0.994,1531802040
T5TwentyEightWattOneYearThree,120.300003,0.398,47,0.996,1531802042
T5TwentyEightWattOneYearThree,119.400002,0.399,47,1,1531802044
T5TwentyEightWattOneYearThree,120.099998,0.398,47,1,1531802045
T5TwentyEightWattOneYearThree,120.400002,0.399,47,0.996,1531802047
T5TwentyEightWattOneYearThree,120.599998,0.399,47,0.995,1531802049
T5TwentyEightWattOneYearThree,120.599998,0.4,47,0.994,1531802051
T5TwentyEightWattOneYearThree,121.900002,0.398,48,0.989,1531802052
T5TwentyEightWattOneYearThree,121.199997,0.402,48,0.985,1531802054
T5TwentyEightWattOneYearThree,120,0.403,48,0.992,1531802056
T5TwentyEightWattOneYearThree,120.800003,0.399,47,0.995,1531802058
T5TwentyEightWattOneYearThree,121.5,0.395,48,1,1531802059
T5TwentyEightWattOneYearThree,120.699997,0.398,48,1,1531802061
T5TwentyEightWattOneYearThree,121,0.397,48,1,1531802063
T5TwentyEightWattOneYearThree,121.400002,0.397,47,0.994,1531802065
T5TwentyEightWattOneYearThree,119.800003,0.402,47,0.994,1531802066
T5TwentyEightWattOneYearThree,120,0.401,47,0.997,1531802068
T5TwentyEightWattOneYearThree,120.699997,0.399,47,0.995,1531802070
T5TwentyEightWattOneYearThree,121.099998,0.397,47,0.996,1531802071
T5TwentyEightWattOneYearThree,121.199997,0.396,47,0.998,1531802073
T5TwentyEightWattOneYearThree,121.400002,0.397,47,0.991,1531802075
T5TwentyEightWattOneYearThree,121.599998,0.397,47,0.993,1531802077
T5TwentyEightWattOneYearThree,121.699997,0.397,47,0.991,1531802078
T5TwentyEightWattOneYearThree,120.699997,0.401,47,0.989,1531802080
T5TwentyEightWattOneYearThree,120.699997,0.399,48,0.998,1531802082
T5TwentyEightWattOneYearThree,121.400002,0.399,48,0.991,1531802083
T5TwentyEightWattOneYearThree,120.099998,0.402,48,0.994,1531802085
T5TwentyEightWattOneYearThree,120.099998,0.4,48,1,1531802087
T5TwentyEightWattOneYearThree,120.699997,0.398,48,0.999,1531802089
T5TwentyEightWattOneYearThree,120.5,0.402,48,0.99,1531802090
T5TwentyEightWattOneYearThree,120.900002,0.4,48,0.991,1531802092
T5TwentyEightWattOneYearThree,120.699997,0.401,48,0.991,1531802094
T5TwentyEightWattOneYearThree,121.099998,0.4,48,0.993,1531802096
T5TwentyEightWattOneYearThree,121.400002,0.4,48,0.99,1531802097
T5TwentyEightWattOneYearThree,121.5,0.398,48,0.996,1531802099
T5TwentyEightWattOneYearThree,121.800003,0.398,48,0.993,1531802101
T5TwentyEightWattOneYearThree,121.300003,0.398,48,0.995,1531802103
T5TwentyEightWattOneYearThree,121.5,0.398,48,0.996,1531802104
T5TwentyEightWattOneYearThree,121,0.4,48,0.992,1531802106
T5TwentyEightWattOneYearThree,121.199997,0.401,48,0.989,1531802108
T5TwentyEightWattOneYearThree,121.099998,0.399,48,0.997,1531802110
T5TwentyEightWattOneYearThree,120.699997,0.397,48,1,1531802111
T5TwentyEightWattOneYearThree,121,0.399,48,0.998,1531802113
T5TwentyEightWattOneYearThree,120.900002,0.402,48,0.992,1531802115
T5TwentyEightWattOneYearThree,120,0.403,48,0.996,1531802116
T5TwentyEightWattOneYearThree,120.599998,0.401,48,0.996,1531802118
T5TwentyEightWattOneYearThree,120.599998,0.402,48,0.99,1531802120
