"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"118.800003","0.213000","13.000000","0.006344","0.547000","1531195135"
"2",NULL,"118.900002","0.213000","13.000000","0.006344","0.544000","1531195136"
"3",NULL,"118.900002","0.212000","13.000000","0.006344","0.547000","1531195138"
"4",NULL,"119.599998","0.213000","13.000000","0.006344","0.542000","1531195140"
"5",NULL,"120.800003","0.216000","13.000000","0.006344","0.529000","1531195141"
"6",NULL,"120.599998","0.216000","13.000000","0.006344","0.530000","1531195143"
"7",NULL,"119.400002","0.214000","13.000000","0.006344","0.542000","1531195145"
"8",NULL,"119.000000","0.212000","13.000000","0.006344","0.550000","1531195146"
"9",NULL,"119.800003","0.213000","13.000000","0.006344","0.544000","1531195148"
"10",NULL,"121.099998","0.217000","13.000000","0.006344","0.527000","1531195150"
"11",NULL,"119.500000","0.215000","13.000000","0.006344","0.540000","1531195151"
"12",NULL,"118.699997","0.213000","13.000000","0.006344","0.549000","1531195153"
"13",NULL,"118.800003","0.212000","13.000000","0.006344","0.551000","1531195155"
"14",NULL,"119.400002","0.212000","13.000000","0.006344","0.548000","1531195157"
"15",NULL,"120.599998","0.214000","13.000000","0.006344","0.537000","1531195159"
"16",NULL,"121.199997","0.215000","13.000000","0.006344","0.532000","1531195160"
"17",NULL,"121.500000","0.217000","13.000000","0.006344","0.529000","1531195162"
"18",NULL,"120.699997","0.217000","13.000000","0.006344","0.531000","1531195164"
"19",NULL,"120.800003","0.215000","13.000000","0.006344","0.533000","1531195165"
"20",NULL,"121.000000","0.215000","13.000000","0.006344","0.533000","1531195167"
"21",NULL,"121.300003","0.217000","13.000000","0.006344","0.526000","1531195169"
"22",NULL,"120.699997","0.214000","13.000000","0.006344","0.535000","1531195170"
"23",NULL,"120.000000","0.213000","13.000000","0.006344","0.540000","1531195172"
"24",NULL,"119.599998","0.212000","13.000000","0.006344","0.542000","1531195174"
"25",NULL,"119.500000","0.214000","13.000000","0.006344","0.542000","1531195175"
"26",NULL,"120.099998","0.216000","13.000000","0.006344","0.536000","1531195177"
"27",NULL,"120.300003","0.216000","13.000000","0.006344","0.532000","1531195179"
"28",NULL,"120.300003","0.215000","13.000000","0.006344","0.539000","1531195181"
"29",NULL,"119.800003","0.213000","13.000000","0.006344","0.544000","1531195182"
