app_id,v_val,i_val,p_val,pf_val,date
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.246,18,0.653,1531634319
JeinPoLiEnergySavingLampsOldOneYear,116.5,0.252,18,0.635,1531634320
JeinPoLiEnergySavingLampsOldOneYear,116.400002,0.252,18,0.633,1531634322
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.251,18,0.641,1531634324
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.251,18,0.639,1531634326
JeinPoLiEnergySavingLampsOldOneYear,116.699997,0.247,18,0.645,1531634327
JeinPoLiEnergySavingLampsOldOneYear,116.699997,0.247,18,0.645,1531634329
JeinPoLiEnergySavingLampsOldOneYear,116.599998,0.248,18,0.639,1531634331
JeinPoLiEnergySavingLampsOldOneYear,115.5,0.25,18,0.638,1531634333
JeinPoLiEnergySavingLampsOldOneYear,114.800003,0.252,18,0.636,1531634334
JeinPoLiEnergySavingLampsOldOneYear,114.300003,0.25,18,0.642,1531634336
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.246,18,0.648,1531634338
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.249,18,0.643,1531634340
JeinPoLiEnergySavingLampsOldOneYear,114.5,0.247,18,0.65,1531634341
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.246,18,0.649,1531634343
JeinPoLiEnergySavingLampsOldOneYear,116.5,0.248,18,0.638,1531634345
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.251,18,0.63,1531634347
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.246,18,0.644,1531634349
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.247,18,0.647,1531634350
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.25,18,0.64,1531634352
JeinPoLiEnergySavingLampsOldOneYear,116,0.248,18,0.638,1531634354
JeinPoLiEnergySavingLampsOldOneYear,115.5,0.245,18,0.649,1531634356
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.249,18,0.642,1531634358
JeinPoLiEnergySavingLampsOldOneYear,115.900002,0.248,18,0.641,1531634359
JeinPoLiEnergySavingLampsOldOneYear,115,0.246,18,0.65,1531634361
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.246,18,0.649,1531634363
JeinPoLiEnergySavingLampsOldOneYear,115.900002,0.246,18,0.647,1531634364
JeinPoLiEnergySavingLampsOldOneYear,115.900002,0.248,18,0.641,1531634366
JeinPoLiEnergySavingLampsOldOneYear,115,0.248,18,0.647,1531634368
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.245,18,0.652,1531634370
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.244,18,0.652,1531634372
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.249,18,0.64,1531634373
JeinPoLiEnergySavingLampsOldOneYear,115,0.251,18,0.641,1531634375
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.246,18,0.651,1531634377
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.246,18,0.652,1531634379
JeinPoLiEnergySavingLampsOldOneYear,116.199997,0.245,18,0.648,1531634381
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.247,18,0.645,1531634382
JeinPoLiEnergySavingLampsOldOneYear,115,0.247,18,0.648,1531634384
JeinPoLiEnergySavingLampsOldOneYear,114.5,0.249,18,0.646,1531634386
JeinPoLiEnergySavingLampsOldOneYear,116.099998,0.244,18,0.646,1531634388
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.248,18,0.642,1531634390
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.247,18,0.646,1531634391
JeinPoLiEnergySavingLampsOldOneYear,116,0.246,18,0.643,1531634393
JeinPoLiEnergySavingLampsOldOneYear,116.099998,0.244,18,0.648,1531634395
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.243,18,0.654,1531634397
JeinPoLiEnergySavingLampsOldOneYear,116,0.246,18,0.644,1531634399
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.246,18,0.642,1531634400
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.246,18,0.643,1531634402
JeinPoLiEnergySavingLampsOldOneYear,115.300003,0.248,18,0.637,1531634404
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.246,18,0.64,1531634406
JeinPoLiEnergySavingLampsOldOneYear,116,0.243,18,0.652,1531634407
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.245,18,0.65,1531634409
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.249,18,0.642,1531634411
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.246,18,0.645,1531634413
JeinPoLiEnergySavingLampsOldOneYear,116.300003,0.244,18,0.646,1531634414
JeinPoLiEnergySavingLampsOldOneYear,116.300003,0.244,18,0.648,1531634416
JeinPoLiEnergySavingLampsOldOneYear,114.800003,0.245,18,0.656,1531634418
JeinPoLiEnergySavingLampsOldOneYear,114.699997,0.249,18,0.645,1531634420
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.248,18,0.643,1531634421
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.248,18,0.646,1531634423
JeinPoLiEnergySavingLampsOldOneYear,114.800003,0.251,18,0.642,1531634425
JeinPoLiEnergySavingLampsOldOneYear,116.199997,0.247,18,0.643,1531634427
JeinPoLiEnergySavingLampsOldOneYear,116.300003,0.244,18,0.647,1531634428
JeinPoLiEnergySavingLampsOldOneYear,115,0.246,18,0.649,1531634430
JeinPoLiEnergySavingLampsOldOneYear,114.800003,0.247,18,0.648,1531634432
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.248,18,0.641,1531634434
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.247,18,0.643,1531634436
JeinPoLiEnergySavingLampsOldOneYear,115.300003,0.247,18,0.644,1531634438
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.245,18,0.646,1531634439
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.248,18,0.642,1531634441
JeinPoLiEnergySavingLampsOldOneYear,116,0.251,18,0.634,1531634443
JeinPoLiEnergySavingLampsOldOneYear,116.400002,0.248,18,0.638,1531634445
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.248,18,0.646,1531634447
JeinPoLiEnergySavingLampsOldOneYear,114.900002,0.252,18,0.64,1531634449
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.248,18,0.649,1531634450
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.248,18,0.647,1531634452
JeinPoLiEnergySavingLampsOldOneYear,116.300003,0.246,18,0.647,1531634454
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.246,18,0.654,1531634456
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.246,18,0.655,1531634458
JeinPoLiEnergySavingLampsOldOneYear,116.199997,0.25,18,0.645,1531634459
JeinPoLiEnergySavingLampsOldOneYear,115.699997,0.25,18,0.647,1531634461
JeinPoLiEnergySavingLampsOldOneYear,116,0.247,18,0.651,1531634463
JeinPoLiEnergySavingLampsOldOneYear,116.5,0.246,18,0.648,1531634465
JeinPoLiEnergySavingLampsOldOneYear,116.699997,0.246,18,0.646,1531634467
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.25,18,0.642,1531634469
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.249,18,0.643,1531634471
JeinPoLiEnergySavingLampsOldOneYear,116.699997,0.248,18,0.638,1531634472
JeinPoLiEnergySavingLampsOldOneYear,116.300003,0.246,18,0.646,1531634474
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.248,18,0.648,1531634476
JeinPoLiEnergySavingLampsOldOneYear,114.300003,0.253,18,0.639,1531634478
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.246,18,0.651,1531634479
JeinPoLiEnergySavingLampsOldOneYear,115.300003,0.246,18,0.652,1531634481
JeinPoLiEnergySavingLampsOldOneYear,115.099998,0.25,18,0.642,1531634483
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.253,18,0.631,1531634486
JeinPoLiEnergySavingLampsOldOneYear,114.800003,0.248,18,0.648,1531634488
JeinPoLiEnergySavingLampsOldOneYear,114.199997,0.251,18,0.645,1531634490
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.246,18,0.651,1531634492
JeinPoLiEnergySavingLampsOldOneYear,115.300003,0.253,18,0.635,1531634494
JeinPoLiEnergySavingLampsOldOneYear,114.699997,0.255,18,0.632,1531634496
JeinPoLiEnergySavingLampsOldOneYear,114.900002,0.253,18,0.637,1531634498
JeinPoLiEnergySavingLampsOldOneYear,115.300003,0.253,18,0.641,1531634499
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.249,18,0.647,1531634501
JeinPoLiEnergySavingLampsOldOneYear,115.900002,0.248,18,0.648,1531634503
JeinPoLiEnergySavingLampsOldOneYear,115.5,0.249,18,0.648,1531634505
JeinPoLiEnergySavingLampsOldOneYear,114.900002,0.253,18,0.644,1531634507
JeinPoLiEnergySavingLampsOldOneYear,115.800003,0.248,18,0.654,1531634508
JeinPoLiEnergySavingLampsOldOneYear,115.599998,0.256,18,0.638,1531634510
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.256,18,0.641,1531634512
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.252,18,0.65,1531634514
JeinPoLiEnergySavingLampsOldOneYear,115.400002,0.253,18,0.648,1531634516
JeinPoLiEnergySavingLampsOldOneYear,115.199997,0.255,18,0.644,1531634517
