app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattNewOne,119.099998,0.402,48,1,1531727379
T5TwentyEightWattNewOne,119.599998,0.404,48,0.994,1531727380
T5TwentyEightWattNewOne,119.400002,0.405,48,0.995,1531727382
T5TwentyEightWattNewOne,119.900002,0.403,48,0.994,1531727384
T5TwentyEightWattNewOne,119.699997,0.404,48,0.995,1531727386
T5TwentyEightWattNewOne,119.699997,0.404,48,0.995,1531727387
T5TwentyEightWattNewOne,118.900002,0.409,48,0.991,1531727389
T5TwentyEightWattNewOne,118.699997,0.408,48,0.993,1531727391
T5TwentyEightWattNewOne,119.699997,0.405,48,0.991,1531727393
T5TwentyEightWattNewOne,120,0.405,48,0.99,1531727394
T5TwentyEightWattNewOne,119.5,0.405,48,0.994,1531727396
T5TwentyEightWattNewOne,120.800003,0.401,48,0.992,1531727398
T5TwentyEightWattNewOne,120.699997,0.401,48,0.994,1531727400
T5TwentyEightWattNewOne,119.400002,0.402,48,1,1531727401
T5TwentyEightWattNewOne,119.599998,0.401,48,1,1531727403
T5TwentyEightWattNewOne,120,0.402,48,0.996,1531727405
T5TwentyEightWattNewOne,119.699997,0.405,48,0.991,1531727407
T5TwentyEightWattNewOne,119.199997,0.408,48,0.987,1531727409
T5TwentyEightWattNewOne,119.400002,0.405,48,0.992,1531727410
T5TwentyEightWattNewOne,120.300003,0.401,48,0.994,1531727412
T5TwentyEightWattNewOne,120.099998,0.402,48,0.996,1531727414
T5TwentyEightWattNewOne,119.5,0.403,48,0.998,1531727416
T5TwentyEightWattNewOne,119.300003,0.405,48,0.994,1531727417
T5TwentyEightWattNewOne,118.400002,0.405,48,1,1531727419
T5TwentyEightWattNewOne,119.199997,0.402,48,1,1531727421
T5TwentyEightWattNewOne,119.599998,0.403,48,0.998,1531727423
T5TwentyEightWattNewOne,120.199997,0.403,48,0.99,1531727424
T5TwentyEightWattNewOne,120.099998,0.403,48,0.993,1531727426
T5TwentyEightWattNewOne,120.099998,0.4,48,0.997,1531727428
T5TwentyEightWattNewOne,120.199997,0.402,48,0.992,1531727430
T5TwentyEightWattNewOne,120.199997,0.403,48,0.991,1531727432
T5TwentyEightWattNewOne,120.099998,0.401,48,0.998,1531727433
T5TwentyEightWattNewOne,120.099998,0.402,48,0.994,1531727435
T5TwentyEightWattNewOne,120.300003,0.4,48,1,1531727437
T5TwentyEightWattNewOne,119.300003,0.404,48,0.997,1531727439
T5TwentyEightWattNewOne,119.099998,0.405,48,0.994,1531727440
T5TwentyEightWattNewOne,119.900002,0.406,48,0.986,1531727442
T5TwentyEightWattNewOne,120,0.403,48,0.992,1531727444
T5TwentyEightWattNewOne,119.699997,0.403,48,0.996,1531727446
T5TwentyEightWattNewOne,119.099998,0.403,48,1,1531727448
T5TwentyEightWattNewOne,119.199997,0.404,48,0.997,1531727449
T5TwentyEightWattNewOne,118.400002,0.407,48,0.996,1531727451
T5TwentyEightWattNewOne,118.599998,0.405,48,1,1531727453
T5TwentyEightWattNewOne,118.599998,0.406,47,0.995,1531727455
T5TwentyEightWattNewOne,119.300003,0.405,48,0.993,1531727457
T5TwentyEightWattNewOne,119.800003,0.406,48,0.987,1531727459
T5TwentyEightWattNewOne,120.300003,0.403,47,0.987,1531727461
T5TwentyEightWattNewOne,120.099998,0.401,47,0.995,1531727463
T5TwentyEightWattNewOne,119.800003,0.404,48,0.992,1531727465
T5TwentyEightWattNewOne,118.800003,0.405,48,0.998,1531727467
T5TwentyEightWattNewOne,118.599998,0.405,48,0.998,1531727468
T5TwentyEightWattNewOne,118.699997,0.408,48,0.991,1531727470
T5TwentyEightWattNewOne,118.099998,0.405,48,1,1531727472
T5TwentyEightWattNewOne,119,0.403,47,0.999,1531727474
T5TwentyEightWattNewOne,119.400002,0.4,47,1,1531727476
T5TwentyEightWattNewOne,120,0.4,47,0.997,1531727478
T5TwentyEightWattNewOne,120.199997,0.4,47,0.997,1531727480
T5TwentyEightWattNewOne,119.400002,0.403,47,0.997,1531727481
T5TwentyEightWattNewOne,120.300003,0.399,47,0.997,1531727483
T5TwentyEightWattNewOne,119.800003,0.401,47,0.995,1531727485
T5TwentyEightWattNewOne,118.900002,0.404,47,0.998,1531727487
T5TwentyEightWattNewOne,119.300003,0.404,47,0.993,1531727488
T5TwentyEightWattNewOne,120,0.399,48,1,1531727490
T5TwentyEightWattNewOne,120.099998,0.399,47,1,1531727492
T5TwentyEightWattNewOne,119.599998,0.4,47,1,1531727494
