app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattOneYearFour,119.400002,0.419,49,0.991,1531805599
T5TwentyEightWattOneYearFour,119.699997,0.418,49,0.991,1531805600
T5TwentyEightWattOneYearFour,119.5,0.419,49,0.989,1531805602
T5TwentyEightWattOneYearFour,119.199997,0.418,49,0.993,1531805604
T5TwentyEightWattOneYearFour,118.900002,0.418,49,0.996,1531805605
T5TwentyEightWattOneYearFour,119.199997,0.418,49,0.993,1531805607
T5TwentyEightWattOneYearFour,119.800003,0.414,49,0.996,1531805609
T5TwentyEightWattOneYearFour,119.5,0.417,49,0.991,1531805611
T5TwentyEightWattOneYearFour,117.900002,0.423,49,0.99,1531805612
T5TwentyEightWattOneYearFour,118,0.423,49,0.987,1531805614
T5TwentyEightWattOneYearFour,117.599998,0.423,49,0.989,1531805616
T5TwentyEightWattOneYearFour,118.699997,0.417,49,0.996,1531805618
T5TwentyEightWattOneYearFour,119.599998,0.414,49,0.994,1531805619
T5TwentyEightWattOneYearFour,118.900002,0.415,49,0.998,1531805621
T5TwentyEightWattOneYearFour,118.099998,0.418,49,0.996,1531805623
T5TwentyEightWattOneYearFour,119.300003,0.412,49,0.998,1531805624
T5TwentyEightWattOneYearFour,119.599998,0.412,49,0.996,1531805626
T5TwentyEightWattOneYearFour,119.800003,0.412,49,0.995,1531805628
T5TwentyEightWattOneYearFour,119.099998,0.415,49,0.99,1531805630
T5TwentyEightWattOneYearFour,119.300003,0.411,49,0.998,1531805631
T5TwentyEightWattOneYearFour,119.400002,0.411,49,0.997,1531805633
T5TwentyEightWattOneYearFour,120.099998,0.41,48,0.991,1531805635
T5TwentyEightWattOneYearFour,119.800003,0.412,48,0.991,1531805637
T5TwentyEightWattOneYearFour,119.5,0.411,48,0.995,1531805638
T5TwentyEightWattOneYearFour,118.800003,0.412,48,0.999,1531805640
T5TwentyEightWattOneYearFour,118.599998,0.413,48,0.998,1531805642
T5TwentyEightWattOneYearFour,118.300003,0.414,48,0.994,1531805644
T5TwentyEightWattOneYearFour,118.199997,0.415,48,0.996,1531805645
T5TwentyEightWattOneYearFour,118.300003,0.411,48,1,1531805647
T5TwentyEightWattOneYearFour,119.300003,0.409,48,1,1531805649
T5TwentyEightWattOneYearFour,119.5,0.411,48,0.993,1531805651
T5TwentyEightWattOneYearFour,118.099998,0.416,48,0.989,1531805652
T5TwentyEightWattOneYearFour,118.300003,0.414,48,0.992,1531805654
T5TwentyEightWattOneYearFour,117.699997,0.415,48,0.995,1531805656
T5TwentyEightWattOneYearFour,117.5,0.415,48,0.997,1531805658
T5TwentyEightWattOneYearFour,118.400002,0.412,48,0.996,1531805659
T5TwentyEightWattOneYearFour,118.300003,0.416,48,0.989,1531805661
T5TwentyEightWattOneYearFour,118.400002,0.417,48,0.988,1531805663
