app_id,v_val,i_val,p_val,pf_val,date
T5TwentyEightWattOneYearOne,120,0.417,49,0.989,1531792879
T5TwentyEightWattOneYearOne,119.599998,0.418,49,0.991,1531792881
T5TwentyEightWattOneYearOne,119.099998,0.419,49,0.994,1531792883
T5TwentyEightWattOneYearOne,119.199997,0.42,49,0.991,1531792885
T5TwentyEightWattOneYearOne,118.199997,0.423,49,0.99,1531792886
T5TwentyEightWattOneYearOne,118.300003,0.423,49,0.989,1531792888
T5TwentyEightWattOneYearOne,118.900002,0.42,49,0.991,1531792890
T5TwentyEightWattOneYearOne,118.5,0.42,49,0.994,1531792892
T5TwentyEightWattOneYearOne,118.900002,0.42,49,0.993,1531792894
T5TwentyEightWattOneYearOne,119.099998,0.419,49,0.992,1531792895
T5TwentyEightWattOneYearOne,118.400002,0.42,49,0.996,1531792897
T5TwentyEightWattOneYearOne,117.800003,0.423,49,0.992,1531792900
T5TwentyEightWattOneYearOne,117.900002,0.424,49,0.991,1531792901
T5TwentyEightWattOneYearOne,118.400002,0.419,49,0.999,1531792903
T5TwentyEightWattOneYearOne,118.099998,0.419,49,1,1531792905
T5TwentyEightWattOneYearOne,117.699997,0.42,49,1,1531792907
T5TwentyEightWattOneYearOne,117.699997,0.422,49,0.997,1531792909
T5TwentyEightWattOneYearOne,117.800003,0.425,49,0.99,1531792911
T5TwentyEightWattOneYearOne,118.300003,0.423,49,0.993,1531792913
T5TwentyEightWattOneYearOne,118.099998,0.424,49,0.991,1531792915
T5TwentyEightWattOneYearOne,118,0.424,49,0.991,1531792916
T5TwentyEightWattOneYearOne,118.900002,0.42,49,0.993,1531792918
T5TwentyEightWattOneYearOne,118,0.421,49,0.999,1531792920
T5TwentyEightWattOneYearOne,118.400002,0.419,49,0.998,1531792921
T5TwentyEightWattOneYearOne,118.900002,0.418,49,0.996,1531792923
T5TwentyEightWattOneYearOne,118.599998,0.421,49,0.991,1531792925
T5TwentyEightWattOneYearOne,118.300003,0.422,49,0.992,1531792927
T5TwentyEightWattOneYearOne,118.400002,0.419,49,0.998,1531792928
T5TwentyEightWattOneYearOne,118.099998,0.423,49,0.993,1531792930
T5TwentyEightWattOneYearOne,118.199997,0.424,49,0.988,1531792931
T5TwentyEightWattOneYearOne,117,0.425,49,0.996,1531792933
T5TwentyEightWattOneYearOne,117.300003,0.424,49,0.997,1531792935
T5TwentyEightWattOneYearOne,118.5,0.42,49,0.995,1531792936
T5TwentyEightWattOneYearOne,118.099998,0.421,49,0.995,1531792938
T5TwentyEightWattOneYearOne,117.699997,0.423,49,0.998,1531792940
T5TwentyEightWattOneYearOne,117.5,0.422,49,1,1531792942
T5TwentyEightWattOneYearOne,118,0.423,49,0.993,1531792943
T5TwentyEightWattOneYearOne,118.400002,0.424,49,0.987,1531792945
T5TwentyEightWattOneYearOne,118.699997,0.422,49,0.988,1531792947
T5TwentyEightWattOneYearOne,118.800003,0.421,49,0.991,1531792948
T5TwentyEightWattOneYearOne,118.900002,0.42,49,0.991,1531792950
T5TwentyEightWattOneYearOne,118.5,0.42,49,0.994,1531792952
T5TwentyEightWattOneYearOne,118,0.421,49,0.999,1531792954
T5TwentyEightWattOneYearOne,118.300003,0.418,49,1,1531792955
T5TwentyEightWattOneYearOne,118.400002,0.422,49,0.993,1531792957
T5TwentyEightWattOneYearOne,118.699997,0.421,49,0.992,1531792959
T5TwentyEightWattOneYearOne,119.099998,0.418,49,1,1531792961
T5TwentyEightWattOneYearOne,118.699997,0.419,49,0.995,1531792962
T5TwentyEightWattOneYearOne,118.800003,0.418,49,0.998,1531792964
T5TwentyEightWattOneYearOne,118.199997,0.42,49,0.998,1531792966
T5TwentyEightWattOneYearOne,118.099998,0.423,49,0.989,1531792968
T5TwentyEightWattOneYearOne,119.400002,0.418,49,0.99,1531792969
T5TwentyEightWattOneYearOne,118.400002,0.42,49,0.996,1531792971
T5TwentyEightWattOneYearOne,118.099998,0.419,49,1,1531792973
T5TwentyEightWattOneYearOne,118.699997,0.418,49,0.997,1531792975
T5TwentyEightWattOneYearOne,119.099998,0.418,49,0.995,1531792976
T5TwentyEightWattOneYearOne,119.5,0.419,49,0.987,1531792978
T5TwentyEightWattOneYearOne,119.400002,0.42,49,0.986,1531792980
T5TwentyEightWattOneYearOne,117.800003,0.424,49,0.99,1531792982
T5TwentyEightWattOneYearOne,117.900002,0.42,49,1,1531792983
T5TwentyEightWattOneYearOne,117.099998,0.423,49,0.998,1531792985
T5TwentyEightWattOneYearOne,117,0.423,49,0.998,1531792987
T5TwentyEightWattOneYearOne,117.5,0.421,49,1,1531792989
T5TwentyEightWattOneYearOne,118,0.42,49,0.998,1531792991
T5TwentyEightWattOneYearOne,117.900002,0.424,49,0.99,1531792992
T5TwentyEightWattOneYearOne,117.800003,0.423,49,0.992,1531792994
T5TwentyEightWattOneYearOne,116.900002,0.426,49,0.992,1531792996
T5TwentyEightWattOneYearOne,117.5,0.425,49,0.991,1531792998
