"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"115.699997","0.246000","18.000000","0.004847","0.653000","1531634319"
"2",NULL,"116.500000","0.252000","18.000000","0.004847","0.635000","1531634320"
"3",NULL,"116.400002","0.252000","18.000000","0.004847","0.633000","1531634322"
"4",NULL,"115.099998","0.251000","18.000000","0.004847","0.641000","1531634324"
"5",NULL,"115.400002","0.251000","18.000000","0.004847","0.639000","1531634326"
"6",NULL,"116.699997","0.247000","18.000000","0.004847","0.645000","1531634327"
"7",NULL,"116.699997","0.247000","18.000000","0.004847","0.645000","1531634329"
"8",NULL,"116.599998","0.248000","18.000000","0.004847","0.639000","1531634331"
"9",NULL,"115.500000","0.250000","18.000000","0.004847","0.638000","1531634333"
"10",NULL,"114.800003","0.252000","18.000000","0.004847","0.636000","1531634334"
"11",NULL,"114.300003","0.250000","18.000000","0.004847","0.642000","1531634336"
"12",NULL,"115.099998","0.246000","18.000000","0.004847","0.648000","1531634338"
"13",NULL,"115.199997","0.249000","18.000000","0.004847","0.643000","1531634340"
"14",NULL,"114.500000","0.247000","18.000000","0.004847","0.650000","1531634341"
"15",NULL,"115.199997","0.246000","18.000000","0.004847","0.649000","1531634343"
"16",NULL,"116.500000","0.248000","18.000000","0.004847","0.638000","1531634345"
"17",NULL,"115.800003","0.251000","18.000000","0.004847","0.630000","1531634347"
"18",NULL,"115.800003","0.246000","18.000000","0.004847","0.644000","1531634349"
"19",NULL,"115.599998","0.247000","18.000000","0.004847","0.647000","1531634350"
"20",NULL,"115.400002","0.250000","18.000000","0.004847","0.640000","1531634352"
"21",NULL,"116.000000","0.248000","18.000000","0.004847","0.638000","1531634354"
"22",NULL,"115.500000","0.245000","18.000000","0.004847","0.649000","1531634356"
"23",NULL,"115.400002","0.249000","18.000000","0.004847","0.642000","1531634358"
"24",NULL,"115.900002","0.248000","18.000000","0.004847","0.641000","1531634359"
"25",NULL,"115.000000","0.246000","18.000000","0.004847","0.650000","1531634361"
"26",NULL,"115.199997","0.246000","18.000000","0.004847","0.649000","1531634363"
"27",NULL,"115.900002","0.246000","18.000000","0.004847","0.647000","1531634364"
"28",NULL,"115.900002","0.248000","18.000000","0.004847","0.641000","1531634366"
"29",NULL,"115.000000","0.248000","18.000000","0.004847","0.647000","1531634368"
"30",NULL,"115.199997","0.245000","18.000000","0.004847","0.652000","1531634370"
"31",NULL,"115.800003","0.244000","18.000000","0.004847","0.652000","1531634372"
"32",NULL,"115.800003","0.249000","18.000000","0.004847","0.640000","1531634373"
